experiment_id,instcode,genus,accenumb,agent_id,doi,days_to_heading,plant_height,thousand_kernel_weight,powdery_mildew,leaf_rust,yellow_rust,septoria_tritici_ssp,protein_content,sds_sedimentation_volume,name,description,campaign,site_name,longitude,latitude,remarks
1,ITA383,Triticum,TA00001,NA,NA,128,74,47.5,3,3,NA,1,11.1,43,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00001,NA,NA,127,84,45.8,5,3,NA,0,11.2,43,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00001,NA,NA,127,78,46.1,3,1,NA,0,10.9,40,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00001,NA,NA,127,80,47.2,5,3,NA,0,11.9,42,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00001,NA,NA,127,66,49.3,3,3,NA,0,10.6,36,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00002,NA,NA,126,68,NA,0,0,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00004,NA,NA,125,68,NA,0,0,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00005,NA,NA,122,92,NA,2,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00006,NA,NA,129,85,NA,0,4,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00007,NA,NA,126,116,NA,0,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00008,NA,NA,137,80,NA,2,0,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00009,NA,NA,133,75,NA,4,4,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
