genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE,powdery_mildew_BLUE,leaf_rust_BLUE,septoria_tritici_ssp_BLUE,protein_content_BLUE,sds_sedimentation_volume_BLUE
TA00001,126.22,67.69,39.33,2.76,2.61,3.38,13.16,44.75
TA00002,124.81,66.66,26.82,1.17,1.89,3.28,14.32,44.21
TA00003,123.82,64.05,NA,4.53,3.66,NA,NA,NA
TA00004,123.23,68.51,NA,1.97,2,3.54,NA,NA
TA00005,123.03,97.52,37.58,1.48,3.56,3.1,14.4,57.05
TA00006,127.09,77.64,34.15,1.17,2.66,3.22,13.03,45.18
TA00007,124.23,112.7,NA,0.1,2.74,3.08,NA,NA
TA00008,136.38,78.12,NA,0.85,2,3.08,NA,NA
TA00009,133.54,67.96,NA,3.48,2.85,3.08,NA,NA
TA00010,127.54,61.4,NA,0.1,0.21,3.31,NA,NA
TA00011,130.35,56.74,NA,1.38,3.03,NA,NA,NA
TA00012,124.6,59.87,33.38,2.19,2.3,3.13,13.9,41.44
TA00013,128.96,55.58,NA,0.1,2,3.31,NA,NA
TA00014,NA,NA,NA,NA,NA,NA,NA,NA
TA00015,NA,56.4,NA,NA,NA,NA,NA,NA
TA00016,130.5,74.75,38.01,-0.74,1.53,2.74,14.87,59.85
TA00017,122.38,97.23,NA,0.1,4.11,3.31,NA,NA
TA00018,129.07,131.24,NA,2.1,3.48,4.63,NA,NA
TA00019,121.8,71.62,NA,1.97,2.63,3.31,NA,NA
TA00020,123.65,85.07,NA,0.1,2.11,2.86,NA,NA
TA00021,NA,99.54,NA,NA,NA,NA,NA,NA
TA00022,124.8,60.42,NA,NA,NA,NA,NA,NA
TA00023,121.22,113.08,NA,0.1,3.49,2.86,NA,NA
TA00024,122.44,105.67,NA,3.09,2.6,2.86,NA,NA
TA00025,121.8,102.15,NA,3.35,2.11,3.08,NA,NA
TA00026,133.23,112.49,NA,5.23,0.74,2.63,NA,NA
TA00027,125.23,103.37,NA,3.48,2.74,3.08,NA,NA
TA00028,123.99,93.78,38.4,1.83,2.95,3.2,14.59,46.55
TA00029,125.52,96.43,38.66,1.03,0.85,3.14,16.17,43.64
TA00030,123.45,98.46,39.54,1.56,1.76,2.96,14.35,43.28
TA00031,124.22,97.33,NA,2.64,1.59,3.08,NA,NA
TA00032,NA,72.19,NA,NA,NA,NA,NA,NA
TA00033,130.96,61.91,NA,NA,NA,NA,NA,NA
TA00034,127.69,69,NA,0.85,1.48,2.86,NA,NA
TA00035,140.91,98.42,NA,2.1,0.74,2.86,NA,NA
TA00036,NA,NA,NA,NA,NA,NA,NA,NA
TA00037,NA,NA,NA,NA,NA,NA,NA,NA
TA00038,121.91,91.98,NA,0.1,2,3.08,NA,NA
TA00039,122.07,84.35,NA,1.97,2,3.08,NA,NA
TA00040,126.16,113.27,43.67,2.19,0.54,3.13,16.06,46.44
TA00041,143.09,125.47,NA,2.1,2.06,3.08,NA,NA
TA00042,NA,102.15,NA,NA,NA,NA,NA,NA
TA00043,138.22,123.61,NA,2.1,1.62,2.86,NA,NA
TA00044,130.74,71.54,34.32,NA,3.18,3.11,13.21,60.63
TA00045,NA,79.71,NA,NA,NA,NA,NA,NA
TA00047,123.65,88.07,NA,NA,NA,NA,NA,NA
TA00048,123.55,100.04,40.18,1.48,2.25,3.14,14.7,49.1
TA00049,117.86,115.79,44.69,1.17,2.37,3.17,16.54,37.21
TA00050,117.44,117.38,47.48,1.92,3.45,2.93,16.56,36.65
TA00051,117.93,117.92,46.24,1.51,3.48,3.06,16.81,35.73
TA00052,124.24,86.85,41.13,1.37,2.43,3.04,15.47,49.59
TA00053,121.22,99.82,NA,-0.45,1.04,3.08,NA,NA
TA00054,NA,NA,NA,NA,NA,NA,NA,NA
TA00055,123.81,83.42,38.47,NA,2.8,2.26,13.54,35.41
TA00056,125.8,103.35,NA,0.85,1.37,3.08,NA,NA
TA00057,121.43,91.45,35.05,1.56,2.04,3.15,16.56,35.84
TA00058,121.24,87.9,32.68,2.67,1.86,3.27,15.97,50.19
TA00059,121.55,87.83,34.31,1.83,1.25,3.27,16.59,34.87
TA00060,121.91,89.5,33.65,2.62,1.48,3.11,16.64,37.97
TA00061,123.05,90.46,35.04,2.02,2.01,3.11,16.13,38.07
TA00062,128.48,92.99,NA,4.38,0.95,3.08,NA,NA
TA00063,NA,75.19,NA,NA,NA,NA,NA,NA
TA00064,124.39,69.3,37.53,NA,2.42,2.95,13.85,44.55
TA00065,121.34,66.27,NA,1.35,2.11,3.08,NA,NA
TA00066,123.07,65.89,NA,0.1,2.11,3.08,NA,NA
TA00067,122.7,63.59,NA,1.6,1.37,3.08,NA,NA
TA00068,NA,55.76,NA,NA,NA,NA,NA,NA
TA00069,NA,NA,NA,NA,NA,NA,NA,NA
TA00070,127.11,69.25,NA,1.35,1.37,3.08,NA,NA
TA00071,123.8,103.28,NA,4.1,1.37,3.31,NA,NA
TA00072,122.91,60.25,NA,NA,NA,NA,NA,NA
TA00073,NA,80.45,NA,NA,NA,NA,NA,NA
TA00074,NA,81.67,NA,NA,NA,NA,NA,NA
TA00075,121.91,59.25,NA,NA,NA,NA,NA,NA
TA00076,127.07,69.58,NA,NA,NA,NA,NA,NA
