accenumb,campaign,trait,value
TA00001,2005-2006,days_to_heading,128
TA00001,2005-2006,days_to_heading,127
TA00001,2005-2006,leaf_rust,3
TA00001,2005-2006,leaf_rust,1
TA00001,2005-2006,plant_height,74
TA00001,2005-2006,plant_height,84
TA00001,2005-2006,plant_height,78
TA00001,2005-2006,plant_height,80
TA00001,2005-2006,plant_height,66
TA00001,2005-2006,powdery_mildew,3
TA00001,2005-2006,powdery_mildew,5
TA00001,2005-2006,protein_content,11.1
TA00001,2005-2006,protein_content,11.2
TA00001,2005-2006,protein_content,10.9
TA00001,2005-2006,protein_content,11.9
TA00001,2005-2006,protein_content,10.6
TA00001,2005-2006,sds_sedimentation_volume,43
TA00001,2005-2006,sds_sedimentation_volume,40
TA00001,2005-2006,sds_sedimentation_volume,42
TA00001,2005-2006,sds_sedimentation_volume,36
TA00001,2005-2006,septoria_tritici_ssp,1
TA00001,2005-2006,septoria_tritici_ssp,0
TA00001,2005-2006,thousand_kernel_weight,47.5
TA00001,2005-2006,thousand_kernel_weight,45.8
TA00001,2005-2006,thousand_kernel_weight,46.1
TA00001,2005-2006,thousand_kernel_weight,47.2
TA00001,2005-2006,thousand_kernel_weight,49.3
TA00002,2005-2006,days_to_heading,126
TA00002,2005-2006,leaf_rust,0
TA00002,2005-2006,plant_height,68
TA00002,2005-2006,powdery_mildew,0
TA00002,2005-2006,septoria_tritici_ssp,0
TA00004,2005-2006,days_to_heading,125
TA00004,2005-2006,leaf_rust,0
TA00004,2005-2006,plant_height,68
TA00004,2005-2006,powdery_mildew,0
TA00004,2005-2006,septoria_tritici_ssp,0
TA00005,2005-2006,days_to_heading,122
TA00005,2005-2006,leaf_rust,2
TA00005,2005-2006,plant_height,92
TA00005,2005-2006,powdery_mildew,2
TA00005,2005-2006,septoria_tritici_ssp,0
TA00006,2005-2006,days_to_heading,129
TA00006,2005-2006,leaf_rust,4
TA00006,2005-2006,plant_height,85
TA00006,2005-2006,powdery_mildew,0
TA00006,2005-2006,septoria_tritici_ssp,0
TA00007,2005-2006,days_to_heading,126
TA00007,2005-2006,leaf_rust,2
TA00007,2005-2006,plant_height,116
TA00007,2005-2006,powdery_mildew,0
TA00007,2005-2006,septoria_tritici_ssp,0
TA00008,2005-2006,days_to_heading,137
TA00008,2005-2006,leaf_rust,0
TA00008,2005-2006,plant_height,80
TA00008,2005-2006,powdery_mildew,2
TA00008,2005-2006,septoria_tritici_ssp,0
TA00009,2005-2006,days_to_heading,133
TA00009,2005-2006,leaf_rust,4
TA00009,2005-2006,plant_height,75
TA00009,2005-2006,powdery_mildew,4
TA00009,2005-2006,septoria_tritici_ssp,0
TA00010,2005-2006,days_to_heading,127
TA00010,2005-2006,leaf_rust,2
TA00010,2005-2006,plant_height,74
TA00010,2005-2006,powdery_mildew,0
TA00010,2005-2006,septoria_tritici_ssp,0
TA00012,2005-2006,days_to_heading,127
TA00012,2005-2006,leaf_rust,2
TA00012,2005-2006,plant_height,63
TA00012,2005-2006,powdery_mildew,0
TA00012,2005-2006,septoria_tritici_ssp,0
TA00013,2005-2006,days_to_heading,129
TA00013,2005-2006,leaf_rust,0
TA00013,2005-2006,plant_height,68
TA00013,2005-2006,powdery_mildew,0
TA00013,2005-2006,septoria_tritici_ssp,0
TA00016,2005-2006,days_to_heading,133
TA00016,2005-2006,days_to_heading,132
TA00016,2005-2006,days_to_heading,131
TA00016,2005-2006,leaf_rust,1
TA00016,2005-2006,leaf_rust,3
TA00016,2005-2006,plant_height,78
TA00016,2005-2006,plant_height,79
TA00016,2005-2006,plant_height,80
TA00016,2005-2006,plant_height,74
TA00016,2005-2006,powdery_mildew,0
TA00016,2005-2006,protein_content,11.8
TA00016,2005-2006,protein_content,12.4
TA00016,2005-2006,protein_content,11.5
TA00016,2005-2006,protein_content,12
TA00016,2005-2006,sds_sedimentation_volume,59
TA00016,2005-2006,sds_sedimentation_volume,65
TA00016,2005-2006,sds_sedimentation_volume,61
TA00016,2005-2006,sds_sedimentation_volume,55
TA00016,2005-2006,septoria_tritici_ssp,0
TA00016,2005-2006,thousand_kernel_weight,45.6
TA00016,2005-2006,thousand_kernel_weight,47.8
TA00016,2005-2006,thousand_kernel_weight,50.5
TA00016,2005-2006,thousand_kernel_weight,44.2
TA00017,2005-2006,days_to_heading,123
TA00017,2005-2006,leaf_rust,4
TA00017,2005-2006,plant_height,112
TA00017,2005-2006,powdery_mildew,0
TA00017,2005-2006,septoria_tritici_ssp,0
TA00018,2005-2006,days_to_heading,131
TA00018,2005-2006,leaf_rust,4
TA00018,2005-2006,plant_height,108
TA00018,2005-2006,powdery_mildew,2
TA00018,2005-2006,septoria_tritici_ssp,2
TA00019,2005-2006,days_to_heading,123
TA00019,2005-2006,leaf_rust,0
TA00019,2005-2006,plant_height,75
TA00019,2005-2006,powdery_mildew,0
TA00019,2005-2006,septoria_tritici_ssp,0
TA00020,2005-2006,days_to_heading,126
TA00020,2005-2006,leaf_rust,2
