accenumb,campaign,days_to_heading,plant_height,thousand_kernel_weight,powdery_mildew,leaf_rust,yellow_rust,septoria_tritici_ssp,protein_content,sds_sedimentation_volume
TA00001,2005-2006,128,74,47.5,3,3,NA,1,11.1,43
TA00001,2005-2006,127,84,45.8,5,3,NA,0,11.2,43
TA00001,2005-2006,127,78,46.1,3,1,NA,0,10.9,40
TA00001,2005-2006,127,80,47.2,5,3,NA,0,11.9,42
TA00001,2005-2006,127,66,49.3,3,3,NA,0,10.6,36
TA00002,2005-2006,126,68,NA,0,0,NA,0,NA,NA
TA00004,2005-2006,125,68,NA,0,0,NA,0,NA,NA
TA00005,2005-2006,122,92,NA,2,2,NA,0,NA,NA
TA00006,2005-2006,129,85,NA,0,4,NA,0,NA,NA
TA00007,2005-2006,126,116,NA,0,2,NA,0,NA,NA
TA00008,2005-2006,137,80,NA,2,0,NA,0,NA,NA
TA00009,2005-2006,133,75,NA,4,4,NA,0,NA,NA
TA00010,2005-2006,127,74,NA,0,2,NA,0,NA,NA
TA00012,2005-2006,127,63,NA,0,2,NA,0,NA,NA
TA00013,2005-2006,129,68,NA,0,0,NA,0,NA,NA
TA00016,2005-2006,133,78,45.6,0,1,NA,NA,11.8,59
TA00016,2005-2006,133,79,47.8,0,3,NA,0,12.4,65
TA00016,2005-2006,132,80,50.5,0,1,NA,0,11.5,61
TA00016,2005-2006,131,74,44.2,0,1,NA,NA,12,55
TA00017,2005-2006,123,112,NA,0,4,NA,0,NA,NA
TA00018,2005-2006,131,108,NA,2,4,NA,2,NA,NA
TA00019,2005-2006,123,75,NA,0,0,NA,0,NA,NA
TA00020,2005-2006,126,88,NA,0,2,NA,0,NA,NA
TA00022,2005-2006,126,63,NA,0,2,NA,0,NA,NA
TA00023,2005-2006,124,117,NA,0,2,NA,0,NA,NA
TA00024,2005-2006,128,108,NA,4,0,NA,0,NA,NA
TA00025,2005-2006,123,118,NA,2,2,NA,0,NA,NA
TA00026,2005-2006,135,132,NA,7,0,NA,0,NA,NA
TA00027,2005-2006,127,181,NA,4,2,NA,0,NA,NA
TA00028,2005-2006,132,73,NA,4,2,NA,0,NA,NA
TA00029,2005-2006,128,108,NA,0,0,NA,0,NA,NA
TA00030,2005-2006,127,111,NA,2,2,NA,0,NA,NA
TA00031,2005-2006,128,116,NA,4,2,NA,0,NA,NA
TA00033,2005-2006,131,72,NA,0,4,NA,0,NA,NA
TA00034,2005-2006,126,76,NA,2,2,NA,0,NA,NA
TA00035,2005-2006,145,101,NA,2,0,NA,0,NA,NA
TA00038,2005-2006,126,87,NA,0,0,NA,0,NA,NA
TA00039,2005-2006,125,90,NA,0,0,NA,0,NA,NA
TA00040,2005-2006,126,111,NA,0,0,NA,0,NA,NA
TA00041,2005-2006,147,109,NA,2,0,NA,0,NA,NA
TA00043,2005-2006,140,107,NA,2,2,NA,0,NA,NA
TA00047,2005-2006,126,104,NA,7,0,NA,0,NA,NA
TA00048,2005-2006,126,99,NA,2,2,NA,0,NA,NA
TA00049,2005-2006,122,105,NA,0,0,NA,0,NA,NA
TA00050,2005-2006,123,117,NA,2,0,NA,0,NA,NA
TA00051,2005-2006,123,99,NA,0,2,NA,0,NA,NA
TA00052,2005-2006,130,85,NA,4,4,NA,0,NA,NA
TA00052,2005-2006,127,82,NA,0,0,NA,0,NA,NA
TA00053,2005-2006,123,111,NA,0,2,NA,0,NA,NA
TA00056,2005-2006,127,109,NA,2,0,NA,0,NA,NA
TA00057,2005-2006,128,79,NA,2,0,NA,0,NA,NA
TA00058,2005-2006,123,93,NA,4,0,NA,0,NA,NA
TA00059,2005-2006,124,94,NA,4,2,NA,0,NA,NA
TA00060,2005-2006,123,98,NA,2,2,NA,0,NA,NA
TA00061,2005-2006,123,96,NA,2,2,NA,0,NA,NA
TA00062,2005-2006,130,87,NA,4,0,NA,0,NA,NA
TA00065,2005-2006,126,77,NA,0,2,NA,0,NA,NA
TA00066,2005-2006,126,73,NA,0,2,NA,0,NA,NA
TA00067,2005-2006,120,71,NA,4,0,NA,0,NA,NA
TA00070,2005-2006,126,68,NA,0,0,NA,0,NA,NA
TA00071,2005-2006,125,94,NA,4,0,NA,0,NA,NA
TA00072,2005-2006,127,67,NA,0,4,NA,0,NA,NA
TA00075,2005-2006,126,66,NA,0,2,NA,0,NA,NA
TA00076,2005-2006,130,73,NA,0,0,NA,0,NA,NA
TA00077,2005-2006,140,101,NA,0,2,NA,0,NA,NA
TA00078,2005-2006,128,96,NA,0,0,NA,2,NA,NA
TA00079,2005-2006,131,73,NA,2,2,NA,0,NA,NA
TA00080,2005-2006,126,67,NA,0,0,NA,2,NA,NA
TA00081,2005-2006,127,77,NA,2,2,NA,2,NA,NA
TA00082,2005-2006,127,73,NA,0,4,NA,0,NA,NA
TA00083,2005-2006,139,72,NA,0,4,NA,0,NA,NA
TA00083,2005-2006,134,88,NA,0,4,NA,0,NA,NA
TA00084,2005-2006,128,77,NA,0,2,NA,0,NA,NA
TA00085,2005-2006,130,79,NA,0,2,NA,0,NA,NA
TA00086,2005-2006,154,96,NA,4,0,NA,0,NA,NA
TA00087,2005-2006,127,114,NA,2,2,NA,2,NA,NA
TA00088,2005-2006,136,125,NA,0,0,NA,0,NA,NA
TA00089,2005-2006,126,84,NA,0,2,NA,0,NA,NA
TA00093,2005-2006,126,103,NA,0,2,NA,0,NA,NA
TA00094,2005-2006,132,94,NA,7,0,NA,0,NA,NA
TA00096,2005-2006,136,124,NA,0,2,NA,0,NA,NA
TA00097,2005-2006,127,114,NA,0,2,NA,0,NA,NA
TA00098,2005-2006,126,108,NA,4,2,NA,0,NA,NA
TA00099,2005-2006,128,103,NA,2,2,NA,0,NA,NA
TA00100,2005-2006,130,63,NA,7,0,NA,0,NA,NA
TA00101,2005-2006,126,118,NA,0,0,NA,0,NA,NA
TA00102,2005-2006,126,98,NA,0,2,NA,0,NA,NA
TA00106,2005-2006,126,69,NA,4,2,NA,0,NA,NA
TA00108,2005-2006,126,71,NA,0,2,NA,0,NA,NA
TA00109,2005-2006,132,73,NA,7,2,NA,0,NA,NA
TA00109,2005-2006,127,90,NA,0,2,NA,0,NA,NA
TA00110,2005-2006,127,122,NA,0,0,NA,0,NA,NA
TA00111,2005-2006,137,137,NA,0,4,NA,0,NA,NA
TA00112,2005-2006,119,91,NA,2,2,NA,0,NA,NA
TA00113,2005-2006,119,94,NA,2,2,NA,0,NA,NA
TA00114,2005-2006,126,112,NA,7,7,NA,0,NA,NA
TA00115,2005-2006,134,102,NA,7,2,NA,0,NA,NA
TA00116,2005-2006,136,123,NA,0,0,NA,0,NA,NA
TA00117,2005-2006,131,102,NA,9,2,NA,0,NA,NA
TA00118,2005-2006,127,87,NA,9,0,NA,0,NA,NA
TA00119,2005-2006,126,95,NA,0,2,NA,0,NA,NA
TA00121,2005-2006,135,80,NA,0,2,NA,0,NA,NA
TA00122,2005-2006,129,62,NA,0,4,NA,0,NA,NA
TA00123,2005-2006,125,111,NA,0,2,NA,0,NA,NA
TA00124,2005-2006,131,107,NA,0,2,NA,0,NA,NA
TA00125,2005-2006,139,90,NA,0,4,NA,0,NA,NA
TA00126,2005-2006,126,92,NA,0,2,NA,0,NA,NA
TA00127,2005-2006,127,87,NA,0,0,NA,0,NA,NA
TA00130,2005-2006,131,98,NA,0,0,NA,0,NA,NA
TA00131,2005-2006,127,115,NA,9,4,NA,0,NA,NA
TA00132,2005-2006,126,126,NA,4,2,NA,0,NA,NA
TA00134,2005-2006,143,130,NA,0,2,NA,0,NA,NA
TA00135,2005-2006,136,140,NA,2,7,NA,0,NA,NA
TA00136,2005-2006,136,139,NA,0,0,NA,0,NA,NA
TA00137,2005-2006,137,149,NA,0,0,NA,0,NA,NA
TA00138,2005-2006,126,114,NA,2,4,NA,0,NA,NA
TA00141,2005-2006,133,130,NA,0,7,NA,0,NA,NA
TA00142,2005-2006,125,65,NA,0,4,NA,0,NA,NA
TA00143,2005-2006,138,64,NA,0,4,NA,0,NA,NA
TA00144,2005-2006,125,57,NA,0,2,NA,0,NA,NA
TA00145,2005-2006,128,77,45,0,1,NA,0,11,55
TA00145,2005-2006,126,69,NA,0,2,NA,0,NA,NA
TA00153,2005-2006,131,68,NA,0,4,NA,2,NA,NA
TA00154,2005-2006,125,117,NA,2,4,NA,0,NA,NA
TA00155,2005-2006,129,121,NA,9,2,NA,0,NA,NA
TA00156,2005-2006,128,119,NA,4,7,NA,0,NA,NA
TA00158,2005-2006,131,73,NA,0,2,NA,0,NA,NA
TA00160,2005-2006,122,101,NA,0,4,NA,0,NA,NA
TA00161,2005-2006,125,72,NA,0,4,NA,0,NA,NA
TA00162,2005-2006,123,74,NA,0,2,NA,0,NA,NA
TA00168,2005-2006,138,122,NA,2,2,NA,0,NA,NA
TA00169,2005-2006,123,82,NA,0,4,NA,0,NA,NA
TA00171,2005-2006,125,66,NA,0,2,NA,0,NA,NA
TA00172,2005-2006,126,104,NA,0,2,NA,0,NA,NA
TA00173,2005-2006,135,124,NA,0,4,NA,0,NA,NA
TA00174,2005-2006,125,109,NA,0,2,NA,0,NA,NA
TA00175,2005-2006,132,131,NA,0,2,NA,0,NA,NA
TA00176,2005-2006,131,134,NA,0,2,NA,0,NA,NA
TA00177,2005-2006,129,72,NA,0,2,NA,0,NA,NA
TA00178,2005-2006,140,115,NA,4,0,NA,0,NA,NA
TA00179,2005-2006,137,102,NA,2,0,NA,0,NA,NA
TA00180,2005-2006,126,91,NA,4,2,NA,0,NA,NA
TA00181,2005-2006,127,128,NA,7,0,NA,0,NA,NA
TA00182,2005-2006,135,124,NA,4,7,NA,0,NA,NA
TA00184,2005-2006,133,132,NA,0,7,NA,0,NA,NA
TA00185,2005-2006,138,141,NA,4,0,NA,0,NA,NA
TA00188,2005-2006,131,71,NA,0,4,NA,0,NA,NA
TA00190,2005-2006,140,107,NA,0,2,NA,0,NA,NA
TA00191,2005-2006,129,71,NA,0,0,NA,0,NA,NA
TA00192,2005-2006,134,141,NA,4,7,NA,0,NA,NA
TA00193,2005-2006,125,91,NA,0,0,NA,0,NA,NA
TA00195,2005-2006,128,71,NA,2,0,NA,0,NA,NA
TA00196,2005-2006,140,140,NA,4,4,NA,0,NA,NA
TA00197,2005-2006,140,131,NA,2,4,NA,0,NA,NA
TA00198,2005-2006,128,113,NA,0,2,NA,0,NA,NA
TA00199,2005-2006,126,122,NA,4,9,NA,2,NA,NA
TA00200,2005-2006,126,65,NA,2,7,NA,0,NA,NA
TA00201,2005-2006,134,130,NA,0,4,NA,0,NA,NA
TA00202,2005-2006,130,78,NA,0,4,NA,0,NA,NA
TA00204,2005-2006,126,99,NA,2,2,NA,0,NA,NA
TA00205,2005-2006,140,109,NA,4,2,NA,0,NA,NA
TA00206,2005-2006,134,135,NA,0,2,NA,2,NA,NA
TA00207,2005-2006,135,143,NA,2,2,NA,2,NA,NA
TA00208,2005-2006,131,71,NA,0,2,NA,0,NA,NA
TA00209,2005-2006,128,77,NA,0,2,NA,0,NA,NA
TA00210,2005-2006,125,85,NA,0,2,NA,0,NA,NA
TA00211,2005-2006,123,112,NA,0,2,NA,0,NA,NA
TA00212,2005-2006,129,73,NA,0,2,NA,0,NA,NA
TA00213,2005-2006,137,111,NA,4,0,NA,0,NA,NA
TA00214,2005-2006,129,140,NA,2,2,NA,0,NA,NA
TA00215,2005-2006,133,110,NA,7,2,NA,0,NA,NA
TA00216,2005-2006,136,80,NA,2,2,NA,0,NA,NA
TA00217,2005-2006,139,92,NA,0,2,NA,0,NA,NA
TA00218,2005-2006,139,121,NA,4,4,NA,0,NA,NA
TA00219,2005-2006,127,125,NA,7,0,NA,0,NA,NA
TA00220,2005-2006,129,122,NA,4,2,NA,0,NA,NA
TA00221,2005-2006,133,66,NA,7,2,NA,2,NA,NA
TA00223,2005-2006,134,75,NA,0,0,NA,2,NA,NA
TA00224,2005-2006,123,132,NA,0,4,NA,0,NA,NA
TA00225,2005-2006,133,128,NA,0,2,NA,0,NA,NA
TA00226,2005-2006,134,128,NA,7,0,NA,0,NA,NA
TA00227,2005-2006,125,98,NA,0,4,NA,0,NA,NA
TA00229,2005-2006,135,133,NA,0,2,NA,0,NA,NA
TA00230,2005-2006,140,109,NA,4,0,NA,0,NA,NA
TA00231,2005-2006,135,132,NA,4,2,NA,0,NA,NA
TA00232,2005-2006,130,82,NA,7,2,NA,0,NA,NA
TA00233,2005-2006,123,97,NA,2,4,NA,0,NA,NA
TA00236,2005-2006,135,124,NA,2,7,NA,0,NA,NA
TA00237,2005-2006,124,98,NA,4,4,NA,0,NA,NA
TA00238,2005-2006,140,132,NA,7,0,NA,0,NA,NA
TA00239,2005-2006,122,110,NA,7,4,NA,0,NA,NA
TA00240,2005-2006,123,106,NA,0,4,NA,0,NA,NA
TA00241,2005-2006,132,109,NA,9,2,NA,0,NA,NA
TA00242,2005-2006,126,93,NA,0,4,NA,0,NA,NA
TA00243,2005-2006,133,113,NA,0,4,NA,0,NA,NA
TA00244,2005-2006,129,66,NA,0,4,NA,0,NA,NA
TA00245,2005-2006,126,58,NA,0,0,NA,2,NA,NA
TA00246,2005-2006,130,66,NA,0,2,NA,0,NA,NA
TA00247,2005-2006,126,88,NA,2,2,NA,0,NA,NA
TA00248,2005-2006,140,114,NA,7,0,NA,0,NA,NA
TA00249,2005-2006,144,111,NA,4,0,NA,0,NA,NA
TA00251,2005-2006,128,83,NA,4,0,NA,0,NA,NA
TA00252,2005-2006,130,83,NA,7,4,NA,0,NA,NA
TA00253,2005-2006,139,135,NA,4,0,NA,0,NA,NA
TA00255,2005-2006,137,131,NA,2,4,NA,0,NA,NA
TA00256,2005-2006,125,90,NA,7,2,NA,0,NA,NA
TA00257,2005-2006,124,99,NA,0,4,NA,0,NA,NA
TA00258,2005-2006,127,63,NA,0,4,NA,0,NA,NA
TA00259,2005-2006,126,92,NA,0,2,NA,0,NA,NA
TA00260,2005-2006,129,63,NA,0,2,NA,0,NA,NA
TA00263,2005-2006,131,77,NA,0,2,NA,0,NA,NA
TA00264,2005-2006,127,88,NA,0,2,NA,0,NA,NA
TA00265,2005-2006,125,76,NA,0,0,NA,0,NA,NA
TA00266,2005-2006,131,84,NA,0,2,NA,0,NA,NA
TA00267,2005-2006,131,64,NA,2,0,NA,0,NA,NA
TA00268,2005-2006,123,74,NA,0,7,NA,0,NA,NA
TA00269,2005-2006,124,85,NA,0,4,NA,0,NA,NA
TA00270,2005-2006,131,66,NA,4,0,NA,0,NA,NA
TA00271,2005-2006,132,74,NA,9,4,NA,0,NA,NA
TA00272,2005-2006,128,110,NA,0,2,NA,0,NA,NA
TA00273,2005-2006,126,77,NA,0,2,NA,0,NA,NA
TA00274,2005-2006,128,110,NA,7,2,NA,0,NA,NA
TA00275,2005-2006,129,85,NA,7,2,NA,0,NA,NA
TA00276,2005-2006,128,115,NA,7,4,NA,0,NA,NA
TA00277,2005-2006,128,102,NA,2,7,NA,0,NA,NA
TA00278,2005-2006,125,68,NA,2,4,NA,0,NA,NA
TA00279,2005-2006,127,62,NA,0,7,NA,0,NA,NA
TA00280,2005-2006,124,71,NA,0,4,NA,0,NA,NA
TA00281,2005-2006,128,65,NA,0,0,NA,0,NA,NA
TA00282,2005-2006,126,88,NA,0,4,NA,0,NA,NA
TA00284,2005-2006,126,72,NA,0,0,NA,0,NA,NA
TA00285,2005-2006,135,89,NA,0,4,NA,0,NA,NA
TA00286,2005-2006,127,96,NA,0,4,NA,0,NA,NA
TA00289,2005-2006,137,138,NA,2,4,NA,0,NA,NA
TA00290,2005-2006,127,69,NA,4,2,NA,0,NA,NA
TA00291,2005-2006,131,64,NA,0,4,NA,0,NA,NA
TA00292,2005-2006,128,64,NA,0,2,NA,0,NA,NA
TA00293,2005-2006,126,78,NA,0,0,NA,0,NA,NA
TA00296,2005-2006,131,107,NA,0,2,NA,0,NA,NA
TA00297,2005-2006,140,65,NA,0,0,NA,0,NA,NA
TA00298,2005-2006,126,71,NA,0,0,NA,0,NA,NA
TA00299,2005-2006,127,73,NA,0,0,NA,0,NA,NA
TA00300,2005-2006,126,108,NA,2,7,NA,0,NA,NA
TA00301,2005-2006,134,92,NA,4,9,NA,0,NA,NA
TA00302,2005-2006,135,74,NA,2,2,NA,0,NA,NA
