genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE,leaf_rust_BLUE,septoria_tritici_ssp_BLUE,protein_content_BLUE,sds_sedimentation_volume_BLUE
TA00001,125.16,68.98,41.42,2.85,3.38,13.16,44.75
TA00002,123.87,67.1,32.05,2.11,3.28,14.32,44.21
TA00003,122.3,64.73,NA,3.92,NA,NA,NA
TA00004,122.72,63.15,42.08,2.23,3.54,NA,NA
TA00005,122.15,97.28,40.05,3.8,3.1,14.4,57.05
TA00006,126.7,78.5,38.02,2.89,3.22,13.03,45.18
TA00007,124.59,107.06,33.52,2.98,3.08,NA,NA
TA00008,136.04,76.39,42.23,2.23,3.08,NA,NA
TA00009,134.82,65.62,NA,3.11,3.08,NA,NA
TA00010,126.33,62.14,34.47,0.49,3.31,NA,NA
TA00011,128.03,57.83,35.99,3.28,NA,NA,NA
TA00012,123.73,61.07,36.71,2.54,3.13,13.9,41.44
TA00013,127.37,59.07,NA,2.23,3.31,NA,NA
TA00014,NA,NA,NA,NA,NA,NA,NA
TA00015,116.91,92.9,50.48,NA,NA,NA,NA
TA00016,129.36,75.9,39.92,1.77,2.74,14.87,59.85
TA00017,121.53,98.66,NA,4.36,3.31,NA,NA
TA00018,127.1,122.56,48.72,3.74,4.63,NA,NA
TA00019,120.8,74.48,NA,2.86,3.31,NA,NA
TA00020,122.35,82.73,40.99,2.36,2.86,NA,NA
TA00021,140.8,100.83,50.25,NA,NA,NA,NA
TA00022,123.92,60.34,NA,NA,NA,NA,NA
TA00023,121.25,112.28,49.21,3.73,2.86,NA,NA
TA00024,121.58,108.79,49.71,2.83,2.86,NA,NA
TA00025,120.63,105.91,37.48,2.36,3.08,NA,NA
TA00026,133.03,116.91,33.02,0.98,2.63,NA,NA
TA00027,124.14,104.27,45.2,2.98,3.08,NA,NA
TA00028,123.4,94.01,41.05,3.18,3.2,14.59,46.55
TA00029,124.63,96.74,40.61,1.08,3.14,16.17,43.64
TA00030,122.37,99.69,41.99,2,2.96,14.35,43.28
TA00031,122.82,99.67,NA,1.83,3.08,NA,NA
TA00032,NA,72.69,NA,NA,NA,NA,NA
TA00033,130.14,62.68,NA,NA,NA,NA,NA
TA00034,124.95,68.16,37.48,1.74,2.86,NA,NA
TA00035,140.44,106.3,50.72,0.98,2.86,NA,NA
TA00036,129.58,62.7,44.93,NA,NA,NA,NA
TA00037,NA,NA,NA,NA,NA,NA,NA
TA00038,120.87,92.34,NA,2.23,3.08,NA,NA
TA00039,122.35,85.36,46.23,2.23,3.08,NA,NA
TA00040,124.74,112.18,45.65,0.79,3.13,16.06,46.44
TA00041,141.65,129.14,33.7,2.3,3.08,NA,NA
TA00042,143.04,109.16,38.73,NA,NA,NA,NA
TA00043,136.89,120.65,33.7,1.87,2.86,NA,NA
