genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
LRC_SSD_IG_110857,84.87,NA,44.31
LRC_SSD_IG_112195,NA,NA,NA
LRC_SSD_IG_112251,NA,NA,NA
LRC_SSD_IG_112280,NA,NA,NA
LRC_SSD_IG_112354,NA,NA,NA
LRC_SSD_IG_112450,NA,NA,NA
LRC_SSD_IG_112457,NA,NA,NA
LRC_SSD_IG_112463,NA,NA,NA
LRC_SSD_IG_112483,NA,NA,NA
LRC_SSD_IG_112488,NA,NA,NA
LRC_SSD_IG_112489,NA,NA,NA
LRC_SSD_IG_112491,NA,NA,NA
LRC_SSD_IG_112557,NA,NA,NA
LRC_SSD_IG_112558,NA,NA,NA
LRC_SSD_IG_112572,87.83,NA,NA
LRC_SSD_IG_112575,NA,NA,NA
LRC_SSD_IG_112598,NA,NA,NA
LRC_SSD_IG_112600,NA,NA,NA
LRC_SSD_IG_112605,NA,NA,NA
LRC_SSD_IG_112609,NA,NA,NA
LRC_SSD_IG_112610,NA,NA,NA
LRC_SSD_IG_112612,NA,NA,NA
LRC_SSD_IG_112615,NA,NA,NA
LRC_SSD_IG_112620,NA,NA,NA
LRC_SSD_IG_112630,NA,NA,NA
LRC_SSD_IG_112631,NA,NA,NA
LRC_SSD_IG_112634,NA,NA,NA
LRC_SSD_IG_112635,NA,NA,NA
LRC_SSD_IG_112653,NA,NA,NA
LRC_SSD_IG_112658,NA,NA,NA
LRC_SSD_IG_112698,NA,NA,NA
LRC_SSD_IG_112701,NA,NA,NA
LRC_SSD_IG_112816,NA,NA,NA
LRC_SSD_IG_112891,NA,NA,NA
LRC_SSD_IG_112928,NA,NA,NA
LRC_SSD_IG_112933,NA,NA,NA
LRC_SSD_IG_112935,NA,NA,NA
LRC_SSD_IG_112992,NA,NA,NA
LRC_SSD_IG_113008,NA,NA,NA
LRC_SSD_IG_113022,NA,NA,NA
LRC_SSD_IG_113023,NA,NA,NA
LRC_SSD_IG_113025,NA,NA,NA
LRC_SSD_IG_113030,NA,NA,NA
LRC_SSD_IG_113046,NA,NA,NA
LRC_SSD_IG_115853,NA,NA,NA
LRC_SSD_IG_115855,NA,NA,NA
LRC_SSD_IG_115861,108.55,NA,NA
LRC_SSD_IG_115942,NA,NA,NA
LRC_SSD_IG_115945,NA,NA,NA
LRC_SSD_IG_115947,NA,NA,NA
LRC_SSD_IG_115950,NA,NA,NA
LRC_SSD_IG_115956,NA,NA,NA
LRC_SSD_IG_115957,NA,NA,NA
LRC_SSD_IG_115958,NA,NA,NA
LRC_SSD_IG_115967,NA,NA,NA
LRC_SSD_IG_115970,72.93,NA,38.31
LRC_SSD_IG_115976,NA,NA,NA
LRC_SSD_IG_115978,83.7,NA,36.31
LRC_SSD_IG_115985,75.86,NA,NA
LRC_SSD_IG_115990,81.28,NA,44.31
LRC_SSD_IG_115991,NA,NA,NA
LRC_SSD_IG_116001,NA,NA,NA
LRC_SSD_IG_117978,NA,NA,NA
LRC_SSD_IG_118007,NA,NA,NA
LRC_SSD_IG_118065,NA,NA,NA
LRC_SSD_IG_118088,NA,NA,NA
LRC_SSD_IG_120496,117.29,NA,34.96
LRC_SSD_IG_120497,114.29,NA,38.75
LRC_SSD_IG_120498,101.29,NA,NA
LRC_SSD_IG_120499,91.29,NA,40.06
LRC_SSD_IG_120513,106.29,NA,43.34
LRC_SSD_IG_120514,112.29,NA,35.85
LRC_SSD_IG_120516,108.29,NA,31.91
LRC_SSD_IG_120518,107.29,NA,36.01
LRC_SSD_IG_120524,104.29,NA,NA
LRC_SSD_IG_120536,106.29,NA,33.1
LRC_SSD_IG_120567,95.29,NA,39.44
LRC_SSD_IG_120575,108.29,NA,29.28
LRC_SSD_IG_120577,NA,NA,39
LRC_SSD_IG_120580,107.29,NA,33.42
LRC_SSD_IG_120581,97.29,NA,31.34
LRC_SSD_IG_120582,99.29,NA,37.58
LRC_SSD_IG_120585,108.29,NA,34.71
LRC_SSD_IG_120588,115.29,NA,34.41
LRC_SSD_IG_120589,107.29,NA,31.27
LRC_SSD_IG_120592,113.29,NA,32.61
LRC_SSD_IG_120593,97.29,NA,36.2
LRC_SSD_IG_120612,NA,NA,NA
LRC_SSD_IG_120613,108.29,NA,29.47
LRC_SSD_IG_120615,107.29,NA,38.06
LRC_SSD_IG_120620,94.29,NA,34.02
LRC_SSD_IG_120621,105.29,NA,37.53
LRC_SSD_IG_120643,104.29,NA,37.33
LRC_SSD_IG_120669,113.29,NA,32.74
LRC_SSD_IG_120680,116.29,NA,NA
LRC_SSD_IG_120684,95.29,NA,44.41
LRC_SSD_IG_125626,NA,NA,NA
LRC_SSD_IG_125670,NA,NA,NA
LRC_SSD_IG_125710,NA,NA,NA
LRC_SSD_IG_125714,NA,NA,NA
LRC_SSD_IG_125787,NA,NA,NA
LRC_SSD_IG_125790,NA,NA,NA
LRC_SSD_IG_125792,100.29,NA,NA
LRC_SSD_IG_125795,NA,NA,NA
LRC_SSD_IG_125801,NA,NA,NA
LRC_SSD_IG_125898,NA,NA,NA
LRC_SSD_IG_128074,NA,NA,NA
LRC_SSD_IG_128079,NA,NA,NA
LRC_SSD_IG_128082,NA,NA,NA
LRC_SSD_IG_128083,NA,NA,NA
LRC_SSD_IG_128111,NA,NA,NA
LRC_SSD_IG_128114,NA,NA,NA
LRC_SSD_IG_128116,NA,NA,NA
LRC_SSD_IG_128117,NA,NA,NA
LRC_SSD_IG_128118,NA,NA,NA
LRC_SSD_IG_128119,NA,NA,NA
LRC_SSD_IG_128136,NA,NA,NA
LRC_SSD_IG_128140,NA,NA,NA
LRC_SSD_IG_128141,NA,NA,NA
LRC_SSD_IG_128147,NA,NA,NA
LRC_SSD_IG_128152,NA,NA,NA
LRC_SSD_IG_128153,NA,NA,NA
LRC_SSD_IG_128164,NA,NA,NA
LRC_SSD_IG_132278,97.92,NA,NA
LRC_SSD_IG_132280,NA,NA,NA
LRC_SSD_IG_132281,84.92,NA,NA
LRC_SSD_IG_132314,NA,NA,NA
LRC_SSD_IG_132386,NA,NA,NA
LRC_SSD_IG_136437,86.32,NA,NA
LRC_SSD_IG_136725,85.95,NA,NA
LRC_SSD_IG_138176,NA,NA,NA
LRC_SSD_IG_143868,NA,NA,NA
LRC_SSD_IG_143902,NA,NA,NA
LRC_SSD_IG_143953,102.58,NA,NA
LRC_SSD_IG_144002,NA,NA,NA
LRC_SSD_IG_144019,93.1,NA,NA
