accenumb,campaign,trait,value
LRC_SSD_IG_17168,1982-1983,days_to_heading,100
LRC_SSD_IG_17365,1982-1983,days_to_heading,105
LRC_SSD_IG_17375,1982-1983,days_to_heading,105
LRC_SSD_IG_18014,1982-1983,days_to_heading,115
LRC_SSD_IG_18014,1982-1983,plant_height,135
LRC_SSD_IG_18747,1982-1983,days_to_heading,70
LRC_SSD_IG_18747,1982-1983,plant_height,127
LRC_SSD_IG_18747,1982-1983,thousand_kernel_weight,40
LRC_SSD_IG_18786,1982-1983,days_to_heading,65
LRC_SSD_IG_18786,1982-1983,plant_height,128
LRC_SSD_IG_18807,1982-1983,days_to_heading,75
LRC_SSD_IG_18807,1982-1983,plant_height,142
LRC_SSD_IG_18836,1982-1983,days_to_heading,90
LRC_SSD_IG_18836,1982-1983,plant_height,135
LRC_SSD_IG_18873,1982-1983,days_to_heading,75
LRC_SSD_IG_18873,1982-1983,plant_height,146
LRC_SSD_IG_18873,1982-1983,thousand_kernel_weight,41.8
LRC_SSD_IG_18952,1982-1983,days_to_heading,90
LRC_SSD_IG_18952,1982-1983,plant_height,142
LRC_SSD_IG_18988,1982-1983,days_to_heading,95
LRC_SSD_IG_18988,1982-1983,plant_height,138
LRC_SSD_IG_18988,1982-1983,thousand_kernel_weight,47.2
LRC_SSD_IG_19051,1982-1983,days_to_heading,85
LRC_SSD_IG_19051,1982-1983,plant_height,135
LRC_SSD_IG_19051,1982-1983,thousand_kernel_weight,42.7
LRC_SSD_IG_19114,1982-1983,days_to_heading,100
LRC_SSD_IG_19114,1982-1983,plant_height,128
LRC_SSD_IG_19121,1982-1983,days_to_heading,110
LRC_SSD_IG_19121,1982-1983,plant_height,135
LRC_SSD_IG_19121,1982-1983,thousand_kernel_weight,33
LRC_SSD_IG_19158,1982-1983,days_to_heading,105
LRC_SSD_IG_19158,1982-1983,plant_height,142
LRC_SSD_IG_19158,1982-1983,thousand_kernel_weight,42.5
LRC_SSD_IG_19579,1982-1983,days_to_heading,85
LRC_SSD_IG_19579,1982-1983,plant_height,138
LRC_SSD_IG_19579,1982-1983,thousand_kernel_weight,39.9
LRC_SSD_IG_19706,1982-1983,days_to_heading,105
LRC_SSD_IG_19706,1982-1983,plant_height,146
LRC_SSD_IG_17353,1982-1983,plant_height,164
LRC_SSD_IG_17353,1982-1983,thousand_kernel_weight,35.2
LRC_SSD_IG_17362,1982-1983,plant_height,148
LRC_SSD_IG_17370,1982-1983,plant_height,164
LRC_SSD_IG_17370,1982-1983,thousand_kernel_weight,41.3
LRC_SSD_IG_19421,1982-1983,plant_height,138
LRC_SSD_IG_19592,1982-1983,plant_height,146
LRC_SSD_IG_19592,1982-1983,thousand_kernel_weight,45.1
LRC_SSD_IG_25828,1984-1985,days_to_heading,60
LRC_SSD_IG_25828,1984-1985,thousand_kernel_weight,35.5
LRC_SSD_IG_27184,1984-1985,days_to_heading,67
LRC_SSD_IG_27184,1984-1985,plant_height,148
LRC_SSD_IG_27246,1984-1985,days_to_heading,77
LRC_SSD_IG_27246,1984-1985,plant_height,161
LRC_SSD_IG_27252,1984-1985,days_to_heading,67
LRC_SSD_IG_27252,1984-1985,plant_height,152
LRC_SSD_IG_27259,1984-1985,days_to_heading,80
LRC_SSD_IG_27259,1984-1985,plant_height,154
LRC_SSD_IG_27259,1984-1985,thousand_kernel_weight,40.5
LRC_SSD_IG_27265,1984-1985,days_to_heading,82
LRC_SSD_IG_27265,1984-1985,plant_height,152
LRC_SSD_IG_27265,1984-1985,thousand_kernel_weight,49.5
LRC_SSD_IG_28380,1984-1985,days_to_heading,85
LRC_SSD_IG_28547,1984-1985,days_to_heading,90
LRC_SSD_IG_28575,1984-1985,days_to_heading,70
LRC_SSD_IG_28575,1984-1985,plant_height,145
LRC_SSD_IG_28675,1984-1985,days_to_heading,80
LRC_SSD_IG_28675,1984-1985,plant_height,151
LRC_SSD_IG_28713,1984-1985,days_to_heading,60
LRC_SSD_IG_28713,1984-1985,plant_height,145
LRC_SSD_IG_28727,1984-1985,days_to_heading,80
LRC_SSD_IG_28727,1984-1985,plant_height,159
LRC_SSD_IG_28729,1984-1985,days_to_heading,65
LRC_SSD_IG_28729,1984-1985,plant_height,145
LRC_SSD_IG_28729,1984-1985,thousand_kernel_weight,46.8
LRC_SSD_IG_28763,1984-1985,days_to_heading,80
LRC_SSD_IG_28763,1984-1985,plant_height,151
LRC_SSD_IG_28811,1984-1985,days_to_heading,60
LRC_SSD_IG_28815,1984-1985,days_to_heading,85
LRC_SSD_IG_28815,1984-1985,plant_height,151
LRC_SSD_IG_28817,1984-1985,days_to_heading,85
LRC_SSD_IG_28860,1984-1985,days_to_heading,95
LRC_SSD_IG_28860,1984-1985,plant_height,159
LRC_SSD_IG_27376,1984-1985,plant_height,157
LRC_SSD_IG_27376,1984-1985,thousand_kernel_weight,39.3
LRC_SSD_IG_28959,1984-1985,plant_height,152
LRC_SSD_IG_28959,1984-1985,thousand_kernel_weight,32
LRC_SSD_IG_28277,1984-1985,thousand_kernel_weight,42.4
LRC_SSD_IG_31412,1987-1988,days_to_heading,107
LRC_SSD_IG_31412,1987-1988,plant_height,133
LRC_SSD_IG_31450,1987-1988,days_to_heading,109
LRC_SSD_IG_31450,1987-1988,plant_height,132
LRC_SSD_IG_31490,1987-1988,days_to_heading,117
LRC_SSD_IG_31490,1987-1988,plant_height,139
LRC_SSD_IG_31513,1987-1988,days_to_heading,102
LRC_SSD_IG_31513,1987-1988,plant_height,133
LRC_SSD_IG_31522,1987-1988,days_to_heading,104
LRC_SSD_IG_31522,1987-1988,plant_height,137
LRC_SSD_IG_31864,1987-1988,plant_height,132
LRC_SSD_IG_31865,1987-1988,days_to_heading,126
LRC_SSD_IG_31865,1987-1988,plant_height,132
LRC_SSD_IG_31866,1987-1988,days_to_heading,120
LRC_SSD_IG_31870,1987-1988,days_to_heading,115
LRC_SSD_IG_31870,1987-1988,plant_height,125
LRC_SSD_IG_31870,1987-1988,thousand_kernel_weight,35
LRC_SSD_IG_31876,1987-1988,days_to_heading,115
LRC_SSD_IG_31876,1987-1988,plant_height,134
