genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
IG 107099,140.2,100.5,40.37
IG 107100,133.8,105.75,35.55
IG 107101,128.73,89.53,23.56
IG 107102,137.46,76.42,28.92
IG 107103,134.04,108.15,39.39
IG 107104,149.24,109.41,28.59
IG 107105,134.63,107.36,38.09
IG 107106,136.57,104.16,30.36
IG 107107,141.1,96.43,40.43
IG 107108,134.97,111.04,36.15
IG 107109,134.43,110,36.95
IG 107110,133.62,112.06,40.68
IG 107111,136.01,97.72,34.87
IG 107112,128.15,85.38,18.6
IG 107113,134.22,106.65,36.45
IG 107114,135.62,114.44,32.48
IG 107115,141.27,89.23,23.56
IG 107116,135.57,106.84,41.26
IG 107117,135.03,111.41,36.76
IG 107118,134.82,111.27,37.51
IG 107119,137.04,112.18,30.08
IG 107120,135.73,111.3,36.12
IG 107121,131.16,87.01,NA
IG 107122,137.5,105.96,NA
IG 107123,136.8,110.3,NA
IG 107124,128.17,78.32,30.02
IG 107125,129.78,78.12,27.28
IG 107126,130.33,75.54,42.46
IG 107127,134.22,110.41,36.56
IG 107128,142.09,81.13,22.94
IG 107129,139.4,94.82,27.9
IG 107130,138.94,67.64,36.36
IG 107131,131.92,96.62,37.17
IG 107132,134.79,105.15,35.69
IG 107133,134.37,109.73,39.53
IG 107134,136.07,103.34,31.42
IG 107135,135.8,107.39,36.07
IG 107136,137.22,102.31,32.52
IG 107138,135.21,104.25,34.86
IG 107139,127.85,79.96,18.83
IG 107140,135.78,106.68,37.26
IG 107141,130.23,84.1,24.62
IG 107142,135.8,105.62,37.34
IG 107143,135.78,112.39,35.16
IG 107144,147.76,101.18,36.38
IG 107145,132.91,106.38,35.81
IG 107146,134.47,107.28,29.47
IG 107147,143.09,98.97,34.34
IG 107148,139.96,85.61,NA
IG 107149,141.7,87.8,NA
IG 107150,NA,90.26,NA
IG 107151,141.49,90.3,NA
IG 107152,149.21,105.79,32.58
IG 107153,143.75,109.5,36.28
