accenumb,campaign,trait,value
IG 44196,1991-1992,days_to_heading,151
IG 44196,1991-1992,plant_height,65
IG 44196,1991-1992,thousand_kernel_weight,36
IG 44197,1991-1992,days_to_heading,145
IG 44197,1991-1992,plant_height,88
IG 44197,1991-1992,thousand_kernel_weight,42
IG 44198,1991-1992,days_to_heading,145
IG 44198,1991-1992,plant_height,75
IG 44198,1991-1992,thousand_kernel_weight,40
IG 44199,1991-1992,days_to_heading,147
IG 44199,1991-1992,plant_height,85
IG 44199,1991-1992,thousand_kernel_weight,39
IG 44200,1991-1992,days_to_heading,145
IG 44200,1991-1992,plant_height,78
IG 44200,1991-1992,thousand_kernel_weight,40
IG 44201,1991-1992,days_to_heading,145
IG 44201,1991-1992,plant_height,88
IG 44201,1991-1992,thousand_kernel_weight,40
IG 44202,1991-1992,days_to_heading,145
IG 44202,1991-1992,plant_height,88
IG 44202,1991-1992,thousand_kernel_weight,32
IG 44203,1991-1992,days_to_heading,145
IG 44203,1991-1992,plant_height,88
IG 44203,1991-1992,thousand_kernel_weight,39
IG 44204,1991-1992,days_to_heading,145
IG 44204,1991-1992,plant_height,82
IG 44204,1991-1992,thousand_kernel_weight,39
IG 44205,1991-1992,days_to_heading,151
IG 44205,1991-1992,plant_height,82
IG 44205,1991-1992,thousand_kernel_weight,42
IG 44206,1991-1992,days_to_heading,151
IG 44206,1991-1992,plant_height,62
IG 44206,1991-1992,thousand_kernel_weight,42
IG 44207,1991-1992,days_to_heading,151
IG 44207,1991-1992,plant_height,82
IG 44207,1991-1992,thousand_kernel_weight,40
IG 44210,1991-1992,days_to_heading,151
IG 44210,1991-1992,plant_height,102
IG 44210,1991-1992,thousand_kernel_weight,35
IG 44211,1991-1992,days_to_heading,151
IG 44211,1991-1992,plant_height,102
IG 44211,1991-1992,thousand_kernel_weight,35
IG 44212,1991-1992,days_to_heading,157
IG 44212,1991-1992,plant_height,82
IG 44212,1991-1992,thousand_kernel_weight,43
IG 44213,1991-1992,days_to_heading,153
IG 44213,1991-1992,plant_height,92
IG 44213,1991-1992,thousand_kernel_weight,34
IG 44214,1991-1992,days_to_heading,157
IG 44214,1991-1992,plant_height,92
IG 44214,1991-1992,thousand_kernel_weight,28
IG 44216,1991-1992,days_to_heading,147
IG 44216,1991-1992,plant_height,102
IG 44216,1991-1992,thousand_kernel_weight,46
IG 44217,1991-1992,days_to_heading,147
IG 44217,1991-1992,plant_height,102
IG 44217,1991-1992,thousand_kernel_weight,46
IG 44218,1991-1992,days_to_heading,151
IG 44218,1991-1992,plant_height,102
IG 44218,1991-1992,thousand_kernel_weight,48
IG 44219,1991-1992,days_to_heading,151
IG 44219,1991-1992,plant_height,102
IG 44219,1991-1992,thousand_kernel_weight,49
IG 44220,1991-1992,days_to_heading,147
IG 44220,1991-1992,plant_height,82
IG 44220,1991-1992,thousand_kernel_weight,37
IG 44221,1991-1992,days_to_heading,147
IG 44221,1991-1992,plant_height,82
IG 44221,1991-1992,thousand_kernel_weight,34
IG 44222,1991-1992,days_to_heading,160
IG 44222,1991-1992,plant_height,98
IG 44222,1991-1992,thousand_kernel_weight,36
IG 44223,1991-1992,days_to_heading,160
IG 44223,1991-1992,plant_height,112
IG 44223,1991-1992,thousand_kernel_weight,36
IG 44224,1991-1992,days_to_heading,151
IG 44224,1991-1992,plant_height,72
IG 44224,1991-1992,thousand_kernel_weight,35
IG 44225,1991-1992,days_to_heading,151
IG 44225,1991-1992,plant_height,78
IG 44225,1991-1992,thousand_kernel_weight,34
IG 44226,1991-1992,days_to_heading,153
IG 44226,1991-1992,plant_height,82
IG 44226,1991-1992,thousand_kernel_weight,41
IG 44227,1991-1992,days_to_heading,151
IG 44227,1991-1992,plant_height,92
IG 44227,1991-1992,thousand_kernel_weight,41
IG 44228,1991-1992,days_to_heading,151
IG 44228,1991-1992,plant_height,78
IG 44228,1991-1992,thousand_kernel_weight,33
IG 44229,1991-1992,days_to_heading,151
IG 44229,1991-1992,plant_height,80
IG 44229,1991-1992,thousand_kernel_weight,38
IG 44230,1991-1992,days_to_heading,153
IG 44230,1991-1992,plant_height,98
IG 44230,1991-1992,thousand_kernel_weight,41
IG 44231,1991-1992,days_to_heading,153
IG 44231,1991-1992,plant_height,88
IG 44231,1991-1992,thousand_kernel_weight,38
IG 44232,1991-1992,days_to_heading,153
IG 44232,1991-1992,plant_height,78
IG 44232,1991-1992,thousand_kernel_weight,28
IG 44233,1991-1992,days_to_heading,153
IG 44233,1991-1992,plant_height,78
IG 44233,1991-1992,thousand_kernel_weight,34
IG 44234,1991-1992,days_to_heading,157
IG 44234,1991-1992,plant_height,80
IG 44234,1991-1992,thousand_kernel_weight,32
IG 44235,1991-1992,days_to_heading,153
IG 44235,1991-1992,plant_height,82
IG 44235,1991-1992,thousand_kernel_weight,35
IG 44236,1991-1992,days_to_heading,151
IG 44236,1991-1992,plant_height,78
IG 44236,1991-1992,thousand_kernel_weight,31
IG 44237,1991-1992,days_to_heading,151
IG 44237,1991-1992,plant_height,70
