accenumb,campaign,plant_height
LRC_SSD_IG_17353,1982-1983,164
LRC_SSD_IG_17362,1982-1983,148
LRC_SSD_IG_17370,1982-1983,164
LRC_SSD_IG_18014,1982-1983,135
LRC_SSD_IG_18747,1982-1983,127
LRC_SSD_IG_18786,1982-1983,128
LRC_SSD_IG_18807,1982-1983,142
LRC_SSD_IG_18836,1982-1983,135
LRC_SSD_IG_18873,1982-1983,146
LRC_SSD_IG_18952,1982-1983,142
LRC_SSD_IG_18988,1982-1983,138
LRC_SSD_IG_19051,1982-1983,135
LRC_SSD_IG_19114,1982-1983,128
LRC_SSD_IG_19121,1982-1983,135
LRC_SSD_IG_19158,1982-1983,142
LRC_SSD_IG_19421,1982-1983,138
LRC_SSD_IG_19579,1982-1983,138
LRC_SSD_IG_19592,1982-1983,146
LRC_SSD_IG_19706,1982-1983,146
LRC_SSD_IG_23583,1983-1984,139
LRC_SSD_IG_23585,1983-1984,140
LRC_SSD_IG_23597,1983-1984,160
LRC_SSD_IG_24408,1983-1984,136
LRC_SSD_IG_24411,1983-1984,143
LRC_SSD_IG_24415,1983-1984,136
LRC_SSD_IG_24432,1983-1984,138
LRC_SSD_IG_24434,1983-1984,131
LRC_SSD_IG_24436,1983-1984,142
LRC_SSD_IG_24441,1983-1984,138
LRC_SSD_IG_24446,1983-1984,137
LRC_SSD_IG_24448,1983-1984,137
LRC_SSD_IG_24453,1983-1984,138
LRC_SSD_IG_24461,1983-1984,138
LRC_SSD_IG_24462,1983-1984,138
LRC_SSD_IG_24464,1983-1984,156
LRC_SSD_IG_24466,1983-1984,153
LRC_SSD_IG_24471,1983-1984,137
LRC_SSD_IG_27184,1984-1985,148
LRC_SSD_IG_27246,1984-1985,161
LRC_SSD_IG_27252,1984-1985,152
LRC_SSD_IG_27259,1984-1985,154
LRC_SSD_IG_27265,1984-1985,152
LRC_SSD_IG_27376,1984-1985,157
LRC_SSD_IG_28575,1984-1985,145
LRC_SSD_IG_28675,1984-1985,151
LRC_SSD_IG_28713,1984-1985,145
LRC_SSD_IG_28727,1984-1985,159
LRC_SSD_IG_28729,1984-1985,145
LRC_SSD_IG_28763,1984-1985,151
LRC_SSD_IG_28815,1984-1985,151
LRC_SSD_IG_28860,1984-1985,159
LRC_SSD_IG_28959,1984-1985,152
LRC_SSD_IG_31412,1987-1988,133
LRC_SSD_IG_31450,1987-1988,132
LRC_SSD_IG_31490,1987-1988,139
LRC_SSD_IG_31513,1987-1988,133
LRC_SSD_IG_31522,1987-1988,137
LRC_SSD_IG_31864,1987-1988,132
LRC_SSD_IG_31865,1987-1988,132
LRC_SSD_IG_31870,1987-1988,125
LRC_SSD_IG_31876,1987-1988,134
LRC_SSD_IG_31891,1987-1988,138
LRC_SSD_IG_31923,1987-1988,132
LRC_SSD_IG_31927,1987-1988,138
LRC_SSD_IG_31935,1987-1988,132
LRC_SSD_IG_31938,1987-1988,127
LRC_SSD_IG_31942,1987-1988,134
LRC_SSD_IG_31945,1987-1988,132
LRC_SSD_IG_31968,1987-1988,146
LRC_SSD_IG_31973,1987-1988,145
LRC_SSD_IG_31975,1987-1988,145
LRC_SSD_IG_31977,1987-1988,146
LRC_SSD_IG_31988,1987-1988,137
LRC_SSD_IG_31995,1987-1988,134
LRC_SSD_IG_32000,1987-1988,143
LRC_SSD_IG_32004,1987-1988,144
LRC_SSD_IG_32009,1987-1988,144
LRC_SSD_IG_32012,1987-1988,143
LRC_SSD_IG_32022,1987-1988,144
LRC_SSD_IG_32031,1987-1988,138
LRC_SSD_IG_32041,1987-1988,145
LRC_SSD_IG_32066,1987-1988,147
LRC_SSD_IG_32069,1987-1988,147
LRC_SSD_IG_32083,1987-1988,144
LRC_SSD_IG_32088,1987-1988,141
LRC_SSD_IG_32575,1987-1988,136
LRC_SSD_IG_32584,1987-1988,134
LRC_SSD_IG_32596,1987-1988,132
LRC_SSD_IG_32598,1987-1988,137
LRC_SSD_IG_35201,1989-1990,139
LRC_SSD_IG_35220,1989-1990,139
LRC_SSD_IG_35274,1989-1990,139
LRC_SSD_IG_35276,1989-1990,133
LRC_SSD_IG_35278,1989-1990,133
LRC_SSD_IG_35280,1989-1990,133
LRC_SSD_IG_35291,1989-1990,133
LRC_SSD_IG_35292,1989-1990,133
LRC_SSD_IG_35308,1989-1990,139
LRC_SSD_IG_35313,1989-1990,133
LRC_SSD_IG_35329,1989-1990,133
LRC_SSD_IG_35341,1989-1990,139
LRC_SSD_IG_35343,1989-1990,133
LRC_SSD_IG_35347,1989-1990,133
LRC_SSD_IG_35348,1989-1990,133
LRC_SSD_IG_35351,1989-1990,139
LRC_SSD_IG_35354,1989-1990,133
LRC_SSD_IG_35377,1990-1991,130
LRC_SSD_IG_35382,1990-1991,139
LRC_SSD_IG_35405,1990-1991,130
LRC_SSD_IG_37066,1991-1992,152
LRC_SSD_IG_37177,1991-1992,149
LRC_SSD_IG_37180,1991-1992,145
LRC_SSD_IG_37181,1991-1992,145
LRC_SSD_IG_37182,1991-1992,149
LRC_SSD_IG_37185,1991-1992,155
LRC_SSD_IG_37186,1991-1992,149
LRC_SSD_IG_37295,1991-1992,145
LRC_SSD_IG_37724,1991-1992,149
LRC_SSD_IG_37745,1991-1992,149
LRC_SSD_IG_37773,1991-1992,152
LRC_SSD_IG_37794,1991-1992,149
LRC_SSD_IG_37800,1991-1992,145
LRC_SSD_IG_16925,1992-1993,154
LRC_SSD_IG_16940,1992-1993,152
LRC_SSD_IG_19706,1992-1993,158
LRC_SSD_IG_27184,1992-1993,145
LRC_SSD_IG_27246,1992-1993,158
LRC_SSD_IG_27252,1992-1993,148
LRC_SSD_IG_28575,1992-1993,145
LRC_SSD_IG_28675,1992-1993,145
LRC_SSD_IG_28734,1992-1993,138
LRC_SSD_IG_28763,1992-1993,148
LRC_SSD_IG_28811,1992-1993,141
LRC_SSD_IG_28815,1992-1993,148
LRC_SSD_IG_28817,1992-1993,141
LRC_SSD_IG_28860,1992-1993,158
LRC_SSD_IG_33005,1992-1993,148
LRC_SSD_IG_33007,1992-1993,152
LRC_SSD_IG_33010,1992-1993,148
LRC_SSD_IG_37295,1992-1993,145
LRC_SSD_IG_37619,1992-1993,138.6
LRC_SSD_IG_37724,1992-1993,149.2
LRC_SSD_IG_37745,1992-1993,150
LRC_SSD_IG_37773,1992-1993,150
LRC_SSD_IG_37794,1992-1993,148
LRC_SSD_IG_38285,1992-1993,145
