accenumb,campaign,thousand_kernel_weight
IG 44196,1991-1992,36
IG 44197,1991-1992,42
IG 44198,1991-1992,40
IG 44199,1991-1992,39
IG 44200,1991-1992,40
IG 44201,1991-1992,40
IG 44202,1991-1992,32
IG 44203,1991-1992,39
IG 44204,1991-1992,39
IG 44205,1991-1992,42
IG 44206,1991-1992,42
IG 44207,1991-1992,40
IG 44210,1991-1992,35
IG 44211,1991-1992,35
IG 44212,1991-1992,43
IG 44213,1991-1992,34
IG 44214,1991-1992,28
IG 44216,1991-1992,46
IG 44217,1991-1992,46
IG 44218,1991-1992,48
IG 44219,1991-1992,49
IG 44220,1991-1992,37
IG 44221,1991-1992,34
IG 44222,1991-1992,36
IG 44223,1991-1992,36
IG 44224,1991-1992,35
IG 44225,1991-1992,34
IG 44226,1991-1992,41
IG 44227,1991-1992,41
IG 44228,1991-1992,33
IG 44229,1991-1992,38
IG 44230,1991-1992,41
IG 44231,1991-1992,38
IG 44232,1991-1992,28
IG 44233,1991-1992,34
IG 44234,1991-1992,32
IG 44235,1991-1992,35
IG 44236,1991-1992,31
IG 44237,1991-1992,31
IG 44238,1991-1992,44
IG 44239,1991-1992,46
IG 44240,1991-1992,43
IG 44241,1991-1992,48
IG 44242,1991-1992,33
IG 44243,1991-1992,28
IG 44244,1991-1992,27
IG 44245,1991-1992,31
IG 44246,1991-1992,32
IG 44247,1991-1992,29
IG 44248,1991-1992,31
IG 44249,1991-1992,24
IG 44250,1991-1992,29
IG 44251,1991-1992,25
IG 44252,1991-1992,31
IG 44253,1991-1992,29
IG 44254,1991-1992,35
IG 44255,1991-1992,32
IG 44256,1991-1992,41
IG 44257,1991-1992,38
IG 44258,1991-1992,28
IG 44259,1991-1992,28
IG 44260,1991-1992,30
IG 44261,1991-1992,31
IG 44262,1991-1992,35
IG 44263,1991-1992,36
IG 44264,1991-1992,30
IG 44265,1991-1992,35
IG 44266,1991-1992,43
IG 44267,1991-1992,47
IG 44268,1991-1992,35
IG 44269,1991-1992,33
IG 44270,1991-1992,30
IG 44271,1991-1992,35
IG 44272,1991-1992,34
IG 44273,1991-1992,30
IG 44274,1991-1992,27
IG 44275,1991-1992,28
IG 44276,1991-1992,42
IG 44277,1991-1992,36
IG 44278,1991-1992,26
IG 44279,1991-1992,32
IG 44280,1991-1992,41
IG 44281,1991-1992,43
