accenumb,agent_id,doi,days_to_heading,thousand_kernel_weight,plant_height,name,description,campaign
IG 44196,AW_15093,NA,151,36,65,CE9216,NA,1991-1992
IG 44197,AW_15094,NA,145,42,88,CE9216,NA,1991-1992
IG 44198,AW_29183,NA,145,40,75,CE9216,NA,1991-1992
IG 44199,AW_23539,NA,147,39,85,CE9216,NA,1991-1992
IG 44200,AW_32152,NA,145,40,78,CE9216,NA,1991-1992
IG 44201,AW_23540,NA,145,40,88,CE9216,NA,1991-1992
IG 44202,AW_26362,NA,145,32,88,CE9216,NA,1991-1992
IG 44203,AW_29184,NA,145,39,88,CE9216,NA,1991-1992
IG 44204,AW_15095,NA,145,39,82,CE9216,NA,1991-1992
IG 44205,AW_32153,NA,151,42,82,CE9216,NA,1991-1992
IG 44206,AW_32154,NA,151,42,62,CE9216,NA,1991-1992
IG 44207,AW_20685,NA,151,40,82,CE9216,NA,1991-1992
IG 44210,AW_23541,NA,151,35,102,CE9215,NA,1991-1992
IG 44211,AW_29185,NA,151,35,102,CE9215,NA,1991-1992
IG 44212,AW_26363,NA,157,43,82,CE9215,NA,1991-1992
IG 44213,AW_26364,NA,153,34,92,CE9215,NA,1991-1992
IG 44214,AW_17886,NA,157,28,92,CE9215,NA,1991-1992
IG 44216,AW_32155,NA,147,46,102,CE9217,NA,1991-1992
IG 44217,AW_32156,NA,147,46,102,CE9217,NA,1991-1992
IG 44218,AW_23542,NA,151,48,102,CE9217,NA,1991-1992
IG 44219,AW_23543,NA,151,49,102,CE9217,NA,1991-1992
IG 44220,AW_26365,NA,147,37,82,CE9217,NA,1991-1992
IG 44221,AW_29186,NA,147,34,82,CE9217,NA,1991-1992
IG 44222,AW_34902,NA,160,36,98,CE9217,NA,1991-1992
IG 44223,AW_15097,NA,160,36,112,CE9217,NA,1991-1992
IG 44224,AW_15098,NA,151,35,72,CE9217,NA,1991-1992
IG 44225,AW_34903,NA,151,34,78,CE9217,NA,1991-1992
IG 44226,AW_26366,NA,153,41,82,CE9217,NA,1991-1992
IG 44227,AW_29187,NA,151,41,92,CE9217,NA,1991-1992
IG 44228,AW_17887,NA,151,33,78,CE9217,NA,1991-1992
IG 44229,AW_15099,NA,151,38,80,CE9217,NA,1991-1992
IG 44230,AW_15100,NA,153,41,98,CE9217,NA,1991-1992
IG 44231,AW_32157,NA,153,38,88,CE9217,NA,1991-1992
IG 44232,AW_23544,NA,153,28,78,CE9217,NA,1991-1992
IG 44233,AW_23545,NA,153,34,78,CE9217,NA,1991-1992
IG 44234,AW_20686,NA,157,32,80,CE9217,NA,1991-1992
IG 44235,AW_15101,NA,153,35,82,CE9217,NA,1991-1992
IG 44236,AW_29188,NA,151,31,78,CE9217,NA,1991-1992
IG 44237,AW_32158,NA,151,31,70,CE9217,NA,1991-1992
IG 44238,AW_26367,NA,151,44,108,CE9217,NA,1991-1992
IG 44239,AW_15102,NA,151,46,92,CE9217,NA,1991-1992
IG 44240,AW_23546,NA,153,43,92,CE9217,NA,1991-1992
IG 44241,AW_20687,NA,151,48,88,CE9217,NA,1991-1992
IG 44242,AW_29189,NA,153,33,58,CE9217,NA,1991-1992
IG 44243,AW_20688,NA,157,28,68,CE9217,NA,1991-1992
IG 44244,AW_20689,NA,160,27,68,CE9217,NA,1991-1992
IG 44245,AW_17888,NA,151,31,72,CE9217,NA,1991-1992
IG 44246,AW_26368,NA,151,32,78,CE9217,NA,1991-1992
IG 44247,AW_17889,NA,160,29,58,CE9217,NA,1991-1992
IG 44248,AW_34904,NA,166,31,55,CE9217,NA,1991-1992
IG 44249,AW_17890,NA,157,24,52,CE9217,NA,1991-1992
IG 44250,AW_26369,NA,160,29,72,CE9217,NA,1991-1992
IG 44251,AW_23547,NA,157,25,72,CE9217,NA,1991-1992
IG 44252,AW_15103,NA,157,31,82,CE9217,NA,1991-1992
IG 44253,AW_34905,NA,157,29,82,CE9217,NA,1991-1992
IG 44254,AW_34906,NA,157,35,78,CE9217,NA,1991-1992
IG 44255,AW_26370,NA,160,32,72,CE9217,NA,1991-1992
IG 44256,AW_29190,NA,151,41,90,CE9217,NA,1991-1992
IG 44257,AW_32159,NA,151,38,88,CE9217,NA,1991-1992
IG 44258,AW_17891,NA,160,28,65,CE9217,NA,1991-1992
IG 44259,AW_34907,NA,160,28,78,CE9217,NA,1991-1992
IG 44260,AW_15104,NA,160,30,68,CE9217,NA,1991-1992
IG 44261,AW_26371,NA,160,31,68,CE9217,NA,1991-1992
IG 44262,AW_32160,NA,166,35,92,CE9217,NA,1991-1992
IG 44263,AW_17892,NA,160,36,68,CE9217,NA,1991-1992
IG 44264,AW_15105,NA,157,30,88,CE9217,NA,1991-1992
IG 44265,AW_32161,NA,153,35,82,CE9217,NA,1991-1992
IG 44266,AW_29191,NA,153,43,85,CE9217,NA,1991-1992
IG 44267,AW_15106,NA,153,47,92,CE9217,NA,1991-1992
IG 44268,AW_29192,NA,157,35,85,CE9217,NA,1991-1992
IG 44269,AW_23548,NA,157,33,82,CE9217,NA,1991-1992
IG 44270,AW_15107,NA,157,30,90,CE9217,NA,1991-1992
IG 44271,AW_17893,NA,163,35,68,CE9217,NA,1991-1992
IG 44272,AW_32162,NA,153,34,72,CE9217,NA,1991-1992
IG 44273,AW_29193,NA,151,30,62,CE9217,NA,1991-1992
IG 44274,AW_23549,NA,151,27,62,CE9217,NA,1991-1992
IG 44275,AW_34908,NA,153,28,92,CE9217,NA,1991-1992
IG 44276,AW_32163,NA,160,42,110,CE9217,NA,1991-1992
IG 44277,AW_29194,NA,163,36,108,CE9217,NA,1991-1992
IG 44278,AW_32164,NA,172,26,72,CE9217,NA,1991-1992
IG 44279,AW_32165,NA,168,32,100,CE9217,NA,1991-1992
IG 44280,AW_23550,NA,153,41,112,CE9217,NA,1991-1992
IG 44281,AW_23551,NA,153,43,102,CE9217,NA,1991-1992
IG 44282,AW_34909,NA,160,38,75,CE9217,NA,1991-1992
IG 44283,AW_34910,NA,172,30,68,CE9217,NA,1991-1992
IG 44284,AW_20690,NA,153,38,78,CE9217,NA,1991-1992
IG 44285,AW_15108,NA,151,42,92,CE9217,NA,1991-1992
IG 44286,AW_15109,NA,163,32,95,CE9217,NA,1991-1992
IG 44287,AW_29195,NA,163,34,93,CE9217,NA,1991-1992
IG 44288,AW_32166,NA,157,31,88,CE9217,NA,1991-1992
IG 44289,AW_32167,NA,160,30,92,CE9217,NA,1991-1992
IG 44290,AW_29196,NA,163,35,98,CE9217,NA,1991-1992
IG 44291,AW_26372,NA,163,34,92,CE9217,NA,1991-1992
IG 44292,AW_15110,NA,153,31,68,CE9217,NA,1991-1992
IG 44293,AW_15111,NA,151,35,78,CE9217,NA,1991-1992
IG 44294,AW_26373,NA,153,34,88,CE9217,NA,1991-1992
IG 44295,AW_20691,NA,153,39,92,CE9217,NA,1991-1992
IG 44296,AW_32168,NA,151,31,78,CE9217,NA,1991-1992
IG 44297,AW_15112,NA,151,35,82,CE9217,NA,1991-1992
IG 44298,AW_34911,NA,163,35,108,CE9217,NA,1991-1992
IG 44299,AW_20692,NA,160,39,115,CE9217,NA,1991-1992
IG 84859,AW_18979,NA,151,43,82,CE9211,NA,1991-1992
IG 84859,AW_18979,NA,151,43,82,CE9212,NA,1991-1992
IG 84859,AW_18979,NA,151,39,78,CE9213,NA,1991-1992
IG 99045,AW_37077,NA,151,44,92,CE9213,NA,1991-1992
IG 99046,AW_31527,NA,151,41,90,CE9213,NA,1991-1992
IG 99047,AW_17300,NA,151,42,90,CE9213,NA,1991-1992
IG 99048,AW_37078,NA,147,46,82,CE9213,NA,1991-1992
IG 99049,AW_37079,NA,151,39,88,CE9213,NA,1991-1992
IG 99050,AW_22917,NA,147,49,92,CE9213,NA,1991-1992
IG 99051,AW_17301,NA,147,43,98,CE9213,NA,1991-1992
IG 99105,AW_20120,NA,153,49,58,CE9211,NA,1991-1992
IG 99106,AW_28599,NA,153,43,58,CE9211,NA,1991-1992
IG 99107,AW_31528,NA,157,42,72,CE9211,NA,1991-1992
IG 99108,AW_20121,NA,157,44,68,CE9211,NA,1991-1992
IG 99109,AW_17302,NA,165,46,82,CE9211,NA,1991-1992
IG 99110,AW_17338,NA,153,48,62,CE9211,NA,1991-1992
