genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
35058,NA,NA,NA
35064,NA,NA,NA
35065,NA,NA,NA
35066,NA,NA,NA
35068,NA,NA,NA
35069,161.11,86.06,51.09
35070,161.11,85.68,51.1
35071,NA,NA,NA
35072,164.11,85.09,56.31
35073,NA,NA,NA
35074,NA,NA,NA
35075,NA,NA,NA
35076,NA,NA,NA
35077,NA,NA,NA
35078,NA,NA,NA
35080,NA,NA,NA
35082,168.11,88.26,57.94
35085,168.11,86.65,57.95
35086,161.11,73.34,53.28
35087,NA,NA,NA
35088,NA,NA,NA
35091,NA,NA,NA
35093,NA,NA,NA
35096,NA,NA,NA
35097,NA,NA,NA
35100,NA,NA,NA
35101,NA,NA,NA
35102,NA,NA,NA
35103,NA,NA,NA
35104,NA,NA,NA
35106,NA,NA,NA
35107,NA,NA,NA
35108,NA,NA,NA
35109,NA,NA,NA
35111,NA,NA,NA
35112,NA,NA,NA
35113,NA,NA,NA
35114,NA,NA,NA
35115,NA,NA,NA
35116,NA,NA,NA
35117,NA,NA,NA
35118,NA,NA,NA
35119,NA,NA,NA
35120,NA,NA,NA
35121,NA,NA,NA
35122,NA,NA,NA
35123,NA,NA,NA
35124,NA,NA,NA
35129,NA,NA,NA
35130,NA,NA,NA
35132,NA,NA,NA
35133,NA,NA,NA
35134,NA,NA,NA
35135,NA,NA,NA
35136,NA,NA,NA
35137,NA,NA,NA
35139,NA,NA,NA
35140,NA,NA,NA
35141,NA,NA,NA
35142,NA,NA,NA
35143,NA,NA,NA
35144,NA,NA,NA
35145,NA,NA,NA
35146,NA,NA,NA
35147,NA,NA,NA
35148,NA,NA,NA
35149,NA,NA,NA
35150,NA,NA,NA
35151,NA,NA,NA
35152,NA,NA,NA
35153,NA,NA,NA
35170,NA,NA,NA
35171,NA,NA,NA
35173,NA,NA,NA
35180,NA,NA,NA
35186,NA,NA,NA
35187,NA,NA,NA
35189,NA,NA,NA
35193,NA,NA,NA
35205,NA,NA,NA
35206,NA,NA,NA
35208,NA,NA,NA
35209,NA,NA,NA
35210,NA,NA,NA
35211,NA,NA,NA
35212,NA,NA,NA
35213,NA,NA,NA
35215,NA,NA,NA
35216,NA,NA,NA
35217,NA,NA,NA
35219,NA,NA,NA
35221,NA,NA,NA
35228,NA,NA,NA
40001,160.81,65.53,40.11
40004,167.81,106.55,43.32
40006,NA,NA,NA
40008,169.54,85.9,42.51
40011,NA,NA,NA
40015,NA,NA,NA
40020,NA,NA,NA
40038,NA,NA,NA
40040,NA,NA,NA
40053,NA,NA,NA
40060,NA,NA,NA
40062,NA,NA,NA
40063,NA,NA,NA
40066,NA,NA,NA
40068,166.87,97.25,41.74
40070,164.63,101.29,35.39
40072,NA,NA,NA
40073,166.61,95.66,44.2
40074,167.94,78.55,50.89
40104,NA,NA,NA
40150,NA,NA,NA
40159,NA,NA,NA
40174,NA,NA,NA
40215,169.99,97.41,44.93
40221,NA,NA,NA
40222,NA,NA,NA
40225,168.06,98.27,43.1
40236,NA,NA,NA
40241,163.61,102.72,36.14
40243,NA,NA,NA
40249,153.76,62.36,42.83
40262,172.84,89.25,41
40265,NA,NA,NA
40271,173,86.49,43.59
40323,NA,NA,NA
40343,NA,NA,NA
40348,168.11,88.73,45.33
40354,160.79,66.44,37.72
40360,168.11,87.08,42.77
40367,169.96,89.14,46.77
40368,168.11,85.74,44.14
40375,169.52,93.88,40.58
40376,169.15,84.86,44.87
40377,170.79,85.78,44.03
40383,169.92,84.4,39.23
40393,170.3,88.03,39.77
40395,168.9,86.36,42.96
40396,164.73,106.55,35.47
40404,173.92,87.61,41.56
40412,NA,NA,NA
40415,NA,NA,NA
40427,172.32,103.93,40.84
40433,172.76,90.51,41.17
40442,171.48,86.46,40.72
40444,171.86,83.38,43.45
40449,172.08,76.65,43.25
40451,NA,NA,NA
40463,176.92,80.41,42.44
40469,173.84,85.61,45.92
40473,171.24,78.72,44.03
40476,174.61,80.26,41.97
40477,171.9,80.31,44.71
40478,167.19,89.74,47.24
