accenumb,campaign,trait,value
40396,1978-1978,days_to_heading,170
40396,1978-1978,plant_height,134
40396,1978-1978,thousand_kernel_weight,50.3
40502,1978-1978,days_to_heading,170
40502,1978-1978,plant_height,107
40502,1978-1978,thousand_kernel_weight,47
40505,1978-1978,days_to_heading,169
40505,1978-1978,plant_height,103
40505,1978-1978,thousand_kernel_weight,43.6
40506,1978-1978,days_to_heading,170
40506,1978-1978,plant_height,77
40506,1978-1978,thousand_kernel_weight,54.8
40510,1978-1978,days_to_heading,172
40510,1978-1978,plant_height,117
40510,1978-1978,thousand_kernel_weight,53
40512,1978-1978,days_to_heading,176
40512,1978-1978,plant_height,102
40512,1978-1978,thousand_kernel_weight,47
40513,1978-1978,days_to_heading,171
40513,1978-1978,plant_height,102
40513,1978-1978,thousand_kernel_weight,47
40514,1978-1978,days_to_heading,172
40514,1978-1978,plant_height,90
40514,1978-1978,thousand_kernel_weight,55.4
40517,1978-1978,days_to_heading,170
40517,1978-1978,plant_height,84
40517,1978-1978,thousand_kernel_weight,68.8
40518,1978-1978,days_to_heading,169
40518,1978-1978,plant_height,85
40518,1978-1978,thousand_kernel_weight,43.2
40519,1978-1978,days_to_heading,177
40519,1978-1978,plant_height,100
40519,1978-1978,thousand_kernel_weight,40.6
40520,1978-1978,days_to_heading,173
40520,1978-1978,plant_height,99
40520,1978-1978,thousand_kernel_weight,43.4
40521,1978-1978,days_to_heading,177
40521,1978-1978,thousand_kernel_weight,52.1
40522,1978-1978,days_to_heading,177
40522,1978-1978,plant_height,98
40522,1978-1978,thousand_kernel_weight,40.7
40523,1978-1978,days_to_heading,180
40523,1978-1978,plant_height,94
40523,1978-1978,thousand_kernel_weight,58.9
40524,1978-1978,days_to_heading,180
40524,1978-1978,plant_height,91
40524,1978-1978,thousand_kernel_weight,49.3
40525,1978-1978,plant_height,74
40525,1978-1978,thousand_kernel_weight,45.8
40526,1978-1978,days_to_heading,180
40526,1978-1978,plant_height,96
40526,1978-1978,thousand_kernel_weight,48.3
40528,1978-1978,days_to_heading,173
40528,1978-1978,plant_height,116
40528,1978-1978,thousand_kernel_weight,61.1
40529,1978-1978,days_to_heading,166
40529,1978-1978,plant_height,101
40529,1978-1978,thousand_kernel_weight,60.8
40530,1978-1978,days_to_heading,169
40530,1978-1978,plant_height,97
40530,1978-1978,thousand_kernel_weight,55.7
40531,1978-1978,days_to_heading,174
40531,1978-1978,plant_height,117
40531,1978-1978,thousand_kernel_weight,56
40532,1978-1978,days_to_heading,168
40532,1978-1978,plant_height,113
40532,1978-1978,thousand_kernel_weight,63.9
40533,1978-1978,days_to_heading,168
40533,1978-1978,plant_height,85
40533,1978-1978,thousand_kernel_weight,65.1
40534,1978-1978,days_to_heading,176
40534,1978-1978,plant_height,115
40534,1978-1978,thousand_kernel_weight,48.6
40537,1978-1978,days_to_heading,171
40537,1978-1978,plant_height,74
40537,1978-1978,thousand_kernel_weight,49.2
40538,1978-1978,days_to_heading,169
40538,1978-1978,plant_height,86
40538,1978-1978,thousand_kernel_weight,60.2
40539,1978-1978,days_to_heading,165
40539,1978-1978,plant_height,90
40539,1978-1978,thousand_kernel_weight,50.5
40541,1978-1978,days_to_heading,166
40541,1978-1978,plant_height,105
40541,1978-1978,thousand_kernel_weight,52.1
40542,1978-1978,days_to_heading,171
40542,1978-1978,plant_height,112
40542,1978-1978,thousand_kernel_weight,46.7
40543,1978-1978,days_to_heading,163
40543,1978-1978,plant_height,86
40543,1978-1978,thousand_kernel_weight,59.6
40544,1978-1978,days_to_heading,172
40544,1978-1978,plant_height,107
40544,1978-1978,thousand_kernel_weight,54.2
40545,1978-1978,days_to_heading,176
40545,1978-1978,plant_height,103
40545,1978-1978,thousand_kernel_weight,50.8
40546,1978-1978,days_to_heading,163
40546,1978-1978,plant_height,80
40546,1978-1978,thousand_kernel_weight,47.6
40547,1978-1978,days_to_heading,172
40547,1978-1978,plant_height,101
40547,1978-1978,thousand_kernel_weight,66.5
40548,1978-1978,days_to_heading,163
40548,1978-1978,plant_height,80
40548,1978-1978,thousand_kernel_weight,61.6
40549,1978-1978,days_to_heading,163
40549,1978-1978,plant_height,73
40549,1978-1978,thousand_kernel_weight,53.2
40550,1978-1978,days_to_heading,172
40550,1978-1978,plant_height,100
40550,1978-1978,thousand_kernel_weight,64.1
40551,1978-1978,days_to_heading,170
40551,1978-1978,plant_height,126
40551,1978-1978,thousand_kernel_weight,44.7
40552,1978-1978,days_to_heading,173
40552,1978-1978,plant_height,109
40552,1978-1978,thousand_kernel_weight,54.3
40553,1978-1978,days_to_heading,170
40553,1978-1978,plant_height,110
40553,1978-1978,thousand_kernel_weight,44.6
40555,1978-1978,days_to_heading,178
40555,1978-1978,plant_height,103
40555,1978-1978,thousand_kernel_weight,62.4
40556,1978-1978,days_to_heading,172
40556,1978-1978,plant_height,96
40556,1978-1978,thousand_kernel_weight,51.9
40557,1978-1978,days_to_heading,172
40557,1978-1978,plant_height,101
40557,1978-1978,thousand_kernel_weight,54.8
40561,1978-1978,days_to_heading,178
40561,1978-1978,plant_height,90
40561,1978-1978,thousand_kernel_weight,51.8
40562,1978-1978,days_to_heading,178
40562,1978-1978,plant_height,101
40562,1978-1978,thousand_kernel_weight,55.9
40563,1978-1978,days_to_heading,172
40563,1978-1978,plant_height,114
40563,1978-1978,thousand_kernel_weight,58.1
40564,1978-1978,days_to_heading,172
40564,1978-1978,plant_height,103
40564,1978-1978,thousand_kernel_weight,56.2
40565,1978-1978,days_to_heading,180
40565,1978-1978,plant_height,89
40565,1978-1978,thousand_kernel_weight,51.4
40566,1978-1978,days_to_heading,172
40566,1978-1978,plant_height,95
40566,1978-1978,thousand_kernel_weight,56.6
40567,1978-1978,days_to_heading,172
40567,1978-1978,plant_height,102
40567,1978-1978,thousand_kernel_weight,57.9
40568,1978-1978,days_to_heading,175
40568,1978-1978,plant_height,85
40568,1978-1978,thousand_kernel_weight,54.8
40569,1978-1978,days_to_heading,171
40569,1978-1978,plant_height,96
40569,1978-1978,thousand_kernel_weight,59.1
40571,1978-1978,days_to_heading,171
40571,1978-1978,plant_height,103
40571,1978-1978,thousand_kernel_weight,56.1
40572,1978-1978,days_to_heading,170
40572,1978-1978,plant_height,90
40572,1978-1978,thousand_kernel_weight,59.7
40573,1978-1978,days_to_heading,170
40573,1978-1978,plant_height,95
40573,1978-1978,thousand_kernel_weight,60.2
40574,1978-1978,days_to_heading,177
40574,1978-1978,plant_height,95
40574,1978-1978,thousand_kernel_weight,61.2
40575,1978-1978,days_to_heading,173
40575,1978-1978,plant_height,102
40575,1978-1978,thousand_kernel_weight,57.7
40576,1978-1978,days_to_heading,173
40576,1978-1978,plant_height,98
40576,1978-1978,thousand_kernel_weight,65.1
40577,1978-1978,days_to_heading,172
40577,1978-1978,plant_height,97
40577,1978-1978,thousand_kernel_weight,63.2
40578,1978-1978,days_to_heading,167
40578,1978-1978,plant_height,95
40578,1978-1978,thousand_kernel_weight,58.5
40579,1978-1978,days_to_heading,172
40579,1978-1978,plant_height,94
40579,1978-1978,thousand_kernel_weight,63
40581,1978-1978,days_to_heading,176
40581,1978-1978,plant_height,106
40581,1978-1978,thousand_kernel_weight,53.3
40582,1978-1978,days_to_heading,180
40582,1978-1978,plant_height,101
40582,1978-1978,thousand_kernel_weight,50.8
40583,1978-1978,days_to_heading,176
40583,1978-1978,plant_height,103
40583,1978-1978,thousand_kernel_weight,59.2
40584,1978-1978,days_to_heading,162
40584,1978-1978,plant_height,98
40584,1978-1978,thousand_kernel_weight,49.6
40585,1978-1978,days_to_heading,174
40585,1978-1978,plant_height,105
40585,1978-1978,thousand_kernel_weight,58.5
40586,1978-1978,days_to_heading,174
40586,1978-1978,plant_height,105
40586,1978-1978,thousand_kernel_weight,59.9
40587,1978-1978,days_to_heading,174
40587,1978-1978,plant_height,94
40587,1978-1978,thousand_kernel_weight,58.9
40588,1978-1978,days_to_heading,180
40588,1978-1978,plant_height,87
40588,1978-1978,thousand_kernel_weight,57.3
40590,1978-1978,days_to_heading,172
40590,1978-1978,plant_height,103
40590,1978-1978,thousand_kernel_weight,46.6
40591,1978-1978,days_to_heading,171
40591,1978-1978,plant_height,106
40591,1978-1978,thousand_kernel_weight,51.7
40592,1978-1978,days_to_heading,169
40592,1978-1978,plant_height,105
40592,1978-1978,thousand_kernel_weight,69.7
40593,1978-1978,days_to_heading,169
40593,1978-1978,plant_height,87
40593,1978-1978,thousand_kernel_weight,51.3
40594,1978-1978,days_to_heading,173
40594,1978-1978,plant_height,102
40594,1978-1978,thousand_kernel_weight,55.2
40595,1978-1978,days_to_heading,174
40595,1978-1978,plant_height,97
40595,1978-1978,thousand_kernel_weight,54.2
40596,1978-1978,days_to_heading,172
40596,1978-1978,plant_height,108
40596,1978-1978,thousand_kernel_weight,56.3
40597,1978-1978,days_to_heading,175
40597,1978-1978,plant_height,102
40597,1978-1978,thousand_kernel_weight,59.9
40598,1978-1978,days_to_heading,174
40598,1978-1978,plant_height,101
40598,1978-1978,thousand_kernel_weight,54.9
40599,1978-1978,days_to_heading,174
40599,1978-1978,plant_height,93
40599,1978-1978,thousand_kernel_weight,55.3
40600,1978-1978,days_to_heading,176
40600,1978-1978,plant_height,84
40600,1978-1978,thousand_kernel_weight,48.1
40601,1978-1978,days_to_heading,178
40601,1978-1978,plant_height,80
40601,1978-1978,thousand_kernel_weight,49.1
40602,1978-1978,days_to_heading,185
40602,1978-1978,plant_height,92
40602,1978-1978,thousand_kernel_weight,55
40603,1978-1978,days_to_heading,170
40603,1978-1978,plant_height,90
40603,1978-1978,thousand_kernel_weight,48.9
40604,1978-1978,days_to_heading,172
40604,1978-1978,plant_height,99
40604,1978-1978,thousand_kernel_weight,59.8
40605,1978-1978,days_to_heading,175
40605,1978-1978,plant_height,101
40605,1978-1978,thousand_kernel_weight,41.7
40606,1978-1978,days_to_heading,175
40606,1978-1978,plant_height,100
40606,1978-1978,thousand_kernel_weight,46.3
40607,1978-1978,days_to_heading,175
40607,1978-1978,plant_height,103
40607,1978-1978,thousand_kernel_weight,47.9
40608,1978-1978,days_to_heading,172
40608,1978-1978,plant_height,101
40608,1978-1978,thousand_kernel_weight,51.9
40609,1978-1978,days_to_heading,172
40609,1978-1978,plant_height,101
40609,1978-1978,thousand_kernel_weight,51.9
40610,1978-1978,days_to_heading,172
40610,1978-1978,plant_height,95
40610,1978-1978,thousand_kernel_weight,43.6
40611,1978-1978,days_to_heading,172
40611,1978-1978,plant_height,99
40611,1978-1978,thousand_kernel_weight,49.1
40612,1978-1978,days_to_heading,172
40612,1978-1978,plant_height,99
40612,1978-1978,thousand_kernel_weight,56
40613,1978-1978,days_to_heading,172
40613,1978-1978,plant_height,106
40613,1978-1978,thousand_kernel_weight,40.5
40614,1978-1978,days_to_heading,172
40614,1978-1978,plant_height,98
40614,1978-1978,thousand_kernel_weight,49.7
40615,1978-1978,days_to_heading,178
40615,1978-1978,plant_height,93
40615,1978-1978,thousand_kernel_weight,49.3
40616,1978-1978,days_to_heading,174
40616,1978-1978,plant_height,87
40616,1978-1978,thousand_kernel_weight,52.6
40617,1978-1978,days_to_heading,174
40617,1978-1978,days_to_heading,172
40617,1978-1978,plant_height,97
40617,1978-1978,plant_height,100
40617,1978-1978,thousand_kernel_weight,52.8
