accenumb,agent_id,doi,sowing_date,beginning_of_heading_date,date_of_heading,end_of_heading_date,plant_height,thousand_kernel_weight,sowing_-_beginning_of_heading,sowing_-_end_of_heading,sowing_-_end_of_flowering,beginning_of_heading-end_of_heading,beginning_of_heading-end_of_flowering,end_of_heading-end_of_flowering,name,description,campaign,beginning_of_heading,end_of_heading
20001,NA,NA,19780406,NA,NA,19780627,140,41.3,NA,82,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,177
20002,NA,NA,19780406,NA,NA,19780627,133,43.2,NA,82,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,177
20003,NA,NA,19780406,NA,NA,19780621,122,42,NA,76,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,171
20004,NA,NA,19780406,NA,NA,19780626,98,36.4,NA,81,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,176
20005,NA,NA,19780406,NA,NA,19780618,87,44.2,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,168
20005,NA,NA,19780406,NA,NA,19780622,107,38.4,NA,77,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20007,NA,NA,19780406,NA,NA,19780620,114,35.7,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20008,NA,NA,19780406,NA,NA,19780622,112,34.6,NA,77,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20009,NA,NA,19780406,NA,NA,19780622,127,42.8,NA,77,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20010,NA,NA,19780406,NA,NA,19780629,127,32,NA,84,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,179
20011,NA,NA,19780406,NA,NA,19780702,123,34.2,NA,87,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,182
20012,NA,NA,19780405,NA,NA,19780619,95,47.1,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,169
20012,NA,NA,19780406,NA,NA,19780621,96,41.4,NA,76,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,171
20013,NA,NA,19780406,NA,NA,19780630,134,36.6,NA,85,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,180
20014,NA,NA,19780406,NA,NA,19780622,104,33.5,NA,77,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780607,116,36,NA,60,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,157
20015,NA,NA,19780408,NA,NA,19780609,88,43.6,NA,62,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,159
20015,NA,NA,19780408,NA,NA,19780609,100,49.6,NA,62,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,159
20015,NA,NA,19780408,NA,NA,19780610,82,41.1,NA,63,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,160
20015,NA,NA,19780408,NA,NA,19780612,114,30.7,NA,65,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,162
20015,NA,NA,19780408,NA,NA,19780612,79,31.8,NA,65,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,162
