genotype,end_of_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
20001,175.22,117.03,44.43
20002,175.22,115.66,43.44
20003,170.08,115.9,44.55
20004,174.66,93.33,40.64
20005,166.97,83.32,41.76
20006,NA,NA,NA
20007,168.41,107.04,35.34
20008,170.66,108.4,34.62
20009,171.11,113.11,41.71
20010,177.23,115.72,36.12
20011,180.23,108.11,37.15
20012,169.52,87.45,36.99
20013,178.22,122.87,37.86
20014,169.52,107.58,34.55
20015,171.24,97.65,33.68
20016,168.2,94.34,41.96
20017,174,121.35,38.22
20018,172.92,99.78,42.87
20019,176.36,108.49,35.28
20020,176.36,97.41,44.65
20021,168.76,112.82,33.24
20022,NA,75.22,40
20023,171.6,125.12,46.78
20024,168.96,80.86,39.13
20025,171.18,114.28,40.33
20026,174.25,120.06,37.69
20027,168.34,77.35,40.17
20028,170.92,103.78,36.72
20029,177.25,100.97,32.58
20030,178.93,128.42,39.23
20031,177.49,106.02,35.01
20032,177.08,116.79,30.08
20033,171.19,99.14,40.09
20034,178.25,116.82,46.27
20035,167.79,84.51,39.55
20036,165.93,82.17,33.11
20037,168.9,99.66,33.61
20038,173.79,74.17,34.71
20039,NA,102.78,38.33
20040,167.18,82.85,43.02
20041,NA,115.52,40.77
20042,176.3,118.08,37.19
20043,164.01,73.33,41.53
20044,NA,93.8,29.04
20045,175.59,103.28,36.53
20046,167.66,73.52,35.48
20047,169.26,82.07,42.42
20048,169.36,80.2,41.13
20049,167.11,83.17,39.75
20050,166.24,82.32,38.62
20051,166.49,79.68,38.8
20052,166.91,76.18,37.3
20053,167.46,77.33,32.53
20054,169.07,81.72,31.1
20055,169.07,84.57,37.62
20056,169.66,86,38.11
20057,169.36,82.82,46.79
20058,168.93,85.51,42.77
20059,170.22,86.84,41.01
20060,170.87,82.56,40.87
20061,170.25,87.67,45.15
20062,170.21,93.95,40.06
20063,170.4,93.36,37.95
20064,170.32,94.32,38.64
20065,170.96,90.85,39.13
20066,170.61,94.1,39.96
20067,NA,NA,NA
20068,NA,NA,NA
20069,NA,NA,NA
20070,NA,NA,NA
20071,169.52,79.83,41.8
20072,NA,79.18,39
20073,169.26,84.96,40.18
20074,171.17,87.32,38.51
20075,171.81,90.82,36.85
20076,163.3,73.16,43.86
20077,162.97,69.4,42.68
20078,162.97,73.32,44.29
20079,162.97,73.81,42.75
20080,169.46,81.19,34.11
20081,177.33,98.83,39.89
20082,176.51,105.65,40.97
20083,NA,NA,NA
20084,174.88,111.25,47.76
20085,172.7,87.79,38.52
20086,168.01,104.92,43.01
20088,171.81,100.24,40.8
20089,173.14,98,37.72
20090,170.4,92.66,37.58
20091,174.16,93.76,38.27
20092,167.31,96.88,37.24
20093,167.11,79.58,43.41
20094,175.43,85.93,38.23
20095,174.61,110.92,39.71
20096,174.18,119.32,45.62
20097,168.47,88.36,34.62
20098,170.06,92.54,39.28
20099,175.22,124.42,51.47
20100,174.12,105.57,39.11
20101,NA,117.31,36.85
20102,175.83,102.83,37.03
20103,169.93,92.41,42.5
20104,164.08,76.47,41.98
20105,161.14,73.83,39.51
20106,NA,NA,NA
20108,NA,NA,NA
20109,167.58,95.75,41.85
20110,176.81,111.61,37.97
20111,NA,NA,NA
20112,NA,NA,NA
20115,NA,NA,NA
20118,NA,NA,NA
20119,NA,119.02,34.18
20121,NA,NA,NA
20124,NA,NA,NA
20125,NA,NA,NA
20128,NA,NA,NA
20130,NA,81.37,37.1
20131,NA,NA,NA
20133,NA,NA,NA
20142,NA,NA,NA
20144,NA,NA,NA
20145,NA,NA,NA
20147,NA,NA,NA
20148,NA,NA,35.98
20150,NA,NA,NA
20153,NA,97.62,34.2
20155,NA,NA,NA
20156,NA,NA,NA
20160,NA,NA,NA
20161,NA,97.86,45.44
20165,163.12,69.6,37.24
20166,NA,NA,NA
20170,NA,83.28,39.68
20171,NA,NA,NA
20172,NA,NA,NA
20174,NA,NA,NA
20175,NA,NA,NA
20177,NA,NA,NA
20178,NA,NA,NA
20179,NA,NA,NA
20180,NA,NA,NA
20184,NA,NA,NA
20187,NA,NA,NA
20188,NA,81.44,36.34
20189,NA,NA,NA
20190,NA,NA,NA
20192,NA,NA,NA
20193,NA,NA,NA
20195,NA,NA,NA
20196,NA,NA,NA
20200,NA,86.22,38.63
20204,NA,NA,NA
20205,NA,NA,NA
20207,NA,111.29,41.34
20209,NA,113.28,48.43
20212,NA,NA,NA
20213,NA,NA,NA
20222,NA,NA,NA
20229,NA,91.77,36.77
20230,NA,NA,NA
20232,NA,NA,NA
20235,NA,NA,NA
20238,NA,93.38,37.08
20241,NA,NA,NA
20243,NA,NA,NA
20245,167.51,88.31,34.43
20254,NA,NA,NA
20261,NA,NA,NA
20263,NA,100.83,36.06
20264,173.35,115.93,34.23
20265,NA,NA,NA
20267,NA,NA,NA
20269,NA,NA,NA
20271,NA,89.32,40.81
20272,NA,NA,NA
20274,NA,NA,NA
20275,NA,NA,NA
20276,NA,76.06,37.52
20278,NA,NA,NA
20280,NA,61.2,30.73
20286,NA,NA,NA
20295,NA,NA,NA
20297,180.07,93.07,44.16
20298,NA,NA,NA
20301,NA,NA,NA
20308,NA,94.8,38.1
20314,NA,NA,NA
20333,NA,NA,NA
20342,NA,NA,NA
20344,NA,105.84,44.82
20347,NA,NA,NA
20355,NA,NA,NA
20361,NA,NA,NA
20374,NA,NA,NA
20379,NA,NA,NA
20380,NA,NA,NA
20382,NA,NA,NA
20387,NA,96.3,36.19
20394,NA,NA,NA
20403,NA,NA,NA
20425,NA,NA,NA
20447,NA,83.77,36.23
20448,NA,NA,NA
20467,NA,NA,NA
20469,NA,NA,NA
20470,NA,92.33,39.08
20472,NA,NA,NA
20477,NA,NA,NA
20478,NA,NA,NA
20485,NA,108.43,40.09
20492,NA,NA,NA
20493,NA,NA,NA
20494,166.7,89.88,39.66
20495,NA,82.59,41.35
20496,NA,NA,NA
20508,NA,NA,NA
20514,NA,NA,NA
20523,NA,NA,NA
20527,NA,NA,NA
20529,NA,NA,NA
20530,NA,NA,NA
20558,NA,NA,NA
20560,161.09,80.04,45.75
20565,NA,NA,NA
20566,NA,NA,NA
20574,NA,NA,NA
20575,NA,NA,NA
20582,NA,NA,NA
20616,NA,NA,NA
20618,NA,NA,NA
20621,NA,108.34,40.95
20623,170.48,103.6,26.34
20626,NA,NA,NA
20630,NA,NA,NA
20634,NA,NA,NA
20635,NA,NA,NA
20640,NA,NA,NA
20647,NA,NA,NA
20654,NA,NA,NA
20655,168.71,104.77,40.72
20656,167.64,94.18,42.51
20672,NA,NA,NA
20676,NA,NA,NA
20678,NA,NA,NA
20691,NA,NA,NA
20692,NA,NA,NA
20693,NA,NA,NA
20694,NA,NA,NA
20695,NA,NA,NA
20696,NA,NA,NA
20703,NA,NA,NA
20704,NA,NA,NA
20709,NA,NA,NA
20715,NA,NA,NA
20717,NA,NA,NA
20724,NA,NA,NA
20725,NA,NA,NA
20731,NA,NA,NA
20738,NA,NA,NA
20742,NA,NA,NA
20751,NA,NA,NA
20752,NA,NA,NA
20754,NA,NA,NA
20755,170.16,NA,37.31
20756,NA,NA,NA
20758,NA,NA,NA
20762,NA,NA,NA
20764,NA,NA,NA
20766,175.84,122.05,44.83
20767,NA,NA,NA
20769,NA,NA,NA
20770,NA,NA,NA
20776,162.67,78.29,42.89
20780,NA,98.57,35.4
20782,NA,NA,NA
20784,NA,NA,NA
20785,NA,NA,NA
20786,NA,NA,NA
20787,NA,NA,NA
20788,NA,NA,NA
20789,NA,NA,NA
20790,NA,NA,NA
20792,169.65,102.07,37.82
20794,172.34,99.09,35.31
20795,165.52,108.14,43.32
20798,NA,NA,NA
20807,NA,NA,NA
20808,NA,NA,NA
20812,NA,NA,NA
20817,NA,NA,NA
20819,NA,NA,NA
20823,NA,NA,NA
20844,NA,NA,NA
20862,NA,105.77,35.11
20870,NA,NA,NA
20880,NA,NA,NA
20887,NA,NA,NA
20898,NA,NA,NA
20902,NA,NA,NA
20906,NA,NA,NA
20957,167.97,98.08,32.87
20959,182.47,115,42.94
20960,167.47,70.11,35.31
20961,171.21,88.39,37.06
20962,169.83,87.84,36.97
20963,182.17,95.12,32.71
20964,181.11,103.38,35.81
20965,169.87,94.52,37.51
20966,169.46,90.11,37.37
20967,181.96,114.9,36.61
20968,169.28,76.3,42.92
20969,173.03,89.45,38.41
20970,172.38,92.05,36.5
20971,171.45,108.39,41.43
20972,164.77,75.12,40.56
20973,178.42,113.81,40.35
20974,168.37,80.33,37.37
20975,173.13,97.54,36.26
20976,165.17,92.38,38.59
20977,167.82,74.26,44.94
20978,170.2,83.18,36.53
20979,167.4,92.69,34.84
20980,NA,NA,NA
20981,NA,NA,NA
20982,171.36,107.57,46.38
20983,168.78,91.43,41.63
20984,168.93,81.55,42.91
20985,169.63,101.81,41.98
20986,167.46,96.69,37.88
20987,169.63,96.27,33.77
20988,168.4,81.71,30.49
20989,171.78,101.58,37.44
20990,168.71,97.39,34.85
20991,168.83,85.43,33.34
20992,169.48,63.62,28.91
20993,169.68,66.7,29.08
20994,170.03,64.58,28.43
20995,167.42,99.26,36.17
20996,168.52,85.27,38.56
20997,165.37,97.09,36.13
20998,168.22,105.64,39.02
20999,165.82,91.77,47.53
21000,163.05,64.48,40.22
21001,168.87,99.05,38.3
21002,169.38,95.95,42.83
21003,172.62,108.4,30.19
21004,172.63,102.1,35.29
21005,170.72,109.82,36.08
21006,171.87,112.07,38
21007,172.84,102.75,37.12
21008,164.54,96.72,40.81
21009,163.43,93.31,43.44
21010,165.78,95.04,40.93
21011,172.08,105.59,30.73
21012,165.09,93.91,41.19
21013,174.27,110.44,36.81
21014,172.93,110.23,33.65
21015,180.37,102.83,41.17
21016,180.23,122.07,46.71
21017,174.92,107.07,44.17
21018,165.77,94.76,40.06
21019,174.37,113.94,39.63
21020,168.43,102.57,40.33
21021,174.47,119.69,34.62
21022,173.33,108.81,32.73
21023,172.96,90.18,37.37
21024,174.67,88,34.92
21025,177.03,106.35,40.68
21026,175.62,101.38,38.68
21027,171.54,117.29,43.69
21028,174.83,113.57,40.28
21029,NA,NA,NA
21030,168.02,94.05,34.7
21031,170.71,102.99,34.11
21032,173.65,106.01,38.74
21033,164.82,91.76,38.08
21034,173.49,108.72,38.73
21035,NA,NA,NA
21036,161.43,89.93,32.8
21037,167.97,100.04,33.71
21038,167.47,101.11,33.05
21039,165.37,97.14,34.89
21040,165.17,92.04,34.45
21041,166.72,95.3,34.07
21042,166.28,97.69,34.5
21043,173.69,100,34.48
21044,172.62,108.23,40.52
21045,170,84.97,30.81
21046,173.47,82.3,39.02
21047,170.16,86.87,38.39
21048,170.68,82.58,38.59
21049,175.76,99.86,40.39
21050,168.03,98.26,36.32
21052,168.22,96.37,41.43
21053,176.33,98.24,32.99
21054,169.11,77.11,37.43
21055,168.02,76.12,39.34
21056,168.78,79.71,46.52
21057,169.46,92.53,39.56
21058,175.17,99.53,38.97
21059,170.02,88.76,37.65
21060,169.78,97.98,36.9
21061,180.05,115.57,41.24
21062,167.52,67.16,33.48
21063,170.44,94.85,39.44
21064,177.65,108.26,34.07
21065,176.32,113.93,33.94
21066,175.62,111.22,34.52
21067,176.32,113.81,32.44
21068,172.34,108.64,46.11
21069,174.41,101.51,33.91
21070,171.78,105.53,31.81
21071,175.88,90.49,38.55
21075,163.32,81.87,37.85
21076,NA,NA,NA
21077,172.38,91.66,37.83
21079,NA,NA,NA
21080,NA,NA,NA
21081,168.82,108.87,29.9
21082,NA,NA,NA
21083,NA,NA,NA
21084,NA,107.58,47.72
21085,NA,NA,NA
21086,NA,NA,NA
21087,NA,NA,NA
21088,NA,NA,NA
21089,NA,NA,NA
21090,NA,NA,NA
21091,NA,NA,NA
21092,NA,NA,NA
21093,NA,NA,NA
21094,NA,NA,NA
21095,NA,NA,NA
21096,NA,NA,NA
21097,NA,NA,NA
21098,NA,NA,NA
21099,167.32,97.37,44.2
21100,NA,NA,NA
21101,NA,NA,NA
21102,NA,NA,NA
21104,NA,NA,NA
21105,NA,NA,NA
21106,NA,NA,NA
21107,NA,NA,NA
21108,NA,NA,NA
21111,NA,NA,NA
21116,NA,NA,NA
21117,NA,NA,NA
21118,NA,NA,NA
21120,NA,NA,NA
21122,NA,NA,NA
21124,NA,NA,NA
21125,NA,NA,NA
21126,NA,NA,NA
21127,NA,NA,NA
21128,NA,NA,NA
21129,NA,NA,NA
21130,NA,NA,NA
21131,NA,NA,NA
21132,167.82,101.87,38.95
21133,NA,NA,NA
21134,NA,102.25,38.32
21135,172.68,103.01,40.81
21136,168.39,86.39,42.43
21138,NA,NA,NA
21139,NA,NA,NA
21142,NA,NA,NA
21143,NA,NA,NA
21144,NA,NA,NA
21145,NA,NA,NA
21146,NA,NA,NA
21147,NA,NA,NA
21149,NA,NA,NA
21150,NA,NA,NA
21151,NA,NA,NA
21152,NA,NA,NA
21153,NA,NA,NA
21154,NA,NA,NA
21156,NA,NA,NA
21157,167.32,68.37,36.6
21158,NA,NA,NA
21159,NA,NA,NA
21160,NA,NA,NA
21161,NA,NA,NA
21162,167.32,102.12,42.49
21163,NA,NA,NA
21164,NA,NA,NA
21165,NA,NA,NA
21166,NA,NA,NA
21167,NA,NA,NA
21168,NA,NA,NA
21169,NA,NA,NA
21171,NA,122.37,34.23
21172,NA,112.36,37.49
21173,NA,NA,NA
21174,NA,NA,NA
21175,NA,NA,NA
21177,NA,NA,NA
21178,NA,NA,NA
21179,NA,NA,NA
21180,NA,NA,NA
21181,NA,NA,NA
21182,NA,NA,NA
21183,NA,NA,NA
21184,NA,NA,NA
21185,NA,NA,NA
21186,168.36,94.3,34.29
21187,NA,NA,NA
21190,NA,NA,NA
21191,NA,NA,NA
21192,NA,NA,NA
21193,NA,NA,NA
21194,NA,105.03,36.97
21195,NA,NA,NA
21196,NA,106.4,41.85
21197,NA,NA,NA
21198,NA,NA,NA
21199,NA,NA,NA
21200,NA,NA,NA
21201,NA,NA,NA
21202,NA,NA,NA
21203,NA,NA,NA
