accenumb,campaign,trait,value
20001,1978-1978,end_of_heading,177
20001,1978-1978,plant_height,140
20001,1978-1978,thousand_kernel_weight,41.3
20002,1978-1978,end_of_heading,177
20002,1978-1978,plant_height,133
20002,1978-1978,thousand_kernel_weight,43.2
20003,1978-1978,end_of_heading,171
20003,1978-1978,plant_height,122
20003,1978-1978,thousand_kernel_weight,42
20004,1978-1978,end_of_heading,176
20004,1978-1978,plant_height,98
20004,1978-1978,thousand_kernel_weight,36.4
20005,1978-1978,end_of_heading,168
20005,1978-1978,end_of_heading,172
20005,1978-1978,plant_height,87
20005,1978-1978,plant_height,107
20005,1978-1978,thousand_kernel_weight,44.2
20005,1978-1978,thousand_kernel_weight,38.4
20007,1978-1978,end_of_heading,170
20007,1978-1978,plant_height,114
20007,1978-1978,thousand_kernel_weight,35.7
20008,1978-1978,end_of_heading,172
20008,1978-1978,plant_height,112
20008,1978-1978,thousand_kernel_weight,34.6
20009,1978-1978,end_of_heading,172
20009,1978-1978,plant_height,127
20009,1978-1978,thousand_kernel_weight,42.8
20010,1978-1978,end_of_heading,179
20010,1978-1978,plant_height,127
20010,1978-1978,thousand_kernel_weight,32
20011,1978-1978,end_of_heading,182
20011,1978-1978,plant_height,123
20011,1978-1978,thousand_kernel_weight,34.2
20012,1978-1978,end_of_heading,169
20012,1978-1978,end_of_heading,171
20012,1978-1978,plant_height,95
20012,1978-1978,plant_height,96
20012,1978-1978,thousand_kernel_weight,47.1
20012,1978-1978,thousand_kernel_weight,41.4
20013,1978-1978,end_of_heading,180
20013,1978-1978,plant_height,134
20013,1978-1978,thousand_kernel_weight,36.6
20014,1978-1978,end_of_heading,172
20014,1978-1978,plant_height,104
20014,1978-1978,thousand_kernel_weight,33.5
20015,1978-1978,end_of_heading,166
20015,1978-1978,end_of_heading,167
20015,1978-1978,end_of_heading,168
20015,1978-1978,end_of_heading,169
20015,1978-1978,end_of_heading,170
20015,1978-1978,end_of_heading,171
20015,1978-1978,end_of_heading,172
20015,1978-1978,end_of_heading,173
20015,1978-1978,end_of_heading,174
20015,1978-1978,end_of_heading,175
20015,1978-1978,end_of_heading,176
20015,1978-1978,end_of_heading,177
20015,1978-1978,end_of_heading,178
20015,1978-1978,end_of_heading,179
20015,1978-1978,plant_height,116
20015,1978-1978,plant_height,88
20015,1978-1978,plant_height,100
20015,1978-1978,plant_height,114
20015,1978-1978,plant_height,98
20015,1978-1978,plant_height,97
20015,1978-1978,plant_height,95
20015,1978-1978,plant_height,90
20015,1978-1978,plant_height,106
20015,1978-1978,plant_height,87
20015,1978-1978,plant_height,89
20015,1978-1978,plant_height,124
20015,1978-1978,plant_height,111
20015,1978-1978,plant_height,110
20015,1978-1978,plant_height,99
20015,1978-1978,plant_height,112
20015,1978-1978,plant_height,108
20015,1978-1978,plant_height,105
20015,1978-1978,plant_height,101
20015,1978-1978,plant_height,118
20015,1978-1978,plant_height,115
20015,1978-1978,plant_height,119
20015,1978-1978,plant_height,91
20015,1978-1978,plant_height,122
20015,1978-1978,plant_height,102
20015,1978-1978,plant_height,121
20015,1978-1978,plant_height,107
20015,1978-1978,plant_height,120
20015,1978-1978,plant_height,127
20015,1978-1978,plant_height,93
20015,1978-1978,plant_height,128
20015,1978-1978,plant_height,125
20015,1978-1978,plant_height,126
20015,1978-1978,plant_height,117
20015,1978-1978,plant_height,113
20015,1978-1978,plant_height,123
20015,1978-1978,plant_height,104
20015,1978-1978,plant_height,109
20015,1978-1978,plant_height,92
20015,1978-1978,plant_height,103
20015,1978-1978,plant_height,129
20015,1978-1978,thousand_kernel_weight,36
20015,1978-1978,thousand_kernel_weight,43.6
20015,1978-1978,thousand_kernel_weight,41.1
20015,1978-1978,thousand_kernel_weight,30.7
20015,1978-1978,thousand_kernel_weight,31.8
20015,1978-1978,thousand_kernel_weight,32.6
20015,1978-1978,thousand_kernel_weight,34.9
20015,1978-1978,thousand_kernel_weight,35.5
20015,1978-1978,thousand_kernel_weight,36.8
20015,1978-1978,thousand_kernel_weight,40.3
20015,1978-1978,thousand_kernel_weight,41.7
20015,1978-1978,thousand_kernel_weight,41.8
20015,1978-1978,thousand_kernel_weight,45.7
20015,1978-1978,thousand_kernel_weight,45.9
20015,1978-1978,thousand_kernel_weight,33.8
20015,1978-1978,thousand_kernel_weight,34.1
20015,1978-1978,thousand_kernel_weight,38
20015,1978-1978,thousand_kernel_weight,38.9
20015,1978-1978,thousand_kernel_weight,46
20015,1978-1978,thousand_kernel_weight,35.6
20015,1978-1978,thousand_kernel_weight,36.7
20015,1978-1978,thousand_kernel_weight,37.8
20015,1978-1978,thousand_kernel_weight,39.8
20015,1978-1978,thousand_kernel_weight,40.8
20015,1978-1978,thousand_kernel_weight,44.7
20015,1978-1978,thousand_kernel_weight,44.9
20015,1978-1978,thousand_kernel_weight,45.3
20015,1978-1978,thousand_kernel_weight,45.4
20015,1978-1978,thousand_kernel_weight,47.8
20015,1978-1978,thousand_kernel_weight,34.6
20015,1978-1978,thousand_kernel_weight,35.8
20015,1978-1978,thousand_kernel_weight,31.9
20015,1978-1978,thousand_kernel_weight,35.2
20015,1978-1978,thousand_kernel_weight,39.4
20015,1978-1978,thousand_kernel_weight,43.4
20015,1978-1978,thousand_kernel_weight,43.5
20015,1978-1978,thousand_kernel_weight,29
20015,1978-1978,thousand_kernel_weight,33.2
20015,1978-1978,thousand_kernel_weight,33.5
20015,1978-1978,thousand_kernel_weight,37.9
20015,1978-1978,thousand_kernel_weight,40
20015,1978-1978,thousand_kernel_weight,44
20015,1978-1978,thousand_kernel_weight,45.6
20015,1978-1978,thousand_kernel_weight,29.4
20015,1978-1978,thousand_kernel_weight,35
20015,1978-1978,thousand_kernel_weight,35.4
20015,1978-1978,thousand_kernel_weight,37.3
20015,1978-1978,thousand_kernel_weight,41.5
20015,1978-1978,thousand_kernel_weight,27.2
20015,1978-1978,thousand_kernel_weight,29.6
20015,1978-1978,thousand_kernel_weight,31.2
20015,1978-1978,thousand_kernel_weight,32.2
20015,1978-1978,thousand_kernel_weight,34.4
20015,1978-1978,thousand_kernel_weight,36.1
20015,1978-1978,thousand_kernel_weight,36.4
20015,1978-1978,thousand_kernel_weight,44.2
20015,1978-1978,thousand_kernel_weight,26.2
20015,1978-1978,thousand_kernel_weight,26.4
20015,1978-1978,thousand_kernel_weight,29.1
20015,1978-1978,thousand_kernel_weight,29.7
20015,1978-1978,thousand_kernel_weight,30.5
20015,1978-1978,thousand_kernel_weight,31.7
20015,1978-1978,thousand_kernel_weight,32.8
20015,1978-1978,thousand_kernel_weight,33.6
20015,1978-1978,thousand_kernel_weight,33.7
20015,1978-1978,thousand_kernel_weight,34.7
20015,1978-1978,thousand_kernel_weight,35.9
20015,1978-1978,thousand_kernel_weight,36.2
20015,1978-1978,thousand_kernel_weight,36.3
20015,1978-1978,thousand_kernel_weight,37.4
20015,1978-1978,thousand_kernel_weight,39.9
20015,1978-1978,thousand_kernel_weight,41.4
20015,1978-1978,thousand_kernel_weight,42.4
20015,1978-1978,thousand_kernel_weight,47.3
20015,1978-1978,thousand_kernel_weight,31.4
20015,1978-1978,thousand_kernel_weight,35.3
20015,1978-1978,thousand_kernel_weight,36.9
20015,1978-1978,thousand_kernel_weight,39.1
20015,1978-1978,thousand_kernel_weight,39.5
20015,1978-1978,thousand_kernel_weight,42.1
20015,1978-1978,thousand_kernel_weight,27.8
20015,1978-1978,thousand_kernel_weight,30.1
20015,1978-1978,thousand_kernel_weight,30.4
20015,1978-1978,thousand_kernel_weight,30.6
20015,1978-1978,thousand_kernel_weight,31.6
20015,1978-1978,thousand_kernel_weight,32.7
20015,1978-1978,thousand_kernel_weight,33.3
20015,1978-1978,thousand_kernel_weight,34.3
20015,1978-1978,thousand_kernel_weight,36.6
20015,1978-1978,thousand_kernel_weight,37.5
20015,1978-1978,thousand_kernel_weight,37.6
20015,1978-1978,thousand_kernel_weight,41.9
20015,1978-1978,thousand_kernel_weight,31.1
20015,1978-1978,thousand_kernel_weight,33.4
20015,1978-1978,thousand_kernel_weight,43.3
20015,1978-1978,thousand_kernel_weight,26.6
20015,1978-1978,thousand_kernel_weight,29.9
20015,1978-1978,thousand_kernel_weight,30
20015,1978-1978,thousand_kernel_weight,31.5
20015,1978-1978,thousand_kernel_weight,34
20015,1978-1978,thousand_kernel_weight,37.7
20015,1978-1978,thousand_kernel_weight,38.3
20015,1978-1978,thousand_kernel_weight,40.6
20015,1978-1978,thousand_kernel_weight,42.2
20015,1978-1978,thousand_kernel_weight,44.5
20015,1978-1978,thousand_kernel_weight,47
20015,1978-1978,thousand_kernel_weight,48.5
20015,1978-1978,thousand_kernel_weight,28.6
20015,1978-1978,thousand_kernel_weight,31
20015,1978-1978,thousand_kernel_weight,32.9
20015,1978-1978,thousand_kernel_weight,33
20015,1978-1978,thousand_kernel_weight,37.1
20015,1978-1978,thousand_kernel_weight,38.1
20015,1978-1978,thousand_kernel_weight,38.7
20015,1978-1978,thousand_kernel_weight,45.1
20015,1978-1978,thousand_kernel_weight,26.1
20015,1978-1978,thousand_kernel_weight,27
20015,1978-1978,thousand_kernel_weight,27.5
20015,1978-1978,thousand_kernel_weight,27.7
20015,1978-1978,thousand_kernel_weight,28.8
20015,1978-1978,thousand_kernel_weight,29.2
20015,1978-1978,thousand_kernel_weight,32
20015,1978-1978,thousand_kernel_weight,32.5
20015,1978-1978,thousand_kernel_weight,34.8
20015,1978-1978,thousand_kernel_weight,41.2
20015,1978-1978,thousand_kernel_weight,42.7
20015,1978-1978,thousand_kernel_weight,43.7
20015,1978-1978,thousand_kernel_weight,46.5
20015,1978-1978,thousand_kernel_weight,48.1
20015,1978-1978,thousand_kernel_weight,27.4
20015,1978-1978,thousand_kernel_weight,28.2
20015,1978-1978,thousand_kernel_weight,26.9
20015,1978-1978,thousand_kernel_weight,28.4
20015,1978-1978,thousand_kernel_weight,30.9
20015,1978-1978,thousand_kernel_weight,38.6
20015,1978-1978,thousand_kernel_weight,39.6
20015,1978-1978,thousand_kernel_weight,25.8
20015,1978-1978,thousand_kernel_weight,29.3
20015,1978-1978,thousand_kernel_weight,32.4
20015,1978-1978,thousand_kernel_weight,48.3
20015,1978-1978,thousand_kernel_weight,30.8
20015,1978-1978,thousand_kernel_weight,25.9
20015,1978-1978,thousand_kernel_weight,42
20015,1978-1978,thousand_kernel_weight,44.4
20015,1978-1978,thousand_kernel_weight,26
20015,1978-1978,thousand_kernel_weight,45.2
20015,1978-1978,thousand_kernel_weight,26.8
20015,1978-1978,thousand_kernel_weight,40.5
20016,1978-1978,end_of_heading,169
20016,1978-1978,plant_height,109
20016,1978-1978,thousand_kernel_weight,44.7
20017,1978-1978,end_of_heading,177
20017,1978-1978,plant_height,130
20017,1978-1978,thousand_kernel_weight,36
20018,1978-1978,end_of_heading,174
20018,1978-1978,plant_height,112
20018,1978-1978,thousand_kernel_weight,44.7
20019,1978-1978,end_of_heading,177
20019,1978-1978,plant_height,123
20019,1978-1978,thousand_kernel_weight,37.4
20020,1978-1978,end_of_heading,177
20020,1978-1978,plant_height,108
20020,1978-1978,thousand_kernel_weight,43.7
20021,1978-1978,end_of_heading,170
20021,1978-1978,plant_height,126
20021,1978-1978,thousand_kernel_weight,33.3
20023,1978-1978,end_of_heading,171
20023,1978-1978,plant_height,138
20023,1978-1978,thousand_kernel_weight,55.1
20024,1978-1978,end_of_heading,171
20024,1978-1978,plant_height,90
20024,1978-1978,thousand_kernel_weight,47.6
20025,1978-1978,end_of_heading,171
20025,1978-1978,plant_height,116
20025,1978-1978,thousand_kernel_weight,39.6
20026,1978-1978,end_of_heading,174
20026,1978-1978,plant_height,133
20026,1978-1978,thousand_kernel_weight,38.9
20027,1978-1978,end_of_heading,168
20027,1978-1978,plant_height,75
20027,1978-1978,thousand_kernel_weight,51.6
20028,1978-1978,end_of_heading,172
20028,1978-1978,plant_height,100
20028,1978-1978,thousand_kernel_weight,35.3
20029,1978-1978,end_of_heading,177
20029,1978-1978,plant_height,114
20029,1978-1978,thousand_kernel_weight,27.9
20030,1978-1978,end_of_heading,177
20030,1978-1978,plant_height,140
20030,1978-1978,thousand_kernel_weight,36.7
20031,1978-1978,end_of_heading,176
20031,1978-1978,plant_height,112
20031,1978-1978,thousand_kernel_weight,41.4
20032,1978-1978,end_of_heading,174
20032,1978-1978,plant_height,128
20032,1978-1978,thousand_kernel_weight,31.1
20033,1978-1978,end_of_heading,169
20033,1978-1978,plant_height,110
20033,1978-1978,thousand_kernel_weight,52.1
20034,1978-1978,end_of_heading,178
20034,1978-1978,plant_height,125
20034,1978-1978,thousand_kernel_weight,47.8
20035,1978-1978,end_of_heading,167
20035,1978-1978,plant_height,89
20035,1978-1978,thousand_kernel_weight,45.2
20036,1978-1978,end_of_heading,164
20036,1978-1978,plant_height,84
20036,1978-1978,thousand_kernel_weight,35.9
20037,1978-1978,end_of_heading,169
20037,1978-1978,plant_height,103
20037,1978-1978,thousand_kernel_weight,31.5
20038,1978-1978,end_of_heading,173
20038,1978-1978,plant_height,82
20038,1978-1978,thousand_kernel_weight,39.3
20043,1978-1978,end_of_heading,165
20043,1978-1978,plant_height,78
20043,1978-1978,thousand_kernel_weight,46.9
20045,1978-1978,end_of_heading,174
20045,1978-1978,plant_height,102
20045,1978-1978,thousand_kernel_weight,45.6
20046,1978-1978,end_of_heading,169
20046,1978-1978,plant_height,72
20046,1978-1978,thousand_kernel_weight,37.5
20047,1978-1978,end_of_heading,173
20047,1978-1978,plant_height,86
20047,1978-1978,thousand_kernel_weight,50.1
20048,1978-1978,end_of_heading,172
20048,1978-1978,plant_height,92
20048,1978-1978,thousand_kernel_weight,49.8
20049,1978-1978,end_of_heading,168
20049,1978-1978,plant_height,92
20049,1978-1978,thousand_kernel_weight,47.1
20050,1978-1978,end_of_heading,166
20050,1978-1978,plant_height,88
