accenumb,agent_id,doi,sowing_date,beginning_of_heading_date,date_of_heading,end_of_heading_date,plant_height,thousand_kernel_weight,sowing_-_beginning_of_heading,sowing_-_full_heading,sowing_-_end_of_heading,beginning_of_heading_-_full_heading,beginning_of_heading_-_end_of_heading,full_heading_-_end_of_heading,beginning_of_heading,full_heading,end_of_heading,name,description,campaign,days_to_heading
35090,NA,NA,19731009,19740617,19740624,NA,97,36,251,258,NA,7,NA,NA,167,174,NA,observation during multiplication,material multiplication and observation,1973-1974,174
35091,NA,NA,19731009,19740607,19740612,NA,110,37,241,246,NA,5,NA,NA,157,162,NA,observation during multiplication,material multiplication and observation,1973-1974,162
35092,NA,NA,19731009,19740604,19740607,NA,103,38.3,238,241,NA,3,NA,NA,154,157,NA,observation during multiplication,material multiplication and observation,1973-1974,157
35094,NA,NA,19731009,19740530,19740605,NA,109,42.3,233,239,NA,6,NA,NA,149,155,NA,observation during multiplication,material multiplication and observation,1973-1974,155
35097,NA,NA,19731009,19740608,19740612,NA,127,47.3,242,246,NA,4,NA,NA,158,162,NA,observation during multiplication,material multiplication and observation,1973-1974,162
35098,NA,NA,19731009,19740531,19740607,NA,109,53,234,241,NA,7,NA,NA,150,157,NA,observation during multiplication,material multiplication and observation,1973-1974,157
35099,NA,NA,19731009,19740530,19740604,NA,114,40.5,233,238,NA,5,NA,NA,149,154,NA,observation during multiplication,material multiplication and observation,1973-1974,154
35232,NA,NA,19731009,19740605,19740608,NA,95,32.5,239,242,NA,3,NA,NA,155,158,NA,observation during multiplication,material multiplication and observation,1973-1974,158
35236,NA,NA,19730912,19740519,19740523,NA,80,35.8,249,253,NA,4,NA,NA,138,142,NA,observation during multiplication,material multiplication and observation,1973-1974,142
35236,NA,NA,19730914,19740518,19740523,NA,90,29.8,246,251,NA,5,NA,NA,137,142,NA,observation during multiplication,material multiplication and observation,1973-1974,142
35240,NA,NA,19730912,19740526,19740529,NA,109,36.5,256,259,NA,3,NA,NA,145,148,NA,observation during multiplication,material multiplication and observation,1973-1974,148
35250,NA,NA,19730914,19740523,19740527,NA,107,39.5,251,255,NA,4,NA,NA,142,146,NA,observation during multiplication,material multiplication and observation,1973-1974,146
