genotype,plant_height_BLUE,thousand_kernel_weight_BLUE
35004,NA,NA
35007,107,51.51
35009,NA,51.77
35011,NA,NA
35016,NA,NA
35019,NA,NA
35023,NA,NA
35025,NA,NA
35028,NA,NA
35029,NA,NA
35035,NA,NA
35041,NA,NA
35042,NA,NA
35043,NA,NA
35046,NA,NA
35049,NA,NA
35051,NA,NA
35052,NA,NA
35053,NA,NA
35055,NA,NA
35056,NA,NA
35059,NA,NA
35060,NA,NA
35067,NA,NA
35090,NA,NA
35091,NA,NA
35092,NA,NA
35094,NA,NA
35097,NA,NA
35098,NA,NA
35099,NA,NA
35127,NA,NA
35232,NA,NA
35236,85,32.88
35238,NA,NA
35240,NA,NA
35244,NA,NA
35247,NA,NA
35248,NA,NA
35250,NA,NA
35251,NA,NA
35252,NA,NA
35254,NA,NA
35256,NA,NA
35257,NA,NA
35259,113.07,NA
35264,NA,NA
35265,NA,NA
35278,97.5,46.43
35284,NA,NA
35287,NA,NA
35290,NA,NA
35294,NA,NA
35295,NA,NA
35297,NA,NA
35298,102,37.63
35299,110.5,40.83
35305,NA,NA
35306,NA,NA
35311,NA,NA
35316,NA,NA
35317,105.07,45.2
35318,NA,NA
35320,NA,NA
35331,NA,NA
35334,NA,NA
35338,NA,NA
35342,NA,NA
35343,NA,NA
35344,NA,NA
35349,116,42.78
35354,NA,NA
35356,NA,NA
35357,NA,NA
35359,NA,NA
35360,NA,NA
35361,NA,NA
35364,NA,NA
35366,NA,NA
35368,107.5,27.48
35370,NA,NA
35371,134.5,39.73
35372,NA,NA
35373,NA,NA
35374,94.58,NA
35376,NA,NA
35378,NA,NA
35380,NA,NA
35381,NA,NA
35382,NA,NA
35383,101.5,37.83
35384,NA,NA
35387,122,39.25
35388,NA,NA
35389,NA,NA
35392,NA,NA
35395,NA,NA
35396,NA,NA
35397,NA,NA
35401,NA,NA
35402,NA,NA
35404,116.5,36.53
35407,NA,NA
35408,NA,NA
35409,NA,NA
35411,NA,NA
35413,NA,NA
35414,NA,NA
35429,NA,NA
35435,NA,NA
35436,NA,NA
35437,NA,NA
35440,NA,NA
35441,102.81,52.1
35442,NA,NA
35449,NA,NA
35450,NA,NA
35453,114,39.23
35454,NA,NA
35457,NA,NA
35459,NA,NA
35511,NA,NA
35547,NA,36.98
35548,NA,NA
35549,NA,NA
35561,113.5,41.13
35562,NA,NA
35572,NA,NA
35573,NA,NA
35583,NA,NA
35585,105.67,34.31
35586,NA,NA
35589,112,29.93
35592,109.5,41.18
35594,NA,NA
35595,NA,NA
35597,NA,NA
35598,NA,NA
35599,NA,NA
35600,NA,NA
35607,109,42.18
35608,NA,NA
35624,NA,NA
35625,122.67,40.84
35627,NA,NA
35628,122.5,37.44
35629,NA,NA
35631,113.25,35.51
35632,121.5,37.58
35633,126.5,39.73
35636,NA,NA
35637,NA,NA
35638,120,35.83
35640,112.33,34.61
35641,NA,NA
35660,NA,NA
35664,104.67,41.94
35674,NA,NA
35678,120,32.83
35684,117.5,28.48
35687,NA,NA
35697,NA,NA
35699,NA,NA
35700,106.5,39.38
35711,NA,NA
35712,120.5,41.38
35715,122.5,43.03
35718,NA,NA
35721,107.33,36.94
35722,NA,NA
35723,114.25,31.24
35724,NA,NA
35741,NA,NA
35748,115.04,38.03
35749,111,40.08
35752,NA,NA
35759,NA,NA
35761,NA,NA
35765,104.33,31.58
35798,115,44.08
35806,NA,NA
35808,NA,36.28
35809,NA,NA
35826,NA,NA
35832,107,32.73
35874,107,33.23
35881,NA,NA
35885,NA,NA
35901,NA,NA
35902,NA,NA
35904,NA,48.38
35905,109,51.03
35906,110.5,38.23
35908,NA,NA
35909,NA,NA
35910,110.33,44.54
35913,109.29,42.57
35915,NA,NA
35917,NA,NA
35918,NA,NA
35919,NA,NA
35920,NA,NA
35922,NA,NA
35923,NA,NA
35924,NA,NA
35925,NA,NA
35926,NA,NA
35927,NA,NA
35928,112,36.33
35929,117,43.08
35930,NA,NA
35931,NA,NA
35932,NA,NA
35933,119.5,43.73
35934,NA,NA
35935,NA,NA
35937,NA,NA
35938,NA,NA
35939,NA,NA
35940,NA,NA
35941,NA,NA
35944,NA,NA
35946,NA,NA
35948,NA,NA
35949,NA,NA
35950,NA,NA
35951,NA,NA
35952,NA,NA
35953,NA,NA
35954,NA,NA
35955,111.5,40.13
35956,NA,NA
35957,NA,NA
35959,NA,NA
35960,NA,NA
35961,NA,NA
35962,NA,NA
35963,NA,NA
35964,NA,NA
35965,104.5,35.03
35966,NA,NA
35967,NA,NA
35968,NA,NA
35969,NA,NA
35970,NA,NA
35971,NA,NA
35973,NA,NA
35974,NA,NA
35975,NA,NA
35976,NA,NA
35977,NA,NA
35980,124,42.68
35983,NA,NA
35984,NA,NA
35985,NA,NA
35986,NA,NA
35988,113.5,35.18
35989,NA,NA
35990,NA,NA
35991,NA,NA
35992,NA,NA
35993,NA,NA
35994,NA,NA
35995,NA,NA
35996,NA,NA
35997,NA,NA
35998,NA,NA
35999,108,37.03
36001,104.5,30.58
36002,NA,NA
36003,NA,NA
36004,NA,NA
36006,NA,NA
36008,NA,NA
36011,NA,NA
36012,NA,NA
36017,NA,NA
36018,NA,NA
36019,NA,NA
36020,109,37.63
36021,NA,NA
36022,NA,NA
36023,NA,NA
36024,NA,NA
