accenumb,campaign,trait,value
35278,1973-1974,days_to_heading,144
35278,1973-1974,days_to_heading,145
35278,1973-1974,plant_height,94
35278,1973-1974,plant_height,101
35278,1973-1974,thousand_kernel_weight,47.9
35278,1973-1974,thousand_kernel_weight,44.8
35349,1973-1974,days_to_heading,147
35349,1973-1974,days_to_heading,146
35349,1973-1974,plant_height,117
35349,1973-1974,plant_height,115
35349,1973-1974,thousand_kernel_weight,40.8
35349,1973-1974,thousand_kernel_weight,41.8
35349,1973-1974,thousand_kernel_weight,45.5
35371,1973-1974,days_to_heading,151
35371,1973-1974,days_to_heading,150
35371,1973-1974,plant_height,137
35371,1973-1974,plant_height,132
35371,1973-1974,thousand_kernel_weight,39
35371,1973-1974,thousand_kernel_weight,40.3
35387,1973-1974,days_to_heading,150
35387,1973-1974,days_to_heading,151
35387,1973-1974,days_to_heading,149
35387,1973-1974,plant_height,123
35387,1973-1974,plant_height,120
35387,1973-1974,plant_height,117
35387,1973-1974,plant_height,128
35387,1973-1974,thousand_kernel_weight,44
35387,1973-1974,thousand_kernel_weight,37.8
35387,1973-1974,thousand_kernel_weight,34.3
35387,1973-1974,thousand_kernel_weight,40.6
35404,1973-1974,days_to_heading,147
35404,1973-1974,days_to_heading,150
35404,1973-1974,plant_height,115
35404,1973-1974,plant_height,118
35404,1973-1974,thousand_kernel_weight,36
35404,1973-1974,thousand_kernel_weight,36.9
35453,1973-1974,days_to_heading,150
35453,1973-1974,days_to_heading,151
35453,1973-1974,plant_height,116
35453,1973-1974,plant_height,112
35453,1973-1974,thousand_kernel_weight,38.8
35453,1973-1974,thousand_kernel_weight,39.5
35547,1973-1974,days_to_heading,144
35547,1973-1974,days_to_heading,143
35547,1973-1974,thousand_kernel_weight,35.8
35547,1973-1974,thousand_kernel_weight,38
35561,1973-1974,days_to_heading,144
35561,1973-1974,days_to_heading,147
35561,1973-1974,plant_height,104
35561,1973-1974,plant_height,123
35561,1973-1974,thousand_kernel_weight,40
35561,1973-1974,thousand_kernel_weight,42.1
35589,1973-1974,days_to_heading,146
35589,1973-1974,days_to_heading,145
35589,1973-1974,plant_height,115
35589,1973-1974,plant_height,109
35589,1973-1974,thousand_kernel_weight,29.9
35589,1973-1974,thousand_kernel_weight,29.8
35625,1973-1974,days_to_heading,147
35625,1973-1974,days_to_heading,145
35625,1973-1974,days_to_heading,150
35625,1973-1974,plant_height,126
35625,1973-1974,plant_height,123
35625,1973-1974,plant_height,119
35625,1973-1974,thousand_kernel_weight,40.5
35625,1973-1974,thousand_kernel_weight,39.8
35625,1973-1974,thousand_kernel_weight,42
35628,1973-1974,days_to_heading,147
35628,1973-1974,days_to_heading,149
35628,1973-1974,days_to_heading,151
35628,1973-1974,plant_height,126
35628,1973-1974,plant_height,119
35628,1973-1974,thousand_kernel_weight,33.3
35628,1973-1974,thousand_kernel_weight,35.5
35628,1973-1974,thousand_kernel_weight,43.3
35631,1973-1974,days_to_heading,146
35631,1973-1974,days_to_heading,142
35631,1973-1974,days_to_heading,143
35631,1973-1974,plant_height,108
35631,1973-1974,plant_height,115
35631,1973-1974,plant_height,113
35631,1973-1974,plant_height,117
35631,1973-1974,thousand_kernel_weight,36.5
35631,1973-1974,thousand_kernel_weight,34.3
35631,1973-1974,thousand_kernel_weight,35.5
35632,1973-1974,days_to_heading,149
35632,1973-1974,days_to_heading,147
35632,1973-1974,plant_height,117
35632,1973-1974,plant_height,126
35632,1973-1974,thousand_kernel_weight,39.5
35632,1973-1974,thousand_kernel_weight,35.5
35638,1973-1974,days_to_heading,146
35638,1973-1974,days_to_heading,150
35638,1973-1974,plant_height,123
35638,1973-1974,plant_height,117
35638,1973-1974,thousand_kernel_weight,36.5
35638,1973-1974,thousand_kernel_weight,35
35640,1973-1974,days_to_heading,149
35640,1973-1974,days_to_heading,147
35640,1973-1974,plant_height,114
35640,1973-1974,plant_height,105
35640,1973-1974,plant_height,118
35640,1973-1974,thousand_kernel_weight,35
35640,1973-1974,thousand_kernel_weight,30.3
35640,1973-1974,thousand_kernel_weight,38.3
35664,1973-1974,days_to_heading,146
35664,1973-1974,days_to_heading,147
35664,1973-1974,plant_height,104
35664,1973-1974,plant_height,110
35664,1973-1974,plant_height,100
35664,1973-1974,thousand_kernel_weight,41.8
35664,1973-1974,thousand_kernel_weight,41.5
35664,1973-1974,thousand_kernel_weight,42.3
35678,1973-1974,days_to_heading,145
35678,1973-1974,days_to_heading,144
35678,1973-1974,plant_height,125
35678,1973-1974,plant_height,115
35678,1973-1974,thousand_kernel_weight,35
35678,1973-1974,thousand_kernel_weight,30.5
35684,1973-1974,days_to_heading,144
35684,1973-1974,days_to_heading,142
35684,1973-1974,plant_height,120
35684,1973-1974,plant_height,115
35684,1973-1974,thousand_kernel_weight,25.3
35684,1973-1974,thousand_kernel_weight,31.5
35700,1973-1974,days_to_heading,151
35700,1973-1974,days_to_heading,158
35700,1973-1974,plant_height,103
35700,1973-1974,plant_height,110
35700,1973-1974,thousand_kernel_weight,40.3
35700,1973-1974,thousand_kernel_weight,38.3
35712,1973-1974,days_to_heading,143
35712,1973-1974,days_to_heading,145
35712,1973-1974,plant_height,117
35712,1973-1974,plant_height,124
35712,1973-1974,thousand_kernel_weight,44.1
35712,1973-1974,thousand_kernel_weight,38.5
35715,1973-1974,days_to_heading,143
35715,1973-1974,days_to_heading,144
35715,1973-1974,plant_height,121
35715,1973-1974,plant_height,124
35715,1973-1974,thousand_kernel_weight,47.5
35715,1973-1974,thousand_kernel_weight,38.4
35721,1973-1974,days_to_heading,146
35721,1973-1974,days_to_heading,147
35721,1973-1974,plant_height,106
35721,1973-1974,plant_height,103
35721,1973-1974,plant_height,113
35721,1973-1974,thousand_kernel_weight,34.8
35721,1973-1974,thousand_kernel_weight,36.3
35721,1973-1974,thousand_kernel_weight,39.5
35723,1973-1974,days_to_heading,146
35723,1973-1974,days_to_heading,144
35723,1973-1974,days_to_heading,147
35723,1973-1974,days_to_heading,145
35723,1973-1974,days_to_heading,149
35723,1973-1974,plant_height,110
35723,1973-1974,plant_height,120
35723,1973-1974,plant_height,108
35723,1973-1974,plant_height,119
35723,1973-1974,thousand_kernel_weight,29.4
35723,1973-1974,thousand_kernel_weight,30.4
35723,1973-1974,thousand_kernel_weight,32.6
35723,1973-1974,thousand_kernel_weight,31
35723,1973-1974,thousand_kernel_weight,30.8
35723,1973-1974,thousand_kernel_weight,32.8
35749,1973-1974,days_to_heading,142
35749,1973-1974,days_to_heading,146
35749,1973-1974,plant_height,107
35749,1973-1974,plant_height,115
35749,1973-1974,thousand_kernel_weight,35.5
35749,1973-1974,thousand_kernel_weight,44.5
35798,1973-1974,days_to_heading,146
35798,1973-1974,days_to_heading,147
35798,1973-1974,plant_height,110
35798,1973-1974,plant_height,120
35798,1973-1974,thousand_kernel_weight,47
35798,1973-1974,thousand_kernel_weight,41
35832,1973-1974,days_to_heading,156
35832,1973-1974,days_to_heading,157
35832,1973-1974,plant_height,109
35832,1973-1974,plant_height,105
35832,1973-1974,thousand_kernel_weight,31
35832,1973-1974,thousand_kernel_weight,34.3
35904,1973-1974,days_to_heading,144
35904,1973-1974,days_to_heading,145
35904,1973-1974,thousand_kernel_weight,47.6
35904,1973-1974,thousand_kernel_weight,49
35905,1973-1974,days_to_heading,145
35905,1973-1974,days_to_heading,153
35905,1973-1974,plant_height,112
35905,1973-1974,plant_height,106
35905,1973-1974,thousand_kernel_weight,50.6
35905,1973-1974,thousand_kernel_weight,51.3
35906,1973-1974,days_to_heading,139
35906,1973-1974,days_to_heading,144
35906,1973-1974,plant_height,110
35906,1973-1974,plant_height,111
35906,1973-1974,thousand_kernel_weight,33.2
35906,1973-1974,thousand_kernel_weight,43.1
35913,1973-1974,days_to_heading,143
35913,1973-1974,days_to_heading,146
35913,1973-1974,plant_height,113
35913,1973-1974,plant_height,108
35913,1973-1974,thousand_kernel_weight,44.5
35913,1973-1974,thousand_kernel_weight,40.3
35928,1973-1974,days_to_heading,146
35928,1973-1974,days_to_heading,148
35928,1973-1974,plant_height,109
35928,1973-1974,plant_height,115
35928,1973-1974,thousand_kernel_weight,39.6
35928,1973-1974,thousand_kernel_weight,32.9
35929,1973-1974,days_to_heading,147
35929,1973-1974,days_to_heading,145
35929,1973-1974,plant_height,119
35929,1973-1974,plant_height,115
35929,1973-1974,thousand_kernel_weight,45.5
35929,1973-1974,thousand_kernel_weight,40.5
35955,1973-1974,days_to_heading,146
35955,1973-1974,days_to_heading,148
35955,1973-1974,plant_height,117
35955,1973-1974,plant_height,106
35955,1973-1974,thousand_kernel_weight,39.1
35955,1973-1974,thousand_kernel_weight,41
35965,1973-1974,days_to_heading,145
35965,1973-1974,days_to_heading,143
35965,1973-1974,plant_height,111
35965,1973-1974,plant_height,98
35965,1973-1974,thousand_kernel_weight,34.9
35965,1973-1974,thousand_kernel_weight,35
35980,1973-1974,days_to_heading,154
35980,1973-1974,days_to_heading,151
35980,1973-1974,days_to_heading,147
35980,1973-1974,plant_height,133
35980,1973-1974,plant_height,124
35980,1973-1974,plant_height,115
35980,1973-1974,thousand_kernel_weight,42.5
35980,1973-1974,thousand_kernel_weight,42.3
35980,1973-1974,thousand_kernel_weight,43
35999,1973-1974,days_to_heading,158
35999,1973-1974,days_to_heading,154
35999,1973-1974,plant_height,101
35999,1973-1974,plant_height,115
35999,1973-1974,thousand_kernel_weight,34.9
35999,1973-1974,thousand_kernel_weight,39
36020,1973-1974,days_to_heading,146
36020,1973-1974,days_to_heading,141
36020,1973-1974,plant_height,110
36020,1973-1974,plant_height,108
36020,1973-1974,thousand_kernel_weight,37.8
36020,1973-1974,thousand_kernel_weight,37.3
36029,1973-1974,days_to_heading,147
36029,1973-1974,days_to_heading,146
36029,1973-1974,plant_height,120
36029,1973-1974,plant_height,112
36029,1973-1974,thousand_kernel_weight,36.5
36029,1973-1974,thousand_kernel_weight,40
36036,1973-1974,days_to_heading,150
36036,1973-1974,days_to_heading,151
36036,1973-1974,plant_height,111
36036,1973-1974,plant_height,113
36036,1973-1974,thousand_kernel_weight,36.5
36036,1973-1974,thousand_kernel_weight,34.5
36038,1973-1974,days_to_heading,146
36038,1973-1974,days_to_heading,147
36038,1973-1974,plant_height,107
36038,1973-1974,plant_height,101
36038,1973-1974,thousand_kernel_weight,35
36038,1973-1974,thousand_kernel_weight,34.8
36044,1973-1974,days_to_heading,140
36044,1973-1974,days_to_heading,149
36044,1973-1974,plant_height,108
36044,1973-1974,plant_height,110
36044,1973-1974,thousand_kernel_weight,42.3
36044,1973-1974,thousand_kernel_weight,40.8
36056,1973-1974,days_to_heading,147
36056,1973-1974,days_to_heading,148
36056,1973-1974,plant_height,117
36056,1973-1974,plant_height,126
36056,1973-1974,thousand_kernel_weight,37.8
36056,1973-1974,thousand_kernel_weight,37
36058,1973-1974,days_to_heading,150
36058,1973-1974,days_to_heading,147
36058,1973-1974,plant_height,110
36058,1973-1974,plant_height,112
36058,1973-1974,thousand_kernel_weight,40.3
36058,1973-1974,thousand_kernel_weight,40.9
36066,1973-1974,days_to_heading,141
36066,1973-1974,days_to_heading,140
36066,1973-1974,plant_height,102
36066,1973-1974,plant_height,100
36066,1973-1974,thousand_kernel_weight,36.3
36066,1973-1974,thousand_kernel_weight,36.8
36069,1973-1974,days_to_heading,150
36069,1973-1974,days_to_heading,148
36069,1973-1974,plant_height,121
36069,1973-1974,plant_height,117
36069,1973-1974,plant_height,108
36069,1973-1974,thousand_kernel_weight,43
36069,1973-1974,thousand_kernel_weight,45.5
36069,1973-1974,thousand_kernel_weight,46.3
36087,1973-1974,days_to_heading,142
36087,1973-1974,days_to_heading,147
36087,1973-1974,plant_height,121
36087,1973-1974,plant_height,120
36087,1973-1974,thousand_kernel_weight,34.8
36087,1973-1974,thousand_kernel_weight,33.8
36097,1973-1974,days_to_heading,146
36097,1973-1974,days_to_heading,142
36097,1973-1974,days_to_heading,141
36097,1973-1974,plant_height,112
36097,1973-1974,plant_height,110
36097,1973-1974,plant_height,111
36097,1973-1974,thousand_kernel_weight,35
36097,1973-1974,thousand_kernel_weight,35.3
36097,1973-1974,thousand_kernel_weight,34.8
36099,1973-1974,days_to_heading,153
36099,1973-1974,days_to_heading,154
36099,1973-1974,plant_height,125
36099,1973-1974,plant_height,128
36099,1973-1974,thousand_kernel_weight,33
36099,1973-1974,thousand_kernel_weight,31
36105,1973-1974,days_to_heading,144
36105,1973-1974,days_to_heading,143
36105,1973-1974,thousand_kernel_weight,35.8
36105,1973-1974,thousand_kernel_weight,35
36123,1973-1974,days_to_heading,144
36123,1973-1974,days_to_heading,143
36123,1973-1974,plant_height,118
36123,1973-1974,plant_height,106
36123,1973-1974,plant_height,119
36123,1973-1974,thousand_kernel_weight,37.5
36123,1973-1974,thousand_kernel_weight,38.5
36123,1973-1974,thousand_kernel_weight,38
36124,1973-1974,days_to_heading,154
36124,1973-1974,days_to_heading,145
36124,1973-1974,plant_height,117
36124,1973-1974,plant_height,119
36124,1973-1974,thousand_kernel_weight,35.8
36124,1973-1974,thousand_kernel_weight,33
36130,1973-1974,days_to_heading,147
36130,1973-1974,days_to_heading,149
36130,1973-1974,plant_height,108
36130,1973-1974,plant_height,118
36130,1973-1974,thousand_kernel_weight,34
36130,1973-1974,thousand_kernel_weight,33.5
36146,1973-1974,days_to_heading,146
36146,1973-1974,days_to_heading,147
36146,1973-1974,plant_height,109
36146,1973-1974,plant_height,117
36146,1973-1974,thousand_kernel_weight,37.3
36146,1973-1974,thousand_kernel_weight,36.5
36161,1973-1974,days_to_heading,146
36161,1973-1974,days_to_heading,148
36161,1973-1974,plant_height,99
36161,1973-1974,plant_height,100
36161,1973-1974,plant_height,112
36161,1973-1974,thousand_kernel_weight,51.3
36161,1973-1974,thousand_kernel_weight,50.8
36161,1973-1974,thousand_kernel_weight,45.5
36171,1973-1974,days_to_heading,145
36171,1973-1974,days_to_heading,143
36171,1973-1974,plant_height,118
36171,1973-1974,plant_height,121
36171,1973-1974,thousand_kernel_weight,35.5
36171,1973-1974,thousand_kernel_weight,33
36190,1973-1974,days_to_heading,143
36190,1973-1974,days_to_heading,150
36190,1973-1974,plant_height,101
36190,1973-1974,plant_height,119
36190,1973-1974,thousand_kernel_weight,39.3
36190,1973-1974,thousand_kernel_weight,40
36191,1973-1974,days_to_heading,147
36191,1973-1974,days_to_heading,150
36191,1973-1974,plant_height,118
36191,1973-1974,plant_height,113
36191,1973-1974,thousand_kernel_weight,35.5
36191,1973-1974,thousand_kernel_weight,39
36195,1973-1974,days_to_heading,151
36195,1973-1974,days_to_heading,152
36195,1973-1974,plant_height,117
36195,1973-1974,plant_height,113
36195,1973-1974,thousand_kernel_weight,34.8
36195,1973-1974,thousand_kernel_weight,37
36198,1973-1974,days_to_heading,151
36198,1973-1974,days_to_heading,152
36198,1973-1974,plant_height,121
36198,1973-1974,plant_height,131
36198,1973-1974,thousand_kernel_weight,40.8
36198,1973-1974,thousand_kernel_weight,42
36200,1973-1974,days_to_heading,151
36200,1973-1974,days_to_heading,152
36200,1973-1974,plant_height,109
36200,1973-1974,plant_height,119
36200,1973-1974,plant_height,110
36200,1973-1974,thousand_kernel_weight,36
36200,1973-1974,thousand_kernel_weight,34.1
36200,1973-1974,thousand_kernel_weight,38
36208,1973-1974,days_to_heading,146
36208,1973-1974,days_to_heading,147
36208,1973-1974,plant_height,124
36208,1973-1974,plant_height,123
36208,1973-1974,thousand_kernel_weight,40
36208,1973-1974,thousand_kernel_weight,36
36212,1973-1974,days_to_heading,151
36212,1973-1974,days_to_heading,147
36212,1973-1974,plant_height,100
36212,1973-1974,plant_height,111
36212,1973-1974,plant_height,117
36212,1973-1974,plant_height,110
36212,1973-1974,thousand_kernel_weight,37.5
36212,1973-1974,thousand_kernel_weight,38.3
36212,1973-1974,thousand_kernel_weight,41
36212,1973-1974,thousand_kernel_weight,35.4
36218,1973-1974,days_to_heading,145
36218,1973-1974,days_to_heading,143
36218,1973-1974,plant_height,116
36218,1973-1974,plant_height,105
36218,1973-1974,plant_height,106
36218,1973-1974,thousand_kernel_weight,31
36218,1973-1974,thousand_kernel_weight,29.8
36218,1973-1974,thousand_kernel_weight,30
36220,1973-1974,days_to_heading,144
36220,1973-1974,days_to_heading,145
36220,1973-1974,plant_height,117
36220,1973-1974,plant_height,114
36220,1973-1974,thousand_kernel_weight,36
36220,1973-1974,thousand_kernel_weight,35.5
36234,1973-1974,days_to_heading,154
36234,1973-1974,days_to_heading,153
36234,1973-1974,plant_height,127
36234,1973-1974,plant_height,128
36234,1973-1974,thousand_kernel_weight,39.8
36234,1973-1974,thousand_kernel_weight,35.5
36236,1973-1974,days_to_heading,146
36236,1973-1974,days_to_heading,150
36236,1973-1974,plant_height,127
36236,1973-1974,plant_height,115
36236,1973-1974,thousand_kernel_weight,41.4
36236,1973-1974,thousand_kernel_weight,42.4
36261,1973-1974,days_to_heading,147
36261,1973-1974,days_to_heading,150
36261,1973-1974,plant_height,114
36261,1973-1974,plant_height,110
36261,1973-1974,thousand_kernel_weight,34.9
36261,1973-1974,thousand_kernel_weight,36.3
36261,1973-1974,thousand_kernel_weight,40.3
36481,1973-1974,days_to_heading,146
36481,1973-1974,days_to_heading,149
36481,1973-1974,plant_height,105
36481,1973-1974,plant_height,118
36481,1973-1974,thousand_kernel_weight,38.5
36481,1973-1974,thousand_kernel_weight,44
36536,1973-1974,days_to_heading,146
36536,1973-1974,days_to_heading,147
36536,1973-1974,plant_height,110
36536,1973-1974,plant_height,109
36536,1973-1974,plant_height,96
36536,1973-1974,thousand_kernel_weight,34.8
36536,1973-1974,thousand_kernel_weight,31.5
36536,1973-1974,thousand_kernel_weight,39.8
35236,1973-1974,plant_height,80
35236,1973-1974,plant_height,90
35236,1973-1974,thousand_kernel_weight,35.8
35236,1973-1974,thousand_kernel_weight,29.8
35298,1973-1974,plant_height,108
35298,1973-1974,plant_height,96
35298,1973-1974,thousand_kernel_weight,35.1
35298,1973-1974,thousand_kernel_weight,40
35299,1973-1974,plant_height,110
35299,1973-1974,plant_height,111
35299,1973-1974,thousand_kernel_weight,41.5
35299,1973-1974,thousand_kernel_weight,40
35368,1973-1974,plant_height,102
35368,1973-1974,plant_height,113
35368,1973-1974,thousand_kernel_weight,28
35368,1973-1974,thousand_kernel_weight,26.8
35383,1973-1974,plant_height,96
35383,1973-1974,plant_height,107
35383,1973-1974,thousand_kernel_weight,36.6
35383,1973-1974,thousand_kernel_weight,38.9
35585,1973-1974,plant_height,107
35585,1973-1974,plant_height,98
35585,1973-1974,plant_height,112
35585,1973-1974,thousand_kernel_weight,33.9
35585,1973-1974,thousand_kernel_weight,32.5
35585,1973-1974,thousand_kernel_weight,36.3
35592,1973-1974,plant_height,104
35592,1973-1974,plant_height,115
35592,1973-1974,thousand_kernel_weight,39.8
35592,1973-1974,thousand_kernel_weight,42.4
35607,1973-1974,plant_height,107
35607,1973-1974,plant_height,111
35607,1973-1974,thousand_kernel_weight,42.8
35607,1973-1974,thousand_kernel_weight,41.4
35633,1973-1974,plant_height,129
35633,1973-1974,plant_height,124
35633,1973-1974,thousand_kernel_weight,39
35633,1973-1974,thousand_kernel_weight,40.3
35748,1973-1974,plant_height,115
35748,1973-1974,plant_height,119
35748,1973-1974,thousand_kernel_weight,36.9
35748,1973-1974,thousand_kernel_weight,39
35765,1973-1974,plant_height,100
35765,1973-1974,plant_height,109
35765,1973-1974,plant_height,104
35765,1973-1974,thousand_kernel_weight,30
35765,1973-1974,thousand_kernel_weight,36
