genotype,end_of_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
1,NA,NA,NA
10,NA,NA,NA
100,160.32,110.92,41.06
1000,NA,NA,NA
1001,161.1,98.27,43.9
1002,NA,NA,NA
1003,NA,NA,NA
1004,162.52,103.19,40.49
1005,NA,NA,NA
1006,162.5,124.94,41.79
1007,161.81,124.11,45.64
1008,NA,NA,NA
1009,NA,NA,NA
101,162.19,110.52,38.37
1010,NA,NA,NA
1011,NA,NA,NA
1012,NA,NA,NA
1013,NA,NA,NA
1014,NA,NA,NA
1015,NA,NA,NA
1016,153.71,112.06,31.76
1017,155.74,100.63,37.64
1018,NA,NA,NA
1019,NA,NA,NA
102,167.32,125.12,40.21
1020,NA,NA,NA
1021,NA,NA,NA
1022,NA,105.7,36.63
1023,NA,NA,NA
1024,NA,NA,NA
1025,NA,NA,NA
1026,NA,NA,NA
1028,NA,NA,NA
1029,168.42,123.24,38.79
103,NA,NA,NA
1030,NA,NA,NA
1031,NA,NA,NA
1032,NA,NA,NA
1033,NA,NA,NA
1034,NA,NA,NA
1035,NA,NA,NA
1036,NA,NA,NA
1037,NA,NA,NA
1038,167.66,126.16,38.4
1039,NA,111.2,38.87
104,165.71,132.35,45.26
1040,157.3,94.03,39.88
1041,NA,NA,NA
1042,NA,NA,NA
1043,NA,NA,NA
1044,NA,NA,NA
1045,NA,NA,NA
1046,NA,NA,NA
1047,NA,NA,NA
1049,NA,NA,NA
105,NA,NA,NA
1050,NA,NA,NA
1051,NA,NA,NA
1052,NA,NA,NA
1053,NA,NA,NA
1054,NA,NA,NA
1055,162.51,134.3,46.12
1056,NA,NA,NA
1057,NA,NA,NA
1058,157.13,103.24,39.1
1059,NA,NA,NA
106,166.1,122.71,39.32
1060,165.51,120.06,39.64
1061,NA,NA,NA
1062,NA,NA,NA
1063,NA,NA,NA
1064,168.38,123.85,38.34
1065,164.98,139.27,45.61
1066,160.33,131.98,41.15
1067,164,142.04,41.57
1068,166.59,135.41,43.7
1069,163.36,132.87,41.3
107,NA,NA,NA
1070,159.16,126.92,41.04
1071,160.74,129.42,40.79
1072,164.26,132.07,43.59
1073,153.03,108.67,36.8
1074,NA,NA,NA
1075,NA,NA,NA
1076,159.31,112.08,34.05
1077,158.83,123.39,37.18
1078,NA,NA,NA
1079,NA,124.99,38.85
108,NA,NA,NA
1080,NA,112.39,50.81
1081,164.42,124.38,38.24
1082,NA,NA,NA
1083,NA,NA,NA
1084,NA,NA,NA
1085,NA,NA,NA
1086,166.14,131.23,42.03
1087,157.75,120.21,44.55
1088,NA,NA,NA
1089,NA,NA,42.42
109,161.1,90,42
1090,NA,NA,NA
1091,156.65,108.98,36.77
1092,157.13,118.08,46.38
1093,157.13,119.97,44.25
1094,NA,NA,NA
1095,NA,NA,NA
1096,NA,127.27,45.35
1097,164.98,138.58,44.59
1098,NA,NA,NA
1099,166.51,132.03,40.61
11,NA,NA,NA
110,166.46,115.71,35.54
1100,NA,NA,NA
1101,NA,NA,NA
1102,NA,NA,NA
1103,161.2,132.27,44.81
1104,160.05,130.41,45.81
1105,NA,NA,NA
1106,168.42,129.1,42.04
1107,NA,NA,NA
1108,168.48,109.64,36.73
1109,159.9,109.18,42.82
111,NA,NA,NA
1110,NA,NA,NA
1111,NA,NA,NA
1112,156.05,108.62,44.15
1113,153.45,90.54,46.63
1114,NA,NA,NA
1115,NA,NA,NA
1116,NA,NA,NA
1117,NA,NA,NA
1118,NA,NA,NA
1119,NA,NA,NA
112,NA,NA,NA
1120,NA,NA,NA
1121,NA,84.5,37.55
1122,155.49,116.2,37.7
1123,NA,96.53,42.85
1124,154.88,110.32,41.01
1125,NA,98.63,41.35
1126,NA,NA,NA
1127,NA,NA,NA
1128,NA,NA,NA
1129,NA,112.85,43.44
113,NA,NA,NA
1130,NA,NA,NA
1131,NA,91.09,44.35
1132,154.66,71.25,41.67
1133,NA,NA,NA
1134,NA,NA,NA
1135,165.36,107.87,39.55
1136,NA,121.32,41.2
1137,164.64,126.26,44.56
1138,NA,NA,NA
1139,NA,NA,NA
114,165.67,130.49,35.89
1140,NA,147.39,43.01
1141,NA,NA,NA
1142,NA,127.8,38.93
1143,NA,NA,NA
1144,NA,NA,NA
1145,NA,NA,NA
1146,NA,NA,NA
1147,NA,NA,NA
1148,NA,NA,NA
1149,165.36,140.02,41.33
115,NA,NA,NA
1150,NA,109.32,38.25
1151,NA,114.45,43.55
1152,NA,116.12,47.56
1153,NA,NA,NA
1154,NA,NA,NA
1155,NA,121.47,51.53
1156,167.19,123.77,42.18
1157,167.26,123.88,45.67
1158,NA,NA,NA
1159,NA,112.23,42.74
116,NA,NA,NA
1160,NA,NA,NA
1161,NA,NA,NA
1162,NA,NA,NA
1163,NA,126.78,51.75
1164,NA,120.47,47.89
1165,NA,NA,NA
1166,NA,NA,NA
1167,NA,NA,NA
1168,NA,NA,NA
1169,NA,NA,NA
117,NA,NA,NA
1170,NA,NA,NA
1171,NA,NA,NA
1172,NA,NA,NA
1173,NA,NA,NA
1174,NA,NA,NA
1175,NA,NA,NA
1176,NA,NA,NA
1177,NA,122.93,50.38
1178,NA,NA,NA
1179,NA,NA,NA
118,155.72,64.31,34.5
1180,NA,NA,NA
1181,NA,NA,NA
1182,NA,134.16,46.18
1183,NA,NA,NA
1185,NA,NA,NA
1186,NA,102.42,35.86
1187,NA,NA,NA
1188,NA,NA,NA
1189,161.36,126.34,60.4
119,NA,NA,NA
1190,163.5,134.15,41.2
1191,158.1,115.02,41.09
1192,NA,NA,NA
1193,161.68,109.37,29.66
1194,NA,NA,NA
1195,NA,NA,NA
1196,NA,NA,NA
1197,NA,NA,NA
1198,165.51,134.79,38.84
1199,NA,NA,NA
12,NA,NA,NA
120,NA,NA,NA
1200,NA,NA,NA
1201,NA,NA,NA
1202,166.45,122.29,41.1
1203,NA,NA,NA
1204,NA,83.82,41.08
1205,NA,NA,NA
1206,NA,NA,NA
1207,NA,NA,NA
1208,NA,NA,NA
1209,NA,NA,NA
121,NA,NA,NA
1210,NA,NA,NA
1211,NA,NA,NA
1212,NA,NA,NA
1213,NA,119.05,41.2
1214,NA,NA,NA
1215,NA,NA,NA
1216,NA,NA,NA
1217,NA,NA,NA
1218,158.13,104.82,39.11
1219,NA,NA,NA
122,164.87,129.28,36.9
1220,NA,NA,NA
1221,NA,NA,NA
1222,171.92,128.07,40.91
1223,NA,NA,NA
1224,170.95,128.23,28.51
1225,168.68,118.21,35.68
1226,168.54,137.28,44.81
1227,NA,NA,NA
1228,NA,NA,NA
1229,NA,NA,NA
123,NA,104.22,38.75
1231,155.19,129.81,42.95
1232,NA,92.35,37.09
1233,159.28,118.17,46.59
1234,156.32,131.29,46.02
1235,161.71,102.3,48.14
1236,NA,NA,NA
1237,156.32,106.45,38.08
1238,NA,NA,NA
1239,157.54,112.81,35.06
124,NA,134.85,41.66
1240,168.49,120.88,39.17
1241,NA,NA,NA
1242,NA,NA,NA
1243,NA,NA,NA
1244,NA,NA,NA
1245,NA,NA,NA
1246,NA,NA,NA
1247,169.15,124.02,39.93
1248,162.22,132.04,40.2
1249,158.98,126.59,42.89
125,161.83,126.77,38.07
1250,NA,NA,NA
1251,158.75,114,36.16
1252,164.58,116.39,41.81
1253,NA,NA,NA
1254,162.18,148.79,38.45
1255,165.7,118.31,40.52
1256,166.56,152.8,37.21
1257,165.25,137.09,38.37
1258,161.56,145.08,36.99
1259,163.32,133.94,35.44
126,163.32,94.68,35.92
1260,167.36,136.53,36.5
1261,159.56,147.14,40.02
1262,161.94,88.95,37.09
1263,162.7,135.6,39.07
1264,162.7,130.28,43.06
1265,161.05,134.08,39.37
1266,157.6,122.74,40.79
1267,156.32,131.71,38.83
1268,159.32,133.69,39.25
1269,152.43,114.63,33.45
127,165.71,122.66,35.46
1270,164.18,143.6,38.95
1271,163.58,116.47,29.73
1272,157.18,136.4,38.81
1273,NA,NA,NA
1274,163.25,102.43,40.98
1275,159.87,125.8,41.67
1276,170.15,126.55,35.74
1277,163.15,130.65,42.27
1278,164.27,132.14,40.89
1279,163.52,137.66,45.56
128,154.71,99.92,46.92
1280,163.2,135.92,40.72
1281,165.08,121.93,31.17
1282,163.87,109.82,35.58
1283,NA,NA,NA
1284,159.18,108.94,50.07
1285,165.7,144.94,43.06
1286,NA,NA,NA
1287,168.94,115.12,33.81
1288,162.58,95.6,42.14
1289,162.25,103.05,33.3
129,NA,NA,NA
1290,165.08,123.15,44.9
1291,158.25,100.36,36.82
1292,162.09,108.23,35.92
1293,159.94,139.28,46.33
1294,156.18,121.29,41.38
1295,156.8,116.28,45.55
1296,163.87,124.69,38.82
1297,165.15,122.67,40.84
1298,164.56,102.42,NA
1299,157.31,87.66,37.88
13,NA,NA,NA
130,NA,NA,NA
1300,157.77,129.52,44.74
1301,161.94,129.81,41.3
1302,161.64,132.01,41.54
1303,162.35,138.83,41.54
1304,NA,NA,NA
1305,167.15,121.18,29.97
1306,NA,NA,NA
1307,156.32,124.27,46.18
1308,NA,NA,NA
1309,166.46,129.28,37.81
131,NA,102.14,36.54
1310,156.87,123.23,42.19
1311,156.32,127.23,41.8
1312,157.32,120.93,37.83
1313,162.08,128.79,37.46
1314,163.84,132.44,37
1315,NA,NA,NA
1316,NA,NA,NA
1317,166.94,133.64,36.52
1318,163.94,130.45,36.95
1319,NA,NA,NA
132,NA,NA,NA
1320,163.94,121.63,28.58
1321,NA,99.63,39.05
1322,165.91,116.61,41.03
1323,166.7,125.93,34.89
1324,162.94,116.7,27.84
1325,159.94,119.56,36.86
1326,159.56,120.62,39.46
1327,163.94,127.79,41.31
1328,156.87,100.96,45.4
1329,157.94,128.41,43.98
133,NA,123.4,35.29
1330,159.94,120.27,43.56
1331,168.32,125.25,32.9
1332,161.56,138.26,38.69
1333,159.94,124.91,40.58
1334,166.46,126.9,41.95
1335,NA,NA,NA
1336,169.32,137.91,38.14
1337,156.94,130.59,42.82
1338,157.94,135.08,47.43
1339,NA,NA,NA
134,162.4,101.09,36.97
1340,166.96,128.5,39.38
1341,163.7,142.78,40.06
1342,163.14,140.37,41.88
1343,164.4,150.48,41.86
1344,166.7,149.66,43.55
1345,166.6,146.98,38.73
1346,159.94,133.75,42.68
1347,156.87,118.18,45.43
1348,159.05,122.87,44.32
1349,158.56,122.1,38.27
135,NA,NA,NA
1350,166.08,131.47,39.97
1351,161.77,147.63,47.07
1352,157.93,85.2,40.86
1353,NA,NA,NA
1354,164.01,125.34,42.79
1355,NA,NA,NA
1356,162.52,142.76,44.44
1357,163.18,124.8,NA
1358,165.08,135.61,41.35
1359,164.61,144.07,39.82
136,NA,NA,NA
1360,162.08,135.58,39.29
1361,168.8,136.58,32.81
1362,157.32,123.75,40.77
1363,164.46,143.58,43.52
1364,165.7,131.09,41.71
1365,NA,NA,NA
1366,164.7,125.57,38.86
1367,166.7,123.49,39.19
1368,163.15,142.3,43.24
1369,161.94,110.45,40.43
137,NA,128.2,37.65
1370,166.08,144.58,37.68
1371,156.94,116.56,39.06
1372,163.72,150.01,39.7
1373,163.84,138.56,40.76
1374,159.95,101.27,37.64
1375,159.32,91.93,40.73
1376,164.6,140.77,39.76
1377,154.75,120.99,43.89
1378,NA,NA,NA
1379,165.08,118.16,37.26
138,NA,NA,NA
1380,NA,NA,NA
1381,167.46,136.18,41.43
1382,156.32,99.82,46.27
1383,156.25,74.02,38.57
1384,158.8,106.78,43.07
1385,161.94,133.95,40.67
1386,163.41,117.47,35.45
1387,164.7,102.43,34.89
1388,154.06,109.68,47.31
1389,158.08,105.79,41.38
139,NA,NA,NA
1390,165.32,94.09,36.49
1391,NA,NA,NA
1392,162.22,99.07,38.34
1393,159.94,135.43,41.7
1394,NA,122.36,38.66
1395,161.46,104.73,42.6
1396,169.94,127.15,38.96
1397,159.56,126.43,37.04
1398,170.7,120.09,35.95
1399,161.94,131.74,38.61
14,NA,NA,NA
140,NA,NA,NA
1400,156.56,99.9,41.29
1401,164.53,131.04,40.28
1402,163.7,106.82,44.64
1403,167.23,136.94,39.08
1404,160.15,90.34,35.9
1405,167.99,134.16,38.69
1406,156.82,117.22,44.27
1407,163.44,123.6,46.86
1408,NA,NA,NA
1409,158.65,73.59,41.02
141,NA,NA,NA
1411,NA,125.27,39.91
1412,163.41,94.27,43.69
1413,156.58,92.15,31.06
1414,155.7,94.87,34.83
1415,156.15,123.32,43.13
1416,167.61,104.42,39.41
1417,152.58,108.96,42.9
1418,158.7,129.45,39.73
1419,156.15,109.73,40.08
142,NA,NA,NA
1420,152.7,107.02,41.93
1421,NA,NA,NA
1422,165.7,139.62,40.43
1423,161.6,85.73,40.55
1424,170.7,107.62,36.45
1425,163.72,132.74,41.27
1426,165.76,132.96,42.71
1427,164.7,126.26,41.91
1428,159.56,129.94,45.83
143,NA,131.11,52.32
1430,165.08,116.09,38.84
1431,164.94,122.93,39.14
1432,165.7,135.45,40.53
1433,159.94,124.24,44.17
1434,157.94,137.1,44.6
1435,161.46,128.09,40.03
1436,161.56,104.28,41.58
1437,154.91,111.04,38.13
1438,167.46,138.59,47.82
1439,165.09,121.19,38.98
144,160.22,124.97,45.09
1440,164.08,137.23,47.09
1441,162.41,129.06,42.57
1442,163.32,133.08,38.25
1443,156.94,107.29,43.46
1444,163.94,130.76,41.62
1445,167.46,145.76,41.08
1446,165.7,117.94,31.54
1447,164.7,124.09,38.36
1448,166.84,137.95,39.64
1449,172.56,125.77,30.57
145,NA,129.99,46.04
1450,NA,NA,NA
1451,155.94,124.09,41.94
1452,166.46,134.68,36.2
1453,159.27,75.43,41.36
1454,162.61,131.42,40.31
1455,157.32,96.57,40.81
1456,165.58,123.55,41.73
1457,156.87,115.91,38.36
1458,165.94,134.93,38.67
1459,NA,NA,NA
146,NA,NA,NA
1460,168.08,139.92,38.13
1461,162.92,135.25,37.92
1462,162.52,122.63,37.8
1463,166.84,142.56,35.78
1464,160.94,139.77,42.96
1465,163.94,119.73,34.71
1466,NA,NA,NA
1467,165.56,132.7,41.95
1468,167.01,133.46,37.45
1469,163.62,115.69,38.42
147,NA,NA,NA
1470,163.32,128.91,40.41
1471,159.94,127.24,40.16
1472,161.94,130.73,38.87
1473,165.43,119.56,40.12
1474,159.18,128.24,40.28
1475,NA,NA,NA
1476,160.94,129.93,36.85
1477,159.32,129.28,45.73
1478,159.32,131.07,44.69
1479,NA,NA,NA
148,NA,117.66,45.36
1480,160.94,132.42,43.22
1481,158.18,130.44,45.55
1482,NA,NA,NA
1483,155.56,100.92,46.54
1484,160.94,95.38,39.87
1485,168.64,134.54,42.74
1486,NA,NA,NA
1487,164.7,110.05,33.85
1488,164.46,131.58,39.39
1489,161.22,128.36,38.16
149,NA,NA,NA
1490,159.7,130.62,47.11
1491,152.32,81.58,45.34
1492,157.8,104.2,42.94
1493,156.41,88.61,43.24
1494,156.32,112.63,43.77
1495,164.43,133.47,38.38
1496,156.32,86.62,42.16
1497,163.32,89.26,38.67
1498,163.23,135.11,41.06
1499,159.91,78.79,43.01
15,NA,NA,NA
150,NA,NA,NA
1500,164.7,109.43,40.36
1501,156.56,118.75,42.69
1502,162.57,118.9,38.24
1503,161.7,95.77,34.11
1504,NA,NA,NA
1505,159.56,119.27,45.34
1506,160.56,89.23,44.64
1507,163.32,102.07,37.83
1508,165.08,143.78,41.07
1509,163.32,126.78,40.65
151,NA,NA,NA
1510,162.08,118.73,36.33
1511,163.32,129.79,38.78
1512,158.25,101.06,40.05
1513,164.26,140.94,33.69
1514,164.26,135.54,36.11
1515,164.52,125.85,37.46
1516,159.32,133.17,44.64
1517,157.8,129.4,43.89
1518,158.32,127.25,44.49
1519,NA,NA,NA
152,155.5,63.74,43.08
1520,163.8,137.9,42.42
1521,158.7,124.07,45.68
1522,152.94,87.52,49.5
1523,NA,NA,NA
1524,155.94,117.54,41.92
1525,156.94,133.44,51.54
1526,165.23,157.41,39.72
1527,NA,NA,NA
1528,NA,NA,NA
1529,158.46,128.38,38.98
153,NA,NA,NA
1530,160.32,108.97,41.8
1531,162.43,109.69,36.28
1532,161.05,140.81,38.16
1533,166.61,120.62,40.7
1534,161.94,120.46,38.52
1535,160.56,112.95,36.08
1536,158.8,96.28,38.03
1537,166.46,117.63,37.91
1538,155.94,99.41,44.98
1539,162.84,117.99,36.42
154,NA,NA,NA
1540,155.18,112.87,39
1541,166.08,109.3,38.18
1542,156.08,92.58,45.13
1543,158.08,131.23,47.04
1544,163.99,135.55,39.17
1545,158.94,133.63,40.19
1546,158.94,132.42,46.11
1547,160.46,122.74,44.27
1548,156.99,NA,37.94
1549,NA,NA,NA
155,NA,NA,NA
1550,163.7,147.74,33.69
1551,164.61,137.83,42.95
1552,165.46,151.27,41.73
1553,167.72,140.89,40.97
1554,160.87,128.25,46.83
