accenumb,campaign,trait,value
100,1976-1977,end_of_heading,173
100,1976-1977,plant_height,95
100,1976-1977,thousand_kernel_weight,43.3
1001,1976-1977,end_of_heading,176
1001,1976-1977,plant_height,74.3
1001,1976-1977,thousand_kernel_weight,52.5
1004,1976-1977,end_of_heading,176
1004,1976-1977,plant_height,77.3
1004,1976-1977,thousand_kernel_weight,45
1006,1976-1977,end_of_heading,175
1006,1976-1977,plant_height,103.7
1006,1976-1977,thousand_kernel_weight,43
1007,1976-1977,end_of_heading,175
1007,1976-1977,plant_height,105.7
1007,1976-1977,thousand_kernel_weight,46
101,1976-1977,end_of_heading,173
101,1976-1977,plant_height,89
101,1976-1977,thousand_kernel_weight,41.8
1016,1976-1977,end_of_heading,166
1016,1976-1977,plant_height,83.7
1016,1976-1977,thousand_kernel_weight,37.5
1017,1976-1977,end_of_heading,166
1017,1976-1977,plant_height,68
1017,1976-1977,thousand_kernel_weight,33
102,1976-1977,end_of_heading,180
102,1976-1977,plant_height,120
102,1976-1977,thousand_kernel_weight,47.5
1029,1976-1977,end_of_heading,179
1029,1976-1977,plant_height,101.3
1029,1976-1977,thousand_kernel_weight,43
1038,1976-1977,end_of_heading,179
1038,1976-1977,plant_height,96.7
1038,1976-1977,thousand_kernel_weight,41.5
104,1976-1977,end_of_heading,179
104,1976-1977,plant_height,113
104,1976-1977,thousand_kernel_weight,46.3
1040,1976-1977,end_of_heading,171
1040,1976-1977,plant_height,78
1040,1976-1977,thousand_kernel_weight,42
1055,1976-1977,end_of_heading,175
1055,1976-1977,plant_height,103.7
1055,1976-1977,thousand_kernel_weight,47
1058,1976-1977,end_of_heading,170
1058,1976-1977,plant_height,81.3
1058,1976-1977,thousand_kernel_weight,38.8
106,1976-1977,end_of_heading,180
106,1976-1977,plant_height,109
106,1976-1977,thousand_kernel_weight,43
1060,1976-1977,end_of_heading,178
1060,1976-1977,plant_height,92.3
1060,1976-1977,thousand_kernel_weight,43.3
1064,1976-1977,end_of_heading,180
1064,1976-1977,plant_height,100.3
1064,1976-1977,thousand_kernel_weight,43.5
1065,1976-1977,end_of_heading,179
1065,1976-1977,plant_height,111.7
1065,1976-1977,thousand_kernel_weight,46.3
1066,1976-1977,end_of_heading,174
1066,1976-1977,plant_height,110.7
1066,1976-1977,thousand_kernel_weight,44.8
1067,1976-1977,end_of_heading,175
1067,1976-1977,plant_height,121.3
1067,1976-1977,thousand_kernel_weight,45.5
1068,1976-1977,end_of_heading,180
1068,1976-1977,plant_height,121.7
1068,1976-1977,thousand_kernel_weight,47.5
1069,1976-1977,end_of_heading,176
1069,1976-1977,plant_height,115
1069,1976-1977,thousand_kernel_weight,43.3
1071,1976-1977,end_of_heading,172
1071,1976-1977,plant_height,111.7
1071,1976-1977,thousand_kernel_weight,46.3
1073,1976-1977,end_of_heading,164
1073,1976-1977,plant_height,87.7
1073,1976-1977,thousand_kernel_weight,39.5
1076,1976-1977,end_of_heading,171
1076,1976-1977,plant_height,95
1076,1976-1977,thousand_kernel_weight,38.8
1077,1976-1977,end_of_heading,172
1077,1976-1977,plant_height,93
1077,1976-1977,thousand_kernel_weight,41
1081,1976-1977,end_of_heading,178
1081,1976-1977,plant_height,104
1081,1976-1977,thousand_kernel_weight,39.5
1086,1976-1977,end_of_heading,178
1086,1976-1977,plant_height,112.7
1086,1976-1977,thousand_kernel_weight,43.8
1087,1976-1977,end_of_heading,171
1087,1976-1977,plant_height,105.7
1087,1976-1977,thousand_kernel_weight,44.5
109,1976-1977,end_of_heading,175
109,1976-1977,plant_height,68.3
109,1976-1977,thousand_kernel_weight,42.8
1092,1976-1977,end_of_heading,169
1092,1976-1977,plant_height,99
1092,1976-1977,thousand_kernel_weight,39.3
1093,1976-1977,end_of_heading,170
1093,1976-1977,plant_height,104.7
1093,1976-1977,thousand_kernel_weight,45.5
1097,1976-1977,end_of_heading,179
1097,1976-1977,plant_height,119
1097,1976-1977,thousand_kernel_weight,48
1099,1976-1977,end_of_heading,179
1099,1976-1977,plant_height,111.7
1099,1976-1977,thousand_kernel_weight,41.8
