accenumb,campaign,trait,value
NC003561,1996-1997,days_to_heading,144
NC003561,1996-1997,days_to_heading,146
NC003561,1996-1997,days_to_heading,145
NC003561,1996-1997,plant_height,67
NC003561,1996-1997,plant_height,68
NC003561,1996-1997,plant_height,77
NC003561,1996-1997,plant_height,78
NC003561,1996-1997,plant_height,85
NC003561,1996-1997,plant_height,86
NC003561,1996-1997,plant_height,89
NC003561,1996-1997,plant_height,93
NC003561,1996-1997,thousand_kernel_weight,40.01162795
NC006565,1996-1997,days_to_heading,174
NC006565,1996-1997,plant_height,120
NC006565,1996-1997,thousand_kernel_weight,49.52790703
NC006586,1996-1997,days_to_heading,166
NC006586,1996-1997,plant_height,122
NC006586,1996-1997,thousand_kernel_weight,44.445348885
NC020603,1996-1997,days_to_heading,173
NC020603,1996-1997,plant_height,123
NC020603,1996-1997,thousand_kernel_weight,45.20232563
NC020605,1996-1997,days_to_heading,169
NC020605,1996-1997,plant_height,125
NC020605,1996-1997,thousand_kernel_weight,56.124418665
NC020638,1996-1997,days_to_heading,173
NC020638,1996-1997,plant_height,100
NC020638,1996-1997,thousand_kernel_weight,58.070930295
NC024102,1996-1997,days_to_heading,158
NC024102,1996-1997,plant_height,122
NC024286,1996-1997,days_to_heading,170
NC024286,1996-1997,plant_height,115
NC024286,1996-1997,thousand_kernel_weight,52.447674475
NC024774,1996-1997,days_to_heading,164
NC024774,1996-1997,plant_height,99
NC026258,1996-1997,days_to_heading,158
NC026258,1996-1997,plant_height,106
NC026258,1996-1997,thousand_kernel_weight,43.796511675
NC027266,1996-1997,days_to_heading,176
NC027266,1996-1997,plant_height,115
NC027560,1996-1997,days_to_heading,158
NC027560,1996-1997,plant_height,135
NC027560,1996-1997,thousand_kernel_weight,59.90930239
NC027604,1996-1997,days_to_heading,151
NC027604,1996-1997,plant_height,127
NC027604,1996-1997,thousand_kernel_weight,65.53255821
NC027605,1996-1997,days_to_heading,164
NC027605,1996-1997,plant_height,130
NC027605,1996-1997,thousand_kernel_weight,59.47674425
NC027619,1996-1997,days_to_heading,165
NC027619,1996-1997,plant_height,129
NC027619,1996-1997,thousand_kernel_weight,50.39302331
NC027620,1996-1997,days_to_heading,163
NC027620,1996-1997,plant_height,135
NC027620,1996-1997,thousand_kernel_weight,55.80000006
NC027629,1996-1997,days_to_heading,153
NC027629,1996-1997,plant_height,128
NC027629,1996-1997,thousand_kernel_weight,57.09767448
NC027663,1996-1997,days_to_heading,164
NC027663,1996-1997,plant_height,126
NC027663,1996-1997,thousand_kernel_weight,45.85116284
NC027762,1996-1997,days_to_heading,139
NC027762,1996-1997,plant_height,87
NC027762,1996-1997,thousand_kernel_weight,57.31395355
NC027788,1996-1997,days_to_heading,171
NC027788,1996-1997,plant_height,115
NC027788,1996-1997,thousand_kernel_weight,43.03953493
NC027811,1996-1997,days_to_heading,166
NC027811,1996-1997,plant_height,119
NC027811,1996-1997,thousand_kernel_weight,49.52790703
NC027822,1996-1997,days_to_heading,167
NC027822,1996-1997,plant_height,128
NC027822,1996-1997,thousand_kernel_weight,46.824418655
NC027982,1996-1997,days_to_heading,164
NC027982,1996-1997,plant_height,142
NC027982,1996-1997,thousand_kernel_weight,48.44651168
NC028015,1996-1997,days_to_heading,162
NC028015,1996-1997,plant_height,143
NC028015,1996-1997,thousand_kernel_weight,60.12558146
NC028016,1996-1997,days_to_heading,135
NC028016,1996-1997,plant_height,110
NC028016,1996-1997,thousand_kernel_weight,64.45116286
NC028355,1996-1997,days_to_heading,165
NC028355,1996-1997,plant_height,118
NC028355,1996-1997,thousand_kernel_weight,52.988372149999996
NC028359,1996-1997,days_to_heading,162
NC028359,1996-1997,plant_height,105
NC028359,1996-1997,thousand_kernel_weight,54.50232564
NC028368,1996-1997,days_to_heading,166
NC028368,1996-1997,plant_height,113
NC028378,1996-1997,days_to_heading,148
NC028378,1996-1997,plant_height,135
NC028378,1996-1997,thousand_kernel_weight,45.20232563
NC028380,1996-1997,days_to_heading,161
NC028380,1996-1997,plant_height,96
NC028380,1996-1997,thousand_kernel_weight,45.310465165
NC028560,1996-1997,days_to_heading,159
NC028560,1996-1997,days_to_heading,161
NC028560,1996-1997,days_to_heading,160
NC028560,1996-1997,days_to_heading,162
NC028560,1996-1997,plant_height,129
NC028560,1996-1997,plant_height,125
NC028560,1996-1997,plant_height,126
NC028560,1996-1997,plant_height,121
NC028560,1996-1997,plant_height,127
NC028560,1996-1997,plant_height,122
NC028560,1996-1997,plant_height,120
NC028560,1996-1997,thousand_kernel_weight,53.961627965
NC028637,1996-1997,days_to_heading,164
NC028637,1996-1997,plant_height,129
NC028637,1996-1997,thousand_kernel_weight,51.582558195
NC028658,1996-1997,days_to_heading,163
NC028658,1996-1997,plant_height,103
NC028658,1996-1997,thousand_kernel_weight,49.96046517
NC028663,1996-1997,days_to_heading,154
NC028663,1996-1997,plant_height,114
NC028663,1996-1997,thousand_kernel_weight,49.7441861
NC028664,1996-1997,days_to_heading,154
NC028664,1996-1997,plant_height,130
NC028664,1996-1997,thousand_kernel_weight,38.28139539
NC028667,1996-1997,days_to_heading,166
NC028667,1996-1997,plant_height,119
NC028667,1996-1997,thousand_kernel_weight,54.610465175
NC029490,1996-1997,days_to_heading,160
NC029490,1996-1997,plant_height,113
NC029490,1996-1997,thousand_kernel_weight,46.71627912
NC029510,1996-1997,days_to_heading,166
NC029510,1996-1997,plant_height,102
NC029510,1996-1997,thousand_kernel_weight,56.88139541
NC029534,1996-1997,days_to_heading,163
NC029534,1996-1997,plant_height,102
NC029534,1996-1997,thousand_kernel_weight,46.608139585
NC035389,1996-1997,days_to_heading,160
NC035389,1996-1997,plant_height,118
NC035389,1996-1997,thousand_kernel_weight,46.175581445
NC035525,1996-1997,days_to_heading,167
NC035525,1996-1997,plant_height,116
NC035525,1996-1997,thousand_kernel_weight,43.03953493
NC038570,1996-1997,days_to_heading,172
NC038570,1996-1997,plant_height,126
NC038570,1996-1997,thousand_kernel_weight,48.23023261
NC028361,1996-1997,plant_height,86
NC028361,1996-1997,thousand_kernel_weight,47.5813954
NC001202,1998-1999,days_to_heading,191
NC001202,1998-1999,plant_height,113
NC001202,1998-1999,thousand_kernel_weight,36.7674419
NC001205,1998-1999,days_to_heading,204
NC001205,1998-1999,plant_height,85
NC011116,1998-1999,days_to_heading,196
NC011116,1998-1999,plant_height,128
NC011116,1998-1999,thousand_kernel_weight,36.33488376
NC011926,1998-1999,days_to_heading,199
NC011926,1998-1999,plant_height,125
NC011926,1998-1999,thousand_kernel_weight,38.9302326
NC012636,1998-1999,days_to_heading,198
NC012636,1998-1999,plant_height,128
NC012636,1998-1999,thousand_kernel_weight,39.14651167
NC022123,1998-1999,days_to_heading,203
NC022123,1998-1999,plant_height,113
NC022123,1998-1999,thousand_kernel_weight,39.79534888
NC022225,1998-1999,days_to_heading,194
NC022225,1998-1999,plant_height,119
NC022225,1998-1999,thousand_kernel_weight,40.22790702
NC024442,1998-1999,days_to_heading,202
NC024442,1998-1999,plant_height,107
NC024442,1998-1999,thousand_kernel_weight,37.41627911
NC027266,1998-1999,days_to_heading,202
NC027266,1998-1999,plant_height,103
NC027292,1998-1999,days_to_heading,215
NC027292,1998-1999,plant_height,106
NC027292,1998-1999,thousand_kernel_weight,33.415116315
NC035762,1998-1999,plant_height,96
NC035762,1998-1999,thousand_kernel_weight,37.41627911
NC040109,1998-1999,days_to_heading,188
NC040109,1998-1999,plant_height,119
NC040109,1998-1999,thousand_kernel_weight,34.17209306
NC047317,1998-1999,days_to_heading,190
NC047317,1998-1999,plant_height,105
NC047317,1998-1999,thousand_kernel_weight,31.36046515
NC050283,1998-1999,days_to_heading,203
NC050283,1998-1999,plant_height,100
NC050283,1998-1999,thousand_kernel_weight,36.55116283
NC050493,1998-1999,days_to_heading,198
NC050493,1998-1999,plant_height,123
NC050493,1998-1999,thousand_kernel_weight,32.00930236
NC052490,1998-1999,days_to_heading,180
NC052490,1998-1999,plant_height,77
NC052574,1998-1999,days_to_heading,180
NC052574,1998-1999,plant_height,71
NC052574,1998-1999,thousand_kernel_weight,25.52093026
NC056493,1998-1999,days_to_heading,198
NC056493,1998-1999,plant_height,120
NC056493,1998-1999,thousand_kernel_weight,36.98372097
NC058625,1998-1999,days_to_heading,198
NC058625,1998-1999,plant_height,110
NC058625,1998-1999,thousand_kernel_weight,38.28139539
NC058628,1998-1999,days_to_heading,208
NC058628,1998-1999,plant_height,135
NC058628,1998-1999,thousand_kernel_weight,40.01162795
NC058632,1998-1999,days_to_heading,201
NC058632,1998-1999,plant_height,113
NC058632,1998-1999,thousand_kernel_weight,35.25348841
NC068345,1998-1999,days_to_heading,201
NC068345,1998-1999,plant_height,123
NC068345,1998-1999,thousand_kernel_weight,33.30697678
NC068351,1998-1999,plant_height,99
NC068351,1998-1999,thousand_kernel_weight,31.36046515
NC072511,1998-1999,days_to_heading,194
NC072511,1998-1999,plant_height,119
NC072511,1998-1999,thousand_kernel_weight,40.87674423
NC047313,1998-1999,plant_height,110
NC047313,1998-1999,thousand_kernel_weight,31.79302329
NC047354,1998-1999,plant_height,109
NC047354,1998-1999,thousand_kernel_weight,44.76976749
NC001205,1999-2000,days_to_heading,186
NC001205,1999-2000,plant_height,134
NC001206,1999-2000,days_to_heading,184
NC001206,1999-2000,plant_height,131
NC001206,1999-2000,thousand_kernel_weight,29.522093055
NC012100,1999-2000,days_to_heading,189
NC012100,1999-2000,plant_height,148
NC012100,1999-2000,thousand_kernel_weight,30.71162794
NC052490,1999-2000,days_to_heading,168
NC052490,1999-2000,plant_height,106
NC052490,1999-2000,thousand_kernel_weight,23.877209328
NC052583,1999-2000,days_to_heading,176
NC052583,1999-2000,plant_height,98
NC052583,1999-2000,thousand_kernel_weight,28.33255817
NC053000,1999-2000,days_to_heading,176
NC053000,1999-2000,plant_height,97
NC053000,1999-2000,thousand_kernel_weight,31.036046545
NC069066,1999-2000,days_to_heading,178
NC069066,1999-2000,plant_height,127
NC069066,1999-2000,thousand_kernel_weight,36.7674419
NC069068,1999-2000,days_to_heading,176
