accenumb,campaign,days_to_heading
NC003561,1996-1997,144
NC003561,1996-1997,146
NC003561,1996-1997,145
NC006565,1996-1997,174
NC006586,1996-1997,166
NC020603,1996-1997,173
NC020605,1996-1997,169
NC020638,1996-1997,173
NC024102,1996-1997,158
NC024286,1996-1997,170
NC024774,1996-1997,164
NC026258,1996-1997,158
NC027266,1996-1997,176
NC027560,1996-1997,158
NC027604,1996-1997,151
NC027605,1996-1997,164
NC027619,1996-1997,165
NC027620,1996-1997,163
NC027629,1996-1997,153
NC027663,1996-1997,164
NC027762,1996-1997,139
NC027788,1996-1997,171
NC027811,1996-1997,166
NC027822,1996-1997,167
NC027982,1996-1997,164
NC028015,1996-1997,162
NC028016,1996-1997,135
NC028355,1996-1997,165
NC028359,1996-1997,162
NC028368,1996-1997,166
NC028378,1996-1997,148
NC028380,1996-1997,161
NC028560,1996-1997,159
NC028560,1996-1997,161
NC028560,1996-1997,160
NC028560,1996-1997,162
NC028637,1996-1997,164
NC028658,1996-1997,163
NC028663,1996-1997,154
NC028664,1996-1997,154
NC028667,1996-1997,166
NC029490,1996-1997,160
NC029510,1996-1997,166
NC029534,1996-1997,163
NC035389,1996-1997,160
NC035525,1996-1997,167
NC038570,1996-1997,172
NC027266,1998-1999,202
NC001202,1998-1999,191
NC001205,1998-1999,204
NC011116,1998-1999,196
NC011926,1998-1999,199
NC012636,1998-1999,198
NC022123,1998-1999,203
NC022225,1998-1999,194
NC024442,1998-1999,202
NC027292,1998-1999,215
NC040109,1998-1999,188
NC047317,1998-1999,190
NC050283,1998-1999,203
NC050493,1998-1999,198
NC052490,1998-1999,180
NC052574,1998-1999,180
NC056493,1998-1999,198
NC058625,1998-1999,198
NC058628,1998-1999,208
NC058632,1998-1999,201
NC068345,1998-1999,201
NC072511,1998-1999,194
NC001205,1999-2000,186
NC052490,1999-2000,168
NC001206,1999-2000,184
NC012100,1999-2000,189
NC052583,1999-2000,176
NC053000,1999-2000,176
NC069066,1999-2000,178
NC069068,1999-2000,176
NC028560,2000-2001,178
NC028560,2000-2001,177
NC019844,2000-2001,187
NC024268,2000-2001,185
NC026187,2000-2001,169
NC029444,2000-2001,180
NC071826,2000-2001,187
NC074341,2000-2001,185
NC074342,2000-2001,192
NC003561,2003-2004,177
NC028359,2003-2004,198
NC028560,2003-2004,196
NC028560,2003-2004,190
NC001202,2003-2004,190
NC011116,2003-2004,196
NC058625,2003-2004,190
NC058628,2003-2004,200
NC068351,2003-2004,185
NC072511,2003-2004,190
NC074341,2003-2004,199
NC024036,2003-2004,190
NC027562,2003-2004,196
NC027602,2003-2004,199
NC027664,2003-2004,198
NC027665,2003-2004,196
NC027691,2003-2004,196
NC027778,2003-2004,196
NC027840,2003-2004,200
NC027855,2003-2004,198
NC027888,2003-2004,198
NC027973,2003-2004,196
NC028392,2003-2004,196
NC035377,2003-2004,200
NC050294,2003-2004,196
NC003561,2004-2005,170
NC003561,2004-2005,169
NC027266,2004-2005,179
NC028560,2004-2005,176
NC028560,2004-2005,178
NC035525,2004-2005,180
NC038570,2004-2005,185
NC024442,2004-2005,180
NC035762,2004-2005,176
NC050283,2004-2005,180
NC052574,2004-2005,170
NC068345,2004-2005,176
NC071826,2004-2005,179
NC074342,2004-2005,184
NC001203,2004-2005,183
NC006498,2004-2005,170
NC006575,2004-2005,180
NC008793,2004-2005,176
NC008858,2004-2005,176
NC010034,2004-2005,179
NC012098,2004-2005,178
NC012564,2004-2005,179
NC018908,2004-2005,174
NC018938,2004-2005,174
NC024060,2004-2005,165
NC024255,2004-2005,181
NC024705,2004-2005,180
NC024723,2004-2005,169
NC024741,2004-2005,180
NC024781,2004-2005,180
NC027621,2004-2005,178
NC027813,2004-2005,179
NC027844,2004-2005,180
NC027845,2004-2005,183
NC027897,2004-2005,176
NC027898,2004-2005,178
NC027906,2004-2005,183
NC027975,2004-2005,183
NC027978,2004-2005,180
NC027987,2004-2005,183
NC028373,2004-2005,183
NC028518,2004-2005,165
NC028529,2004-2005,174
NC028582,2004-2005,174
NC028647,2004-2005,176
NC028670,2004-2005,178
NC028672,2004-2005,180
NC028673,2004-2005,165
NC029473,2004-2005,176
NC029489,2004-2005,179
NC029495,2004-2005,174
NC029503,2004-2005,178
NC029522,2004-2005,176
NC035396,2004-2005,179
NC035414,2004-2005,174
NC035532,2004-2005,165
NC038574,2004-2005,174
NC050466,2004-2005,178
NC050506,2004-2005,183
NC052997,2004-2005,180
NC052998,2004-2005,178
NC072827,2004-2005,181
NC079028,2004-2005,171
NC080166,2004-2005,174
NC082510,2004-2005,174
NC003561,2005-2006,171
NC003561,2005-2006,169
NC028560,2005-2006,182
NC028560,2005-2006,180
NC080166,2005-2006,171
NC006590,2005-2006,183
NC011704,2005-2006,182
NC027220,2005-2006,181
NC035380,2005-2006,181
NC003561,2006-2007,164
NC003561,2006-2007,165
NC003561,2006-2007,163
NC027629,2006-2007,173
NC028560,2006-2007,181
NC028560,2006-2007,182
NC028560,2006-2007,183
NC029510,2006-2007,188
NC006534,2006-2007,195
NC006582,2006-2007,188
NC024716,2006-2007,173
NC003561,2007-2008,175
NC028560,2007-2008,191
NC028560,2007-2008,187
NC028560,2007-2008,188
NC040109,2007-2008,181
NC050294,2007-2008,189
NC001203,2007-2008,192
NC010034,2007-2008,196
NC012564,2007-2008,187
NC018908,2007-2008,183
NC018938,2007-2008,188
NC028373,2007-2008,192
NC035532,2007-2008,174
NC050466,2007-2008,188
NC050506,2007-2008,197
NC072827,2007-2008,192
NC079028,2007-2008,181
NC082510,2007-2008,191
NC006590,2007-2008,188
NC027220,2007-2008,188
NC027934,2007-2008,196
NC006474,2007-2008,196
NC011713,2007-2008,181
NC012768,2007-2008,189
NC027500,2007-2008,196
NC027548,2007-2008,198
NC003561,2009-2010,184
NC028560,2009-2010,201
NC027220,2009-2010,203
NC027934,2009-2010,203
NC086549,2009-2010,207
NC086550,2009-2010,204
NC086551,2009-2010,189
NC003561,2010-2011,166
NC028560,2010-2011,178
NC019844,2010-2011,181
NC024268,2010-2011,185
NC011704,2010-2011,180
NC011713,2010-2011,167
NC012768,2010-2011,183
NC027500,2010-2011,188
NC027229,2010-2011,177
NC027971,2010-2011,185
NC035554,2010-2011,184
NC088356,2010-2011,179
NC091672,2010-2011,188
NC092127,2010-2011,187
NC092128,2010-2011,175
NC092173,2010-2011,177
NC003561,2011-2012,164
NC003561,2011-2012,166
NC028560,2011-2012,171
NC028560,2011-2012,169
NC056493,2011-2012,174
NC006534,2011-2012,181
NC006582,2011-2012,172
NC006474,2011-2012,179
NC092127,2011-2012,176
NC092128,2011-2012,173
NC092173,2011-2012,173
NC003558,2011-2012,180
NC006510,2011-2012,168
NC006516,2011-2012,179
NC006555,2011-2012,171
NC027526,2011-2012,178
NC027540,2011-2012,178
NC027552,2011-2012,179
NC027580,2011-2012,173
NC027590,2011-2012,175
NC027948,2011-2012,161
NC027960,2011-2012,169
NC027963,2011-2012,162
NC028018,2011-2012,161
NC028025,2011-2012,176
NC028037,2011-2012,181
NC028045,2011-2012,178
NC028047,2011-2012,177
NC028054,2011-2012,174
NC028057,2011-2012,168
NC028058,2011-2012,174
NC028059,2011-2012,173
NC028061,2011-2012,154
NC003561,2012-2013,163
NC028560,2012-2013,173
NC006582,2012-2013,175
NC003558,2012-2013,184
NC006516,2012-2013,187
NC006555,2012-2013,176
NC027526,2012-2013,181
NC027540,2012-2013,179
NC027552,2012-2013,177
NC027580,2012-2013,178
NC027590,2012-2013,178
NC027948,2012-2013,162
NC027960,2012-2013,166
NC027963,2012-2013,171
NC028018,2012-2013,165
NC028025,2012-2013,177
NC028037,2012-2013,182
