accenumb,campaign,plant_height
NC003561,1996-1997,67
NC003561,1996-1997,68
NC003561,1996-1997,77
NC003561,1996-1997,78
NC003561,1996-1997,85
NC003561,1996-1997,86
NC003561,1996-1997,89
NC003561,1996-1997,93
NC006565,1996-1997,120
NC006586,1996-1997,122
NC020603,1996-1997,123
NC020605,1996-1997,125
NC020638,1996-1997,100
NC024102,1996-1997,122
NC024286,1996-1997,115
NC024774,1996-1997,99
NC026258,1996-1997,106
NC027266,1996-1997,115
NC027560,1996-1997,135
NC027604,1996-1997,127
NC027605,1996-1997,130
NC027619,1996-1997,129
NC027620,1996-1997,135
NC027629,1996-1997,128
NC027663,1996-1997,126
NC027762,1996-1997,87
NC027788,1996-1997,115
NC027811,1996-1997,119
NC027822,1996-1997,128
NC027982,1996-1997,142
NC028015,1996-1997,143
NC028016,1996-1997,110
NC028355,1996-1997,118
NC028359,1996-1997,105
NC028361,1996-1997,86
NC028368,1996-1997,113
NC028378,1996-1997,135
NC028380,1996-1997,96
NC028560,1996-1997,129
NC028560,1996-1997,125
NC028560,1996-1997,126
NC028560,1996-1997,121
NC028560,1996-1997,127
NC028560,1996-1997,122
NC028560,1996-1997,120
NC028637,1996-1997,129
NC028658,1996-1997,103
NC028663,1996-1997,114
NC028664,1996-1997,130
NC028667,1996-1997,119
NC029490,1996-1997,113
NC029510,1996-1997,102
NC029534,1996-1997,102
NC035389,1996-1997,118
NC035525,1996-1997,116
NC038570,1996-1997,126
NC001202,1998-1999,113
NC001205,1998-1999,85
NC011116,1998-1999,128
NC011926,1998-1999,125
NC012636,1998-1999,128
NC022123,1998-1999,113
NC022225,1998-1999,119
NC024442,1998-1999,107
NC027266,1998-1999,103
NC027292,1998-1999,106
NC035762,1998-1999,96
NC040109,1998-1999,119
NC047313,1998-1999,110
NC047317,1998-1999,105
NC047354,1998-1999,109
NC050283,1998-1999,100
NC050493,1998-1999,123
NC052490,1998-1999,77
NC052574,1998-1999,71
NC056493,1998-1999,120
NC058625,1998-1999,110
NC058628,1998-1999,135
NC058632,1998-1999,113
NC068345,1998-1999,123
NC068351,1998-1999,99
NC072511,1998-1999,119
NC001205,1999-2000,134
NC001206,1999-2000,131
NC012100,1999-2000,148
NC052490,1999-2000,106
NC052583,1999-2000,98
NC053000,1999-2000,97
NC069066,1999-2000,127
NC069068,1999-2000,134
NC019844,2000-2001,140
NC024268,2000-2001,150
NC026187,2000-2001,95
NC028560,2000-2001,137
NC028560,2000-2001,132
NC029444,2000-2001,124
NC071826,2000-2001,134
NC071934,2000-2001,161
NC072464,2000-2001,121
NC074341,2000-2001,136
NC074342,2000-2001,123
NC038576,2002-2003,115
NC069066,2002-2003,127
NC072464,2002-2003,136
NC001202,2003-2004,145
NC003561,2003-2004,113
NC003561,2003-2004,116
NC011116,2003-2004,141
NC024036,2003-2004,154
NC027562,2003-2004,150
NC027602,2003-2004,141
NC027664,2003-2004,137
NC027665,2003-2004,168
NC027691,2003-2004,146
NC027778,2003-2004,149
NC027840,2003-2004,136
NC027855,2003-2004,144
NC027888,2003-2004,144
NC027973,2003-2004,124
NC028359,2003-2004,135
NC028392,2003-2004,146
NC028560,2003-2004,130
NC028560,2003-2004,137
NC035377,2003-2004,130
NC038576,2003-2004,137
NC050294,2003-2004,136
NC058625,2003-2004,137
NC058628,2003-2004,147
NC068351,2003-2004,127
NC072511,2003-2004,131
NC074341,2003-2004,139
NC001203,2004-2005,94
NC003561,2004-2005,64
NC003561,2004-2005,71
NC003561,2004-2005,78
NC003561,2004-2005,79
NC006498,2004-2005,109
NC006575,2004-2005,104
NC008793,2004-2005,118
NC008858,2004-2005,119
NC010034,2004-2005,85
NC012098,2004-2005,119
NC012564,2004-2005,120
NC018908,2004-2005,114
NC018938,2004-2005,121
NC024060,2004-2005,114
NC024255,2004-2005,100
NC024442,2004-2005,103
NC024705,2004-2005,108
NC024723,2004-2005,108
NC024741,2004-2005,105
NC024781,2004-2005,102
NC027266,2004-2005,113
NC027621,2004-2005,109
NC027813,2004-2005,115
NC027844,2004-2005,113
NC027845,2004-2005,108
NC027897,2004-2005,93
