accenumb,campaign,thousand_kernel_weight
NC003561,1996-1997,40.01162795
NC006565,1996-1997,49.52790703
NC006586,1996-1997,44.445348885
NC020603,1996-1997,45.20232563
NC020605,1996-1997,56.124418665
NC020638,1996-1997,58.070930295
NC024286,1996-1997,52.447674475
NC026258,1996-1997,43.796511675
NC027560,1996-1997,59.90930239
NC027604,1996-1997,65.53255821
NC027605,1996-1997,59.47674425
NC027619,1996-1997,50.39302331
NC027620,1996-1997,55.80000006
NC027629,1996-1997,57.09767448
NC027663,1996-1997,45.85116284
NC027762,1996-1997,57.31395355
NC027788,1996-1997,43.03953493
NC027811,1996-1997,49.52790703
NC027822,1996-1997,46.824418655
NC027982,1996-1997,48.44651168
NC028015,1996-1997,60.12558146
NC028016,1996-1997,64.45116286
NC028355,1996-1997,52.988372149999996
NC028359,1996-1997,54.50232564
NC028361,1996-1997,47.5813954
NC028378,1996-1997,45.20232563
NC028380,1996-1997,45.310465165
NC028560,1996-1997,53.961627965
NC028637,1996-1997,51.582558195
NC028658,1996-1997,49.96046517
NC028663,1996-1997,49.7441861
NC028664,1996-1997,38.28139539
NC028667,1996-1997,54.610465175
NC029490,1996-1997,46.71627912
NC029510,1996-1997,56.88139541
NC029534,1996-1997,46.608139585
NC035389,1996-1997,46.175581445
NC035525,1996-1997,43.03953493
NC038570,1996-1997,48.23023261
NC001202,1998-1999,36.7674419
NC011116,1998-1999,36.33488376
NC011926,1998-1999,38.9302326
NC012636,1998-1999,39.14651167
NC022123,1998-1999,39.79534888
NC022225,1998-1999,40.22790702
NC024442,1998-1999,37.41627911
NC027292,1998-1999,33.415116315
NC035762,1998-1999,37.41627911
NC040109,1998-1999,34.17209306
NC047313,1998-1999,31.79302329
NC047317,1998-1999,31.36046515
NC047354,1998-1999,44.76976749
NC050283,1998-1999,36.55116283
NC050493,1998-1999,32.00930236
NC052574,1998-1999,25.52093026
NC056493,1998-1999,36.98372097
NC058625,1998-1999,38.28139539
NC058628,1998-1999,40.01162795
NC058632,1998-1999,35.25348841
NC068345,1998-1999,33.30697678
NC068351,1998-1999,31.36046515
NC072511,1998-1999,40.87674423
NC001206,1999-2000,29.522093055
NC012100,1999-2000,30.71162794
NC052490,1999-2000,23.877209328
NC052583,1999-2000,28.33255817
