accenumb,campaign,plant_height,days_to_heading,thousand_kernel_weight
NC003561,1996-1997,NA,NA,40.01162795
NC003561,1996-1997,67,144,NA
NC003561,1996-1997,68,144,NA
NC003561,1996-1997,77,146,NA
NC003561,1996-1997,78,144,NA
NC003561,1996-1997,85,144,NA
NC003561,1996-1997,86,146,NA
NC003561,1996-1997,89,144,NA
NC003561,1996-1997,89,145,NA
NC003561,1996-1997,93,140,NA
NC006530,1996-1997,113,168,43.796511675
NC006531,1996-1997,120,166,46.71627912
NC006565,1996-1997,120,174,49.52790703
NC006585,1996-1997,118,170,36.443023295
NC006586,1996-1997,122,166,44.445348885
NC020350,1996-1997,87,151,50.284883775
NC020603,1996-1997,123,173,45.20232563
NC020605,1996-1997,125,169,56.124418665
NC020638,1996-1997,100,173,58.070930295
NC024102,1996-1997,122,158,43.796511675
NC024286,1996-1997,115,170,52.447674475
NC024700,1996-1997,100,166,49.636046565
NC024745,1996-1997,101,173,46.71627912
NC024771,1996-1997,109,163,48.554651215
NC024774,1996-1997,99,164,65.96511635
NC026258,1996-1997,106,158,43.796511675
NC027210,1996-1997,116,160,46.28372098
NC027266,1996-1997,115,176,36.98372097
NC027502,1996-1997,124,165,55.908139595
NC027550,1996-1997,131,158,47.256976795
NC027556,1996-1997,114,164,38.822093065
NC027559,1996-1997,133,158,50.933720985
NC027560,1996-1997,135,158,59.90930239
NC027561,1996-1997,140,171,58.503488435
NC027579,1996-1997,89,138,51.69069773
NC027604,1996-1997,127,151,65.53255821
NC027605,1996-1997,130,164,59.47674425
NC027606,1996-1997,130,164,46.50000005
NC027607,1996-1997,135,167,48.122093075
NC027608,1996-1997,137,165,51.150000055
NC027610,1996-1997,128,150,56.01627913
NC027614,1996-1997,134,158,45.4186047
NC027619,1996-1997,129,165,50.39302331
NC027620,1996-1997,135,163,55.80000006
NC027628,1996-1997,131,151,50.82558145
NC027629,1996-1997,128,153,57.09767448
NC027663,1996-1997,126,164,45.85116284
NC027674,1996-1997,138,160,38.605813995
NC027680,1996-1997,122,163,42.82325586
NC027681,1996-1997,127,157,51.798837265
NC027762,1996-1997,87,139,57.31395355
NC027774,1996-1997,123,157,46.50000005
NC027784,1996-1997,116,163,56.2325582
NC027788,1996-1997,115,171,43.03953493
NC027789,1996-1997,116,165,54.71860471
NC027790,1996-1997,106,165,66.073255885
NC027791,1996-1997,123,157,44.877907025
NC027795,1996-1997,108,162,49.7441861
NC027803,1996-1997,112,165,54.610465175
NC027808,1996-1997,110,150,42.17441865
NC027811,1996-1997,119,166,49.52790703
NC027822,1996-1997,128,167,46.824418655
NC027862,1996-1997,117,167,38.28139539
NC027868,1996-1997,131,167,38.605813995
NC027871,1996-1997,118,171,59.47674425
NC027894,1996-1997,120,165,41.52558144
NC027895,1996-1997,121,164,49.52790703
NC027907,1996-1997,131,172,52.988372149999996
NC027908,1996-1997,122,170,51.69069773
NC027950,1996-1997,132,163,55.908139595
NC027951,1996-1997,136,164,56.2325582
NC027974,1996-1997,113,172,55.908139595
NC027982,1996-1997,142,164,48.44651168
NC027991,1996-1997,129,168,49.7441861
NC028015,1996-1997,143,162,60.12558146
NC028016,1996-1997,110,135,64.45116286
NC028017,1996-1997,140,150,61.747674485
NC028040,1996-1997,127,163,49.31162796
NC028056,1996-1997,146,156,50.82558145
NC028063,1996-1997,134,163,39.36279074
NC028064,1996-1997,124,159,37.524418645
NC028066,1996-1997,129,162,35.46976748
NC028352,1996-1997,117,167,46.93255819
NC028353,1996-1997,112,163,51.9069768
NC028354,1996-1997,118,168,47.689534935
NC028355,1996-1997,118,165,52.988372149999996
NC028357,1996-1997,133,158,58.070930295
NC028358,1996-1997,115,155,49.52790703
NC028359,1996-1997,105,162,54.50232564
NC028360,1996-1997,113,145,61.20697681
NC028361,1996-1997,86,155,47.5813954
NC028362,1996-1997,127,165,45.743023305
NC028363,1996-1997,116,159,45.959302375
NC028364,1996-1997,117,154,46.50000005
NC028365,1996-1997,120,163,43.68837214
NC028366,1996-1997,100,146,45.959302375
NC028367,1996-1997,111,168,46.28372098
NC028368,1996-1997,113,166,60.77441867
NC028369,1996-1997,100,169,45.310465165
NC028371,1996-1997,105,163,42.39069772
NC028372,1996-1997,120,163,46.391860515
NC028374,1996-1997,120,164,54.610465175
NC028375,1996-1997,112,160,40.87674423
NC028376,1996-1997,106,162,41.201162835
NC028377,1996-1997,129,164,52.55581401
NC028378,1996-1997,135,148,45.20232563
NC028380,1996-1997,96,161,45.310465165
NC028382,1996-1997,114,168,61.42325588
NC028384,1996-1997,125,176,59.26046518
NC028385,1996-1997,112,176,45.63488377
NC028387,1996-1997,102,140,45.526744235
NC028388,1996-1997,136,165,37.524418645
NC028390,1996-1997,124,166,42.931395395
NC028391,1996-1997,90,139,41.417441905
NC028393,1996-1997,137,163,52.33953494
NC028394,1996-1997,122,167,55.80000006
NC028395,1996-1997,126,167,55.36744192
NC028396,1996-1997,127,166,58.3953489
NC028397,1996-1997,92,155,45.85116284
NC028399,1996-1997,123,157,39.687209345
NC028400,1996-1997,117,166,48.23023261
NC028401,1996-1997,124,172,61.63953495
NC028402,1996-1997,113,170,48.87906982
NC028403,1996-1997,122,163,37.740697715
NC028404,1996-1997,137,166,32.65813957
NC028405,1996-1997,87,147,38.389534925
NC028406,1996-1997,122,154,44.98604656
NC028407,1996-1997,112,165,46.608139585
NC028409,1996-1997,116,150,50.39302331
NC028410,1996-1997,125,160,47.36511633
NC028411,1996-1997,137,161,48.44651168
NC028413,1996-1997,130,155,44.55348842
NC028414,1996-1997,131,167,45.4186047
NC028415,1996-1997,127,166,40.87674423
NC028417,1996-1997,120,161,44.33720935
NC028418,1996-1997,128,157,57.09767448
NC028419,1996-1997,107,148,41.74186051
NC028422,1996-1997,112,144,47.689534935
NC028423,1996-1997,112,142,41.95813958
NC028424,1996-1997,116,143,43.90465121
NC028426,1996-1997,134,166,35.577907015
NC028427,1996-1997,138,147,51.25813959
NC028428,1996-1997,125,149,47.473255865
NC028429,1996-1997,100,153,45.310465165
NC028430,1996-1997,123,149,53.529069825
NC028431,1996-1997,131,166,49.09534889
NC028432,1996-1997,135,153,55.259302385
NC028433,1996-1997,124,153,46.50000005
NC028435,1996-1997,129,164,53.529069825
NC028436,1996-1997,139,163,45.526744235
NC028439,1996-1997,136,163,47.79767447
NC028440,1996-1997,146,175,51.04186052
NC028442,1996-1997,140,162,55.15116285
NC028443,1996-1997,133,148,53.096511685
NC028444,1996-1997,118,166,67.154651235
NC028445,1996-1997,125,166,56.2325582
NC028447,1996-1997,127,167,57.205814015
NC028448,1996-1997,124,162,51.69069773
NC028449,1996-1997,128,164,54.0697675
NC028450,1996-1997,127,164,55.58372099
NC028452,1996-1997,132,166,49.419767495
NC028455,1996-1997,119,159,38.9302326
NC028456,1996-1997,133,159,39.79534888
NC028457,1996-1997,113,167,45.743023305
NC028459,1996-1997,127,165,45.743023305
NC028460,1996-1997,126,153,48.23023261
NC028461,1996-1997,122,166,37.524418645
NC028462,1996-1997,134,162,49.852325635
NC028463,1996-1997,118,163,39.687209345
NC028464,1996-1997,98,140,46.50000005
NC028467,1996-1997,132,165,43.255814
NC028468,1996-1997,101,164,33.95581399
NC028469,1996-1997,141,155,49.419767495
NC028470,1996-1997,132,158,40.119767485
NC028473,1996-1997,103,137,35.68604655
NC028474,1996-1997,118,157,34.496511665
NC028475,1996-1997,136,159,29.41395352
NC028476,1996-1997,133,165,43.363953535
NC028477,1996-1997,137,165,56.01627913
NC028478,1996-1997,131,165,54.177907035
NC028479,1996-1997,131,165,48.44651168
NC028484,1996-1997,137,166,40.87674423
NC028485,1996-1997,139,164,53.20465122
NC028486,1996-1997,130,171,52.12325587
NC028489,1996-1997,133,155,55.58372099
NC028491,1996-1997,117,158,48.01395354
NC028492,1996-1997,133,166,46.608139585
NC028493,1996-1997,120,167,56.989534945
NC028500,1996-1997,110,150,60.233720995
NC028503,1996-1997,105,141,56.556976805
NC028506,1996-1997,100,137,55.908139595
NC028508,1996-1997,126,165,53.63720936
NC028509,1996-1997,100,142,50.933720985
NC028511,1996-1997,126,166,50.60930238
NC028512,1996-1997,122,171,43.796511675
NC028513,1996-1997,82,145,41.95813958
NC028516,1996-1997,123,166,46.391860515
NC028521,1996-1997,121,166,42.931395395
NC028526,1996-1997,129,157,61.85581402
NC028540,1996-1997,118,162,48.554651215
NC028547,1996-1997,124,160,40.552325625
NC028549,1996-1997,109,145,56.01627913
NC028552,1996-1997,85,149,42.931395395
NC028560,1996-1997,NA,NA,53.961627965
NC028560,1996-1997,129,159,NA
NC028560,1996-1997,125,159,NA
NC028560,1996-1997,126,161,NA
NC028560,1996-1997,121,159,NA
NC028560,1996-1997,121,160,NA
NC028560,1996-1997,127,161,NA
NC028560,1996-1997,122,161,NA
NC028560,1996-1997,120,162,NA
NC028560,1996-1997,120,160,NA
NC028562,1996-1997,128,160,59.04418611
NC028573,1996-1997,126,157,57.205814015
NC028574,1996-1997,91,146,39.14651167
NC028577,1996-1997,88,152,38.605813995
NC028579,1996-1997,129,163,38.605813995
NC028583,1996-1997,123,157,44.877907025
NC028591,1996-1997,103,145,46.824418655
NC028593,1996-1997,105,134,51.150000055
NC028596,1996-1997,130,165,40.01162795
NC028598,1996-1997,94,156,40.44418609
NC028599,1996-1997,120,157,35.68604655
NC028602,1996-1997,127,163,43.580232605
NC028603,1996-1997,128,157,36.010465155
NC028607,1996-1997,128,166,31.79302329
NC028609,1996-1997,120,157,42.39069772
NC028610,1996-1997,100,145,44.012790745
NC028611,1996-1997,117,179,38.822093065
NC028612,1996-1997,113,145,39.57906981
NC028613,1996-1997,127,160,34.17209306
NC028614,1996-1997,121,158,32.766279105
NC028615,1996-1997,128,157,43.68837214
NC028617,1996-1997,121,155,42.715116325
NC028619,1996-1997,132,161,53.096511685
NC028620,1996-1997,120,157,43.03953493
NC028624,1996-1997,129,156,35.145348875
NC028625,1996-1997,115,149,53.745348895
NC028627,1996-1997,98,141,38.822093065
NC028629,1996-1997,123,158,31.901162825
NC028630,1996-1997,116,157,34.063953525
