genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
NC000761,NA,NA,NA
NC001202,176.34,119.48,34.44
NC001203,184.25,118.45,37.47
NC001204,NA,NA,NA
NC001205,188.09,108.47,NA
NC001206,193.35,105.47,32.5
NC001207,184.37,115.49,NA
NC001208,NA,NA,NA
NC003547,NA,NA,NA
NC003551,NA,NA,NA
NC003552,NA,NA,NA
NC003553,NA,NA,NA
NC003558,189.82,101.68,23.77
NC003561,168.47,89.87,31.34
NC003562,NA,NA,NA
NC003564,NA,NA,NA
NC003568,NA,NA,NA
NC003570,NA,NA,NA
NC003573,NA,NA,NA
NC003578,178.19,115.09,34.12
NC003581,NA,NA,NA
NC003583,NA,NA,NA
NC003587,NA,NA,NA
NC003588,NA,NA,NA
NC003597,NA,NA,NA
NC003598,NA,NA,NA
NC003609,NA,NA,NA
NC003678,NA,NA,NA
NC004614,NA,NA,NA
NC004615,NA,NA,NA
NC004618,NA,NA,NA
NC004619,NA,NA,NA
NC006474,187.5,116.76,36.13
NC006475,NA,NA,NA
NC006476,NA,NA,NA
NC006480,NA,NA,NA
NC006481,NA,NA,NA
NC006482,NA,NA,NA
NC006491,NA,NA,NA
NC006498,173.33,125.65,NA
NC006500,NA,NA,NA
NC006501,NA,NA,NA
NC006502,NA,NA,NA
NC006507,NA,NA,NA
NC006510,173.01,112.47,25.87
NC006511,NA,NA,NA
NC006513,NA,NA,NA
NC006516,192.58,109.04,25.18
NC006521,NA,NA,NA
NC006522,NA,NA,NA
NC006526,NA,NA,NA
NC006528,NA,NA,NA
NC006530,NA,NA,NA
NC006531,NA,NA,NA
NC006532,NA,NA,NA
NC006533,NA,NA,NA
NC006534,190.94,85.99,28.73
NC006539,NA,118.53,41.94
NC006542,NA,NA,NA
NC006555,181.76,122.39,24.31
NC006562,NA,NA,NA
NC006565,195.73,115.06,36.97
NC006567,NA,NA,NA
NC006569,NA,NA,NA
NC006570,NA,NA,NA
NC006571,NA,NA,NA
NC006574,NA,NA,NA
NC006575,186.99,112.1,35.23
NC006582,181.1,103.44,26.8
NC006583,NA,NA,NA
NC006585,NA,NA,NA
NC006586,187.73,116.58,34
NC006588,NA,NA,NA
NC006590,181.07,127.48,39.56
NC006600,NA,NA,NA
NC006607,NA,NA,NA
NC006608,NA,NA,NA
NC008774,NA,NA,NA
NC008775,NA,NA,NA
NC008790,NA,NA,NA
NC008792,NA,NA,NA
NC008793,179.33,123.85,42.72
