experiment_id,instcode,genus,accenumb,agent_id,doi,days_to_heading,total_tillers_per_plant,productive_tillers_per_plant,plant_height,spike_length,number_of_spikelets_per_spike,number_of_grains_per_spike,grain_mass_per_spike,grain_mass_per_plant,thousand_kernel_weight,spike_type,spike_shape,spike_branching,spike_density,spike_awnedness,rigidity,habit_of_awns,spike_colour,glume_pubescence,rachis_internodes,rachis_brittleness,rachis_pubescence,caryopsis_hull,caryopsis_shape,caryopsis_colour,caryopsis_groove,caryopsis_basal_seta,caryopsis_base,resistance_to_grain_sprouting_in_spike,resistance_to_grain_shattering,name,description,campaign,site_name,longitude,latitude,remarks
1993,BGR001,Hordeum,1953-HOR-VU-5,NA,10.18730/10J7FK,130,NA,NA,97,8,24,NA,NA,NA,47,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1956-HOR-VU-15,NA,10.18730/10J7CG,130,NA,NA,96,9,23,NA,NA,NA,47,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1959-HOR-VU-3,NA,10.18730/10J7DH,127,NA,NA,99,8.5,25,NA,NA,NA,48,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1962-HOR-VU-13,NA,10.18730/10J7EJ,123,NA,NA,116,7.5,23,NA,NA,NA,37,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1964-HOR-VU-53,NA,10.18730/10J7GM,127,NA,NA,109,7.5,31,NA,NA,NA,47,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1979-HOR-VU-233,NA,10.18730/10J9HB,124,NA,NA,102,8.5,30,NA,NA,NA,50,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1980-HOR-VU-232,NA,10.18730/10J9ME,120,NA,NA,119,10.5,31,NA,NA,NA,68,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,7,3,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1981-HOR-VU-31,NA,10.18730/10J9QH,130,NA,NA,117,6,30,NA,NA,NA,61,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1988-HOR-VU-142,NA,10.18730/10J8ED,122,NA,NA,91,6,21,NA,NA,NA,54,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1988-HOR-VU-143,NA,10.18730/10J9RJ,125,NA,NA,86,9,36,NA,NA,NA,49,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
