genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
1953-HOR-VU-5,150.98,84.97,54.11
1956-HOR-VU-15,151.98,83.97,54.11
1959-HOR-VU-3,148.98,86.97,54.11
1962-HOR-VU-13,143.98,103.97,44.11
1964-HOR-VU-53,147.98,96.97,54.11
1979-HOR-VU-233,145.98,89.97,57.11
1980-HOR-VU-232,139.98,106.97,75.11
1981-HOR-VU-31,152.98,104.97,68.11
1988-HOR-VU-142,143.98,78.97,61.11
1988-HOR-VU-143,146.98,73.97,56.11
1988-HOR-VU-144,143.98,80.97,57.11
1988-HOR-VU-145,145.98,69.97,53.11
1988-HOR-VU-146,140.98,96.97,67.11
1988-HOR-VU-147,141.98,90.97,65.11
1988-HOR-VU-148,142.98,82.97,55.11
1988-HOR-VU-149,145.98,97.97,42.11
1988-HOR-VU-150,139.98,89.97,41.11
1988-HOR-VU-151,138.98,91.97,42.11
1988-HOR-VU-152,141.98,97.97,50.11
1988-HOR-VU-153,143.98,82.97,46.11
1988-HOR-VU-154,144.98,90.97,47.11
1988-HOR-VU-155,147.98,78.97,54.11
1988-HOR-VU-156,141.98,88.97,53.11
1989-HOR-VU-328,139.98,78.97,55.11
1989-HOR-VU-329,153.98,93.97,58.11
1991-HOR-VU-10,143.98,82.97,51.11
1991-HOR-VU-11,149.98,79.97,38.11
1991-HOR-VU-12,150.98,78.97,47.11
1991-HOR-VU-13,149.98,68.97,42.11
1991-HOR-VU-14,150.98,74.97,43.11
1991-HOR-VU-15,148.98,79.97,42.11
1991-HOR-VU-16,149.98,80.97,45.11
1991-HOR-VU-17,148.98,91.97,55.11
1991-HOR-VU-18,149.98,86.97,45.11
1991-HOR-VU-19,149.98,83.97,46.11
1991-HOR-VU-2,147.98,74.97,53.61
1991-HOR-VU-20,149.98,75.97,41.61
1991-HOR-VU-22,152.98,78.97,37.11
1991-HOR-VU-23,151.98,79.97,56.11
1991-HOR-VU-24,150.98,78.97,53.11
1991-HOR-VU-25,149.98,78.97,45.11
1991-HOR-VU-26,151.98,81.97,54.11
1991-HOR-VU-29,150.98,85.97,38.11
1991-HOR-VU-3,150.98,73.97,41.11
1991-HOR-VU-30,149.98,78.97,47.11
1991-HOR-VU-31,141.98,82.97,65.11
1991-HOR-VU-32,143.98,86.97,53.11
1991-HOR-VU-33,144.98,78.97,51.11
1991-HOR-VU-35,145.98,80.97,63.11
1991-HOR-VU-36,141.98,74.97,51.11
1991-HOR-VU-37,141.98,94.97,49.11
1991-HOR-VU-4,147.98,73.97,53.11
1991-HOR-VU-40,144.98,86.97,66.11
1991-HOR-VU-41,153.98,88.97,56.11
1991-HOR-VU-42,142.98,86.97,50.11
1991-HOR-VU-43,140.98,78.97,50.11
1991-HOR-VU-44,144.98,79.97,41.11
1991-HOR-VU-45,141.98,96.97,51.11
1991-HOR-VU-46,140.98,75.97,56.11
1991-HOR-VU-47,145.98,86.97,66.11
1991-HOR-VU-48,141.98,86.97,42.11
1991-HOR-VU-49,142.98,73.97,42.11
1991-HOR-VU-5,143.98,88.97,55.11
1991-HOR-VU-50,142.98,80.04,58.11
1991-HOR-VU-51,151.98,74.97,58.11
1991-HOR-VU-52,140.98,89.97,51.11
1991-HOR-VU-53,141.98,78.97,41.11
1991-HOR-VU-56,141.98,112.97,67.11
1991-HOR-VU-6,149.98,80.97,36.11
1991-HOR-VU-7,149.98,81.97,45.11
1991-HOR-VU-8,150.98,79.97,47.11
1991-HOR-VU-82,145.98,81.97,47.11
1991-HOR-VU-83,151.98,106.97,41.11
1991-HOR-VU-85,145.98,86.97,44.11
1991-HOR-VU-87,151.98,97.97,53.11
1991-HOR-VU-88,147.98,101.97,42.11
1991-HOR-VU-89,146.98,81.97,42.11
1991-HOR-VU-9,151.98,82.97,47.11
1991-HOR-VU-90,149.98,97.97,36.11
1991-HOR-VU-94,151.98,96.97,55.11
1992-HOR-VU-1003,149.42,87.64,35.93
1992-HOR-VU-1004,139.79,88.49,41.14
1992-HOR-VU-1005,148.18,90.64,34.67
1992-HOR-VU-1007,139.22,88.28,38.28
1992-HOR-VU-101,135.65,93.58,41.36
1992-HOR-VU-1010,145.18,94.34,46.89
1992-HOR-VU-1012,140.48,92.03,42.07
1992-HOR-VU-1015,145.37,92.04,40.69
1992-HOR-VU-1016,149.76,90.02,42.83
1992-HOR-VU-1017,140.48,92.78,45.14
1992-HOR-VU-1018,143.88,106.38,46.06
1992-HOR-VU-1019,142.59,104.25,41.69
1992-HOR-VU-1020,137.61,100.25,39.24
1992-HOR-VU-1022,140.49,93.47,54.06
1992-HOR-VU-1023,142.04,88.63,53.84
1992-HOR-VU-1028,143.52,98.88,35.68
1992-HOR-VU-103,141.08,79.21,42.59
1992-HOR-VU-1032,143.48,103.02,53.87
1992-HOR-VU-1033,140.95,98.64,44.11
1992-HOR-VU-1034,147.59,94.6,53.51
1992-HOR-VU-1035,139.22,95.2,42.87
1992-HOR-VU-104,140.41,83.16,56.98
1992-HOR-VU-106,143.04,89.76,36.41
1992-HOR-VU-107,140.39,89.81,33.47
1992-HOR-VU-108,140.37,91.19,48.33
1992-HOR-VU-110,139.91,91.62,41.79
1992-HOR-VU-111,142.06,86.18,57.77
1992-HOR-VU-112,139.3,70.08,34.35
1992-HOR-VU-113,141.24,92.39,38.87
1992-HOR-VU-114,135.32,91.45,52.82
1992-HOR-VU-115,142.18,90.97,54.97
1992-HOR-VU-116,144.49,90.58,37.66
1992-HOR-VU-118,141.61,88.76,37.98
1992-HOR-VU-119,141.58,96.16,23.92
1992-HOR-VU-120,143.19,91.68,47.78
1992-HOR-VU-122,146.41,98.61,49.93
1992-HOR-VU-123,143.43,87.53,48.92
1992-HOR-VU-124,146.65,81.95,32.14
1992-HOR-VU-126,144.27,88.77,48.16
1992-HOR-VU-127,145.41,89.27,42
1992-HOR-VU-129,141.31,97.38,56.75
1992-HOR-VU-131,148.69,93.9,38.56
1992-HOR-VU-132,144.49,92.79,50.97
1992-HOR-VU-133,139.41,80.51,53.82
1992-HOR-VU-135,148.69,83.86,50.28
1992-HOR-VU-145,138.82,101.15,49.11
1992-HOR-VU-146,146.18,90.57,54.33
1992-HOR-VU-147,147.76,85.78,49.23
1992-HOR-VU-150,145.72,88.43,49.85
1992-HOR-VU-151,144.94,96.58,45.87
1992-HOR-VU-152,137.51,84.04,31.95
1992-HOR-VU-153,139.74,69,32.3
1992-HOR-VU-154,142.95,96.25,32.2
1992-HOR-VU-155,140.84,89.18,37.58
1992-HOR-VU-156,139.41,74.16,43.69
1992-HOR-VU-157,146.6,94.5,44.08
1992-HOR-VU-158,142.01,96.94,53.72
1992-HOR-VU-159,145.24,87.01,38.09
1992-HOR-VU-161,142.89,84.46,35.93
1992-HOR-VU-162,143.04,93.95,50.02
1992-HOR-VU-163,143.36,100.42,48.18
1992-HOR-VU-164,139.54,97.21,63.92
1992-HOR-VU-165,148.06,98.4,51.38
1992-HOR-VU-166,139.22,83.39,38.82
1992-HOR-VU-167,147.36,78.49,37.65
1992-HOR-VU-168,141.83,89.46,39.3
1992-HOR-VU-170,143.83,94.34,33.21
1992-HOR-VU-171,141.45,91.78,37.87
1992-HOR-VU-172,148.98,88.8,42.64
1992-HOR-VU-173,143.47,84.66,48.77
1992-HOR-VU-174,146.33,82.39,46.49
1992-HOR-VU-175,147.35,90.99,48.08
1992-HOR-VU-176,139.49,88.27,45.84
1992-HOR-VU-177,NA,NA,NA
1992-HOR-VU-178,NA,NA,NA
1992-HOR-VU-179,140.06,86.91,50.96
1992-HOR-VU-180,144.72,75.25,38.97
1992-HOR-VU-181,147.09,68.62,54.25
1992-HOR-VU-182,140.88,92.21,50.86
1992-HOR-VU-185,146.77,89.1,50.7
1992-HOR-VU-186,139.55,88.27,50.15
1992-HOR-VU-189,137.08,72.2,45.02
1992-HOR-VU-190,146.44,76.94,50.64
1992-HOR-VU-192,144.4,92.38,55.26
1992-HOR-VU-194,143.19,84.99,57.98
1992-HOR-VU-195,136.62,88.5,51.69
1992-HOR-VU-197,139.02,89.82,39.13
1992-HOR-VU-198,139.53,85.73,47.15
1992-HOR-VU-199,147.83,94.31,51.81
1992-HOR-VU-20,137.19,78.51,47.95
1992-HOR-VU-200,135.98,92.43,51.35
1992-HOR-VU-201,142.49,94.32,59.54
1992-HOR-VU-202,142.54,85.48,57.32
1992-HOR-VU-205,144.98,84.9,48.23
1992-HOR-VU-207,147.83,80.79,47.65
1992-HOR-VU-210,136.24,90.51,53.13
1992-HOR-VU-211,140.29,83.07,55.05
1992-HOR-VU-212,140.84,88.75,59.15
1992-HOR-VU-213,139.21,93.01,42.86
1992-HOR-VU-215,146.8,99.68,40.22
1992-HOR-VU-216,131.57,86.06,39.35
1992-HOR-VU-217,141.97,88.35,39.46
1992-HOR-VU-218,142.52,81.59,35.86
1992-HOR-VU-220,144.32,89.47,39.31
1992-HOR-VU-221,145.83,89.81,42.12
1992-HOR-VU-222,138.77,91.8,51.46
1992-HOR-VU-223,145.17,80.11,43.99
1992-HOR-VU-225,138.88,79.9,46.43
1992-HOR-VU-226,145.72,77.42,49.08
1992-HOR-VU-227,137.56,71.5,44.26
1992-HOR-VU-228,139.54,82.37,42.27
1992-HOR-VU-229,139.45,77.88,35.67
1992-HOR-VU-230,137.56,83.99,42.08
1992-HOR-VU-231,140.38,82.5,33.72
1992-HOR-VU-233,144.73,71.94,49.14
1992-HOR-VU-234,139.48,80.27,38.27
1992-HOR-VU-235,140.62,83.33,42.51
1992-HOR-VU-236,138.94,90.97,41.59
1992-HOR-VU-237,144.39,84.85,50.31
1992-HOR-VU-238,143.03,84.09,50.7
1992-HOR-VU-240,139.07,84.33,41.76
1992-HOR-VU-241,141.28,94.21,32.88
1992-HOR-VU-243,140.45,72.11,46.03
1992-HOR-VU-245,141.93,89.84,59.86
1992-HOR-VU-246,139.81,86.65,54.89
1992-HOR-VU-247,138.84,73.32,55.15
1992-HOR-VU-248,136.96,96.26,61.25
1992-HOR-VU-251,147.36,94.48,53.7
1992-HOR-VU-252,144.87,93.49,39.65
1992-HOR-VU-253,143.16,90.84,44.75
1992-HOR-VU-255,142.26,101.28,48.54
1992-HOR-VU-256,141.85,98.38,49.92
1992-HOR-VU-257,143.55,94.37,45.69
1992-HOR-VU-258,138.12,94.45,51.42
1992-HOR-VU-259,144.77,81.88,47.12
1992-HOR-VU-260,140.35,95.79,48.52
1992-HOR-VU-261,140.37,87.33,54.47
1992-HOR-VU-262,139.49,97.89,38.67
1992-HOR-VU-263,136.86,99.21,38.89
1992-HOR-VU-264,142.7,100.07,37.38
1992-HOR-VU-265,141.61,106.58,48.78
1992-HOR-VU-266,140.79,95.37,43.94
1992-HOR-VU-267,141.55,96.27,47.99
1992-HOR-VU-268,145.56,94.63,49.58
1992-HOR-VU-269,143.88,97.69,71.94
1992-HOR-VU-271,140.79,100.2,31.48
1992-HOR-VU-272,142.05,96.35,37.15
1992-HOR-VU-274,142.76,93.49,49.85
1992-HOR-VU-275,135.8,89.85,44.16
1992-HOR-VU-276,139.91,92.08,56.14
1992-HOR-VU-277,138.25,93.03,46.91
1992-HOR-VU-278,142.12,90.84,56.77
1992-HOR-VU-279,141.81,89.8,50.84
1992-HOR-VU-281,139.98,99.15,54.97
1992-HOR-VU-287,140.75,90.9,40.72
1992-HOR-VU-291,142.98,NA,59.46
1992-HOR-VU-292,145.72,96.57,45.43
1992-HOR-VU-293,150,91.36,52.55
1992-HOR-VU-294,138.26,95.37,48.79
1992-HOR-VU-295,140.39,88.45,60.37
1992-HOR-VU-297,139.09,91.5,60.73
1992-HOR-VU-298,142.42,96.07,67.53
1992-HOR-VU-299,142.01,89.92,62.53
1992-HOR-VU-301,136.84,97.21,58.85
1992-HOR-VU-302,140.95,97.69,53.37
1992-HOR-VU-64,137.58,67.07,48.78
1992-HOR-VU-66,139.24,84.31,36.03
1992-HOR-VU-68,137.51,98.89,44.34
1992-HOR-VU-7,137.19,91.51,49.41
1992-HOR-VU-73,139.71,NA,37.2
1992-HOR-VU-74,144.85,84.91,34.35
1992-HOR-VU-75,138.84,93.34,47.02
1992-HOR-VU-754,139.79,89.77,50.25
1992-HOR-VU-758,140.39,91.67,51.43
1992-HOR-VU-76,138.31,91.92,44.11
1992-HOR-VU-77,133.95,90.13,36.75
1992-HOR-VU-78,138.61,83.64,38.67
1992-HOR-VU-79,138.82,87.11,40.41
1992-HOR-VU-82,138.24,81.64,42.34
1992-HOR-VU-83,141.98,74.21,34.93
1992-HOR-VU-84,139.91,86.58,47.11
1992-HOR-VU-859,142.25,96.33,43.26
1992-HOR-VU-86,139.41,96.16,44.04
1992-HOR-VU-860,135.88,92.65,53.71
1992-HOR-VU-861,146.11,106.62,45.56
1992-HOR-VU-862,139.64,88.21,43.62
1992-HOR-VU-863,140.71,93.23,52.09
1992-HOR-VU-864,143.17,95.64,49.28
1992-HOR-VU-865,143.58,100.08,43.43
1992-HOR-VU-866,142.86,96.14,53.32
