accenumb,campaign,trait,value
1953-HOR-VU-5,1993-1994,days_to_heading,130
1953-HOR-VU-5,1993-1994,plant_height,97
1953-HOR-VU-5,1993-1994,thousand_kernel_weight,47
1956-HOR-VU-15,1993-1994,days_to_heading,130
1956-HOR-VU-15,1993-1994,plant_height,96
1956-HOR-VU-15,1993-1994,thousand_kernel_weight,47
1959-HOR-VU-3,1993-1994,days_to_heading,127
1959-HOR-VU-3,1993-1994,plant_height,99
1959-HOR-VU-3,1993-1994,thousand_kernel_weight,48
1962-HOR-VU-13,1993-1994,days_to_heading,123
1962-HOR-VU-13,1993-1994,plant_height,116
1962-HOR-VU-13,1993-1994,thousand_kernel_weight,37
1964-HOR-VU-53,1993-1994,days_to_heading,127
1964-HOR-VU-53,1993-1994,plant_height,109
1964-HOR-VU-53,1993-1994,thousand_kernel_weight,47
1979-HOR-VU-233,1993-1994,days_to_heading,124
1979-HOR-VU-233,1993-1994,plant_height,102
1979-HOR-VU-233,1993-1994,thousand_kernel_weight,50
1980-HOR-VU-232,1993-1994,days_to_heading,120
1980-HOR-VU-232,1993-1994,plant_height,119
1980-HOR-VU-232,1993-1994,thousand_kernel_weight,68
1981-HOR-VU-31,1993-1994,days_to_heading,130
1981-HOR-VU-31,1993-1994,plant_height,117
1981-HOR-VU-31,1993-1994,thousand_kernel_weight,61
1988-HOR-VU-142,1993-1994,days_to_heading,122
1988-HOR-VU-142,1993-1994,plant_height,91
1988-HOR-VU-142,1993-1994,thousand_kernel_weight,54
1988-HOR-VU-143,1993-1994,days_to_heading,125
1988-HOR-VU-143,1993-1994,plant_height,86
1988-HOR-VU-143,1993-1994,thousand_kernel_weight,49
1988-HOR-VU-144,1993-1994,days_to_heading,123
1988-HOR-VU-144,1993-1994,plant_height,93
1988-HOR-VU-144,1993-1994,thousand_kernel_weight,50
1988-HOR-VU-145,1993-1994,days_to_heading,124
1988-HOR-VU-145,1993-1994,plant_height,82
1988-HOR-VU-145,1993-1994,thousand_kernel_weight,46
1988-HOR-VU-146,1993-1994,days_to_heading,119
1988-HOR-VU-146,1993-1994,plant_height,109
1988-HOR-VU-146,1993-1994,thousand_kernel_weight,61
1988-HOR-VU-147,1993-1994,days_to_heading,120
1988-HOR-VU-147,1993-1994,plant_height,103
1988-HOR-VU-147,1993-1994,thousand_kernel_weight,58
1988-HOR-VU-148,1993-1994,days_to_heading,121
1988-HOR-VU-148,1993-1994,plant_height,95
1988-HOR-VU-148,1993-1994,thousand_kernel_weight,48
1988-HOR-VU-149,1993-1994,days_to_heading,125
1988-HOR-VU-149,1993-1994,plant_height,110
1988-HOR-VU-149,1993-1994,thousand_kernel_weight,35
1988-HOR-VU-150,1993-1994,days_to_heading,119
1988-HOR-VU-150,1993-1994,plant_height,102
1988-HOR-VU-150,1993-1994,thousand_kernel_weight,34
1988-HOR-VU-151,1993-1994,days_to_heading,117
1988-HOR-VU-151,1993-1994,plant_height,104
1988-HOR-VU-151,1993-1994,thousand_kernel_weight,35
1988-HOR-VU-152,1993-1994,days_to_heading,120
1988-HOR-VU-152,1993-1994,plant_height,110
1988-HOR-VU-152,1993-1994,thousand_kernel_weight,43
1988-HOR-VU-153,1993-1994,days_to_heading,122
1988-HOR-VU-153,1993-1994,plant_height,95
1988-HOR-VU-153,1993-1994,thousand_kernel_weight,39
1988-HOR-VU-154,1993-1994,days_to_heading,123
1988-HOR-VU-154,1993-1994,plant_height,103
1988-HOR-VU-154,1993-1994,thousand_kernel_weight,40
1988-HOR-VU-155,1993-1994,days_to_heading,126
1988-HOR-VU-155,1993-1994,plant_height,91
1988-HOR-VU-155,1993-1994,thousand_kernel_weight,48
1988-HOR-VU-156,1993-1994,days_to_heading,120
1988-HOR-VU-156,1993-1994,plant_height,101
1988-HOR-VU-156,1993-1994,thousand_kernel_weight,46
1989-HOR-VU-328,1993-1994,days_to_heading,119
1989-HOR-VU-328,1993-1994,plant_height,91
1989-HOR-VU-328,1993-1994,thousand_kernel_weight,48
1989-HOR-VU-329,1993-1994,days_to_heading,130
1989-HOR-VU-329,1993-1994,plant_height,106
1989-HOR-VU-329,1993-1994,thousand_kernel_weight,51
1991-HOR-VU-10,1993-1994,days_to_heading,122
1991-HOR-VU-10,1993-1994,plant_height,95
1991-HOR-VU-10,1993-1994,thousand_kernel_weight,44
1991-HOR-VU-11,1993-1994,days_to_heading,128
1991-HOR-VU-11,1993-1994,plant_height,92
1991-HOR-VU-11,1993-1994,thousand_kernel_weight,31
1991-HOR-VU-12,1993-1994,days_to_heading,129
1991-HOR-VU-12,1993-1994,plant_height,91
1991-HOR-VU-12,1993-1994,thousand_kernel_weight,40
1991-HOR-VU-13,1993-1994,days_to_heading,128
1991-HOR-VU-13,1993-1994,plant_height,81
1991-HOR-VU-13,1993-1994,thousand_kernel_weight,36
1991-HOR-VU-14,1993-1994,days_to_heading,129
1991-HOR-VU-14,1993-1994,plant_height,87
1991-HOR-VU-14,1993-1994,thousand_kernel_weight,36
1991-HOR-VU-15,1993-1994,days_to_heading,128
1991-HOR-VU-15,1993-1994,plant_height,92
1991-HOR-VU-15,1993-1994,thousand_kernel_weight,35
1991-HOR-VU-16,1993-1994,days_to_heading,130
1991-HOR-VU-16,1993-1994,plant_height,93
1991-HOR-VU-16,1993-1994,thousand_kernel_weight,38
1991-HOR-VU-17,1993-1994,days_to_heading,127
1991-HOR-VU-17,1993-1994,plant_height,104
1991-HOR-VU-17,1993-1994,thousand_kernel_weight,48
1991-HOR-VU-18,1993-1994,days_to_heading,129
1991-HOR-VU-18,1993-1994,plant_height,99
1991-HOR-VU-18,1993-1994,thousand_kernel_weight,38
1991-HOR-VU-19,1993-1994,days_to_heading,128
1991-HOR-VU-19,1993-1994,plant_height,96
1991-HOR-VU-19,1993-1994,thousand_kernel_weight,39
1991-HOR-VU-2,1993-1994,days_to_heading,126
1991-HOR-VU-2,1993-1994,plant_height,87
1991-HOR-VU-2,1993-1994,thousand_kernel_weight,46.5
1991-HOR-VU-20,1993-1994,days_to_heading,128
1991-HOR-VU-20,1993-1994,plant_height,88
1991-HOR-VU-20,1993-1994,thousand_kernel_weight,34.5
1991-HOR-VU-22,1993-1994,days_to_heading,130
1991-HOR-VU-22,1993-1994,plant_height,91
1991-HOR-VU-22,1993-1994,thousand_kernel_weight,30
1991-HOR-VU-23,1993-1994,days_to_heading,129
1991-HOR-VU-23,1993-1994,plant_height,92
1991-HOR-VU-23,1993-1994,thousand_kernel_weight,49
1991-HOR-VU-24,1993-1994,days_to_heading,130
1991-HOR-VU-24,1993-1994,plant_height,91
1991-HOR-VU-24,1993-1994,thousand_kernel_weight,46
1991-HOR-VU-25,1993-1994,days_to_heading,127
1991-HOR-VU-25,1993-1994,plant_height,91
1991-HOR-VU-25,1993-1994,thousand_kernel_weight,40
1991-HOR-VU-26,1993-1994,days_to_heading,131
1991-HOR-VU-26,1993-1994,plant_height,94
1991-HOR-VU-26,1993-1994,thousand_kernel_weight,47
1991-HOR-VU-29,1993-1994,days_to_heading,128
1991-HOR-VU-29,1993-1994,plant_height,98
1991-HOR-VU-29,1993-1994,thousand_kernel_weight,31
1991-HOR-VU-3,1993-1994,days_to_heading,128
1991-HOR-VU-3,1993-1994,plant_height,86
1991-HOR-VU-3,1993-1994,thousand_kernel_weight,34
1991-HOR-VU-30,1993-1994,days_to_heading,128
1991-HOR-VU-30,1993-1994,plant_height,91
1991-HOR-VU-30,1993-1994,thousand_kernel_weight,40
1991-HOR-VU-31,1993-1994,days_to_heading,120
1991-HOR-VU-31,1993-1994,plant_height,95
1991-HOR-VU-31,1993-1994,thousand_kernel_weight,58
1991-HOR-VU-32,1993-1994,days_to_heading,121
1991-HOR-VU-32,1993-1994,plant_height,99
1991-HOR-VU-32,1993-1994,thousand_kernel_weight,46
1991-HOR-VU-33,1993-1994,days_to_heading,123
1991-HOR-VU-33,1993-1994,plant_height,91
1991-HOR-VU-33,1993-1994,thousand_kernel_weight,44
1991-HOR-VU-35,1993-1994,days_to_heading,124
1991-HOR-VU-35,1993-1994,plant_height,93
1991-HOR-VU-35,1993-1994,thousand_kernel_weight,56
1991-HOR-VU-36,1993-1994,days_to_heading,120
1991-HOR-VU-36,1993-1994,plant_height,87
1991-HOR-VU-36,1993-1994,thousand_kernel_weight,44
1991-HOR-VU-37,1993-1994,days_to_heading,120
1991-HOR-VU-37,1993-1994,plant_height,107
1991-HOR-VU-37,1993-1994,thousand_kernel_weight,42
1991-HOR-VU-4,1993-1994,days_to_heading,128
1991-HOR-VU-4,1993-1994,plant_height,86
1991-HOR-VU-4,1993-1994,thousand_kernel_weight,46
1991-HOR-VU-40,1993-1994,days_to_heading,124
1991-HOR-VU-40,1993-1994,plant_height,99
1991-HOR-VU-40,1993-1994,thousand_kernel_weight,59
1991-HOR-VU-41,1993-1994,days_to_heading,132
1991-HOR-VU-41,1993-1994,plant_height,101
1991-HOR-VU-41,1993-1994,thousand_kernel_weight,49
1991-HOR-VU-42,1993-1994,days_to_heading,120
1991-HOR-VU-42,1993-1994,plant_height,99
1991-HOR-VU-42,1993-1994,thousand_kernel_weight,43
1991-HOR-VU-43,1993-1994,days_to_heading,119
1991-HOR-VU-43,1993-1994,plant_height,91
1991-HOR-VU-43,1993-1994,thousand_kernel_weight,43
1991-HOR-VU-44,1993-1994,days_to_heading,123
1991-HOR-VU-44,1993-1994,plant_height,92
1991-HOR-VU-44,1993-1994,thousand_kernel_weight,34
1991-HOR-VU-45,1993-1994,days_to_heading,119
1991-HOR-VU-45,1993-1994,plant_height,109
1991-HOR-VU-45,1993-1994,thousand_kernel_weight,44
1991-HOR-VU-46,1993-1994,days_to_heading,118
1991-HOR-VU-46,1993-1994,plant_height,88
1991-HOR-VU-46,1993-1994,thousand_kernel_weight,49
1991-HOR-VU-47,1993-1994,days_to_heading,124
1991-HOR-VU-47,1993-1994,plant_height,99
1991-HOR-VU-47,1993-1994,thousand_kernel_weight,59
1991-HOR-VU-48,1993-1994,days_to_heading,118
1991-HOR-VU-48,1993-1994,plant_height,99
1991-HOR-VU-48,1993-1994,thousand_kernel_weight,36
1991-HOR-VU-49,1993-1994,days_to_heading,121
1991-HOR-VU-49,1993-1994,plant_height,86
1991-HOR-VU-49,1993-1994,thousand_kernel_weight,35
1991-HOR-VU-5,1993-1994,plant_height,101
1991-HOR-VU-5,1993-1994,thousand_kernel_weight,48
1991-HOR-VU-50,1993-1994,days_to_heading,121
1991-HOR-VU-50,1993-1994,plant_height,92
1991-HOR-VU-50,1993-1994,thousand_kernel_weight,52
1991-HOR-VU-51,1993-1994,days_to_heading,131
1991-HOR-VU-51,1993-1994,plant_height,87
1991-HOR-VU-51,1993-1994,thousand_kernel_weight,51
1991-HOR-VU-52,1993-1994,days_to_heading,118
1991-HOR-VU-52,1993-1994,plant_height,102
1991-HOR-VU-52,1993-1994,thousand_kernel_weight,44
1991-HOR-VU-53,1993-1994,days_to_heading,120
1991-HOR-VU-53,1993-1994,plant_height,91
1991-HOR-VU-53,1993-1994,thousand_kernel_weight,34
1991-HOR-VU-56,1993-1994,days_to_heading,120
1991-HOR-VU-56,1993-1994,plant_height,125
1991-HOR-VU-56,1993-1994,thousand_kernel_weight,60
1991-HOR-VU-6,1993-1994,days_to_heading,129
1991-HOR-VU-6,1993-1994,plant_height,93
1991-HOR-VU-6,1993-1994,thousand_kernel_weight,29
1991-HOR-VU-7,1993-1994,days_to_heading,128
1991-HOR-VU-7,1993-1994,plant_height,94
1991-HOR-VU-7,1993-1994,thousand_kernel_weight,38
1991-HOR-VU-8,1993-1994,days_to_heading,129
1991-HOR-VU-8,1993-1994,plant_height,92
1991-HOR-VU-8,1993-1994,thousand_kernel_weight,40
1991-HOR-VU-82,1993-1994,days_to_heading,124
1991-HOR-VU-82,1993-1994,plant_height,94
1991-HOR-VU-82,1993-1994,thousand_kernel_weight,40
1991-HOR-VU-83,1993-1994,days_to_heading,130
1991-HOR-VU-83,1993-1994,plant_height,119
1991-HOR-VU-83,1993-1994,thousand_kernel_weight,34
1991-HOR-VU-85,1993-1994,days_to_heading,124
1991-HOR-VU-85,1993-1994,plant_height,99
1991-HOR-VU-85,1993-1994,thousand_kernel_weight,37
1991-HOR-VU-87,1993-1994,days_to_heading,130
1991-HOR-VU-87,1993-1994,plant_height,110
1991-HOR-VU-87,1993-1994,thousand_kernel_weight,46
1991-HOR-VU-88,1993-1994,days_to_heading,126
1991-HOR-VU-88,1993-1994,plant_height,114
1991-HOR-VU-88,1993-1994,thousand_kernel_weight,35
1991-HOR-VU-89,1993-1994,days_to_heading,126
1991-HOR-VU-89,1993-1994,plant_height,94
1991-HOR-VU-89,1993-1994,thousand_kernel_weight,35
1991-HOR-VU-9,1993-1994,days_to_heading,130
1991-HOR-VU-9,1993-1994,plant_height,95
1991-HOR-VU-9,1993-1994,thousand_kernel_weight,40
1991-HOR-VU-90,1993-1994,days_to_heading,128
1991-HOR-VU-90,1993-1994,plant_height,110
1991-HOR-VU-90,1993-1994,thousand_kernel_weight,29
1991-HOR-VU-94,1993-1994,days_to_heading,131
1991-HOR-VU-94,1993-1994,plant_height,109
1991-HOR-VU-94,1993-1994,thousand_kernel_weight,48
1992-HOR-VU-1003,1993-1994,days_to_heading,125
1992-HOR-VU-1003,1993-1994,plant_height,103.2
1992-HOR-VU-1003,1993-1994,thousand_kernel_weight,32.09
1992-HOR-VU-1004,1993-1994,days_to_heading,117
1992-HOR-VU-1004,1993-1994,plant_height,99.4
1992-HOR-VU-1004,1993-1994,thousand_kernel_weight,29.5
1992-HOR-VU-1005,1993-1994,days_to_heading,124
1992-HOR-VU-1005,1993-1994,plant_height,97.8
1992-HOR-VU-1005,1993-1994,thousand_kernel_weight,29.5
1992-HOR-VU-1007,1993-1994,days_to_heading,119
1992-HOR-VU-1007,1993-1994,plant_height,99.6
1992-HOR-VU-1007,1993-1994,thousand_kernel_weight,34.5
1992-HOR-VU-101,1993-1994,days_to_heading,111
1992-HOR-VU-101,1993-1994,plant_height,98
1992-HOR-VU-101,1993-1994,thousand_kernel_weight,37.6
1992-HOR-VU-1010,1993-1994,days_to_heading,121
1992-HOR-VU-1010,1993-1994,plant_height,110
1992-HOR-VU-1010,1993-1994,thousand_kernel_weight,41.08
1992-HOR-VU-1012,1993-1994,days_to_heading,117
1992-HOR-VU-1012,1993-1994,plant_height,109.3
1992-HOR-VU-1012,1993-1994,thousand_kernel_weight,37.05
1992-HOR-VU-1015,1993-1994,days_to_heading,124
1992-HOR-VU-1015,1993-1994,plant_height,103.4
1992-HOR-VU-1015,1993-1994,thousand_kernel_weight,34.6
1992-HOR-VU-1016,1993-1994,days_to_heading,130
1992-HOR-VU-1016,1993-1994,plant_height,106.4
1992-HOR-VU-1016,1993-1994,thousand_kernel_weight,37.9
1992-HOR-VU-1017,1993-1994,days_to_heading,117
1992-HOR-VU-1017,1993-1994,plant_height,112.8
1992-HOR-VU-1017,1993-1994,thousand_kernel_weight,42.9
1992-HOR-VU-1018,1993-1994,days_to_heading,119
1992-HOR-VU-1018,1993-1994,plant_height,128.8
1992-HOR-VU-1018,1993-1994,thousand_kernel_weight,46.7
1992-HOR-VU-1019,1993-1994,days_to_heading,124
1992-HOR-VU-1019,1993-1994,plant_height,128
1992-HOR-VU-1019,1993-1994,thousand_kernel_weight,37.8
1992-HOR-VU-1020,1993-1994,days_to_heading,116
1992-HOR-VU-1020,1993-1994,plant_height,126
1992-HOR-VU-1020,1993-1994,thousand_kernel_weight,28.07
1992-HOR-VU-1022,1993-1994,days_to_heading,117
1992-HOR-VU-1022,1993-1994,plant_height,103.8
1992-HOR-VU-1022,1993-1994,thousand_kernel_weight,51.4
1992-HOR-VU-1023,1993-1994,days_to_heading,116
1992-HOR-VU-1023,1993-1994,plant_height,92.3
1992-HOR-VU-1023,1993-1994,thousand_kernel_weight,45
1992-HOR-VU-1028,1993-1994,days_to_heading,124
1992-HOR-VU-1028,1993-1994,plant_height,113.8
1992-HOR-VU-1028,1993-1994,thousand_kernel_weight,30.4
1992-HOR-VU-103,1993-1994,days_to_heading,116
1992-HOR-VU-103,1993-1994,plant_height,91
1992-HOR-VU-103,1993-1994,thousand_kernel_weight,28.05
1992-HOR-VU-1032,1993-1994,days_to_heading,120
1992-HOR-VU-1032,1993-1994,plant_height,126.4
1992-HOR-VU-1032,1993-1994,thousand_kernel_weight,41.4
1992-HOR-VU-1033,1993-1994,days_to_heading,117
1992-HOR-VU-1033,1993-1994,plant_height,117.8
1992-HOR-VU-1033,1993-1994,thousand_kernel_weight,39.16
