accenumb,agent_id,doi,days_to_heading,thousand_kernel_weight,plant_height,date_of_heading,type_of_bush,leaf-flag_attitude,spike_attitude,spike_shape,spike_branching,spike_awnedness,glume_colour,name,description,campaign
1974-TRT-AE-52,NA,10.18730/ZBDHF,140,40.32,68,19820520,5,3,5,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1981-1982
1978-TRT-AE-151,NA,10.18730/ZBDQN,138,36.37,80,19820518,5,3,5,3,1,1,4,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1981-1982
1978-TRT-AE-157,NA,10.18730/ZBDGE,139,44.6,100,19820519,7,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1981-1982
1978-TRT-AE-241,NA,10.18730/ZBGM3,140,30.55,106.4,19820520,5,3,3,1,1,9,4,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1981-1982
1979-TRT-AE-320,NA,10.18730/ZBGN4,141,42.8,108,19820521,3,3,1,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1981-1982
1982-TRT-AE-917,NA,10.18730/ZF0X7,149,36.9,116,19820529,5,3,7,6,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1981-1982
1956-TRT-AE-1,NA,10.18730/ZBGP5,133,34.6,116.6,19830513,5,3,3,1,1,9,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1982-1983
1964-TRT-AE-2,NA,10.18730/ZBGZE,137,26.58,90.4,19830517,7,5,1,3,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1982-1983
1973-TRT-AE-12,NA,10.18730/ZBG6T,132,33.96,81.4,19830512,3,5,5,5,1,5,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1982-1983
1978-TRT-AE-142,NA,10.18730/ZBDFD,135,31.8,77.8,19830515,7,3,5,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1982-1983
1978-TRT-AE-151,NA,10.18730/ZBDQN,135,37.6,80,19830515,5,3,5,3,1,1,4,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1982-1983
1978-TRT-AE-181,NA,10.18730/ZBFZK,133,37.5,73.6,19830513,3,5,3,3,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1982-1983
