genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
1956-TRT-AE-1,132.89,117.89,47.71
1957-TRT-DU-567,131.53,146.38,49.34
1957-TRT-DU-754,131.82,144.58,47.25
1957-TRT-DU-765,131.12,140.57,42.75
1958-TRT-DU-206,131.8,136.5,43.39
1958-TRT-DU-69,129.73,132.24,50.03
1958-TRT-DU-9,131.95,133.98,50.97
1958-TRT-DU-99,132.65,145.62,46.03
1964-TRT-AE-2,129.14,115.21,39
1973-TRT-AE-12,130.4,98.66,33.5
1974-TRT-AE-52,130.05,81.87,44.71
1977-TRT-AE-110,131.83,101.53,43.31
1978-TRT-AE-107,131.71,87.01,30.5
1978-TRT-AE-108,132.16,94.06,39.22
1978-TRT-AE-109,133.42,94.16,37.86
1978-TRT-AE-110,134.45,97.84,38.37
1978-TRT-AE-111,131.56,93.32,35.89
1978-TRT-AE-112,131.48,79.26,33.27
1978-TRT-AE-117,130.86,90.91,41.38
1978-TRT-AE-119,131.09,90.64,41.99
1978-TRT-AE-120,133,87.31,33.62
1978-TRT-AE-121,134.66,87.66,41.07
1978-TRT-AE-122,131.91,86.52,37.2
1978-TRT-AE-123,134.66,94.24,36.78
1978-TRT-AE-124,137.49,97.27,37.37
1978-TRT-AE-125,137.41,99.69,35.72
1978-TRT-AE-126,136.41,86.02,36.16
1978-TRT-AE-127,134.26,94.61,36.98
1978-TRT-AE-128,134.95,89.03,42.05
1978-TRT-AE-129,135.91,89.76,39.08
1978-TRT-AE-130,134.28,92.05,40.33
1978-TRT-AE-142,130.15,88.38,33.59
1978-TRT-AE-143,132.19,87.84,31.11
1978-TRT-AE-144,132.78,79.79,43.04
1978-TRT-AE-145,129.96,95.4,38.22
1978-TRT-AE-147,132.13,79.65,35.74
1978-TRT-AE-148,129.25,95.17,34.88
1978-TRT-AE-149,129.67,91.17,33.04
1978-TRT-AE-150,128.5,88.18,34.89
1978-TRT-AE-151,128.59,93.25,39.89
1978-TRT-AE-152,131.77,96.76,39.07
1978-TRT-AE-153,133.18,88.77,35.04
1978-TRT-AE-154,132.41,85.74,36.07
1978-TRT-AE-155,132.8,94.59,33.8
1978-TRT-AE-156,130.67,88.43,45.13
1978-TRT-AE-157,130.01,93.66,44.04
1978-TRT-AE-158,133.19,92.9,27.95
1978-TRT-AE-159,132.82,92.07,32.83
1978-TRT-AE-160,132.69,81.58,32.23
1978-TRT-AE-161,134.54,96.77,31.5
1978-TRT-AE-162,134.44,69.92,25.82
1978-TRT-AE-163,132.27,85.89,28.32
1978-TRT-AE-164,135.19,95,27.89
1978-TRT-AE-165,134.72,91.32,31.95
1978-TRT-AE-166,132.42,93.22,36.15
1978-TRT-AE-167,125.38,83.93,38.04
1978-TRT-AE-169,135.79,91.38,30.58
1978-TRT-AE-170,130.84,89.42,40.95
1978-TRT-AE-171,136.38,91.3,38.7
1978-TRT-AE-172,131.76,95.38,44.21
1978-TRT-AE-173,127.98,93.03,44.52
1978-TRT-AE-174,131.17,92.08,41.98
1978-TRT-AE-175,130.84,87.4,33.23
1978-TRT-AE-176,133.06,81.43,41.72
1978-TRT-AE-177,132.19,109.83,42.73
1978-TRT-AE-178,132.67,94.49,32.53
1978-TRT-AE-179,132.79,93.03,27.7
1978-TRT-AE-180,135.87,95.25,29.79
1978-TRT-AE-181,130.87,89.74,36.88
1978-TRT-AE-182,133.09,87.45,30.13
1978-TRT-AE-183,130.58,100.63,35.6
1978-TRT-AE-184,132.53,92.25,33.85
1978-TRT-AE-186,130.08,91.53,34.16
1978-TRT-AE-187,130.95,92.82,30.33
1978-TRT-AE-188,131.09,87.71,31.89
1978-TRT-AE-189,132.76,89.49,27.98
1978-TRT-AE-190,133.53,95.66,34.16
1978-TRT-AE-191,131.95,96.76,34.27
1978-TRT-AE-192,133.56,86.22,33.4
1978-TRT-AE-193,134.82,89.9,25.59
1978-TRT-AE-194,133.4,93.82,26.89
1978-TRT-AE-196,131.71,77.19,32.29
1978-TRT-AE-197,134.49,96.45,34.91
1978-TRT-AE-198,134.46,90.57,36.24
1978-TRT-AE-199,132.46,96.43,38.23
1978-TRT-AE-2,131.93,79.92,34.38
1978-TRT-AE-200,130.89,97.2,46.89
1978-TRT-AE-201,132.68,92.38,41.01
1978-TRT-AE-202,133.21,93.86,38.13
1978-TRT-AE-203,131.52,91.78,35.74
1978-TRT-AE-204,136.72,81.39,27.02
1978-TRT-AE-205,136.13,92.9,36.26
1978-TRT-AE-206,134.67,85.85,27.96
1978-TRT-AE-207,130.99,93.97,37.91
1978-TRT-AE-209,131.59,92.75,32.93
1978-TRT-AE-241,132.94,119.33,35.45
1978-TRT-AE-285,149.06,110.96,32.32
1978-TRT-AE-29,132.14,85.99,31.32
1978-TRT-AE-80,134.45,78.71,34.43
1979-TRT-AE-270,132.22,82.54,34.98
1979-TRT-AE-271,126.54,95.5,39.35
1979-TRT-AE-274,127.51,94.79,39.09
1979-TRT-AE-320,128.87,108.07,43.12
1980-TRT-AE-189,127.68,54.26,35.45
1980-TRT-AE-190,127.06,54.55,37.39
1980-TRT-AE-616,134.1,100.73,38.44
1981-TRT-AE-68,131.28,83.36,32.95
1981-TRT-AE-74,128.3,79.7,40.42
1981-TRT-AE-77,129,84.03,41.61
1981-TRT-AE-78,128.38,94.28,35.73
1981-TRT-AE-79,133.41,83.47,30.18
1981-TRT-DU-1,132.12,81.53,43.12
1981-TRT-DU-2,130.1,87.22,43.17
1982-TRT-AE-917,139.52,126.25,38.57
1982-TRT-AE-923,123.06,102.56,36.35
