accenumb,campaign,trait,value
1974-TRT-AE-52,1981-1982,days_to_heading,140
1974-TRT-AE-52,1981-1982,plant_height,68
1974-TRT-AE-52,1981-1982,thousand_kernel_weight,40.32
1978-TRT-AE-151,1981-1982,days_to_heading,138
1978-TRT-AE-151,1981-1982,plant_height,80
1978-TRT-AE-151,1981-1982,thousand_kernel_weight,36.37
1978-TRT-AE-157,1981-1982,days_to_heading,139
1978-TRT-AE-157,1981-1982,plant_height,100
1978-TRT-AE-157,1981-1982,thousand_kernel_weight,44.6
1978-TRT-AE-241,1981-1982,days_to_heading,140
1978-TRT-AE-241,1981-1982,plant_height,106.4
1978-TRT-AE-241,1981-1982,thousand_kernel_weight,30.55
1979-TRT-AE-320,1981-1982,days_to_heading,141
1979-TRT-AE-320,1981-1982,plant_height,108
1979-TRT-AE-320,1981-1982,thousand_kernel_weight,42.8
1982-TRT-AE-917,1981-1982,days_to_heading,149
1982-TRT-AE-917,1981-1982,plant_height,116
1982-TRT-AE-917,1981-1982,thousand_kernel_weight,36.9
1956-TRT-AE-1,1982-1983,days_to_heading,133
1956-TRT-AE-1,1982-1983,plant_height,116.6
1964-TRT-AE-2,1982-1983,days_to_heading,137
1964-TRT-AE-2,1982-1983,plant_height,90.4
1973-TRT-AE-12,1982-1983,days_to_heading,132
1973-TRT-AE-12,1982-1983,plant_height,81.4
1973-TRT-AE-12,1982-1983,thousand_kernel_weight,33.96
1978-TRT-AE-142,1982-1983,days_to_heading,135
1978-TRT-AE-142,1982-1983,plant_height,77.8
1978-TRT-AE-142,1982-1983,thousand_kernel_weight,31.8
1978-TRT-AE-151,1982-1983,days_to_heading,135
1978-TRT-AE-151,1982-1983,plant_height,80
1978-TRT-AE-151,1982-1983,thousand_kernel_weight,37.6
1978-TRT-AE-181,1982-1983,days_to_heading,133
1978-TRT-AE-181,1982-1983,plant_height,73.6
1978-TRT-AE-181,1982-1983,thousand_kernel_weight,37.5
1978-TRT-AE-241,1982-1983,days_to_heading,136
1978-TRT-AE-241,1982-1983,plant_height,106.4
1979-TRT-AE-271,1982-1983,days_to_heading,135
1979-TRT-AE-271,1982-1983,plant_height,76
1979-TRT-AE-271,1982-1983,thousand_kernel_weight,38.8
1979-TRT-AE-274,1982-1983,days_to_heading,132
1979-TRT-AE-274,1982-1983,plant_height,77.4
1979-TRT-AE-274,1982-1983,thousand_kernel_weight,43.6
1979-TRT-AE-320,1982-1983,days_to_heading,135
1979-TRT-AE-320,1982-1983,thousand_kernel_weight,39.8
1981-TRT-AE-74,1982-1983,days_to_heading,137
1981-TRT-AE-74,1982-1983,plant_height,73
1981-TRT-AE-74,1982-1983,thousand_kernel_weight,43.25
1981-TRT-AE-78,1982-1983,days_to_heading,138
1981-TRT-AE-78,1982-1983,plant_height,78
1981-TRT-AE-78,1982-1983,thousand_kernel_weight,27.27
1982-TRT-AE-917,1982-1983,days_to_heading,144
1982-TRT-AE-917,1982-1983,plant_height,116
1982-TRT-AE-917,1982-1983,thousand_kernel_weight,36.9
1998-TRT-AE-1,1982-1983,days_to_heading,135
1998-TRT-AE-1,1982-1983,plant_height,87.6
1998-TRT-AE-1,1982-1983,thousand_kernel_weight,38.9
2001-TRT-AE-151,1982-1983,days_to_heading,135
2001-TRT-AE-151,1982-1983,plant_height,91.2
2001-TRT-AE-151,1982-1983,thousand_kernel_weight,30.2
2001-TRT-AE-159,1982-1983,days_to_heading,134
2001-TRT-AE-159,1982-1983,plant_height,71.4
2001-TRT-AE-159,1982-1983,thousand_kernel_weight,39.75
2001-TRT-AE-167,1982-1983,days_to_heading,132
2001-TRT-AE-167,1982-1983,plant_height,72.4
2001-TRT-AE-167,1982-1983,thousand_kernel_weight,34.48
2001-TRT-AE-168,1982-1983,days_to_heading,135
2001-TRT-AE-168,1982-1983,plant_height,80.4
2001-TRT-AE-168,1982-1983,thousand_kernel_weight,34.32
2001-TRT-AE-172,1982-1983,days_to_heading,132
2001-TRT-AE-172,1982-1983,plant_height,85.6
2001-TRT-AE-172,1982-1983,thousand_kernel_weight,48.71
2013-TRT-AE-14,1982-1983,days_to_heading,132
2013-TRT-AE-14,1982-1983,plant_height,78.4
2013-TRT-AE-14,1982-1983,thousand_kernel_weight,36.9
1974-TRT-AE-52,1984-1985,days_to_heading,143
1974-TRT-AE-52,1984-1985,plant_height,79.6
1974-TRT-AE-52,1984-1985,thousand_kernel_weight,46.8
1978-TRT-AE-142,1984-1985,days_to_heading,143
1978-TRT-AE-142,1984-1985,plant_height,84
