accenumb,campaign,plant_height
1953-HOR-VU-5,1993-1994,97
1956-HOR-VU-15,1993-1994,96
1959-HOR-VU-3,1993-1994,99
1962-HOR-VU-13,1993-1994,116
1964-HOR-VU-53,1993-1994,109
1979-HOR-VU-233,1993-1994,102
1980-HOR-VU-232,1993-1994,119
1981-HOR-VU-31,1993-1994,117
1988-HOR-VU-142,1993-1994,91
1988-HOR-VU-143,1993-1994,86
1988-HOR-VU-144,1993-1994,93
1988-HOR-VU-145,1993-1994,82
1988-HOR-VU-146,1993-1994,109
1988-HOR-VU-147,1993-1994,103
1988-HOR-VU-148,1993-1994,95
1988-HOR-VU-149,1993-1994,110
1988-HOR-VU-150,1993-1994,102
1988-HOR-VU-151,1993-1994,104
1988-HOR-VU-152,1993-1994,110
1988-HOR-VU-153,1993-1994,95
1988-HOR-VU-154,1993-1994,103
1988-HOR-VU-155,1993-1994,91
1988-HOR-VU-156,1993-1994,101
1989-HOR-VU-328,1993-1994,91
1989-HOR-VU-329,1993-1994,106
1991-HOR-VU-10,1993-1994,95
1991-HOR-VU-11,1993-1994,92
1991-HOR-VU-12,1993-1994,91
1991-HOR-VU-13,1993-1994,81
1991-HOR-VU-14,1993-1994,87
1991-HOR-VU-15,1993-1994,92
1991-HOR-VU-16,1993-1994,93
1991-HOR-VU-17,1993-1994,104
1991-HOR-VU-18,1993-1994,99
1991-HOR-VU-19,1993-1994,96
1991-HOR-VU-2,1993-1994,87
1991-HOR-VU-20,1993-1994,88
1991-HOR-VU-22,1993-1994,91
1991-HOR-VU-23,1993-1994,92
1991-HOR-VU-24,1993-1994,91
1991-HOR-VU-25,1993-1994,91
1991-HOR-VU-26,1993-1994,94
1991-HOR-VU-29,1993-1994,98
1991-HOR-VU-3,1993-1994,86
1991-HOR-VU-30,1993-1994,91
1991-HOR-VU-31,1993-1994,95
1991-HOR-VU-32,1993-1994,99
1991-HOR-VU-33,1993-1994,91
1991-HOR-VU-35,1993-1994,93
1991-HOR-VU-36,1993-1994,87
1991-HOR-VU-37,1993-1994,107
1991-HOR-VU-4,1993-1994,86
1991-HOR-VU-40,1993-1994,99
1991-HOR-VU-41,1993-1994,101
1991-HOR-VU-42,1993-1994,99
1991-HOR-VU-43,1993-1994,91
1991-HOR-VU-44,1993-1994,92
1991-HOR-VU-45,1993-1994,109
1991-HOR-VU-46,1993-1994,88
1991-HOR-VU-47,1993-1994,99
1991-HOR-VU-48,1993-1994,99
1991-HOR-VU-49,1993-1994,86
1991-HOR-VU-5,1993-1994,101
1991-HOR-VU-50,1993-1994,92
1991-HOR-VU-51,1993-1994,87
1991-HOR-VU-52,1993-1994,102
1991-HOR-VU-53,1993-1994,91
1991-HOR-VU-56,1993-1994,125
1991-HOR-VU-6,1993-1994,93
1991-HOR-VU-7,1993-1994,94
1991-HOR-VU-8,1993-1994,92
1991-HOR-VU-82,1993-1994,94
1991-HOR-VU-83,1993-1994,119
1991-HOR-VU-85,1993-1994,99
1991-HOR-VU-87,1993-1994,110
1991-HOR-VU-88,1993-1994,114
1991-HOR-VU-89,1993-1994,94
1991-HOR-VU-9,1993-1994,95
1991-HOR-VU-90,1993-1994,110
1991-HOR-VU-94,1993-1994,109
1992-HOR-VU-1003,1993-1994,103.2
1992-HOR-VU-1004,1993-1994,99.4
1992-HOR-VU-1005,1993-1994,97.8
1992-HOR-VU-1007,1993-1994,99.6
1992-HOR-VU-101,1993-1994,98
1992-HOR-VU-1010,1993-1994,110
1992-HOR-VU-1012,1993-1994,109.3
1992-HOR-VU-1015,1993-1994,103.4
1992-HOR-VU-1016,1993-1994,106.4
1992-HOR-VU-1017,1993-1994,112.8
1992-HOR-VU-1018,1993-1994,128.8
1992-HOR-VU-1019,1993-1994,128
1992-HOR-VU-1020,1993-1994,126
1992-HOR-VU-1022,1993-1994,103.8
1992-HOR-VU-1023,1993-1994,92.3
1992-HOR-VU-1028,1993-1994,113.8
1992-HOR-VU-103,1993-1994,91
1992-HOR-VU-1032,1993-1994,126.4
1992-HOR-VU-1033,1993-1994,117.8
1992-HOR-VU-1034,1993-1994,110.2
1992-HOR-VU-1035,1993-1994,118.4
1992-HOR-VU-104,1993-1994,90.2
1992-HOR-VU-106,1993-1994,99.4
1992-HOR-VU-107,1993-1994,94.6
1992-HOR-VU-108,1993-1994,94
1992-HOR-VU-110,1993-1994,95.4
1992-HOR-VU-111,1993-1994,92.4
1992-HOR-VU-112,1993-1994,69.6
1992-HOR-VU-113,1993-1994,103
1992-HOR-VU-114,1993-1994,99.7
1992-HOR-VU-115,1993-1994,97.2
1992-HOR-VU-116,1993-1994,97.6
1992-HOR-VU-118,1993-1994,98.4
1992-HOR-VU-119,1993-1994,111
1992-HOR-VU-120,1993-1994,106.7
1992-HOR-VU-122,1993-1994,114.6
1992-HOR-VU-123,1993-1994,96.5
1992-HOR-VU-124,1993-1994,79
1992-HOR-VU-126,1993-1994,106.4
1992-HOR-VU-126,1993-1994,105
1992-HOR-VU-127,1993-1994,96.5
