accenumb,campaign,thousand_kernel_weight
1953-HOR-VU-5,1993-1994,47
1956-HOR-VU-15,1993-1994,47
1959-HOR-VU-3,1993-1994,48
1962-HOR-VU-13,1993-1994,37
1964-HOR-VU-53,1993-1994,47
1979-HOR-VU-233,1993-1994,50
1980-HOR-VU-232,1993-1994,68
1981-HOR-VU-31,1993-1994,61
1988-HOR-VU-142,1993-1994,54
1988-HOR-VU-143,1993-1994,49
1988-HOR-VU-144,1993-1994,50
1988-HOR-VU-145,1993-1994,46
1988-HOR-VU-146,1993-1994,61
1988-HOR-VU-147,1993-1994,58
1988-HOR-VU-148,1993-1994,48
1988-HOR-VU-149,1993-1994,35
1988-HOR-VU-150,1993-1994,34
1988-HOR-VU-151,1993-1994,35
1988-HOR-VU-152,1993-1994,43
1988-HOR-VU-153,1993-1994,39
1988-HOR-VU-154,1993-1994,40
1988-HOR-VU-155,1993-1994,48
1988-HOR-VU-156,1993-1994,46
1989-HOR-VU-328,1993-1994,48
1989-HOR-VU-329,1993-1994,51
1991-HOR-VU-10,1993-1994,44
1991-HOR-VU-11,1993-1994,31
1991-HOR-VU-12,1993-1994,40
1991-HOR-VU-13,1993-1994,36
1991-HOR-VU-14,1993-1994,36
1991-HOR-VU-15,1993-1994,35
1991-HOR-VU-16,1993-1994,38
1991-HOR-VU-17,1993-1994,48
1991-HOR-VU-18,1993-1994,38
1991-HOR-VU-19,1993-1994,39
1991-HOR-VU-2,1993-1994,46.5
1991-HOR-VU-20,1993-1994,34.5
1991-HOR-VU-22,1993-1994,30
1991-HOR-VU-23,1993-1994,49
1991-HOR-VU-24,1993-1994,46
1991-HOR-VU-25,1993-1994,40
1991-HOR-VU-26,1993-1994,47
1991-HOR-VU-29,1993-1994,31
1991-HOR-VU-3,1993-1994,34
1991-HOR-VU-30,1993-1994,40
1991-HOR-VU-31,1993-1994,58
1991-HOR-VU-32,1993-1994,46
1991-HOR-VU-33,1993-1994,44
1991-HOR-VU-35,1993-1994,56
1991-HOR-VU-36,1993-1994,44
1991-HOR-VU-37,1993-1994,42
1991-HOR-VU-4,1993-1994,46
1991-HOR-VU-40,1993-1994,59
1991-HOR-VU-41,1993-1994,49
1991-HOR-VU-42,1993-1994,43
1991-HOR-VU-43,1993-1994,43
1991-HOR-VU-44,1993-1994,34
1991-HOR-VU-45,1993-1994,44
1991-HOR-VU-46,1993-1994,49
1991-HOR-VU-47,1993-1994,59
1991-HOR-VU-48,1993-1994,36
1991-HOR-VU-49,1993-1994,35
1991-HOR-VU-5,1993-1994,48
1991-HOR-VU-50,1993-1994,52
1991-HOR-VU-51,1993-1994,51
1991-HOR-VU-52,1993-1994,44
1991-HOR-VU-53,1993-1994,34
1991-HOR-VU-56,1993-1994,60
1991-HOR-VU-6,1993-1994,29
1991-HOR-VU-7,1993-1994,38
1991-HOR-VU-8,1993-1994,40
1991-HOR-VU-82,1993-1994,40
1991-HOR-VU-83,1993-1994,34
1991-HOR-VU-85,1993-1994,37
1991-HOR-VU-87,1993-1994,46
1991-HOR-VU-88,1993-1994,35
1991-HOR-VU-89,1993-1994,35
1991-HOR-VU-9,1993-1994,40
1991-HOR-VU-90,1993-1994,29
1991-HOR-VU-94,1993-1994,48
1992-HOR-VU-1003,1993-1994,32.09
1992-HOR-VU-1004,1993-1994,29.5
1992-HOR-VU-1005,1993-1994,29.5
1992-HOR-VU-1007,1993-1994,34.5
1992-HOR-VU-101,1993-1994,37.6
1992-HOR-VU-1010,1993-1994,41.08
1992-HOR-VU-1012,1993-1994,37.05
1992-HOR-VU-1015,1993-1994,34.6
1992-HOR-VU-1016,1993-1994,37.9
1992-HOR-VU-1017,1993-1994,42.9
1992-HOR-VU-1018,1993-1994,46.7
1992-HOR-VU-1019,1993-1994,37.8
1992-HOR-VU-1020,1993-1994,28.07
1992-HOR-VU-1022,1993-1994,51.4
1992-HOR-VU-1023,1993-1994,45
1992-HOR-VU-1028,1993-1994,30.4
1992-HOR-VU-103,1993-1994,28.05
1992-HOR-VU-1032,1993-1994,41.4
1992-HOR-VU-1033,1993-1994,39.16
1992-HOR-VU-1034,1993-1994,40.9
1992-HOR-VU-1035,1993-1994,35.7
1992-HOR-VU-104,1993-1994,51.05
1992-HOR-VU-106,1993-1994,28.49
1992-HOR-VU-107,1993-1994,34.28
1992-HOR-VU-108,1993-1994,40.1
1992-HOR-VU-110,1993-1994,37.77
1992-HOR-VU-111,1993-1994,56.49
1992-HOR-VU-112,1993-1994,28.33
1992-HOR-VU-113,1993-1994,33.5
1992-HOR-VU-114,1993-1994,48.61
1992-HOR-VU-115,1993-1994,47.9
1992-HOR-VU-116,1993-1994,33.33
1992-HOR-VU-118,1993-1994,32.95
1992-HOR-VU-119,1993-1994,14.6
1992-HOR-VU-120,1993-1994,36
1992-HOR-VU-122,1993-1994,32
1992-HOR-VU-123,1993-1994,41.3
1992-HOR-VU-124,1993-1994,30.07
1992-HOR-VU-126,1993-1994,32.55
1992-HOR-VU-126,1993-1994,38.09
1992-HOR-VU-127,1993-1994,35.35
1992-HOR-VU-129,1993-1994,52.89
1992-HOR-VU-131,1993-1994,31.21
1992-HOR-VU-132,1993-1994,45.6
1992-HOR-VU-133,1993-1994,48.25
1992-HOR-VU-135,1993-1994,44.73
1992-HOR-VU-145,1993-1994,45.55
1992-HOR-VU-146,1993-1994,50.6
1992-HOR-VU-147,1993-1994,47.75
1992-HOR-VU-150,1993-1994,48.8
1992-HOR-VU-151,1993-1994,33.91
1992-HOR-VU-152,1993-1994,28.12
1992-HOR-VU-153,1993-1994,25.4
1992-HOR-VU-154,1993-1994,28.41
1992-HOR-VU-155,1993-1994,27.5
1992-HOR-VU-156,1993-1994,42.85
1992-HOR-VU-157,1993-1994,31.42
1992-HOR-VU-158,1993-1994,37.39
1992-HOR-VU-159,1993-1994,32.76
1992-HOR-VU-161,1993-1994,27.67
1992-HOR-VU-162,1993-1994,45.4
1992-HOR-VU-163,1993-1994,33.36
1992-HOR-VU-164,1993-1994,56.47
1992-HOR-VU-165,1993-1994,34
1992-HOR-VU-166,1993-1994,30.03
1992-HOR-VU-167,1993-1994,31.42
1992-HOR-VU-168,1993-1994,36.11
1992-HOR-VU-170,1993-1994,28.46
1992-HOR-VU-171,1993-1994,30.58
1992-HOR-VU-172,1993-1994,39
1992-HOR-VU-173,1993-1994,36.9
1992-HOR-VU-174,1993-1994,30.9
1992-HOR-VU-175,1993-1994,36.6
1992-HOR-VU-176,1993-1994,43
1992-HOR-VU-179,1993-1994,43.95
1992-HOR-VU-180,1993-1994,31.03
1992-HOR-VU-181,1993-1994,35.5
1992-HOR-VU-182,1993-1994,41.1
1992-HOR-VU-185,1993-1994,44.6
1992-HOR-VU-186,1993-1994,45
1992-HOR-VU-189,1993-1994,31.7
1992-HOR-VU-190,1993-1994,40
1992-HOR-VU-192,1993-1994,45.3
1992-HOR-VU-194,1993-1994,49.6
1992-HOR-VU-195,1993-1994,41.57
1992-HOR-VU-197,1993-1994,27.61
1992-HOR-VU-198,1993-1994,30.52
1992-HOR-VU-199,1993-1994,37.5
1992-HOR-VU-200,1993-1994,38.17
1992-HOR-VU-201,1993-1994,52.16
1992-HOR-VU-202,1993-1994,50.52
1992-HOR-VU-205,1993-1994,44.44
1992-HOR-VU-207,1993-1994,42.02
1992-HOR-VU-210,1993-1994,48
1992-HOR-VU-211,1993-1994,53.2
1992-HOR-VU-212,1993-1994,54.8
1992-HOR-VU-213,1993-1994,38.8
1992-HOR-VU-215,1993-1994,31.12
1992-HOR-VU-216,1993-1994,37.9
1992-HOR-VU-217,1993-1994,34.8
1992-HOR-VU-218,1993-1994,36.9
1992-HOR-VU-220,1993-1994,35.5
1992-HOR-VU-221,1993-1994,30.105
1992-HOR-VU-222,1993-1994,47.08
1992-HOR-VU-223,1993-1994,32.45
1992-HOR-VU-225,1993-1994,32.2
1992-HOR-VU-226,1993-1994,38.52
1992-HOR-VU-227,1993-1994,37.7
1992-HOR-VU-228,1993-1994,30.56
1992-HOR-VU-229,1993-1994,26.6
1992-HOR-VU-230,1993-1994,34.07
1992-HOR-VU-231,1993-1994,26.47
1992-HOR-VU-233,1993-1994,41.5
1992-HOR-VU-234,1993-1994,34.5
1992-HOR-VU-235,1993-1994,29.2
1992-HOR-VU-236,1993-1994,25.01
1992-HOR-VU-237,1993-1994,35.64
1992-HOR-VU-238,1993-1994,49.41
1992-HOR-VU-240,1993-1994,30.78
1992-HOR-VU-241,1993-1994,22.7
1992-HOR-VU-243,1993-1994,39.52
1992-HOR-VU-245,1993-1994,55.06
1992-HOR-VU-246,1993-1994,40.26
1992-HOR-VU-246,1993-1994,53.4
1992-HOR-VU-247,1993-1994,54.75
1992-HOR-VU-248,1993-1994,65.2
1992-HOR-VU-251,1993-1994,53.2
1992-HOR-VU-252,1993-1994,30.13
1992-HOR-VU-252,1993-1994,37.7
1992-HOR-VU-253,1993-1994,33.5
1992-HOR-VU-253,1993-1994,38.5
1992-HOR-VU-255,1993-1994,37.5
1992-HOR-VU-255,1993-1994,38.02
1992-HOR-VU-256,1993-1994,34.7
1992-HOR-VU-257,1993-1994,34.6
1992-HOR-VU-257,1993-1994,36.5
1992-HOR-VU-258,1993-1994,36.6
1992-HOR-VU-258,1993-1994,46.8
1992-HOR-VU-259,1993-1994,40
1992-HOR-VU-260,1993-1994,38.64
1992-HOR-VU-260,1993-1994,34.58
1992-HOR-VU-261,1993-1994,37.2
1992-HOR-VU-261,1993-1994,56.7
1992-HOR-VU-262,1993-1994,29.07
1992-HOR-VU-263,1993-1994,27.4
1992-HOR-VU-263,1993-1994,33.5
1992-HOR-VU-264,1993-1994,25.3
1992-HOR-VU-264,1993-1994,40.4
1992-HOR-VU-265,1993-1994,39.93
1992-HOR-VU-266,1993-1994,32.12
1992-HOR-VU-266,1993-1994,40.4
1992-HOR-VU-267,1993-1994,34.9
1992-HOR-VU-268,1993-1994,33.5
1992-HOR-VU-268,1993-1994,50.3
1992-HOR-VU-269,1993-1994,66
1992-HOR-VU-271,1993-1994,22.8
1992-HOR-VU-272,1993-1994,24.5
1992-HOR-VU-272,1993-1994,40.4
1992-HOR-VU-274,1993-1994,39.36
1992-HOR-VU-275,1993-1994,50.8
1992-HOR-VU-275,1993-1994,31.2
1992-HOR-VU-276,1993-1994,50.4
1992-HOR-VU-277,1993-1994,33.9
1992-HOR-VU-278,1993-1994,50
1992-HOR-VU-279,1993-1994,40
1992-HOR-VU-281,1993-1994,45.8
1992-HOR-VU-287,1993-1994,33.7
1992-HOR-VU-291,1993-1994,57.6
1992-HOR-VU-292,1993-1994,38.84
1992-HOR-VU-293,1993-1994,35.34
1992-HOR-VU-294,1993-1994,36.8
1992-HOR-VU-295,1993-1994,52.3
1992-HOR-VU-297,1993-1994,57.3
1992-HOR-VU-298,1993-1994,58.6
1992-HOR-VU-299,1993-1994,55.6
1992-HOR-VU-301,1993-1994,54.2
1992-HOR-VU-302,1993-1994,41.8
1992-HOR-VU-64,1993-1994,42.84
1992-HOR-VU-66,1993-1994,26.32
1992-HOR-VU-68,1993-1994,37.73
1992-HOR-VU-73,1993-1994,32.36
1992-HOR-VU-74,1993-1994,28.23
1992-HOR-VU-75,1993-1994,37.43
1992-HOR-VU-754,1993-1994,36.2
1992-HOR-VU-758,1993-1994,41.7
1992-HOR-VU-76,1993-1994,37.44
1992-HOR-VU-77,1993-1994,32.1
1992-HOR-VU-78,1993-1994,36.68
1992-HOR-VU-79,1993-1994,44.48
1992-HOR-VU-82,1993-1994,41.1
1992-HOR-VU-83,1993-1994,29.11
1992-HOR-VU-84,1993-1994,50.88
1992-HOR-VU-859,1993-1994,30.28
1992-HOR-VU-86,1993-1994,40.7
1992-HOR-VU-860,1993-1994,45.77
1992-HOR-VU-861,1993-1994,40.4
1992-HOR-VU-862,1993-1994,29.77
1992-HOR-VU-863,1993-1994,44.1
1992-HOR-VU-864,1993-1994,35.8
1992-HOR-VU-865,1993-1994,34.1
1992-HOR-VU-866,1993-1994,48.7
1992-HOR-VU-867,1993-1994,41.2
1992-HOR-VU-868,1993-1994,47.41
1992-HOR-VU-869,1993-1994,37.8
1992-HOR-VU-87,1993-1994,50
1992-HOR-VU-878,1993-1994,56.52
1992-HOR-VU-879,1993-1994,41.07
1992-HOR-VU-88,1993-1994,42.57
1992-HOR-VU-880,1993-1994,48.16
1992-HOR-VU-881,1993-1994,31.6
1992-HOR-VU-882,1993-1994,40.71
1992-HOR-VU-883,1993-1994,39.6
1992-HOR-VU-885,1993-1994,22.5
1992-HOR-VU-886,1993-1994,44
1992-HOR-VU-888,1993-1994,32.62
1992-HOR-VU-889,1993-1994,33.4
1992-HOR-VU-89,1993-1994,24.1
1992-HOR-VU-890,1993-1994,40.9
1992-HOR-VU-891,1993-1994,33.7
1992-HOR-VU-894,1993-1994,35.6
1992-HOR-VU-898,1993-1994,34.9
1992-HOR-VU-899,1993-1994,38
1992-HOR-VU-90,1993-1994,29.68
