experiment_id,instcode,genus,accenumb,agent_id,doi,days_to_heading,plant_height,thousand_kernel_weight,hectolitric_weight,dry_matter_yield,lodging,protein_content,starch_content,name,description,campaign,site_name,longitude,latitude,remarks
22195905,ROM002,Hordeum,COF 3019,NA,NA,138,NA,NA,NA,NA,5,NA,NA,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3036,NA,NA,156,NA,48.81,NA,NA,5,11.42,54.6,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3040,NA,NA,152,NA,NA,NA,3866,NA,NA,NA,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3040,NA,NA,154,NA,46.71,NA,NA,5,11.52,55.93,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3040,NA,NA,151,NA,NA,NA,3493,5,NA,NA,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3043,NA,NA,152,NA,NA,NA,3320,5,NA,NA,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3043,NA,NA,156,NA,NA,NA,NA,5,NA,NA,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3043,NA,NA,152,NA,43.82,NA,NA,5,12.1,56.28,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3093,NA,NA,95,NA,45.42,NA,NA,5,11.22,54.5,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3098,NA,NA,186,NA,36.88,NA,NA,5,10.83,55.6,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3116,NA,NA,146,NA,NA,NA,1853,5,NA,NA,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3116,NA,NA,148,NA,30.98,NA,NA,5,14.53,51,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3134,NA,NA,153,NA,45.22,NA,NA,5,11.34,56.3,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3134,NA,NA,150,NA,NA,NA,3640,NA,NA,NA,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3146,NA,NA,144,NA,46.64,NA,NA,4,13.86,53.46,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3220,NA,NA,147,NA,38.9,NA,NA,5,14.5,53.8,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3263,NA,NA,151,NA,31.57,NA,NA,5,13,50.5,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3263,NA,NA,153,NA,NA,NA,2040,NA,NA,NA,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3265,NA,NA,149,NA,42.88,NA,NA,5,11.52,55.1,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3265,NA,NA,146,NA,NA,NA,3466,NA,NA,NA,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3286,NA,NA,158,NA,NA,NA,2066,NA,NA,NA,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3286,NA,NA,149,NA,40.4,NA,NA,5,10.88,54.44,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3318,NA,NA,154,NA,40.1,NA,NA,5,11.07,56.35,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3318,NA,NA,146,NA,39.19,NA,NA,4,12.09,55.89,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3327,NA,NA,156,NA,38.02,NA,NA,5,12,65.1,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3327,NA,NA,156,NA,42.32,NA,NA,5,12.72,55,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3337,NA,NA,153,NA,41.39,NA,NA,5,11.43,55.6,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3337,NA,NA,153,NA,NA,NA,3720,5,NA,NA,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3337,NA,NA,149,NA,41.17,NA,NA,5,11.2,53.23,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3337,NA,NA,148,NA,NA,NA,3560,5,NA,NA,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3392,NA,NA,153,NA,NA,NA,3480,5,NA,NA,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3392,NA,NA,149,NA,47.2,NA,NA,4,13.48,57.36,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3463,NA,NA,154,NA,42.72,NA,NA,5,10.95,56.24,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3463,NA,NA,151,NA,NA,NA,3733,NA,NA,NA,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COF 3644,NA,NA,157,NA,39.33,NA,NA,5,12.01,52.62,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COPF 2070,NA,NA,157,NA,NA,NA,NA,5,NA,NA,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COPF 2070,NA,NA,157,NA,43.65,NA,NA,5,12.08,56.52,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22195905,ROM002,Hordeum,COPF 2090,NA,NA,140,NA,51.66,NA,NA,4,13.1,51.83,Fundulea,Spring barley,1959-1959,Fundulea,26.3120,44.2752,NA
22196105,ROM002,Hordeum,COF 3019,NA,NA,131,NA,45.37,NA,NA,4,NA,NA,Fundulea,Spring barley,1961-1961,Fundulea,26.3120,44.2752,NA
22196105,ROM002,Hordeum,COF 3036,NA,NA,156,NA,33.82,NA,NA,4,NA,NA,Fundulea,Spring barley,1961-1961,Fundulea,26.3120,44.2752,NA
22196105,ROM002,Hordeum,COF 3040,NA,NA,156,NA,40.63,NA,NA,5,NA,NA,Fundulea,Spring barley,1961-1961,Fundulea,26.3120,44.2752,NA
22196105,ROM002,Hordeum,COF 3040,NA,NA,152,NA,46.15,NA,NA,5,12.43,55.95,Fundulea,Spring barley,1961-1961,Fundulea,26.3120,44.2752,NA
22196105,ROM002,Hordeum,COF 3043,NA,NA,156,NA,36.32,NA,NA,5,NA,NA,Fundulea,Spring barley,1961-1961,Fundulea,26.3120,44.2752,NA
22196105,ROM002,Hordeum,COF 3093,NA,NA,149,NA,36.27,NA,NA,3,NA,NA,Fundulea,Spring barley,1961-1961,Fundulea,26.3120,44.2752,NA
