genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
COF  3024,NA,NA,NA
COF  3657,140.8,NA,37.18
COF  3798,NA,NA,NA
COF 3011,141.28,NA,NA
COF 3019,136.39,NA,NA
COF 3024,144.08,NA,NA
COF 3028,NA,NA,NA
COF 3036,157.3,NA,42.6
COF 3040,152.79,NA,42.25
COF 3041,NA,NA,NA
COF 3043,155.76,NA,38.57
COF 3046,NA,NA,NA
COF 3050,150.93,NA,NA
COF 3052,NA,NA,NA
COF 3053,NA,NA,NA
COF 3058,NA,NA,NA
COF 3093,NA,NA,39.96
COF 3095,149.05,NA,NA
COF 3096,NA,NA,NA
COF 3098,NA,NA,NA
COF 3116,150.17,NA,27.2
COF 3122,NA,NA,NA
COF 3126,152.03,NA,NA
COF 3132,NA,NA,NA
COF 3134,153.92,NA,40.13
COF 3142,NA,NA,NA
COF 3146,150.28,NA,NA
COF 3149,150.91,NA,31.2
COF 3165,NA,NA,NA
COF 3170,NA,NA,NA
COF 3172,NA,NA,NA
COF 3175,NA,NA,NA
COF 3216,155.11,NA,NA
COF 3217,NA,NA,NA
COF 3220,NA,NA,NA
COF 3231,NA,NA,NA
COF 3233,NA,NA,NA
COF 3237,NA,NA,NA
COF 3240,NA,NA,NA
COF 3241,154.83,NA,NA
COF 3263,153.14,NA,NA
COF 3265,149.39,NA,38.01
COF 3266,NA,NA,NA
COF 3267,NA,NA,NA
COF 3269,NA,NA,NA
COF 3283,151.12,NA,NA
COF 3286,154.64,NA,NA
COF 3293,NA,NA,NA
COF 3314,NA,NA,NA
COF 3316,NA,NA,NA
COF 3318,151.14,NA,34.6
COF 3319,NA,NA,NA
COF 3326,150.89,NA,NA
COF 3327,144.68,NA,35.13
COF 3328,151.29,NA,NA
COF 3337,151.3,NA,36.24
COF 3342,NA,NA,NA
COF 3355,NA,NA,NA
COF 3358,NA,NA,NA
COF 3362,NA,NA,NA
COF 3372,NA,NA,NA
COF 3380,NA,NA,NA
COF 3384,NA,NA,NA
COF 3385,NA,NA,NA
COF 3386,NA,NA,NA
COF 3391,154.58,NA,NA
COF 3392,153.55,NA,41.87
COF 3398,NA,NA,NA
COF 3463,154.66,NA,37.98
COF 3467,NA,NA,NA
COF 3476,145.65,NA,NA
COF 3477,NA,NA,NA
COF 3479,NA,NA,NA
COF 3481,NA,NA,NA
COF 3484,NA,NA,NA
COF 3485,NA,NA,NA
COF 3502,150.83,NA,NA
COF 3514,NA,NA,NA
COF 3517,147.71,NA,31.73
COF 3518,NA,NA,NA
COF 3527,NA,NA,NA
COF 3528,151.16,NA,NA
COF 3533,139.76,NA,NA
COF 3534,NA,NA,NA
COF 3592,NA,NA,NA
COF 3605,NA,NA,NA
COF 3643,151.51,NA,NA
COF 3644,157.3,NA,NA
COF 3645,152.61,NA,NA
COF 3646,NA,NA,NA
COF 3647,NA,NA,NA
COF 3655,NA,NA,NA
COF 3656,NA,NA,NA
COF 3657,NA,NA,NA
COF 3661,NA,NA,NA
COF 3666,NA,NA,NA
COF 3667,NA,NA,NA
COF 3681,132.55,NA,NA
COF 3706,NA,NA,NA
COF 3720,NA,NA,NA
COF 3768,NA,NA,NA
COF 3770,NA,NA,NA
COF 3772,NA,NA,NA
COF 3774,NA,NA,NA
COF 3777,NA,NA,NA
COF 3778,NA,NA,NA
COF 3782,NA,NA,NA
COF 3785,NA,NA,NA
COF 3786,NA,NA,NA
COF 3789,NA,NA,NA
COF 3791,NA,NA,NA
COF 3838,NA,NA,NA
COF 3841,NA,NA,NA
COPF 2001,152.75,82.57,42.69
COPF 2002,150.75,86.44,40.24
COPF 2003,151.75,87,42.34
COPF 2004,151.03,86.85,42.03
COPF 2005,152.75,84.91,46.21
COPF 2006,151.75,83.33,42.58
COPF 2007,NA,NA,38.68
COPF 2008,153.44,NA,44.83
COPF 2009,152.76,NA,49.59
COPF 2010,149.52,56.39,43.98
COPF 2011,NA,NA,NA
COPF 2012,NA,65.74,NA
COPF 2013,NA,67.99,NA
COPF 2014,NA,82.74,NA
COPF 2016,124.68,44.36,37.73
COPF 2017,151.83,59.49,NA
COPF 2018,NA,52.24,NA
COPF 2019,NA,61.24,NA
COPF 2020,NA,NA,NA
COPF 2021,NA,74.66,NA
COPF 2022,NA,78.49,NA
COPF 2023,143.73,69.19,50.54
COPF 2024,NA,NA,NA
COPF 2025,NA,70.49,NA
COPF 2026,NA,53.83,NA
COPF 2028,NA,64.74,NA
COPF 2029,NA,NA,NA
COPF 2030,147.84,57.45,NA
COPF 2031,124.21,61.68,NA
COPF 2032,143.61,64.74,NA
COPF 2033,NA,79.99,NA
COPF 2034,NA,NA,NA
COPF 2035,NA,NA,NA
COPF 2036,NA,NA,NA
COPF 2037,NA,NA,NA
COPF 2038,150.1,90.02,47.06
COPF 2040,NA,90.49,NA
COPF 2041,NA,NA,NA
COPF 2042,NA,NA,NA
COPF 2043,NA,NA,NA
COPF 2044,NA,NA,NA
COPF 2045,149.81,68.62,40.96
COPF 2046,NA,NA,NA
COPF 2047,NA,NA,NA
COPF 2048,NA,69.74,NA
COPF 2049,148.58,82.99,NA
COPF 2050,NA,NA,NA
COPF 2051,NA,NA,NA
COPF 2052,NA,NA,NA
COPF 2053,NA,63.24,NA
COPF 2054,NA,66.74,NA
COPF 2055,NA,86.49,NA
COPF 2056,NA,NA,NA
COPF 2058,NA,NA,NA
COPF 2059,NA,NA,NA
COPF 2060,NA,64.24,NA
COPF 2061,NA,NA,NA
COPF 2062,NA,NA,NA
COPF 2063,NA,NA,NA
COPF 2064,NA,53.99,NA
COPF 2065,NA,NA,NA
COPF 2066,NA,NA,NA
COPF 2067,NA,NA,NA
COPF 2068,NA,NA,NA
COPF 2069,NA,NA,NA
COPF 2070,155.62,NA,37.72
COPF 2072,NA,NA,NA
COPF 2073,NA,NA,NA
COPF 2074,NA,NA,NA
COPF 2075,NA,44.24,NA
COPF 2076,145.9,63.74,41.51
COPF 2077,NA,NA,NA
COPF 2078,NA,NA,NA
COPF 2079,NA,68.49,NA
COPF 2080,NA,NA,NA
COPF 2081,NA,65.05,NA
COPF 2082,NA,NA,NA
COPF 2083,NA,NA,NA
COPF 2085,NA,NA,NA
COPF 2086,153.95,81.99,36.92
COPF 2087,NA,NA,NA
COPF 2088,NA,NA,NA
COPF 2089,NA,NA,NA
COPF 2090,142.16,NA,45.94
COPF 2091,NA,NA,NA
COPF 2092,NA,NA,NA
COPF 2093,NA,56.99,NA
COPF 2095,NA,NA,NA
COPF 2096,NA,72.49,NA
COPF 2097,134.8,62.5,40.28
COPF 2098,NA,NA,NA
COPF 2099,NA,NA,NA
COPF 2100,NA,NA,NA
COPF 2101,NA,69.49,NA
COPF 2102,NA,NA,NA
COPF 2103,146.39,58.91,38.84
COPF 2104,NA,NA,NA
COPF 2107,147.78,68.11,44.22
COPF 2108,NA,NA,NA
COPF 2109,NA,NA,NA
COPF 2110,NA,NA,NA
COPF 2111,NA,NA,NA
COPF 2112,NA,NA,NA
COPF 2113,NA,57.49,NA
COPF 2114,NA,NA,NA
COPF 2115,NA,65.33,NA
COPF 2117,NA,63.99,NA
COPF 2118,NA,74.24,NA
COPF 2119,NA,39.24,NA
COPF 2120,NA,45.83,NA
COPF 2121,NA,NA,NA
COPF 2124,NA,NA,NA
COPF 2125,NA,NA,NA
COPF 2126,NA,NA,NA
COPF 2127,NA,NA,NA
COPF 2129,NA,NA,NA
COPF 2130,NA,NA,NA
COPF 2131,NA,NA,NA
COPF 2132,NA,55.49,NA
COPF 2133,NA,NA,NA
COPF 2134,NA,NA,NA
COPF 2135,NA,NA,NA
COPF 2136,NA,NA,NA
COPF 2139,NA,NA,NA
COPF 2140,NA,60.74,NA
COPF 2141,NA,NA,NA
COPF 2142,NA,NA,NA
COPF 2143,NA,NA,NA
COPF 2144,NA,NA,NA
COPF 2145,NA,NA,NA
COPF 2146,NA,NA,NA
COPF 2147,NA,NA,NA
COPF 2148,NA,NA,NA
COPF 2153,NA,NA,NA
COPF 2154,NA,NA,NA
COPF 2155,NA,NA,NA
COPF 2156,NA,NA,NA
COPF 2157,NA,NA,NA
COPF 2159,NA,NA,NA
COPF 2161,NA,NA,NA
COPF 2162,NA,NA,NA
COPF 2163,NA,NA,NA
COPF 2164,NA,NA,NA
COPF 2165,127.92,78.08,38.86
COPF 2166,NA,74.86,NA
COPF 2167,NA,81.16,NA
COPF 2168,NA,NA,NA
COPF 2169,NA,NA,NA
COPF 2170,NA,NA,NA
COPF 2171,NA,NA,NA
COPF 2172,NA,NA,NA
COPF 2173,NA,NA,NA
COPF 2174,NA,NA,NA
COPF 2175,NA,NA,NA
COPF 2176,NA,NA,NA
COPF 2177,NA,NA,NA
COPF 2178,NA,NA,NA
COPF 2180,NA,NA,NA
COPF 2182,NA,NA,NA
COPF 2184,NA,NA,NA
COPF 2185,NA,NA,NA
COPF 2186,NA,NA,NA
COPF 2187,NA,NA,NA
COPF 2189,NA,NA,NA
COPF 2191,NA,NA,NA
COPF 2192,NA,NA,NA
COPF 2193,NA,NA,NA
COPF 2194,NA,NA,NA
COPF 2195,NA,NA,NA
COPF 2196,NA,NA,NA
COPF 2197,NA,NA,NA
COPF 2198,NA,NA,NA
COPF 2199,NA,64.28,NA
COPF 2200,NA,NA,NA
COPF 2202,NA,NA,NA
COPF 2203,150.99,NA,NA
COPF 2204,148.84,59.54,NA
COPF 2205,NA,NA,NA
COPF 2206,NA,NA,NA
COPF 2207,NA,NA,NA
COPF 2208,NA,NA,NA
COPF 2209,NA,NA,NA
COPF 2210,NA,NA,NA
COPF 2211,NA,NA,NA
COPF 2212,149.55,NA,NA
COPF 2213,146.62,NA,NA
COPF 2214,NA,NA,NA
COPF 2215,NA,NA,NA
COPF 2216,NA,NA,NA
COPF 2217,NA,NA,NA
COPF 2218,NA,NA,NA
COPF 2219,NA,NA,NA
COPF 2220,NA,NA,NA
COPF 2221,NA,NA,NA
COPF 2222,149.31,NA,NA
COPF 2223,NA,NA,NA
COPF 2224,NA,NA,NA
COPF 2225,NA,NA,NA
COPF 2226,151.11,NA,NA
COPF 2227,NA,NA,NA
COPF 2228,NA,NA,NA
COPF 2229,155.94,NA,NA
COPF 2230,NA,NA,NA
COPF 2231,151.11,NA,NA
COPF 2232,NA,NA,NA
COPF 2233,NA,NA,NA
COPF 2234,NA,NA,NA
COPF 2235,NA,NA,NA
COPF 2236,NA,NA,NA
COPF 2237,NA,NA,NA
COPF 2238,NA,NA,NA
COPF 2239,NA,NA,NA
COPF 2240,NA,NA,NA
COPF 2241,NA,NA,NA
COPF 2242,NA,NA,NA
COPF 2243,NA,NA,NA
COPF 2244,NA,NA,NA
COPF 2245,NA,NA,NA
COPF 2246,NA,NA,NA
COPF 2247,NA,NA,NA
COPF 2248,NA,NA,NA
COPF 2249,NA,NA,NA
COPF 2250,NA,NA,NA
COPF 2251,NA,NA,NA
COPF 2252,NA,74.74,NA
COPF 2253,NA,67.24,NA
COPF 2254,NA,NA,NA
COPF 2255,NA,NA,NA
COPF 2256,NA,NA,NA
