accenumb,campaign,trait,value
COF 3019,1959-1959,days_to_heading,138
COF 3036,1959-1959,days_to_heading,156
COF 3036,1959-1959,thousand_kernel_weight,48.81
COF 3040,1959-1959,days_to_heading,152
COF 3040,1959-1959,days_to_heading,154
COF 3040,1959-1959,days_to_heading,151
COF 3040,1959-1959,thousand_kernel_weight,46.71
COF 3043,1959-1959,days_to_heading,152
COF 3043,1959-1959,days_to_heading,156
COF 3043,1959-1959,thousand_kernel_weight,43.82
COF 3116,1959-1959,days_to_heading,146
COF 3116,1959-1959,days_to_heading,148
COF 3116,1959-1959,thousand_kernel_weight,30.98
COF 3134,1959-1959,days_to_heading,153
COF 3134,1959-1959,days_to_heading,150
COF 3134,1959-1959,thousand_kernel_weight,45.22
COF 3146,1959-1959,days_to_heading,144
COF 3263,1959-1959,days_to_heading,151
COF 3263,1959-1959,days_to_heading,153
COF 3265,1959-1959,days_to_heading,149
COF 3265,1959-1959,days_to_heading,146
COF 3265,1959-1959,thousand_kernel_weight,42.88
COF 3286,1959-1959,days_to_heading,158
COF 3286,1959-1959,days_to_heading,149
COF 3318,1959-1959,days_to_heading,154
COF 3318,1959-1959,days_to_heading,146
COF 3318,1959-1959,thousand_kernel_weight,40.1
COF 3318,1959-1959,thousand_kernel_weight,39.19
COF 3327,1959-1959,days_to_heading,156
COF 3327,1959-1959,thousand_kernel_weight,38.02
COF 3327,1959-1959,thousand_kernel_weight,42.32
COF 3337,1959-1959,days_to_heading,153
COF 3337,1959-1959,days_to_heading,149
COF 3337,1959-1959,days_to_heading,148
COF 3337,1959-1959,thousand_kernel_weight,41.39
COF 3337,1959-1959,thousand_kernel_weight,41.17
COF 3392,1959-1959,days_to_heading,153
COF 3392,1959-1959,days_to_heading,149
COF 3392,1959-1959,thousand_kernel_weight,47.2
COF 3463,1959-1959,days_to_heading,154
COF 3463,1959-1959,days_to_heading,151
COF 3463,1959-1959,thousand_kernel_weight,42.72
COF 3644,1959-1959,days_to_heading,157
COPF 2070,1959-1959,days_to_heading,157
COPF 2070,1959-1959,thousand_kernel_weight,43.65
COPF 2090,1959-1959,days_to_heading,140
COPF 2090,1959-1959,thousand_kernel_weight,51.66
COF 3093,1959-1959,thousand_kernel_weight,45.42
COF 3019,1961-1961,days_to_heading,131
COF 3036,1961-1961,days_to_heading,156
COF 3036,1961-1961,thousand_kernel_weight,33.82
COF 3040,1961-1961,days_to_heading,156
COF 3040,1961-1961,days_to_heading,152
COF 3040,1961-1961,thousand_kernel_weight,40.63
COF 3040,1961-1961,thousand_kernel_weight,46.15
COF 3043,1961-1961,days_to_heading,156
COF 3043,1961-1961,thousand_kernel_weight,36.32
COF 3095,1961-1961,days_to_heading,144
COF 3116,1961-1961,days_to_heading,149
COF 3116,1961-1961,thousand_kernel_weight,35
COF 3134,1961-1961,days_to_heading,156
COF 3134,1961-1961,thousand_kernel_weight,39.01
COF 3146,1961-1961,days_to_heading,156
COF 3265,1961-1961,days_to_heading,150
COF 3265,1961-1961,thousand_kernel_weight,38.37
COF 3326,1961-1961,days_to_heading,148
COF 3337,1961-1961,days_to_heading,156
COF 3391,1961-1961,days_to_heading,156
COF 3392,1961-1961,days_to_heading,156
COF 3392,1961-1961,thousand_kernel_weight,39.09
COF 3463,1961-1961,days_to_heading,156
COF 3463,1961-1961,thousand_kernel_weight,39.2
COF 3517,1961-1961,days_to_heading,139
COF 3517,1961-1961,thousand_kernel_weight,31.69
COPF 2023,1961-1961,days_to_heading,138
COPF 2032,1961-1961,days_to_heading,135
COPF 2032,1961-1961,days_to_heading,137
COPF 2090,1961-1961,days_to_heading,141
COPF 2090,1961-1961,thousand_kernel_weight,41.39
COPF 2107,1961-1961,days_to_heading,141
COF 3093,1961-1961,thousand_kernel_weight,36.27
COF 3040,1962-1962,days_to_heading,145
COF 3116,1962-1962,days_to_heading,156
COF 3149,1962-1962,days_to_heading,151
COF 3149,1962-1962,thousand_kernel_weight,32
COF 3517,1962-1962,days_to_heading,152
COPF 2023,1962-1962,days_to_heading,145
COPF 2023,1962-1962,thousand_kernel_weight,54
COPF 2070,1962-1962,days_to_heading,151
COPF 2070,1962-1962,thousand_kernel_weight,36.5
COPF 2090,1962-1962,days_to_heading,147
COPF 2090,1962-1962,thousand_kernel_weight,49.5
COPF 2107,1962-1962,days_to_heading,148
COPF 2107,1962-1962,thousand_kernel_weight,48.5
COPF 2107,1962-1962,thousand_kernel_weight,46
COF 3149,1964-1964,days_to_heading,149
COF 3149,1964-1964,thousand_kernel_weight,32
COF 3517,1964-1964,days_to_heading,146
COF 3517,1964-1964,thousand_kernel_weight,29.5
COF 3644,1964-1964,days_to_heading,155
COPF 2023,1964-1964,days_to_heading,142
COPF 2023,1964-1964,thousand_kernel_weight,45.5
COPF 2070,1964-1964,days_to_heading,155
COPF 2070,1964-1964,days_to_heading,154
COPF 2070,1964-1964,days_to_heading,153
COPF 2070,1964-1964,thousand_kernel_weight,41.5
COPF 2086,1964-1964,days_to_heading,150
COPF 2086,1964-1964,days_to_heading,153
COPF 2086,1964-1964,thousand_kernel_weight,32
COPF 2086,1964-1964,thousand_kernel_weight,38.4
COPF 2090,1964-1964,days_to_heading,140
COPF 2090,1964-1964,thousand_kernel_weight,40
COPF 2107,1964-1964,days_to_heading,146
COPF 2107,1964-1964,thousand_kernel_weight,41
COF 3216,1965-1965,days_to_heading,159
COF 3337,1965-1965,days_to_heading,139
COF 3502,1965-1965,days_to_heading,155
COF 3502,1965-1965,days_to_heading,156
COPF 2017,1965-1965,days_to_heading,145
COPF 2049,1965-1965,days_to_heading,145
COPF 2049,1965-1965,days_to_heading,139
COPF 2070,1965-1965,days_to_heading,157
COPF 2070,1965-1965,days_to_heading,158
COPF 2070,1965-1965,days_to_heading,159
COPF 2070,1965-1965,days_to_heading,166
COPF 2070,1965-1965,days_to_heading,165
COPF 2070,1965-1965,days_to_heading,162
COPF 2070,1965-1965,thousand_kernel_weight,38.1
COPF 2070,1965-1965,thousand_kernel_weight,36.6
COPF 2070,1965-1965,thousand_kernel_weight,34.7
COPF 2070,1965-1965,thousand_kernel_weight,38.5
COPF 2070,1965-1965,thousand_kernel_weight,39.2
COPF 2070,1965-1965,thousand_kernel_weight,36.7
COPF 2070,1965-1965,thousand_kernel_weight,34.1
COPF 2070,1965-1965,thousand_kernel_weight,38.6
COPF 2070,1965-1965,thousand_kernel_weight,34.5
COPF 2070,1965-1965,thousand_kernel_weight,36
COPF 2070,1965-1965,thousand_kernel_weight,38.3
COPF 2070,1965-1965,thousand_kernel_weight,32.4
COPF 2076,1965-1965,days_to_heading,139
COPF 2076,1965-1965,thousand_kernel_weight,40
COPF 2086,1965-1965,days_to_heading,157
COPF 2086,1965-1965,days_to_heading,162
COPF 2086,1965-1965,thousand_kernel_weight,38.2
COPF 2213,1965-1965,days_to_heading,145
COPF 2229,1965-1965,days_to_heading,145
COPF 2400,1965-1965,days_to_heading,162
COPF 2400,1965-1965,days_to_heading,144
COF 3011,1966-1966,days_to_heading,130
COF 3024,1966-1966,days_to_heading,134
COF 3024,1966-1966,days_to_heading,129
COF 3216,1966-1966,days_to_heading,144
COF 3241,1966-1966,days_to_heading,145
COF 3241,1966-1966,days_to_heading,148
COF 3328,1966-1966,days_to_heading,145
COF 3502,1966-1966,days_to_heading,138
COF 3528,1966-1966,days_to_heading,141
COF 3528,1966-1966,days_to_heading,138
COF 3528,1966-1966,days_to_heading,140
COF 3533,1966-1966,days_to_heading,128
COF 3644,1966-1966,days_to_heading,151
COF 3644,1966-1966,days_to_heading,152
COPF 2032,1966-1966,days_to_heading,139
COPF 2032,1966-1966,days_to_heading,133
COPF 2032,1966-1966,days_to_heading,132
COPF 2032,1966-1966,days_to_heading,137
COPF 2049,1966-1966,days_to_heading,140
COPF 2070,1966-1966,days_to_heading,151
COPF 2070,1966-1966,days_to_heading,137
COPF 2070,1966-1966,days_to_heading,152
