experiment_id,instcode,genus,accenumb,agent_id,doi,days_to_heading,plant_height,plant_density,thousand_kernel_weight,hectolitric_weight,dry_matter_yield,lodging,leaf_rust,stripe_rust,septoria,powdery_mildew,name,description,campaign,site_name,longitude,latitude,remarks
196905,ROM002,Triticum,CGF-224,NA,NA,141,100,NA,NA,NA,2960,1,6,NA,NA,3,Fundulea,Winter wheat,1968-1969,Fundulea,26.5153,44.4528,NA
196905,ROM002,Triticum,CGF-2616,NA,NA,141,95,NA,NA,NA,3800,1,2,NA,NA,2,Fundulea,Winter wheat,1968-1969,Fundulea,26.5153,44.4528,NA
196905,ROM002,Triticum,CGF-2617,NA,NA,141,90,NA,NA,NA,3440,1,1,NA,NA,2,Fundulea,Winter wheat,1968-1969,Fundulea,26.5153,44.4528,NA
196905,ROM002,Triticum,CGF-375,NA,NA,147,105,NA,NA,NA,2910,5,6,NA,NA,3,Fundulea,Winter wheat,1968-1969,Fundulea,26.5153,44.4528,NA
196905,ROM002,Triticum,CGF-6971,NA,NA,144,75,NA,NA,NA,3520,1,4,NA,NA,2,Fundulea,Winter wheat,1968-1969,Fundulea,26.5153,44.4528,NA
197005,ROM002,Triticum,CGF-1546,NA,NA,140,125,NA,NA,NA,3370,NA,NA,NA,NA,NA,Fundulea,Winter wheat,1969-1970,Fundulea,26.5153,44.4528,NA
197005,ROM002,Triticum,CGF-224,NA,NA,140,100,NA,NA,NA,3240,NA,NA,NA,NA,NA,Fundulea,Winter wheat,1969-1970,Fundulea,26.5153,44.4528,NA
197005,ROM002,Triticum,CGF-2616,NA,NA,139,105,NA,NA,NA,3600,NA,NA,NA,NA,NA,Fundulea,Winter wheat,1969-1970,Fundulea,26.5153,44.4528,NA
197005,ROM002,Triticum,CGF-2617,NA,NA,142,108,NA,NA,NA,3440,NA,NA,NA,NA,NA,Fundulea,Winter wheat,1969-1970,Fundulea,26.5153,44.4528,NA
197005,ROM002,Triticum,CGF-375,NA,NA,132,100,NA,NA,NA,3020,NA,NA,NA,NA,NA,Fundulea,Winter wheat,1969-1970,Fundulea,26.5153,44.4528,NA
197005,ROM002,Triticum,CGF-7124,NA,NA,141,95,NA,NA,NA,2300,2,8,NA,NA,3,Fundulea,Winter wheat,1969-1970,Fundulea,26.5153,44.4528,NA
197005,ROM002,Triticum,CGF-7130,NA,NA,133,104,NA,NA,NA,3230,NA,NA,NA,NA,NA,Fundulea,Winter wheat,1969-1970,Fundulea,26.5153,44.4528,NA
197005,ROM002,Triticum,CGF-7132,NA,NA,136,112,NA,NA,NA,3710,NA,NA,NA,NA,NA,Fundulea,Winter wheat,1969-1970,Fundulea,26.5153,44.4528,NA
197105,ROM002,Triticum,CGF-224,NA,NA,141,110,NA,NA,NA,3930,1,6,NA,4,4,Fundulea,Winter wheat,1970-1971,Fundulea,26.5153,44.4528,NA
197105,ROM002,Triticum,CGF-2610,NA,NA,140,105,NA,NA,NA,4600,1,4,NA,2,3,Fundulea,Winter wheat,1970-1971,Fundulea,26.5153,44.4528,NA
197105,ROM002,Triticum,CGF-2612,NA,NA,140,110,NA,NA,NA,4860,1,7,NA,2,6,Fundulea,Winter wheat,1970-1971,Fundulea,26.5153,44.4528,NA
197105,ROM002,Triticum,CGF-2615,NA,NA,140,115,NA,NA,NA,4450,1,1,NA,2,7,Fundulea,Winter wheat,1970-1971,Fundulea,26.5153,44.4528,NA
197105,ROM002,Triticum,CGF-2616,NA,NA,142,120,NA,NA,NA,4370,2,2,NA,3,1,Fundulea,Winter wheat,1970-1971,Fundulea,26.5153,44.4528,NA
197105,ROM002,Triticum,CGF-2617,NA,NA,142,115,NA,NA,NA,4170,1,2,NA,2,1,Fundulea,Winter wheat,1970-1971,Fundulea,26.5153,44.4528,NA
197105,ROM002,Triticum,CGF-278,NA,NA,136,120,NA,NA,NA,3970,5,2,NA,5,3,Fundulea,Winter wheat,1970-1971,Fundulea,26.5153,44.4528,NA
197105,ROM002,Triticum,CGF-375,NA,NA,133,125,NA,NA,NA,3480,8,6,NA,4,4,Fundulea,Winter wheat,1970-1971,Fundulea,26.5153,44.4528,NA
197105,ROM002,Triticum,CGF-7132,NA,NA,138,120,NA,NA,NA,3940,5,4,NA,4,4,Fundulea,Winter wheat,1970-1971,Fundulea,26.5153,44.4528,NA
197205,ROM002,Triticum,CGF-224,NA,NA,139,113,NA,NA,NA,4680,7,3,NA,NA,7,Fundulea,Winter wheat,1971-1972,Fundulea,26.5153,44.4528,NA
197205,ROM002,Triticum,CGF-2610,NA,NA,136,102,NA,NA,NA,4647,2,7,NA,NA,4,Fundulea,Winter wheat,1971-1972,Fundulea,26.5153,44.4528,NA
197205,ROM002,Triticum,CGF-2611,NA,NA,135,105,NA,NA,NA,5780,6,5,NA,NA,6,Fundulea,Winter wheat,1971-1972,Fundulea,26.5153,44.4528,NA
197205,ROM002,Triticum,CGF-2612,NA,NA,136,105,NA,NA,NA,5470,2,5,NA,NA,6,Fundulea,Winter wheat,1971-1972,Fundulea,26.5153,44.4528,NA
197205,ROM002,Triticum,CGF-2616,NA,NA,139,117,NA,NA,NA,6140,4,2,NA,NA,3,Fundulea,Winter wheat,1971-1972,Fundulea,26.5153,44.4528,NA
197205,ROM002,Triticum,CGF-2617,NA,NA,139,107,NA,44,NA,5490,3,3,NA,NA,8,Fundulea,Winter wheat,1971-1972,Fundulea,26.5153,44.4528,NA
197205,ROM002,Triticum,CGF-7132,NA,NA,139,113,NA,NA,NA,4306,2,4,NA,NA,5,Fundulea,Winter wheat,1971-1972,Fundulea,26.5153,44.4528,NA
197305,ROM002,Triticum,CGF-149,NA,NA,145,110,NA,NA,NA,4330,NA,NA,NA,NA,3,Fundulea,Winter wheat,1972-1973,Fundulea,26.5153,44.4528,NA
197305,ROM002,Triticum,CGF-224,NA,NA,143,100,NA,NA,NA,5290,NA,NA,NA,NA,5,Fundulea,Winter wheat,1972-1973,Fundulea,26.5153,44.4528,NA
