accenumb,campaign,trait,value
CGF-224,1968-1969,days_to_heading,141
CGF-224,1968-1969,dry_matter_yield,2960
CGF-224,1968-1969,plant_height,100
CGF-224,1968-1969,powdery_mildew,3
CGF-2616,1968-1969,days_to_heading,141
CGF-2616,1968-1969,dry_matter_yield,3800
CGF-2616,1968-1969,plant_height,95
CGF-2616,1968-1969,powdery_mildew,2
CGF-2617,1968-1969,days_to_heading,141
CGF-2617,1968-1969,dry_matter_yield,3440
CGF-2617,1968-1969,plant_height,90
CGF-2617,1968-1969,powdery_mildew,2
CGF-375,1968-1969,days_to_heading,147
CGF-375,1968-1969,dry_matter_yield,2910
CGF-375,1968-1969,plant_height,105
CGF-375,1968-1969,powdery_mildew,3
CGF-6971,1968-1969,days_to_heading,144
CGF-6971,1968-1969,plant_height,75
CGF-6971,1968-1969,powdery_mildew,2
CGF-1546,1969-1970,days_to_heading,140
CGF-1546,1969-1970,plant_height,125
CGF-224,1969-1970,days_to_heading,140
CGF-224,1969-1970,dry_matter_yield,3240
CGF-224,1969-1970,plant_height,100
CGF-2616,1969-1970,days_to_heading,139
CGF-2616,1969-1970,dry_matter_yield,3600
CGF-2616,1969-1970,plant_height,105
CGF-2617,1969-1970,days_to_heading,142
CGF-2617,1969-1970,dry_matter_yield,3440
CGF-2617,1969-1970,plant_height,108
CGF-375,1969-1970,days_to_heading,132
CGF-375,1969-1970,dry_matter_yield,3020
CGF-375,1969-1970,plant_height,100
CGF-7124,1969-1970,days_to_heading,141
CGF-7124,1969-1970,plant_height,95
CGF-7130,1969-1970,days_to_heading,133
CGF-7130,1969-1970,dry_matter_yield,3230
CGF-7130,1969-1970,plant_height,104
CGF-7132,1969-1970,days_to_heading,136
CGF-7132,1969-1970,dry_matter_yield,3710
CGF-7132,1969-1970,plant_height,112
CGF-224,1970-1971,days_to_heading,141
CGF-224,1970-1971,dry_matter_yield,3930
CGF-224,1970-1971,plant_height,110
CGF-224,1970-1971,powdery_mildew,4
CGF-2610,1970-1971,days_to_heading,140
CGF-2610,1970-1971,dry_matter_yield,4600
CGF-2610,1970-1971,plant_height,105
CGF-2610,1970-1971,powdery_mildew,3
CGF-2612,1970-1971,days_to_heading,140
CGF-2612,1970-1971,dry_matter_yield,4860
CGF-2612,1970-1971,plant_height,110
CGF-2612,1970-1971,powdery_mildew,6
CGF-2615,1970-1971,days_to_heading,140
CGF-2615,1970-1971,dry_matter_yield,4450
CGF-2615,1970-1971,plant_height,115
CGF-2615,1970-1971,powdery_mildew,7
CGF-2616,1970-1971,days_to_heading,142
CGF-2616,1970-1971,dry_matter_yield,4370
CGF-2616,1970-1971,plant_height,120
CGF-2616,1970-1971,powdery_mildew,1
CGF-2617,1970-1971,days_to_heading,142
CGF-2617,1970-1971,dry_matter_yield,4170
CGF-2617,1970-1971,plant_height,115
