accenumb,agent_id,doi,days_to_heading,plant_height,thousand_kernel_weight,hectolitric_weight,dry_matter_yield,lodging,protein_content,starch_content,name,description,campaign
COF 3040,NA,NA,136,NA,NA,61.5,4000,NA,NA,NA,Fundulea,Winter barley,1957-1958
COF 3134,NA,NA,136,NA,NA,60.5,4083,NA,NA,NA,Fundulea,Winter barley,1957-1958
COF 3263,NA,NA,136,NA,NA,61.4,3150,NA,NA,NA,Fundulea,Winter barley,1957-1958
COF 3265,NA,NA,137,NA,NA,60.6,3283,NA,NA,NA,Fundulea,Winter barley,1957-1958
COF 3327,NA,NA,137,NA,40.67,65.7,3154,NA,NA,NA,Fundulea,Winter barley,1957-1958
COF 3327,NA,NA,134,NA,41.57,65,3111,NA,NA,NA,Fundulea,Winter barley,1957-1958
COF 3337,NA,NA,135,NA,59.4,NA,3650,NA,NA,NA,Fundulea,Winter barley,1957-1958
COF 3644,NA,NA,137,NA,43.74,62.8,3746,NA,NA,NA,Fundulea,Winter barley,1957-1958
COF 3040,NA,NA,135,NA,58.9,67.3,4352,5,10.49,58.72,Fundulea,Winter barley,1958-1959
COF 3040,NA,NA,135,72,NA,NA,4225,5,NA,NA,Fundulea,Winter barley,1958-1959
COF 3043,NA,NA,135,NA,56,67.5,4494,5,10.01,60.7,Fundulea,Winter barley,1958-1959
COF 3116,NA,NA,NA,NA,50.8,69.1,3160,4,10.85,58.13,Fundulea,Winter barley,1958-1959
COF 3134,NA,NA,135,72,NA,66.25,3375,5,NA,NA,Fundulea,Winter barley,1958-1959
COF 3263,NA,NA,135,75,NA,64.1,3610,5,NA,NA,Fundulea,Winter barley,1958-1959
COF 3265,NA,NA,133,73,NA,63.8,3190,5,NA,NA,Fundulea,Winter barley,1958-1959
COF 3327,NA,NA,133,NA,59.3,67.35,4450,5,10.08,59,Fundulea,Winter barley,1958-1959
COF 3327,NA,NA,133,NA,55,67.2,4550,5,10.52,58.1,Fundulea,Winter barley,1958-1959
COF 3337,NA,NA,134,70,NA,66,3400,5,NA,NA,Fundulea,Winter barley,1958-1959
COF 3644,NA,NA,136,NA,51.2,66.15,4850,5,10.6,56.7,Fundulea,Winter barley,1958-1959
COF 3040,NA,NA,140,NA,44.16,47,6145,5,9.31,59.6,Fundulea,Winter barley,1959-1960
COF 3040,NA,NA,142,NA,36.88,NA,5460,4,12,55.1,Fundulea,Winter barley,1959-1960
COF 3043,NA,NA,139,NA,40.33,48.9,6081,5,9.14,59.6,Fundulea,Winter barley,1959-1960
COF 3043,NA,NA,142,NA,42.56,NA,7150,5,10.54,29.82,Fundulea,Winter barley,1959-1960
COF 3095,NA,NA,138,NA,38.95,NA,6000,4,11.3,57.62,Fundulea,Winter barley,1959-1960
COF 3114,NA,NA,135,NA,36.53,NA,5200,5,11.37,56.23,Fundulea,Winter barley,1959-1960
COF 3134,NA,NA,143,NA,40.1,NA,4830,4,14.32,54,Fundulea,Winter barley,1959-1960
COF 3263,NA,NA,136,NA,38.3,NA,5540,4,10.3,58.13,Fundulea,Winter barley,1959-1960
COF 3265,NA,NA,140,NA,39.7,NA,4740,4,12.6,55.77,Fundulea,Winter barley,1959-1960
COF 3327,NA,NA,136,NA,NA,46.6,6021,NA,NA,NA,Fundulea,Winter barley,1959-1960
COF 3327,NA,NA,136,NA,NA,45.2,5955,NA,NA,NA,Fundulea,Winter barley,1959-1960
COF 3337,NA,NA,140,NA,42.99,NA,7460,5,11,57.65,Fundulea,Winter barley,1959-1960
COF 3644,NA,NA,136,NA,40.62,45.4,6492,NA,10.11,59.7,Fundulea,Winter barley,1959-1960
COF 3644,NA,NA,140,NA,NA,NA,6637,NA,NA,NA,Fundulea,Winter barley,1959-1960
COF 3036,NA,NA,139,NA,33.07,NA,NA,3,13.4,54.8,Fundulea,Winter barley,1960-1961
COF 3040,NA,NA,134,NA,37.8,NA,4330,4,11.46,57.68,Fundulea,Winter barley,1960-1961
COF 3040,NA,NA,131,NA,39.33,NA,4960,5,11.24,55.8,Fundulea,Winter barley,1960-1961
COF 3040,NA,NA,129,NA,42.57,NA,5030,5,11.05,59.1,Fundulea,Winter barley,1960-1961
COF 3040,NA,NA,135,NA,NA,NA,NA,5,NA,NA,Fundulea,Winter barley,1960-1961
COF 3043,NA,NA,133,NA,38.13,NA,4800,5,10.93,59.37,Fundulea,Winter barley,1960-1961
COF 3043,NA,NA,133,NA,31.57,NA,NA,4,13.77,55.45,Fundulea,Winter barley,1960-1961
COF 3093,NA,NA,135,NA,36.18,NA,NA,2,12,56.21,Fundulea,Winter barley,1960-1961
COF 3095,NA,NA,132,NA,34.14,NA,NA,2,13.36,53.54,Fundulea,Winter barley,1960-1961
