genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
COF 3001,130.71,NA,44.11
COF 3002,131.22,NA,46.07
COF 3003,130.81,NA,40.09
COF 3004,124.22,NA,39.48
COF 3005,129.25,NA,35.25
COF 3006,135.28,NA,43.16
COF 3007,132.34,NA,41.48
COF 3008,131.05,NA,42.04
COF 3009,127.4,97.75,33.63
COF 3010,128.88,NA,43.96
COF 3011,129.2,NA,42.5
COF 3012,129.73,NA,37.62
COF 3013,129.48,98.47,34.99
COF 3014,135.28,NA,42.43
COF 3015,132.83,NA,42.26
COF 3016,131.32,NA,43.44
COF 3017,133.28,NA,44.36
COF 3018,134.43,NA,37.84
COF 3019,127.75,NA,36.61
COF 3020,126.26,NA,36.3
COF 3021,131.09,NA,37.49
COF 3022,130.4,NA,37.89
COF 3023,127.93,NA,41.27
COF 3024,130.19,NA,45.32
COF 3025,133.77,NA,36.63
COF 3026,134.26,NA,42.7
COF 3027,134.77,NA,40.69
COF 3028,131.95,NA,35.35
COF 3029,129.26,NA,44.81
COF 3030,131.54,NA,42.13
COF 3031,130.22,NA,37.96
COF 3032,131.24,NA,39.51
COF 3033,126.99,NA,40.56
COF 3034,133.57,NA,39.45
COF 3035,133.84,NA,38.32
COF 3036,136.03,NA,39.07
COF 3037,133.21,123.2,40.9
COF 3038,130.29,113.2,42.27
COF 3039,132.49,NA,36.17
COF 3040,132.05,96.99,44.16
COF 3041,134.78,NA,43.14
COF 3042,130.21,NA,37.93
COF 3043,134.74,NA,41.23
COF 3044,133.02,NA,38.98
COF 3045,130.49,NA,38.55
COF 3046,128.79,NA,38.8
COF 3047,130.03,NA,37.09
COF 3048,129.52,NA,37.25
COF 3049,132.8,NA,40.68
COF 3050,130.73,NA,41.23
COF 3051,129.04,NA,37.71
COF 3052,131.64,NA,39.95
COF 3053,135.28,NA,40.92
COF 3054,135.28,NA,41.74
COF 3055,135.28,NA,40.51
COF 3056,132.11,NA,41.3
