accenumb,campaign,trait,value
COF 3040,1957-1958,days_to_heading,136
COF 3134,1957-1958,days_to_heading,136
COF 3263,1957-1958,days_to_heading,136
COF 3265,1957-1958,days_to_heading,137
COF 3327,1957-1958,days_to_heading,137
COF 3327,1957-1958,days_to_heading,134
COF 3337,1957-1958,days_to_heading,135
COF 3644,1957-1958,days_to_heading,137
COF 3040,1958-1959,days_to_heading,135
COF 3040,1958-1959,plant_height,72
COF 3040,1958-1959,thousand_kernel_weight,58.9
COF 3043,1958-1959,days_to_heading,135
COF 3043,1958-1959,thousand_kernel_weight,56
COF 3116,1958-1959,thousand_kernel_weight,50.8
COF 3134,1958-1959,days_to_heading,135
COF 3134,1958-1959,plant_height,72
COF 3263,1958-1959,days_to_heading,135
COF 3263,1958-1959,plant_height,75
COF 3265,1958-1959,days_to_heading,133
COF 3265,1958-1959,plant_height,73
COF 3327,1958-1959,days_to_heading,133
COF 3327,1958-1959,thousand_kernel_weight,59.3
COF 3327,1958-1959,thousand_kernel_weight,55
COF 3337,1958-1959,days_to_heading,134
COF 3337,1958-1959,plant_height,70
COF 3644,1958-1959,days_to_heading,136
COF 3644,1958-1959,thousand_kernel_weight,51.2
COF 3040,1959-1960,days_to_heading,140
COF 3040,1959-1960,days_to_heading,142
COF 3040,1959-1960,thousand_kernel_weight,44.16
COF 3040,1959-1960,thousand_kernel_weight,36.88
COF 3043,1959-1960,days_to_heading,139
COF 3043,1959-1960,days_to_heading,142
COF 3043,1959-1960,thousand_kernel_weight,40.33
COF 3043,1959-1960,thousand_kernel_weight,42.56
COF 3095,1959-1960,days_to_heading,138
COF 3095,1959-1960,thousand_kernel_weight,38.95
COF 3114,1959-1960,days_to_heading,135
COF 3114,1959-1960,thousand_kernel_weight,36.53
COF 3134,1959-1960,days_to_heading,143
COF 3134,1959-1960,thousand_kernel_weight,40.1
COF 3263,1959-1960,days_to_heading,136
COF 3263,1959-1960,thousand_kernel_weight,38.3
COF 3265,1959-1960,days_to_heading,140
COF 3265,1959-1960,thousand_kernel_weight,39.7
COF 3327,1959-1960,days_to_heading,136
COF 3337,1959-1960,days_to_heading,140
COF 3337,1959-1960,thousand_kernel_weight,42.99
COF 3644,1959-1960,days_to_heading,136
COF 3644,1959-1960,days_to_heading,140
COF 3644,1959-1960,thousand_kernel_weight,40.62
COF 3036,1960-1961,days_to_heading,139
COF 3036,1960-1961,thousand_kernel_weight,33.07
COF 3040,1960-1961,days_to_heading,134
COF 3040,1960-1961,days_to_heading,131
COF 3040,1960-1961,days_to_heading,129
COF 3040,1960-1961,days_to_heading,135
COF 3040,1960-1961,thousand_kernel_weight,37.8
COF 3040,1960-1961,thousand_kernel_weight,39.33
COF 3040,1960-1961,thousand_kernel_weight,42.57
COF 3043,1960-1961,days_to_heading,133
COF 3043,1960-1961,thousand_kernel_weight,38.13
COF 3043,1960-1961,thousand_kernel_weight,31.57
COF 3093,1960-1961,days_to_heading,135
COF 3093,1960-1961,thousand_kernel_weight,36.18
COF 3095,1960-1961,days_to_heading,132
COF 3095,1960-1961,thousand_kernel_weight,34.14
COF 3098,1960-1961,days_to_heading,135
COF 3098,1960-1961,thousand_kernel_weight,36.62
COF 3114,1960-1961,days_to_heading,127
COF 3116,1960-1961,days_to_heading,134
COF 3116,1960-1961,thousand_kernel_weight,31.57
COF 3263,1960-1961,days_to_heading,129
COF 3263,1960-1961,thousand_kernel_weight,34.03
COF 3265,1960-1961,days_to_heading,131
COF 3265,1960-1961,thousand_kernel_weight,37.83
COF 3318,1960-1961,days_to_heading,133
COF 3327,1960-1961,days_to_heading,132
COF 3391,1960-1961,days_to_heading,133
COF 3644,1960-1961,days_to_heading,134
COF 3644,1960-1961,thousand_kernel_weight,38.33
COF 3037,1961-1962,days_to_heading,140
COF 3037,1961-1962,thousand_kernel_weight,43.5
COF 3040,1961-1962,days_to_heading,133
COF 3040,1961-1962,days_to_heading,139
COF 3040,1961-1962,days_to_heading,134
COF 3040,1961-1962,days_to_heading,137
COF 3040,1961-1962,days_to_heading,138
COF 3040,1961-1962,days_to_heading,142
COF 3040,1961-1962,days_to_heading,140
COF 3040,1961-1962,days_to_heading,135
COF 3040,1961-1962,thousand_kernel_weight,40
COF 3040,1961-1962,thousand_kernel_weight,46.5
COF 3040,1961-1962,thousand_kernel_weight,45.5
COF 3040,1961-1962,thousand_kernel_weight,46
COF 3040,1961-1962,thousand_kernel_weight,47
COF 3040,1961-1962,thousand_kernel_weight,50.5
COF 3040,1961-1962,thousand_kernel_weight,47.5
COF 3043,1961-1962,days_to_heading,133
COF 3043,1961-1962,thousand_kernel_weight,38.5
COF 3146,1961-1962,days_to_heading,136
COF 3146,1961-1962,days_to_heading,134
COF 3146,1961-1962,thousand_kernel_weight,41.5
COF 3146,1961-1962,thousand_kernel_weight,49
COF 3173,1961-1962,days_to_heading,137
COF 3173,1961-1962,thousand_kernel_weight,40
COF 3220,1961-1962,days_to_heading,134
COF 3220,1961-1962,thousand_kernel_weight,42.5
COF 3264,1961-1962,days_to_heading,135
COF 3264,1961-1962,thousand_kernel_weight,35
COF 3265,1961-1962,days_to_heading,137
COF 3265,1961-1962,thousand_kernel_weight,40
COF 3327,1961-1962,days_to_heading,139
COF 3327,1961-1962,thousand_kernel_weight,41.5
COF 3327,1961-1962,thousand_kernel_weight,36
COF 3332,1961-1962,days_to_heading,137
COF 3332,1961-1962,thousand_kernel_weight,46
COF 3337,1961-1962,days_to_heading,136
COF 3337,1961-1962,thousand_kernel_weight,44
COF 3391,1961-1962,days_to_heading,138
COF 3391,1961-1962,thousand_kernel_weight,37.5
COF 3534,1961-1962,days_to_heading,140
COF 3534,1961-1962,thousand_kernel_weight,43.5
COF 3644,1961-1962,days_to_heading,140
COF 3644,1961-1962,days_to_heading,142
COF 3644,1961-1962,days_to_heading,143
COF 3644,1961-1962,days_to_heading,141
COF 3644,1961-1962,thousand_kernel_weight,42
COF 3644,1961-1962,thousand_kernel_weight,41
COF 3644,1961-1962,thousand_kernel_weight,45.5
COF 3644,1961-1962,thousand_kernel_weight,45
COF 3037,1962-1963,days_to_heading,140
