genotype,days_to_heading_BLUE,plant_height_BLUE,plant_density_BLUE,thousand_kernel_weight_BLUE,dry_matter_yield_BLUE,powdery_mildew_BLUE
CGF 7068,NA,NA,NA,NA,NA,NA
CGF 7147,NA,NA,NA,NA,NA,NA
CGF 7181,NA,NA,NA,NA,NA,NA
CGF-1007,NA,NA,NA,NA,NA,NA
CGF-1010,NA,NA,NA,NA,NA,NA
CGF-1017,141.14,103.78,NA,NA,NA,1.96
CGF-1020,NA,NA,NA,NA,NA,NA
CGF-1056,NA,NA,NA,NA,NA,NA
CGF-1082,NA,NA,NA,NA,NA,NA
CGF-111,NA,NA,NA,NA,NA,NA
CGF-1136,NA,NA,NA,NA,NA,NA
CGF-1152,NA,NA,NA,NA,NA,NA
CGF-1159,NA,NA,NA,NA,NA,NA
CGF-1161,NA,NA,NA,NA,NA,NA
CGF-1167,NA,NA,NA,NA,NA,NA
CGF-1176,139.14,114.28,NA,NA,NA,2.46
CGF-1177,NA,NA,NA,NA,NA,NA
CGF-118,NA,NA,NA,NA,NA,NA
CGF-1185,NA,NA,NA,NA,NA,NA
CGF-1187,NA,NA,NA,NA,NA,NA
CGF-1188,136.14,122.28,NA,NA,NA,2.46
CGF-1189,NA,NA,NA,NA,NA,NA
CGF-1197,NA,NA,NA,NA,NA,NA
CGF-1200,135.14,97.28,NA,NA,NA,5.46
CGF-1201,NA,NA,NA,NA,NA,NA
CGF-1202,NA,NA,NA,NA,NA,NA
CGF-1203,140.64,105.78,NA,NA,NA,1.96
CGF-1218,NA,NA,NA,NA,NA,NA
CGF-1244,NA,NA,NA,NA,NA,NA
CGF-1246,NA,NA,NA,NA,NA,NA
CGF-1248,NA,NA,NA,NA,NA,NA
CGF-1258,NA,NA,NA,NA,NA,NA
CGF-1264,NA,NA,NA,NA,NA,NA
CGF-1266,NA,NA,NA,NA,NA,NA
CGF-1273,NA,NA,NA,NA,NA,NA
CGF-1278,NA,NA,NA,NA,NA,NA
CGF-131,NA,NA,NA,NA,NA,NA
CGF-1316,NA,NA,NA,NA,NA,NA
CGF-1365,NA,NA,NA,NA,NA,NA
CGF-1421,NA,114.78,NA,NA,NA,1.96
CGF-149,141.96,104.02,NA,NA,4317.45,0.87
CGF-153,NA,NA,NA,NA,NA,NA
CGF-154,NA,NA,NA,NA,NA,NA
CGF-1546,137.2,97.9,NA,NA,NA,2.46
CGF-1581,NA,NA,NA,NA,NA,NA
CGF-1585,NA,NA,NA,NA,NA,NA
CGF-1591,NA,NA,NA,NA,NA,NA
CGF-1595,137.64,109.28,NA,NA,NA,5.96
CGF-160,NA,NA,NA,NA,NA,NA
CGF-1602,NA,NA,NA,NA,NA,NA
CGF-1608,NA,NA,NA,NA,NA,NA
CGF-1616,140.64,104.78,NA,NA,NA,NA
CGF-1619,NA,NA,NA,NA,NA,NA
CGF-1621,136.14,98.78,NA,NA,NA,1.96
CGF-164,NA,NA,NA,NA,NA,NA
CGF-1772,NA,NA,NA,NA,NA,NA
CGF-1786,NA,NA,NA,NA,NA,NA
CGF-1801,NA,NA,NA,NA,NA,NA
CGF-1819,NA,NA,NA,NA,NA,NA
CGF-182,NA,NA,NA,NA,NA,NA
CGF-183,133.14,104.28,NA,NA,NA,2.46
CGF-1865,NA,NA,NA,NA,NA,NA
CGF-1883,NA,NA,NA,NA,NA,NA
CGF-1887,NA,NA,NA,NA,NA,NA
CGF-189,NA,NA,NA,NA,NA,NA
CGF-190,NA,NA,NA,NA,NA,NA
CGF-196,NA,NA,NA,NA,NA,NA
CGF-2021,NA,NA,NA,NA,NA,NA
CGF-2103,NA,NA,NA,NA,NA,NA
CGF-2116,NA,NA,NA,NA,NA,NA
CGF-2117,NA,NA,NA,NA,NA,NA
CGF-2119,NA,NA,NA,NA,NA,NA
CGF-2130,NA,NA,NA,NA,NA,NA
CGF-2168,133.99,114.08,NA,NA,3401.43,3.55
CGF-2184,NA,NA,NA,NA,NA,NA
CGF-219,135.14,99.78,NA,NA,NA,4.46
CGF-224,141.09,106.15,594.29,43.05,4951.95,2.79
CGF-225,NA,NA,NA,NA,NA,NA
CGF-226,NA,NA,NA,NA,NA,NA
CGF-232,NA,NA,NA,NA,NA,NA
CGF-2399,NA,NA,NA,NA,NA,NA
CGF-2400,NA,NA,NA,NA,NA,NA
CGF-2403,NA,110.78,NA,NA,NA,1.96
CGF-2404,NA,NA,NA,NA,NA,NA
CGF-2405,NA,NA,NA,NA,NA,NA
CGF-2406,NA,NA,NA,NA,NA,NA
CGF-2433,135.64,84.28,NA,NA,NA,1.96
CGF-2439,NA,NA,NA,NA,NA,NA
CGF-2440,NA,NA,NA,NA,NA,NA
CGF-2454,NA,NA,NA,NA,NA,NA
CGF-2461,NA,90.28,NA,NA,NA,1.96
CGF-2464,134.64,89.78,NA,NA,NA,3.96
CGF-2465,NA,NA,NA,NA,NA,NA
CGF-2532,NA,NA,NA,NA,NA,NA
CGF-2533,NA,NA,NA,NA,NA,NA
CGF-2539,NA,NA,NA,NA,NA,NA
CGF-2541,NA,NA,NA,NA,NA,NA
CGF-2550,NA,NA,NA,NA,NA,NA
CGF-2575,NA,NA,NA,NA,NA,NA
CGF-258,NA,NA,NA,NA,NA,NA
CGF-2609,136.71,97.05,NA,NA,6108.42,1.72
CGF-261,150.26,74.52,621.13,37.89,NA,1.72
CGF-2610,139.19,93.82,NA,NA,5621.95,2.85
CGF-2611,138.45,91.61,580.49,41.47,5754.1,3.6
CGF-2612,139.07,96.77,NA,NA,5881.95,2.89
CGF-2613,137.84,103.17,603.87,42.99,5155.06,3.53
CGF-2615,138.2,95.35,569.81,44.13,5471.95,3.64
CGF-2616,142.03,104.43,NA,38.04,5391.95,3.53
CGF-2617,142.16,99.9,NA,NA,5191.95,3.63
CGF-2619,NA,NA,NA,NA,NA,NA
CGF-262,NA,NA,NA,NA,NA,NA
CGF-2622,NA,NA,NA,NA,NA,NA
CGF-2624,NA,NA,NA,NA,NA,NA
CGF-2625,NA,NA,NA,NA,NA,NA
CGF-2626,138.85,102.08,NA,NA,NA,1.06
CGF-263,NA,NA,NA,NA,NA,NA
CGF-2630,139.74,107.67,NA,NA,5329.9,1.79
CGF-2633,137.14,104.78,NA,NA,NA,1.96
