genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
COF 3001,130.87,NA,43.86
COF 3002,131.39,NA,45.82
COF 3003,131.07,NA,39.84
COF 3004,124.39,NA,39.24
COF 3005,129.45,NA,35
COF 3006,135.51,NA,42.91
COF 3007,132.92,NA,41.22
COF 3008,131.91,NA,41.79
COF 3009,127.73,97.75,33.38
COF 3010,128.96,NA,43.72
COF 3011,129.35,NA,42.26
COF 3012,129.9,NA,37.39
COF 3013,129.66,98.47,34.76
COF 3014,135.51,NA,42.18
COF 3015,133.11,NA,42.01
COF 3016,131.59,NA,43.2
COF 3017,133.51,NA,44.11
COF 3018,134.58,NA,37.6
COF 3019,127.95,NA,36.36
COF 3020,126.47,NA,36.05
COF 3021,131.27,NA,37.23
COF 3022,130.58,NA,37.65
COF 3023,128.15,NA,41
COF 3024,130.38,NA,45.07
COF 3025,133.99,NA,36.38
COF 3026,134.47,NA,42.45
COF 3027,134.99,NA,40.43
COF 3028,132.12,NA,35.11
COF 3029,129.47,NA,44.56
COF 3030,131.69,NA,41.88
COF 3031,130.39,NA,37.71
COF 3032,131.43,NA,39.26
COF 3033,127.27,NA,40.32
COF 3034,133.69,NA,39.2
COF 3035,133.96,NA,38.06
COF 3036,136.26,NA,38.78
COF 3037,133.32,123.2,40.62
COF 3038,130.49,113.2,42.02
COF 3039,132.46,NA,35.92
COF 3040,132.2,96.99,43.88
COF 3041,134.58,NA,42.88
COF 3042,130.24,NA,37.66
COF 3043,134.9,NA,40.83
COF 3044,133.22,NA,38.73
COF 3045,130.65,NA,38.31
COF 3046,128.92,NA,38.55
COF 3047,130.22,NA,36.84
COF 3048,129.63,NA,37.01
COF 3049,132.97,NA,40.43
COF 3050,130.91,NA,40.98
COF 3051,129.21,NA,37.49
COF 3052,131.83,NA,39.7
COF 3053,135.51,NA,40.66
COF 3054,135.51,NA,41.49
COF 3055,135.51,NA,40.25
COF 3056,132.33,NA,41.04
COF 3057,127.35,NA,38.3
COF 3058,129.31,NA,40.55
COF 3059,133.51,NA,42.21
COF 3060,132.32,NA,40.98
COF 3061,134.03,NA,41.73
COF 3062,132.47,NA,38.99
COF 3063,127.87,NA,39.01
COF 3064,132.99,NA,41.09
COF 3065,133.47,NA,39.54
COF 3066,134.99,NA,42.67
COF 3067,132.39,NA,36.83
COF 3068,131.35,NA,38.62
COF 3069,129.32,NA,35.48
COF 3070,132.47,NA,37.58
COF 3071,134.14,NA,39.38
COF 3072,130.91,NA,38.64
COF 3073,133.94,NA,38.37
COF 3074,134.99,NA,37.49
COF 3075,133.43,NA,36.01
COF 3076,130.39,NA,40.23
COF 3077,130.25,NA,39.91
COF 3078,134.09,NA,38.99
COF 3079,127.79,NA,36.23
COF 3080,132.97,NA,39.06
COF 3081,134.59,NA,45.78
COF 3082,128.52,NA,43.49
COF 3083,130.91,NA,37.45
COF 3084,131.49,NA,37.75
COF 3085,130.48,NA,37.03
COF 3086,132.84,NA,42.21
COF 3087,129.87,NA,40.44
COF 3088,130.65,NA,39.37
COF 3089,134.99,NA,41.4
COF 3090,131.69,NA,38.06
COF 3091,133.51,NA,39.68
COF 3092,132.99,NA,43.26
COF 3093,135.74,NA,41.85
COF 3094,131.93,NA,41.76
COF 3095,133.93,NA,39.72
COF 3096,134.67,NA,41.87
COF 3097,134.95,NA,39.57
COF 3098,134.94,NA,40
COF 3099,133.95,NA,37.9
COF 3100,129.75,NA,35.95
COF 3101,128.63,NA,37.93
COF 3102,131.82,NA,35.91
COF 3103,125.43,NA,36.9
COF 3104,134.47,NA,44.39
COF 3105,132.99,NA,40.28
COF 3106,131.89,NA,38.94
COF 3107,128.31,NA,38.95
COF 3108,133.99,NA,43.99
COF 3109,131.21,NA,42.37
COF 3110,129.73,NA,39.78
