genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
C0600001,71.82,77.09,49.61
C0600002,NA,77.65,41.42
C0600010,NA,NA,NA
C0600016,74.79,86.01,NA
C0600020,79.35,76.08,45.5
C0600021,NA,NA,NA
C0600024,NA,NA,NA
C0600027,NA,NA,NA
C0600028,NA,NA,NA
C0600032,NA,NA,NA
C0600033,NA,NA,NA
C0600038,80.76,92.02,NA
C0600039,NA,NA,NA
C0600040,NA,NA,NA
C0600041,NA,NA,NA
C0600042,NA,NA,NA
C0600046,NA,NA,NA
C0600047,NA,NA,NA
C0600049,NA,NA,NA
C0600051,NA,NA,NA
C0600053,NA,NA,NA
C0600056,NA,NA,NA
C0600057,NA,NA,NA
C0600063,71.82,64.7,45.18
C0600065,NA,NA,NA
C0600066,NA,NA,44.55
C0600068,79.8,83.24,41.58
C0600069,72.97,87.74,44.33
C0600070,NA,NA,NA
C0600071,NA,NA,36.96
C0600074,NA,NA,42.37
C0600075,79.03,79.87,44.61
C0600076,NA,NA,41.17
C0600078,NA,NA,41.35
C0600079,75.92,NA,45.92
C0600080,76.1,NA,47.54
C0600081,79.04,81.94,43.35
C0600082,76.48,NA,46.02
C0600083,NA,NA,41.48
C0600084,NA,NA,44.58
C0600085,NA,NA,44.18
C0600086,NA,NA,43.87
C0600089,NA,NA,NA
C0600090,NA,NA,NA
C0600091,NA,NA,NA
C0600092,NA,NA,NA
C0600093,NA,NA,NA
C0600094,NA,NA,NA
C0600098,NA,NA,NA
C0600103,NA,80.19,49.15
C0600109,80.74,72.39,51.3
C0600114,NA,74.77,47.34
C0600117,NA,73.92,47.56
C0600123,NA,85.75,44.05
C0600124,NA,NA,NA
C0600125,NA,73.74,46.45
C0600127,NA,NA,NA
C0600128,83.31,85.79,38.95
C0600129,76.8,73.98,45.95
C0600131,NA,73.34,43.25
C0600132,NA,70.68,42.33
C0600133,NA,75.44,41.35
C0600134,NA,74.36,43.05
C0600135,NA,80.42,42.02
C0600136,NA,88.16,43.25
C0600138,NA,102.8,39.75
C0600139,NA,106.75,36.85
C0600140,NA,97.8,37.95
C0600141,NA,78.89,45.35
C0600142,NA,92.83,42.45
C0600143,NA,82.97,46.35
C0600144,NA,84.89,41.55
C0600145,NA,67.72,45.25
C0600146,NA,78.92,36.75
C0600147,NA,80.02,40.2
C0600148,NA,77.02,38.96
C0600149,NA,83.99,49
C0600150,NA,85.86,41.55
C0600151,NA,82.88,43.81
C0600152,NA,79.8,40.39
C0600153,NA,84.89,44.45
C0600154,78.44,81.03,42.09
C0600157,NA,73.14,43.79
C0600158,NA,75.36,45.1
C0600159,NA,86,47.49
C0600160,NA,85.25,45.66
C0600161,NA,83.86,47.15
C0600162,NA,84.89,46.35
C0600163,NA,84.97,46.25
C0600164,NA,69.51,NA
C0600165,NA,76.33,NA
C0600166,NA,NA,NA
C0600167,NA,84.6,NA
C0600168,NA,73.33,46.36
C0600169,NA,83.42,49.27
C0600170,NA,81.42,NA
C0600171,NA,80.96,NA
C0600172,NA,NA,NA
C0600173,NA,NA,NA
C0600174,NA,81.78,NA
C0600175,NA,NA,NA
C0600177,NA,NA,NA
C0600178,NA,NA,NA
C0600179,NA,72.96,NA
C0600180,NA,NA,NA
C0600181,NA,NA,NA
C0600182,NA,70.24,NA
C0600183,NA,NA,NA
C0600184,NA,78.05,46.95
C0600185,NA,77.69,NA
C0600186,NA,NA,NA
C0600187,NA,NA,NA
C0600188,NA,91.96,NA
C0600189,NA,80.96,NA
C0600190,NA,NA,NA
C0600191,NA,79.14,NA
C0600192,NA,75.86,46.12
C0600193,NA,81.51,NA
C0600194,NA,82.33,NA
C0600195,NA,89.09,NA
C0600196,NA,NA,NA
C0600197,NA,NA,NA
C0600198,NA,74.42,42.57
C0600199,NA,74.24,NA
C0600200,NA,NA,NA
C0600201,NA,78.42,NA
C0600202,NA,84.42,47.6
C0600204,NA,88.24,NA
C0600205,NA,75.24,46.6
C0600207,76.46,81.99,46.56
C0600209,NA,NA,NA
C0600210,NA,NA,NA
C0600211,NA,81.69,NA
C0600212,NA,NA,NA
C0600213,NA,68.91,NA
C0600214,NA,76.78,NA
C0600215,NA,81.33,NA
C0600216,NA,66.51,NA
C0600217,NA,71.69,NA
C0600218,NA,75.33,48.76
C0600220,NA,94.42,NA
C0600222,NA,81.96,NA
C0600223,76.46,80.49,37.72
C0600226,NA,89.78,42.92
C0600229,NA,NA,NA
C0600231,74.16,73.54,44.24
C0600233,NA,NA,NA
C0600234,81.89,75.24,45.89
C0600235,NA,NA,NA
C0600237,NA,NA,NA
C0600238,NA,NA,NA
C0600242,NA,NA,NA
C0600243,NA,NA,NA
C0600244,NA,NA,NA
C0600246,NA,NA,NA
C0600247,NA,NA,NA
C0600248,NA,78.89,NA
C0600249,NA,NA,42
C0600250,NA,77.08,50.91
C0600252,NA,79.12,41.86
C0600253,NA,NA,NA
C0600254,NA,77.51,39.55
C0600255,NA,NA,40.43
C0600258,NA,NA,41.97
C0600259,NA,NA,NA
C0600262,NA,NA,NA
C0600263,NA,NA,NA
C0600264,NA,NA,NA
C0600265,NA,NA,NA
C0600266,NA,NA,NA
C0600267,NA,NA,NA
C0600270,NA,NA,NA
C0600271,NA,NA,NA
C0600272,NA,NA,NA
C0600273,NA,NA,NA
C0600274,NA,NA,NA
C0600276,NA,NA,NA
C0600277,NA,NA,NA
C0600278,NA,NA,NA
C0600279,NA,NA,NA
C0600280,NA,NA,NA
C0600281,NA,NA,NA
C0600282,NA,NA,NA
C0600283,NA,NA,NA
C0600285,NA,NA,NA
C0600286,NA,NA,NA
C0600287,NA,NA,NA
C0600289,NA,NA,NA
C0600290,NA,80.58,42.62
C0600291,NA,NA,NA
C0600296,NA,NA,NA
C0600297,NA,NA,NA
C0600301,NA,NA,NA
C0600306,71.36,NA,46.91
C0600308,NA,NA,44.17
C0600312,NA,NA,NA
C0600313,77.78,88.01,NA
C0600314,NA,NA,NA
C0600315,NA,NA,NA
C0600316,NA,NA,NA
C0600317,NA,NA,NA
C0600318,NA,NA,NA
C0600319,NA,NA,NA
C0600320,NA,NA,NA
C0600322,NA,NA,NA
C0600323,NA,NA,NA
C0600334,76.86,NA,48.77
C0600335,77.78,75.97,NA
C0600336,NA,NA,36.67
C0600337,NA,NA,NA
C0600340,NA,NA,NA
C0600342,NA,NA,NA
C0600343,NA,NA,NA
C0600344,NA,NA,NA
C0600347,NA,NA,44.95
C0600348,75.02,85.53,45.7
C0600350,75.75,81.98,NA
C0600354,NA,NA,NA
C0600355,NA,NA,NA
C0600356,NA,80.56,NA
C0600359,NA,NA,NA
C0600364,NA,NA,NA
C0600368,NA,NA,NA
C0600369,NA,NA,NA
C0600371,NA,NA,NA
C0600372,NA,NA,42.58
C0600373,NA,NA,NA
C0600377,NA,NA,36.87
C0600380,NA,NA,NA
C0600381,74.07,92.63,NA
C0600386,NA,95.5,NA
C0600387,NA,NA,NA
C0600388,NA,90.07,50.86
C0600393,83.46,75.71,44.5
C0600394,NA,NA,NA
C0600396,NA,NA,NA
C0600397,NA,NA,NA
C0600398,79.78,95.96,NA
C0600400,NA,NA,NA
C0600402,NA,NA,NA
C0600404,NA,NA,NA
C0600409,NA,NA,NA
C0600410,64.79,81.02,NA
C0600415,74.12,NA,46.5
C0600417,NA,NA,NA
C0600418,NA,NA,NA
C0600419,NA,NA,NA
C0600420,NA,NA,NA
C0600421,NA,NA,NA
C0600424,74.88,78.6,46.42
C0600425,NA,NA,NA
C0600426,NA,NA,NA
C0600428,NA,90.92,37.56
C0600429,NA,NA,NA
C0600431,NA,NA,NA
C0600435,NA,76.87,47.07
C0600439,NA,NA,NA
C0600441,NA,NA,NA
C0600442,NA,NA,NA
C0600443,NA,NA,NA
C0600444,NA,NA,NA
C0600445,NA,NA,NA
C0600447,NA,NA,NA
C0600448,NA,NA,NA
C0600451,72.7,81.96,32.13
C0600453,76.78,89.95,32.38
C0600455,77.79,82.98,30.47
C0600461,76.7,81.93,26.24
C0600466,NA,82.51,NA
