accenumb,campaign,trait,value
C0600068,1971-1974,days_to_heading,87
C0600068,1971-1974,days_to_heading,101
C0600068,1971-1974,thousand_kernel_weight,41.93
C0600068,1971-1974,thousand_kernel_weight,41.2
C0600068,1971-1974,thousand_kernel_weight,41.87
C0600068,1971-1974,thousand_kernel_weight,42.55
C0600068,1971-1974,thousand_kernel_weight,41.5
C0600069,1971-1974,days_to_heading,81
C0600069,1971-1974,days_to_heading,90
C0600069,1971-1974,thousand_kernel_weight,45.1
C0600069,1971-1974,thousand_kernel_weight,45.23
C0600069,1971-1974,thousand_kernel_weight,44.77
C0600069,1971-1974,thousand_kernel_weight,44.5
C0600069,1971-1974,thousand_kernel_weight,42.1
C0600128,1971-1974,days_to_heading,99
C0600128,1971-1974,thousand_kernel_weight,42
C0600154,1971-1974,days_to_heading,90
C0600154,1971-1974,thousand_kernel_weight,43.4
C0600306,1971-1974,days_to_heading,80
C0600306,1971-1974,thousand_kernel_weight,47.15
C0600348,1971-1974,days_to_heading,85
C0600348,1971-1974,thousand_kernel_weight,47.9
C0600393,1971-1974,days_to_heading,97
C0600393,1971-1974,days_to_heading,104
C0600393,1971-1974,thousand_kernel_weight,46.15
C0600393,1971-1974,thousand_kernel_weight,45.4
C0600415,1971-1974,days_to_heading,88
C0600415,1971-1974,thousand_kernel_weight,46.35
C0600469,1971-1974,days_to_heading,94
C0600469,1971-1974,thousand_kernel_weight,38.8
C0600470,1971-1974,days_to_heading,90
C0600470,1971-1974,thousand_kernel_weight,48.3
C0600521,1971-1974,days_to_heading,94
C0600521,1971-1974,thousand_kernel_weight,46.3
C0600595,1971-1974,days_to_heading,83
C0600595,1971-1974,thousand_kernel_weight,41.23
C0600930,1971-1974,days_to_heading,79
C0600930,1971-1974,thousand_kernel_weight,45.73
C0601148,1971-1974,days_to_heading,83
C0601148,1971-1974,thousand_kernel_weight,45.43
C0600066,1971-1974,thousand_kernel_weight,43.73
C0600020,1975-1977,days_to_heading,84
C0600020,1975-1977,plant_height,78.75
C0600020,1975-1977,thousand_kernel_weight,46.33
C0600020,1975-1977,thousand_kernel_weight,41.9
C0600068,1975-1977,days_to_heading,86
C0600068,1975-1977,thousand_kernel_weight,40.4
C0600069,1975-1977,days_to_heading,81
C0600069,1975-1977,plant_height,104
C0600069,1975-1977,plant_height,98.2
C0600069,1975-1977,plant_height,102
C0600069,1975-1977,plant_height,99.2
C0600069,1975-1977,plant_height,84
C0600069,1975-1977,plant_height,86
C0600069,1975-1977,plant_height,87
C0600069,1975-1977,plant_height,85.62
C0600069,1975-1977,plant_height,90.87
C0600069,1975-1977,plant_height,88.62
C0600069,1975-1977,plant_height,89.87
C0600069,1975-1977,thousand_kernel_weight,44.53
C0600069,1975-1977,thousand_kernel_weight,38.6
C0600069,1975-1977,thousand_kernel_weight,39.7
C0600069,1975-1977,thousand_kernel_weight,38.3
C0600069,1975-1977,thousand_kernel_weight,39
C0600069,1975-1977,thousand_kernel_weight,42.5
C0600069,1975-1977,thousand_kernel_weight,36.9
C0600069,1975-1977,thousand_kernel_weight,44.1
C0600069,1975-1977,thousand_kernel_weight,36.7
C0600069,1975-1977,thousand_kernel_weight,38.4
C0600069,1975-1977,thousand_kernel_weight,39.4
C0600069,1975-1977,thousand_kernel_weight,39.9
C0600075,1975-1977,days_to_heading,86
C0600075,1975-1977,thousand_kernel_weight,47.36
C0600128,1975-1977,days_to_heading,89
