experiment_id,instcode,genus,accenumb,agent_id,doi,days_to_heading,thousand_kernel_weight,plant_height,name,description,campaign,site_name,longitude,latitude,remarks
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0500027,NA,NA,84,44.68,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1974-1,SVK001,Hordeum,C0500233,NA,NA,75,47.88,NA,ZS264,Hordeum vulgare trials Piešťany,1971-1974,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1980-1,SVK001,Hordeum,C0500468,NA,NA,NA,50.3,NA,ZS603,Hordeum vulgare trials Piešťany,1978-1980,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1981-1,SVK001,Hordeum,C0500468,NA,NA,NA,50.3,NA,ZS421,Hordeum vulgare trials Piešťany,1978-1981,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500001,NA,NA,224,47.6,108,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500009,NA,NA,223,47.2,106,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500026,NA,NA,220,43.3,97,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500027,NA,NA,220,50.3,103,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500029,NA,NA,223,48.6,104,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500030,NA,NA,225,49.6,106,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500031,NA,NA,219,46,102,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500032,NA,NA,223,46.5,94,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500033,NA,NA,221,45.8,94,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500034,NA,NA,221,50.8,104,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500035,NA,NA,219,49.2,93,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500036,NA,NA,221,50.8,107,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500037,NA,NA,222,46.8,99,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500038,NA,NA,222,46.9,99,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500039,NA,NA,224,45.3,103,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500040,NA,NA,222,48.7,98,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500041,NA,NA,224,46.1,96,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500042,NA,NA,225,50.4,100,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500043,NA,NA,220,45.9,97,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500044,NA,NA,221,47.4,102,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500045,NA,NA,222,54.3,106,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500046,NA,NA,223,51,116,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500047,NA,NA,219,51.4,112,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500048,NA,NA,222,50.2,102,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500049,NA,NA,225,56.5,96,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500051,NA,NA,225,48.9,105,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
AGENT-Hv-[NPPC]-1994-1,SVK001,Hordeum,C0500052,NA,NA,226,50.3,111,ZS851,Hordeum vulgare trials Piešťany,1993-1994,Piešťany,48.585755,17.815290,Annual paper report
