genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
C0500001,224.38,97.8,54.36
C0500002,216.36,90.46,45.19
C0500003,217.29,97.86,45.38
C0500004,218.1,92.28,46.97
C0500005,218.1,93.99,45.81
C0500006,218.4,91.13,45.02
C0500007,218.06,91.47,46.42
C0500008,217.84,97.07,48
C0500009,219.01,95.4,53.52
C0500010,218.1,98.67,47.09
C0500011,217.84,94.57,46.95
C0500012,218.1,97.81,44.97
C0500013,217.74,93.14,43.78
C0500014,217.06,101.31,44.7
C0500015,217.17,94.39,46.45
C0500016,218.1,94.81,47.12
C0500017,218.17,100.41,46.92
C0500018,217.49,98.85,45.57
C0500019,223.72,102.44,54.85
C0500020,217.68,103.67,47.86
C0500021,216.84,97.03,48.43
C0500022,217.68,101.62,47.73
C0500023,216.58,97.29,43.9
C0500024,218.1,99.85,47.33
C0500025,217.37,97.87,48.61
C0500026,NA,NA,NA
C0500027,NA,NA,56.06
C0500029,NA,NA,NA
C0500030,NA,NA,NA
C0500031,NA,NA,NA
C0500032,NA,NA,NA
C0500033,NA,NA,NA
C0500034,NA,NA,NA
C0500035,NA,NA,NA
C0500036,NA,NA,NA
C0500037,NA,NA,NA
C0500038,NA,NA,NA
C0500039,NA,NA,NA
C0500040,NA,NA,NA
C0500041,NA,NA,NA
C0500042,NA,NA,NA
C0500043,NA,NA,NA
C0500044,NA,NA,NA
C0500045,224.36,98.34,58.11
C0500046,NA,NA,NA
C0500047,223.55,94.53,58.03
C0500048,NA,NA,NA
C0500049,NA,NA,NA
C0500051,NA,NA,NA
C0500052,NA,NA,NA
C0500053,222.55,97.95,52.21
C0500054,NA,NA,NA
C0500055,NA,NA,NA
C0500056,NA,NA,NA
C0500057,NA,NA,NA
C0500058,NA,NA,NA
C0500059,NA,NA,NA
C0500060,NA,NA,NA
C0500061,NA,NA,NA
C0500062,NA,NA,NA
C0500063,NA,NA,NA
C0500064,NA,NA,NA
C0500065,224.71,98,NA
C0500066,NA,NA,NA
C0500067,NA,NA,NA
C0500068,NA,NA,NA
C0500069,NA,NA,NA
C0500070,NA,NA,NA
C0500071,NA,NA,NA
C0500072,NA,NA,NA
C0500073,NA,NA,NA
C0500074,NA,NA,NA
C0500075,NA,NA,NA
C0500076,225.26,96.45,45.11
C0500077,NA,NA,NA
C0500078,226.03,99.81,45.59
C0500079,227.53,97.61,42.8
C0500080,NA,NA,NA
C0500081,NA,NA,NA
C0500082,NA,104.34,NA
C0500083,228.07,99.05,50.46
C0500084,226.6,91.64,51.45
C0500085,NA,NA,NA
C0500086,NA,NA,NA
C0500087,NA,NA,NA
C0500088,NA,NA,NA
C0500089,NA,NA,NA
C0500090,NA,NA,NA
C0500091,NA,NA,NA
C0500093,NA,NA,NA
C0500094,NA,NA,NA
C0500095,228.73,92.65,46.93
C0500096,NA,NA,NA
C0500097,225.95,87.47,47.6
C0500098,NA,NA,NA
C0500100,NA,NA,NA
C0500101,222.65,92.62,46.97
C0500102,NA,NA,NA
C0500103,NA,NA,NA
C0500104,NA,NA,NA
C0500105,NA,NA,NA
C0500106,NA,NA,NA
C0500107,NA,NA,NA
C0500108,NA,NA,NA
C0500109,NA,NA,NA
C0500110,NA,NA,NA
C0500111,NA,NA,NA
C0500112,NA,NA,NA
C0500113,NA,NA,NA
C0500114,NA,NA,NA
C0500115,NA,NA,NA
C0500116,NA,NA,NA
C0500117,NA,NA,NA
C0500118,NA,NA,NA
C0500120,NA,NA,NA
C0500121,NA,NA,NA
C0500122,NA,NA,NA
C0500123,NA,NA,NA
C0500124,NA,NA,NA
C0500125,NA,NA,NA
C0500126,NA,NA,NA
C0500127,NA,NA,NA
C0500128,NA,NA,NA
C0500129,NA,NA,NA
C0500130,NA,NA,NA
C0500131,NA,NA,NA
C0500132,NA,NA,NA
C0500133,NA,NA,NA
C0500134,NA,NA,NA
C0500135,NA,NA,NA
C0500138,NA,NA,NA
C0500139,223.57,93.06,46.37
C0500140,228.1,90.45,49.76
C0500141,228.69,98.27,50.09
C0500142,227.73,106.71,46.76
C0500143,228.69,98.7,46.96
C0500144,228.73,97.48,44.67
C0500145,228.05,100.64,49.66
C0500146,NA,103.61,NA
C0500147,228.69,109.94,47.3
C0500148,226.69,106.67,46.07
C0500149,225.97,92.8,58.44
C0500150,227.69,100.48,52.38
C0500151,228.05,94.31,58.62
C0500152,225.05,104.45,45.49
C0500153,232.05,110.82,44.13
C0500154,229.73,104.81,49.31
C0500155,228.73,93.21,53.72
C0500156,229.05,96.92,46.21
C0500157,227.37,86.73,56.3
C0500158,229.7,104.67,56.4
C0500159,223.84,83.1,54.97
C0500160,225.37,89.95,45.96
C0500161,230.84,103.59,51.09
C0500162,234.84,130.01,55.73
C0500163,NA,103.46,NA
C0500164,NA,101.56,38.41
C0500165,226.84,95.76,46.65
C0500166,225.38,90.86,51.52
C0500167,230.1,106.33,45.01
C0500168,230.1,106.59,51.93
C0500169,226.69,93.58,43.83
C0500170,225.84,107.98,45.81
C0500171,226.84,96.11,45.27
C0500172,228.73,98.42,49.22
C0500173,233.64,116.21,56.74
C0500174,232.69,118.88,57.06
C0500175,226.84,101.76,42.8
C0500176,224.37,94.06,47.59
C0500177,NA,95.56,51.71
C0500178,226.84,101.8,47.74
C0500179,231.1,100.29,60.04
C0500180,230.68,100.33,60.16
C0500181,228,101.58,49.55
C0500182,229.69,97.97,50.36
C0500183,227.69,89.67,52.19
C0500184,229.05,97.55,45.99
C0500185,229.05,87.99,55.92
C0500186,229.05,89.01,61.97
C0500187,228.69,86.24,57.08
C0500188,229.73,95.02,48.45
C0500189,228,87.18,59.62
C0500190,222.73,89.01,50.69
C0500191,222.73,91.47,52.5
C0500192,224.19,90.66,57.31
C0500193,226.84,100.38,47.08
C0500194,229.05,94.26,47.24
C0500195,222.83,88.49,53.9
C0500196,227.24,96.27,47.78
C0500197,228.05,93.92,58.79
C0500198,NA,92.51,57.46
C0500203,217.06,100.55,58.47
C0500204,222.37,115.59,48.77
C0500207,221.55,118.3,46.27
C0500208,228.1,97.27,47.93
C0500209,230.1,109.18,46.98
C0500210,223.65,94.79,52.55
C0500211,222.36,110.53,44.49
C0500212,220.68,101.18,56.32
C0500214,227.69,93.74,46.57
C0500216,228.32,80.16,50.55
C0500217,222.28,97.84,54.13
C0500218,214.3,102.74,42.48
C0500219,225.63,92.12,52.55
C0500220,224.07,112.79,46.93
C0500221,214.07,99.63,42.97
C0500222,223.82,88.02,43.19
C0500223,229.05,89.05,51.26
C0500224,217.7,86.27,43.33
C0500225,221.13,92.99,50.14
C0500226,221.67,105.62,56.76
C0500229,223.36,97.58,54.14
C0500231,228,96.24,50.67
C0500232,NA,NA,NA
C0500233,218.49,96.65,59.26
C0500234,NA,95.6,54.75
C0500235,218.15,97.02,56.25
C0500236,216.45,96.31,44.36
C0500237,217.19,100.05,52.78
C0500239,NA,NA,NA
C0500240,NA,NA,NA
C0500241,NA,NA,NA
C0500242,NA,NA,NA
C0500243,NA,NA,NA
C0500244,NA,NA,NA
C0500245,NA,NA,NA
C0500246,NA,NA,NA
C0500247,NA,NA,NA
C0500248,NA,NA,NA
C0500249,NA,NA,NA
C0500250,222.18,96.16,48.57
C0500251,223.7,95.97,58.54
C0500252,216.82,96.75,45.92
C0500254,218.1,97.8,64.38
C0500255,217.82,99.61,48.25
C0500256,NA,97.71,52.36
C0500257,NA,93.36,55.56
C0500258,NA,99.56,52.66
C0500259,NA,98.56,62.31
C0500260,NA,96.71,54.46
C0500261,NA,97.71,43.52
C0500262,NA,101.46,57.66
C0500263,NA,101.41,NA
C0500264,NA,97.31,45.31
C0500265,NA,97.31,53.71
C0500266,NA,NA,44.31
C0500267,NA,83.41,54.66
C0500268,NA,97.56,53.41
C0500269,NA,NA,NA
C0500270,NA,103.61,51.61
C0500271,NA,108.11,60.51
C0500272,NA,103.78,55.76
C0500273,NA,103.1,NA
C0500274,NA,104.41,44.41
C0500275,NA,101.31,NA
C0500276,NA,109.41,58.71
C0500277,NA,104.36,54.66
C0500278,NA,104.41,54.46
C0500279,NA,103.56,63.66
C0500280,NA,NA,45.41
C0500281,NA,NA,43.41
C0500282,NA,111.31,63.41
C0500283,NA,107.46,NA
C0500284,NA,101.41,38.66
C0500285,NA,96.51,43.51
C0500286,NA,103.31,44.46
C0500287,NA,104.51,47.41
C0500288,NA,NA,42.56
C0500289,217.92,96.88,45.15
C0500290,NA,NA,NA
C0500291,NA,NA,NA
C0500292,212.59,100.75,50.33
C0500293,219.43,99.06,51.08
C0500294,214.81,88.47,47.67
C0500295,213.5,94.13,54.47
C0500296,218.68,96.42,52.68
C0500297,216.2,96.37,59.65
C0500298,217.84,96.92,55.01
C0500299,217.79,95.31,56.41
C0500301,225.37,106.44,61.21
C0500302,225.59,84.95,48.51
C0500304,NA,NA,42.61
C0500305,NA,98.41,42.61
C0500306,NA,97.66,39.66
C0500307,NA,99.66,44.46
C0500308,217.92,99.43,45.41
C0500309,218.53,94.08,56.51
C0500310,218.53,99.53,45.56
C0500311,219.08,101.27,46.24
C0500312,218.81,102.71,58.96
C0500313,218.1,99.82,45.21
C0500314,216.99,96.18,46.87
C0500315,217.63,99.57,45.32
C0500316,216.99,96.29,44.45
C0500317,217.94,101.79,45.99
C0500318,218.1,96.09,60.1
C0500319,NA,82.92,49.38
C0500320,218.51,102.37,51.51
C0500321,217.06,90.95,46.77
C0500322,222.86,96.4,57.2
C0500323,227.33,85.46,65.2
C0500324,228.44,91.64,58.34
C0500325,NA,89.61,67.31
C0500327,227.87,86.36,61.51
C0500328,NA,84.71,58.79
C0500329,223.42,NA,46.51
C0500330,NA,85.71,45.46
C0500331,NA,84.66,47.41
C0500332,NA,80.66,45.95
C0500334,NA,92.41,55.46
C0500335,NA,85.66,50.46
C0500336,222.33,95.51,47.01
C0500338,226.66,94.22,45.61
C0500339,221.77,92.51,46.41
C0500340,224.66,90.3,48.66
C0500341,NA,NA,NA
C0500342,NA,NA,NA
C0500344,NA,NA,NA
C0500345,NA,NA,NA
C0500346,NA,NA,NA
C0500347,NA,NA,NA
C0500348,NA,NA,NA
C0500349,NA,NA,NA
C0500350,NA,NA,NA
C0500351,NA,NA,NA
C0500352,NA,NA,NA
C0500355,NA,NA,NA
C0500356,NA,NA,NA
C0500357,NA,NA,NA
C0500358,NA,NA,NA
C0500359,NA,NA,NA
C0500361,NA,NA,NA
C0500363,NA,NA,NA
C0500364,NA,NA,NA
C0500366,NA,NA,NA
C0500368,NA,NA,NA
C0500370,NA,NA,NA
C0500396,NA,NA,NA
C0500410,NA,NA,NA
C0500411,NA,NA,NA
C0500412,NA,NA,NA
C0500413,NA,95.99,49.61
C0500414,NA,NA,NA
C0500415,NA,NA,NA
C0500416,NA,94.03,48.11
C0500417,NA,NA,NA
C0500418,NA,NA,NA
C0500419,NA,NA,NA
C0500420,NA,NA,NA
C0500421,NA,NA,NA
C0500422,227.15,94.23,63.6
C0500425,NA,NA,NA
C0500426,NA,NA,NA
C0500427,NA,NA,NA
C0500428,NA,NA,NA
C0500430,NA,NA,NA
C0500431,NA,NA,NA
C0500433,NA,NA,NA
C0500434,NA,NA,NA
C0500435,NA,86.63,48.11
C0500436,NA,78.22,52.21
C0500437,NA,94.37,46.59
C0500438,NA,NA,NA
C0500439,NA,NA,NA
C0500440,NA,93.69,50.18
C0500441,NA,NA,NA
C0500442,NA,NA,NA
C0500443,NA,NA,NA
C0500444,NA,30.1,NA
C0500445,NA,NA,NA
C0500446,NA,NA,NA
C0500447,NA,NA,NA
C0500448,NA,NA,NA
C0500449,NA,NA,NA
C0500450,NA,NA,NA
C0500451,NA,NA,NA
C0500452,NA,NA,NA
C0500453,NA,NA,NA
C0500454,NA,NA,NA
C0500455,NA,NA,NA
C0500456,NA,NA,NA
C0500457,NA,NA,NA
C0500458,NA,NA,NA
C0500460,NA,NA,NA
C0500461,NA,NA,NA
C0500462,NA,NA,NA
C0500463,NA,NA,NA
C0500464,NA,NA,NA
C0500465,NA,NA,NA
C0500466,NA,NA,NA
C0500467,NA,NA,NA
C0500468,NA,NA,NA
C0500469,NA,NA,NA
C0500470,NA,NA,NA
C0500471,NA,NA,NA
C0500472,NA,NA,NA
C0500473,NA,NA,NA
C0500474,NA,NA,NA
C0500475,NA,66.11,NA
C0500476,NA,68.54,NA
C0500477,NA,NA,NA
C0500478,NA,NA,NA
C0500488,NA,NA,NA
C0500489,NA,NA,NA
C0500490,NA,NA,NA
C0500491,NA,NA,NA
C0500492,NA,NA,NA
C0500493,NA,NA,NA
C0500494,NA,NA,NA
C0500495,NA,NA,NA
C0500496,NA,NA,NA
C0500497,NA,NA,NA
C0500498,NA,NA,NA
C0500500,NA,94.38,50.17
C0500501,NA,NA,NA
C0500502,NA,NA,NA
C0500504,NA,NA,NA
C0500505,NA,NA,NA
C0500506,NA,NA,NA
C0500507,NA,NA,NA
C0500508,NA,NA,NA
C0500510,NA,NA,NA
C0500511,NA,NA,NA
C0500512,NA,NA,NA
C0500514,NA,NA,NA
C0500515,NA,NA,NA
C0500516,NA,NA,NA
C0500517,NA,NA,NA
C0500518,NA,NA,NA
C0500519,NA,NA,NA
C0500520,NA,NA,NA
C0500521,NA,NA,NA
C0500522,NA,NA,NA
C0500523,NA,NA,NA
C0500524,NA,NA,NA
C0500528,NA,NA,NA
C0500530,NA,NA,NA
C0500531,NA,NA,NA
C0500532,NA,NA,NA
C0500535,NA,NA,NA
C0500536,NA,NA,NA
C0500537,NA,NA,NA
C0500539,NA,97.76,50.08
C0500540,NA,86.29,49.75
C0500541,NA,95.58,45.63
C0500542,NA,94.76,50.57
C0500543,NA,105.92,45.52
C0500544,NA,107.16,50.3
C0500545,NA,93.44,46.2
C0500546,NA,102.42,44.34
C0500547,NA,97.09,46.28
C0500548,NA,99.76,50.49
C0500549,NA,100.42,42.48
C0500550,NA,96.27,44.06
C0500551,NA,106.56,42.18
C0500552,NA,93.42,45.91
C0500553,NA,98.02,46.71
C0500554,NA,92.45,45.94
C0500555,NA,NA,NA
C0500556,NA,109.43,NA
C0500557,NA,117.06,NA
C0500558,NA,119.42,NA
C0500559,NA,120.99,NA
C0500560,NA,NA,NA
C0500561,NA,NA,NA
C0500562,NA,NA,NA
C0500563,NA,NA,NA
C0500564,NA,NA,NA
C0500565,NA,NA,NA
C0500566,NA,NA,40.91
C0500567,NA,NA,NA
C0500568,NA,NA,43.28
