accenumb,campaign,trait,value
C0500001,1993-1994,days_to_heading,224
C0500001,1993-1994,plant_height,108
C0500001,1993-1994,thousand_kernel_weight,47.6
C0500009,1993-1994,days_to_heading,223
C0500009,1993-1994,plant_height,106
C0500009,1993-1994,thousand_kernel_weight,47.2
C0500045,1993-1994,days_to_heading,222
C0500045,1993-1994,plant_height,106
C0500045,1993-1994,thousand_kernel_weight,54.3
C0500047,1993-1994,days_to_heading,219
C0500047,1993-1994,plant_height,112
C0500047,1993-1994,thousand_kernel_weight,51.4
C0500053,1993-1994,days_to_heading,218
C0500053,1993-1994,plant_height,103
C0500065,1993-1994,days_to_heading,225
C0500065,1993-1994,plant_height,109
C0500101,1993-1994,days_to_heading,223
C0500101,1993-1994,plant_height,97
C0500101,1993-1994,thousand_kernel_weight,44.9
C0500139,1993-1994,days_to_heading,223
C0500139,1993-1994,plant_height,103
C0500139,1993-1994,thousand_kernel_weight,39.7
C0500149,1993-1994,days_to_heading,224
C0500149,1993-1994,plant_height,106
C0500149,1993-1994,thousand_kernel_weight,49.9
C0500195,1993-1994,days_to_heading,224
C0500195,1993-1994,plant_height,96
C0500195,1993-1994,thousand_kernel_weight,47.4
C0500212,1993-1994,days_to_heading,222
C0500212,1993-1994,plant_height,110
C0500212,1993-1994,thousand_kernel_weight,50.3
C0500233,1993-1994,days_to_heading,221
C0500233,1993-1994,plant_height,108
C0500235,1993-1994,days_to_heading,220
C0500235,1993-1994,plant_height,101
C0500235,1993-1994,thousand_kernel_weight,47.7
C0500293,1993-1994,days_to_heading,226
C0500293,1993-1994,plant_height,100
C0500293,1993-1994,thousand_kernel_weight,41.8
C0500297,1993-1994,days_to_heading,220
C0500297,1993-1994,plant_height,105
C0500297,1993-1994,thousand_kernel_weight,53.1
C0500309,1993-1994,days_to_heading,221
C0500309,1993-1994,plant_height,104
C0500309,1993-1994,thousand_kernel_weight,53.5
C0500312,1993-1994,days_to_heading,222
C0500312,1993-1994,plant_height,114
C0500312,1993-1994,thousand_kernel_weight,55.1
C0500234,1993-1994,plant_height,101
C0500234,1993-1994,thousand_kernel_weight,48.5
C0500027,1993-1994,thousand_kernel_weight,50.3
C0500003,1994-1995,days_to_heading,221
C0500003,1994-1995,plant_height,103
C0500003,1994-1995,thousand_kernel_weight,45.1
C0500006,1994-1995,days_to_heading,221
C0500006,1994-1995,plant_height,106
C0500006,1994-1995,thousand_kernel_weight,42
C0500012,1994-1995,days_to_heading,222
C0500012,1994-1995,plant_height,103
C0500012,1994-1995,thousand_kernel_weight,41.2
C0500016,1994-1995,days_to_heading,222
C0500016,1994-1995,plant_height,101
C0500016,1994-1995,thousand_kernel_weight,39.6
C0500076,1994-1995,days_to_heading,220
C0500076,1994-1995,plant_height,106
C0500076,1994-1995,thousand_kernel_weight,42.9
C0500078,1994-1995,days_to_heading,222
C0500078,1994-1995,plant_height,113
C0500078,1994-1995,thousand_kernel_weight,45
C0500079,1994-1995,days_to_heading,222
C0500079,1994-1995,plant_height,99
C0500079,1994-1995,thousand_kernel_weight,39.2
C0500083,1994-1995,days_to_heading,224
C0500083,1994-1995,plant_height,113
C0500084,1994-1995,days_to_heading,224
C0500084,1994-1995,plant_height,101
C0500101,1994-1995,days_to_heading,222
C0500101,1994-1995,plant_height,103
C0500101,1994-1995,thousand_kernel_weight,45.1
C0500166,1994-1995,days_to_heading,221
C0500166,1994-1995,thousand_kernel_weight,46.6
C0500289,1994-1995,days_to_heading,221
C0500289,1994-1995,plant_height,103
C0500289,1994-1995,thousand_kernel_weight,42.3
C0500292,1994-1995,days_to_heading,218
C0500292,1994-1995,plant_height,103
C0500292,1994-1995,thousand_kernel_weight,44.9
C0500294,1994-1995,days_to_heading,219
C0500294,1994-1995,thousand_kernel_weight,40.9
C0500308,1994-1995,days_to_heading,224
C0500308,1994-1995,plant_height,105
C0500308,1994-1995,thousand_kernel_weight,42.8
C0500310,1994-1995,days_to_heading,222
C0500310,1994-1995,plant_height,100
C0500310,1994-1995,thousand_kernel_weight,43.1
C0500311,1994-1995,days_to_heading,222
C0500311,1994-1995,plant_height,107
C0500311,1994-1995,thousand_kernel_weight,45.9
C0500316,1994-1995,days_to_heading,222
C0500316,1994-1995,plant_height,109
C0500316,1994-1995,thousand_kernel_weight,44.6
C0500320,1994-1995,days_to_heading,226
C0500320,1994-1995,thousand_kernel_weight,49
C0500082,1994-1995,plant_height,114
C0500319,1994-1995,plant_height,93
C0500319,1994-1995,thousand_kernel_weight,42.1
C0500413,1994-1995,plant_height,101
C0500413,1994-1995,thousand_kernel_weight,43.1
C0500416,1994-1995,plant_height,97
C0500416,1994-1995,thousand_kernel_weight,45.9
C0500001,1996-1997,days_to_heading,229
C0500001,1996-1997,days_to_heading,219
C0500001,1996-1997,plant_height,93.1
C0500001,1996-1997,plant_height,98.5
C0500001,1996-1997,thousand_kernel_weight,51.7
C0500001,1996-1997,thousand_kernel_weight,54.3
C0500002,1996-1997,days_to_heading,215
C0500002,1996-1997,plant_height,87.2
C0500002,1996-1997,thousand_kernel_weight,46
C0500003,1996-1997,days_to_heading,217
