accenumb,agent_id,doi,days_to_heading,thousand_kernel_weight,plant_height,name,description,campaign
C0101593,NA,NA,NA,41.3,128,ZS261,Triticum aestivum trials Piešťany,1971-1972
C0103397,NA,NA,NA,43.3,107,ZS261,Triticum aestivum trials Piešťany,1971-1972
C0103928,NA,NA,NA,32.2,110,ZS261,Triticum aestivum trials Piešťany,1971-1972
C0104824,NA,NA,NA,41.7,94,ZS261,Triticum aestivum trials Piešťany,1971-1972
C0104825,NA,NA,NA,44.9,99,ZS261,Triticum aestivum trials Piešťany,1971-1972
C0100245,NA,NA,232,36,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0100249,NA,NA,240,34.2,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0100257,NA,NA,243,37.1,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0100259,NA,NA,231,36.5,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0100272,NA,NA,230,40.8,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0100411,NA,NA,226,35.6,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0100411,NA,NA,230,40.6,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0100687,NA,NA,233,42.9,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0100691,NA,NA,235,38.3,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0100692,NA,NA,235,40.2,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0100693,NA,NA,231,43,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0101162,NA,NA,231,40,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0101355,NA,NA,222,39.9,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0101355,NA,NA,228,41.6,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0101473,NA,NA,225,37.6,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0101473,NA,NA,230,33,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0101593,NA,NA,NA,43.9,104,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0101593,NA,NA,241,38.9,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0101593,NA,NA,232,52.7,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0101593,NA,NA,235,40.1,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0101675,NA,NA,228,41.1,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0101696,NA,NA,238,33,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0101705,NA,NA,232,36.7,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0101715,NA,NA,235,35.1,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0101732,NA,NA,243,30.1,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0101741,NA,NA,239,37.3,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0101753,NA,NA,235,44.6,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0101937,NA,NA,222,45.9,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0102055,NA,NA,226,34.3,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0102132,NA,NA,230,36.2,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0102132,NA,NA,235,35.5,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0102228,NA,NA,236,21.05,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0102334,NA,NA,238,35.9,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0102474,NA,NA,233,35.5,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0103397,NA,NA,NA,41.2,78,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0103397,NA,NA,226,50.6,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0103397,NA,NA,233,46.5,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0103552,NA,NA,240,40.6,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0103850,NA,NA,239,42.3,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0103920,NA,NA,228,40.6,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0103924,NA,NA,231,35,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0103928,NA,NA,NA,40.3,80,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0103928,NA,NA,220,42.4,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0103928,NA,NA,228,45.6,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0103931,NA,NA,236,37.8,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0103935,NA,NA,236,37.4,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0103941,NA,NA,228,32.9,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0103941,NA,NA,233,49.9,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0104191,NA,NA,230,39.9,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0104792,NA,NA,235,48.6,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0104824,NA,NA,NA,46.5,74,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0104824,NA,NA,231,40.2,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0104825,NA,NA,NA,44.8,75,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0104825,NA,NA,230,39,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0100245,NA,NA,NA,47.5,93,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100245,NA,NA,234,43.9,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100249,NA,NA,NA,38,109,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100249,NA,NA,230,41.3,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100249,NA,NA,223,40.05,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100259,NA,NA,226,55.7,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100259,NA,NA,235,34.9,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100262,NA,NA,225,55,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100272,NA,NA,228,46.2,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100274,NA,NA,NA,50.3,105,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100277,NA,NA,NA,40.9,122,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100411,NA,NA,NA,43.2,97,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100411,NA,NA,235,32.6,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100411,NA,NA,224,47.5,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100411,NA,NA,226,43.2,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100687,NA,NA,NA,45.5,107,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100687,NA,NA,NA,45.7,105,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100687,NA,NA,226,54,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100687,NA,NA,242,29.6,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100691,NA,NA,238,26.1,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100691,NA,NA,222,42.6,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100692,NA,NA,237,34.9,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100693,NA,NA,226,45.6,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101162,NA,NA,NA,39.9,114,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101162,NA,NA,NA,42.5,125,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101162,NA,NA,227,53.7,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101355,NA,NA,NA,48.3,100,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101355,NA,NA,234,30.1,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101355,NA,NA,223,42.7,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101355,NA,NA,222,42.4,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101418,NA,NA,NA,36.9,98,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101473,NA,NA,222,42.3,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101473,NA,NA,219,42.7,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101473,NA,NA,NA,38,77,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101593,NA,NA,NA,47,118,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101593,NA,NA,NA,47.8,120,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101593,NA,NA,235,38.2,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101593,NA,NA,241,37.8,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101593,NA,NA,238,41.3,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101593,NA,NA,231,54.3,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101593,NA,NA,230,56.3,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0101593,NA,NA,229,53.2,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
