genotype,days_to_heading_BLUE,plant_height_BLUE
C0100001,NA,NA
C0100002,NA,NA
C0100003,NA,NA
C0100004,NA,NA
C0100005,223.5,87.76
C0100010,NA,NA
C0100011,NA,NA
C0100012,NA,NA
C0100013,NA,NA
C0100014,NA,NA
C0100015,NA,NA
C0100017,NA,NA
C0100018,NA,NA
C0100019,220.62,89.91
C0100021,225.47,80.35
C0100022,NA,NA
C0100023,NA,NA
C0100024,NA,NA
C0100025,NA,NA
C0100026,217.1,81.76
C0100027,NA,NA
C0100028,220.09,83.19
C0100029,220.99,82.84
C0100031,222.93,91.76
C0100032,NA,NA
C0100033,NA,NA
C0100034,221.62,104.41
C0100035,NA,NA
C0100036,NA,NA
C0100037,NA,NA
C0100038,NA,NA
C0100039,NA,NA
C0100040,NA,NA
C0100041,NA,NA
C0100043,NA,NA
C0100044,NA,NA
C0100045,NA,NA
C0100046,NA,NA
C0100048,NA,NA
C0100049,NA,NA
C0100050,NA,NA
C0100051,NA,NA
C0100052,NA,NA
C0100054,NA,NA
C0100055,NA,NA
C0100056,NA,NA
C0100057,NA,NA
C0100058,NA,NA
C0100059,NA,89.18
C0100062,NA,NA
C0100063,NA,NA
C0100064,NA,NA
C0100065,NA,NA
C0100067,NA,NA
C0100068,NA,NA
C0100069,NA,NA
C0100070,NA,NA
C0100071,NA,NA
C0100072,NA,NA
C0100073,NA,NA
C0100074,NA,NA
C0100075,222.68,85.82
C0100076,NA,NA
C0100077,NA,NA
C0100078,NA,NA
C0100079,NA,NA
C0100081,NA,NA
C0100082,NA,NA
C0100083,NA,NA
C0100084,NA,NA
C0100085,NA,NA
C0100086,NA,NA
C0100087,NA,NA
C0100088,NA,NA
C0100089,NA,NA
C0100090,NA,NA
C0100091,NA,NA
C0100093,NA,NA
C0100094,NA,NA
C0100096,NA,NA
C0100098,NA,NA
C0100099,NA,NA
C0100100,NA,NA
C0100101,NA,NA
C0100103,NA,NA
C0100104,NA,NA
C0100105,230.89,94.66
C0100106,230.38,88.77
C0100107,NA,NA
C0100108,NA,NA
C0100109,NA,NA
C0100110,NA,NA
C0100112,NA,NA
C0100113,NA,NA
C0100114,NA,NA
C0100115,NA,NA
C0100116,227.45,90.21
C0100117,NA,NA
C0100118,NA,NA
C0100119,NA,NA
C0100120,NA,NA
C0100121,NA,NA
C0100122,NA,NA
C0100123,NA,NA
C0100124,NA,NA
C0100125,NA,NA
C0100126,NA,77.7
C0100127,NA,NA
C0100128,231.65,79.37
C0100129,227.11,102.86
C0100130,219.83,100.98
C0100131,NA,NA
C0100133,NA,NA
C0100134,NA,NA
C0100135,NA,NA
C0100137,NA,NA
C0100138,221.41,84.01
C0100139,221.85,85.44
C0100140,223.02,81.4
C0100141,224.5,89.46
C0100142,225.46,95.87
C0100143,225.19,87.58
C0100145,223.53,NA
C0100146,NA,NA
C0100147,221.2,87.71
C0100148,NA,NA
C0100149,NA,NA
C0100150,NA,NA
C0100151,218.62,78.48
C0100152,NA,NA
C0100153,NA,NA
C0100154,NA,NA
C0100155,NA,NA
C0100156,NA,NA
C0100157,NA,97.92
C0100158,225.75,89.09
C0100159,NA,NA
C0100160,NA,NA
C0100161,NA,94.21
C0100162,NA,NA
C0100163,NA,NA
C0100164,NA,NA
C0100166,NA,NA
C0100167,NA,NA
C0100168,NA,NA
C0100169,NA,NA
C0100170,NA,NA
C0100171,NA,NA
C0100172,NA,NA
C0100173,NA,NA
C0100174,NA,NA
C0100177,NA,NA
C0100178,NA,NA
C0100179,NA,NA
C0100180,NA,NA
C0100181,NA,NA
C0100183,NA,NA
C0100184,NA,NA
C0100185,221.91,92.56
C0100186,NA,NA
C0100187,NA,NA
C0100188,NA,NA
C0100189,NA,NA
C0100190,NA,NA
C0100191,NA,NA
C0100192,NA,NA
C0100193,NA,NA
C0100194,NA,NA
C0100195,NA,NA
C0100199,NA,NA
C0100201,NA,NA
C0100202,NA,NA
C0100203,NA,NA
C0100204,NA,NA
C0100206,NA,NA
C0100208,225.23,106.65
C0100213,NA,NA
C0100214,NA,NA
C0100215,NA,NA
C0100216,NA,NA
C0100217,NA,NA
C0100218,NA,96.13
C0100219,NA,NA
C0100220,NA,NA
C0100221,NA,67.17
C0100222,NA,NA
C0100223,NA,NA
C0100224,219.09,91.34
C0100225,NA,NA
C0100226,NA,NA
C0100229,NA,NA
C0100230,NA,NA
C0100232,NA,NA
C0100233,NA,89.13
C0100234,NA,NA
C0100235,NA,NA
C0100236,NA,NA
C0100237,NA,NA
C0100239,NA,86
C0100240,225.57,82.17
C0100241,228.75,104.65
C0100244,NA,NA
C0100245,225.54,NA
C0100246,226.35,119.37
C0100248,NA,NA
C0100249,224.01,104.04
C0100250,NA,NA
C0100251,NA,NA
C0100252,NA,NA
C0100255,NA,NA
C0100256,NA,NA
C0100257,NA,NA
C0100258,NA,108.73
C0100259,225.35,110.55
C0100261,NA,82.65
C0100262,220.34,97.59
C0100263,219.5,91.71
C0100264,229.64,99.52
C0100265,229.32,119.3
C0100266,NA,NA
C0100267,NA,NA
C0100268,NA,NA
C0100269,234.09,108.09
C0100272,225.12,NA
C0100274,225.74,99.34
C0100276,NA,NA
C0100277,NA,116.87
C0100280,NA,NA
C0100281,NA,NA
C0100282,NA,NA
C0100283,222.07,102.06
C0100284,234.04,98.44
C0100285,NA,126.52
C0100287,219.24,90.37
C0100288,NA,NA
C0100289,221.85,105.04
C0100290,224.21,100.81
C0100291,NA,NA
C0100292,224.19,100
C0100293,NA,NA
C0100294,223.45,75.63
C0100295,NA,NA
C0100296,NA,NA
C0100298,NA,NA
C0100299,NA,NA
C0100300,225.39,86.22
C0100301,NA,NA
C0100302,NA,NA
C0100303,NA,NA
C0100304,NA,NA
C0100305,NA,NA
C0100307,NA,NA
C0100308,NA,NA
C0100309,NA,NA
C0100310,NA,NA
C0100311,NA,NA
C0100312,NA,NA
C0100313,NA,NA
C0100314,NA,NA
C0100315,NA,NA
C0100316,220.37,93.52
C0100317,NA,NA
C0100318,NA,NA
C0100319,NA,NA
C0100320,NA,NA
C0100321,NA,NA
