accenumb,campaign,trait,value
C0100245,1972-1973,days_to_heading,232
C0100245,1972-1973,thousand_kernel_weight,36
C0100249,1972-1973,days_to_heading,240
C0100249,1972-1973,thousand_kernel_weight,34.2
C0100259,1972-1973,days_to_heading,231
C0100272,1972-1973,days_to_heading,230
C0100272,1972-1973,thousand_kernel_weight,40.8
C0100411,1972-1973,days_to_heading,226
C0100411,1972-1973,days_to_heading,230
C0100411,1972-1973,thousand_kernel_weight,35.6
C0100411,1972-1973,thousand_kernel_weight,40.6
C0100687,1972-1973,days_to_heading,233
C0100687,1972-1973,thousand_kernel_weight,42.9
C0100691,1972-1973,days_to_heading,235
C0100691,1972-1973,thousand_kernel_weight,38.3
C0100692,1972-1973,days_to_heading,235
C0100692,1972-1973,thousand_kernel_weight,40.2
C0100693,1972-1973,days_to_heading,231
C0100693,1972-1973,thousand_kernel_weight,43
C0101162,1972-1973,days_to_heading,231
C0101162,1972-1973,thousand_kernel_weight,40
C0101355,1972-1973,days_to_heading,228
C0101473,1972-1973,days_to_heading,225
C0101473,1972-1973,days_to_heading,230
C0101473,1972-1973,thousand_kernel_weight,37.6
C0101593,1972-1973,days_to_heading,241
C0101593,1972-1973,days_to_heading,232
C0101593,1972-1973,days_to_heading,235
C0101593,1972-1973,plant_height,104
C0101593,1972-1973,thousand_kernel_weight,43.9
C0101593,1972-1973,thousand_kernel_weight,40.1
C0101675,1972-1973,days_to_heading,228
C0101675,1972-1973,thousand_kernel_weight,41.1
C0101696,1972-1973,days_to_heading,238
C0101696,1972-1973,thousand_kernel_weight,33
C0101705,1972-1973,days_to_heading,232
C0101705,1972-1973,thousand_kernel_weight,36.7
C0101715,1972-1973,days_to_heading,235
C0101715,1972-1973,thousand_kernel_weight,35.1
C0101732,1972-1973,days_to_heading,243
C0101741,1972-1973,days_to_heading,239
C0101741,1972-1973,thousand_kernel_weight,37.3
C0101753,1972-1973,days_to_heading,235
C0101753,1972-1973,thousand_kernel_weight,44.6
C0101937,1972-1973,days_to_heading,222
C0102055,1972-1973,days_to_heading,226
C0102132,1972-1973,days_to_heading,230
C0102132,1972-1973,days_to_heading,235
C0102132,1972-1973,thousand_kernel_weight,36.2
