genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
C0600001,71.82,76.61,49.49
C0600002,NA,77.57,40.95
C0600010,NA,NA,NA
C0600016,74.79,85.53,NA
C0600020,79.35,75.88,45.05
C0600021,NA,NA,NA
C0600024,NA,NA,NA
C0600027,NA,NA,NA
C0600028,NA,NA,NA
C0600032,NA,NA,NA
C0600033,NA,NA,NA
C0600038,80.76,91.53,NA
C0600039,NA,NA,NA
C0600040,NA,NA,NA
C0600041,NA,NA,NA
C0600042,NA,NA,NA
C0600046,NA,NA,NA
C0600047,NA,NA,NA
C0600049,NA,NA,NA
C0600051,NA,NA,NA
C0600053,NA,NA,NA
C0600056,NA,NA,NA
C0600057,NA,NA,NA
C0600063,71.82,64.24,45.08
C0600065,NA,NA,NA
C0600066,NA,NA,44.48
C0600068,79.8,82.73,41.46
C0600069,72.97,86.57,44.23
C0600070,NA,NA,NA
C0600071,NA,NA,36.53
C0600074,NA,NA,41.92
C0600075,79.03,79.7,44.15
C0600076,NA,NA,40.72
C0600078,NA,NA,40.9
C0600079,75.92,NA,45.46
C0600080,76.1,NA,47.09
C0600081,79.04,81.77,42.91
C0600082,76.48,NA,45.57
C0600083,NA,NA,41.04
C0600084,NA,NA,44.15
C0600085,NA,NA,43.74
C0600086,NA,NA,43.42
C0600089,NA,NA,NA
C0600090,NA,NA,NA
C0600091,NA,NA,NA
C0600092,NA,NA,NA
C0600093,NA,NA,NA
C0600094,NA,NA,NA
C0600098,NA,NA,NA
C0600103,NA,79.93,48.69
C0600109,80.74,72.12,50.86
C0600114,NA,74.59,46.86
C0600117,NA,73.74,47.09
C0600123,NA,85.57,43.58
C0600124,NA,NA,NA
C0600125,NA,73.56,45.98
C0600127,NA,NA,NA
C0600128,83.31,85.61,38.55
C0600129,76.8,73.73,45.33
C0600131,NA,73.33,42.84
C0600132,NA,70.62,41.85
C0600133,NA,75.28,40.92
C0600134,NA,74.24,42.58
C0600135,NA,80.3,41.55
C0600136,NA,88.11,42.78
C0600138,NA,102.63,39.28
C0600139,NA,106.57,36.38
C0600140,NA,97.63,37.48
C0600141,NA,78.71,44.88
C0600142,NA,92.65,41.98
C0600143,NA,82.79,45.88
C0600144,NA,84.71,41.08
C0600145,NA,67.54,44.78
C0600146,NA,78.74,36.28
C0600147,NA,79.87,39.73
C0600148,NA,76.87,38.49
C0600149,NA,83.9,48.53
C0600150,NA,85.68,41.08
C0600151,NA,82.72,43.34
C0600152,NA,79.62,39.93
C0600153,NA,84.71,43.98
C0600154,78.44,80.54,41.99
C0600157,NA,72.96,43.31
C0600158,NA,75.2,44.63
C0600159,NA,85.89,47.01
C0600160,NA,85.11,45.2
C0600161,NA,83.68,46.68
C0600162,NA,84.71,45.88
C0600163,NA,84.79,45.78
C0600164,NA,69.92,NA
C0600165,NA,77.11,NA
C0600166,NA,NA,NA
C0600167,NA,84.82,NA
C0600168,NA,73.08,46.18
C0600169,NA,82.99,49
C0600170,NA,80.99,NA
C0600171,NA,82.49,NA
C0600172,NA,NA,NA
C0600173,NA,NA,NA
C0600174,NA,81.63,NA
C0600175,NA,NA,NA
C0600177,NA,NA,NA
C0600178,NA,NA,NA
C0600179,NA,73.46,NA
C0600180,NA,NA,NA
C0600181,NA,NA,NA
C0600182,NA,70.18,NA
C0600183,NA,NA,NA
C0600184,NA,78.37,46.68
C0600185,NA,78.75,NA
C0600186,NA,NA,NA
C0600187,NA,NA,NA
C0600188,NA,92.46,NA
C0600189,NA,81.46,NA
C0600190,NA,NA,NA
C0600191,NA,81.32,NA
C0600192,NA,75.69,45.65
C0600193,NA,81.92,NA
C0600194,NA,83.11,NA
C0600195,NA,89,NA
C0600196,NA,NA,NA
C0600197,NA,NA,NA
C0600198,NA,75.01,42.28
C0600199,NA,75.2,NA
C0600200,NA,NA,NA
C0600201,NA,79.01,NA
C0600202,NA,83.99,47.32
C0600204,NA,89.2,NA
C0600205,NA,75.18,46.32
C0600207,76.46,81.53,46.39
C0600209,NA,NA,NA
C0600210,NA,NA,NA
C0600211,NA,81.73,NA
C0600212,NA,NA,NA
C0600213,NA,68.88,NA
C0600214,NA,77.65,NA
C0600215,NA,81.08,NA
C0600216,NA,67.94,NA
C0600217,NA,72.75,NA
C0600218,NA,75.09,48.5
C0600220,NA,93.99,NA
C0600222,NA,81.44,NA
C0600223,76.46,79.99,37.31
C0600226,NA,89.63,42.61
C0600229,NA,NA,NA
C0600231,74.16,72.91,43.95
C0600233,NA,NA,NA
C0600234,81.89,75.14,45.43
C0600235,NA,NA,NA
C0600237,NA,NA,NA
C0600238,NA,NA,NA
C0600242,NA,NA,NA
C0600243,NA,NA,NA
C0600244,NA,NA,NA
C0600246,NA,NA,NA
C0600247,NA,NA,NA
C0600248,NA,78.84,NA
C0600249,NA,NA,41.24
C0600250,NA,76.64,50.73
C0600252,NA,79.06,41.06
C0600253,NA,NA,NA
C0600254,NA,77.34,38.78
C0600255,NA,NA,39.74
C0600258,NA,NA,41.15
