accenumb,agent_id,doi,days_to_heading,thousand_kernel_weight,plant_height,name,description,campaign
C0200072,NA,NA,236,32.6,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0200278,NA,NA,234,32.5,NA,ZS261,Triticum aestivum trials Piešťany,1972-1973
C0200072,NA,NA,NA,42.4,88,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0200072,NA,NA,227,45.9,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0200278,NA,NA,NA,34.5,115,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0200278,NA,NA,238,36.5,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0200371,NA,NA,NA,44.5,92,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0200100,NA,NA,190,38.2,83,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0200100,NA,NA,209,46.2,83,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0200100,NA,NA,206,42.9,80,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0200015,NA,NA,231,42.9,92,ZS572,Triticum aestivum trials Piešťany,1986-1987
C0200320,NA,NA,233,39.3,71,ZS701,Triticum aestivum trials Borovce,1990-1991
C0200004,NA,NA,NA,37.35,95.33,ZS701,Triticum aestivum trials Borovce,1991-1992
C0200005,NA,NA,NA,33.1,99,ZS701,Triticum aestivum trials Borovce,1991-1992
C0200006,NA,NA,NA,41.3,117.84,ZS701,Triticum aestivum trials Borovce,1991-1992
C0200007,NA,NA,NA,35.7,108.84,ZS701,Triticum aestivum trials Borovce,1991-1992
C0200009,NA,NA,NA,38,99.34,ZS701,Triticum aestivum trials Borovce,1991-1992
C0200010,NA,NA,NA,39.6,94.25,ZS701,Triticum aestivum trials Borovce,1991-1992
C0200037,NA,NA,NA,36.2,165.34,ZS701,Triticum aestivum trials Borovce,1991-1992
C0200045,NA,NA,NA,44.5,89.25,ZS701,Triticum aestivum trials Borovce,1991-1992
C0200048,NA,NA,NA,36.05,83.33,ZS701,Triticum aestivum trials Borovce,1991-1992
C0200195,NA,NA,NA,42.5,102.5,ZS701,Triticum aestivum trials Borovce,1991-1992
C0200269,NA,NA,NA,39.85,95.67,ZS701,Triticum aestivum trials Borovce,1991-1992
C0200030,NA,NA,NA,42,84.25,ZS866,Triticum aestivum trials Piešťany,1993-1994
C0200053,NA,NA,244,35.4,137.67,PZ2,Triticum aestivum trials Piešťany,1994-1995
C0200054,NA,NA,243,39.8,121,PZ2,Triticum aestivum trials Piešťany,1994-1995
C0200055,NA,NA,241,46.4,130.33,PZ2,Triticum aestivum trials Piešťany,1994-1995
C0200056,NA,NA,243,NA,114.67,PZ2,Triticum aestivum trials Piešťany,1994-1995
C0200058,NA,NA,244,NA,135.67,PZ2,Triticum aestivum trials Piešťany,1994-1995
C0200059,NA,NA,242,NA,121.67,PZ2,Triticum aestivum trials Piešťany,1994-1995
C0200060,NA,NA,242,NA,112,PZ2,Triticum aestivum trials Piešťany,1994-1995
C0200061,NA,NA,244,NA,129.33,PZ2,Triticum aestivum trials Piešťany,1994-1995
C0200062,NA,NA,247,NA,151.67,PZ2,Triticum aestivum trials Piešťany,1994-1995
C0200063,NA,NA,237,39.1,134.67,PZ2,Triticum aestivum trials Piešťany,1994-1995
C0200064,NA,NA,244,NA,143.33,PZ2,Triticum aestivum trials Piešťany,1994-1995
C0200065,NA,NA,235,34.4,86,PZ2,Triticum aestivum trials Piešťany,1994-1995
C0200066,NA,NA,242,NA,126.67,PZ2,Triticum aestivum trials Piešťany,1994-1995
C0200067,NA,NA,244,NA,130.67,PZ2,Triticum aestivum trials Piešťany,1994-1995
C0200068,NA,NA,235,NA,100,PZ2,Triticum aestivum trials Piešťany,1994-1995
C0200069,NA,NA,249,NA,126,PZ2,Triticum aestivum trials Piešťany,1994-1995
C0200070,NA,NA,242,37,118,PZ2,Triticum aestivum trials Piešťany,1994-1995
C0200070,NA,NA,NA,37,115.75,ZS866,Triticum aestivum trials Piešťany,1994-1995
C0200073,NA,NA,240,NA,109.67,PZ2,Triticum aestivum trials Piešťany,1994-1995
C0200074,NA,NA,240,NA,125,PZ2,Triticum aestivum trials Piešťany,1994-1995
C0200075,NA,NA,247,NA,107.33,PZ2,Triticum aestivum trials Piešťany,1994-1995
C0200142,NA,NA,246,51.1,81.67,PZ2,Triticum aestivum trials Piešťany,1994-1995
C0200164,NA,NA,238,39,94,PZ2,Triticum aestivum trials Piešťany,1994-1995
C0200164,NA,NA,NA,38.9,94.5,ZS866,Triticum aestivum trials Piešťany,1994-1995
C0200050,NA,NA,NA,NA,146.33,PZ3,Triticum aestivum trials Piešťany,1995-1996
C0200051,NA,NA,253,NA,106,PZ3,Triticum aestivum trials Piešťany,1995-1996
C0200052,NA,NA,NA,37.5,127.34,ZS866,Triticum aestivum trials Piešťany,1995-1996
C0200053,NA,NA,NA,38.1,130.5,ZS866,Triticum aestivum trials Piešťany,1995-1996
C0200054,NA,NA,NA,41,111.5,ZS866,Triticum aestivum trials Piešťany,1995-1996
C0200055,NA,NA,NA,49.3,132.5,ZS866,Triticum aestivum trials Piešťany,1995-1996
C0200056,NA,NA,NA,39.3,104.34,ZS866,Triticum aestivum trials Piešťany,1995-1996
C0200057,NA,NA,NA,47.2,132.84,ZS866,Triticum aestivum trials Piešťany,1995-1996
C0200058,NA,NA,NA,47.1,124.84,ZS866,Triticum aestivum trials Piešťany,1995-1996
C0200059,NA,NA,NA,41.1,111.5,ZS866,Triticum aestivum trials Piešťany,1995-1996
C0200060,NA,NA,NA,36.9,110,ZS866,Triticum aestivum trials Piešťany,1995-1996
C0200061,NA,NA,NA,44.1,118.83,ZS866,Triticum aestivum trials Piešťany,1995-1996
C0200062,NA,NA,NA,37.2,141.84,ZS866,Triticum aestivum trials Piešťany,1995-1996
C0200063,NA,NA,NA,37.2,119.34,ZS866,Triticum aestivum trials Piešťany,1995-1996
C0200065,NA,NA,NA,32.5,74.67,ZS866,Triticum aestivum trials Piešťany,1995-1996
C0200066,NA,NA,NA,38.7,117.99,ZS866,Triticum aestivum trials Piešťany,1995-1996
C0200067,NA,NA,NA,40.5,115.67,ZS866,Triticum aestivum trials Piešťany,1995-1996
C0200068,NA,NA,NA,37.8,92.67,ZS866,Triticum aestivum trials Piešťany,1995-1996
C0200077,NA,NA,NA,43,84.67,PZ3,Triticum aestivum trials Piešťany,1995-1996
C0200078,NA,NA,244,NA,97.5,PZ3,Triticum aestivum trials Piešťany,1995-1996
C0200081,NA,NA,249,NA,75,PZ3,Triticum aestivum trials Piešťany,1995-1996
C0200089,NA,NA,249,NA,79,PZ3,Triticum aestivum trials Piešťany,1995-1996
C0200091,NA,NA,249,NA,71,PZ3,Triticum aestivum trials Piešťany,1995-1996
C0200093,NA,NA,245,NA,66.67,PZ3,Triticum aestivum trials Piešťany,1995-1996
C0200094,NA,NA,249,NA,87.33,PZ3,Triticum aestivum trials Piešťany,1995-1996
C0200096,NA,NA,252,NA,110.67,PZ3,Triticum aestivum trials Piešťany,1995-1996
C0200097,NA,NA,240,NA,98.67,PZ3,Triticum aestivum trials Piešťany,1995-1996
C0200108,NA,NA,252,NA,98,PZ3,Triticum aestivum trials Piešťany,1995-1996
C0200109,NA,NA,255,NA,108.33,PZ3,Triticum aestivum trials Piešťany,1995-1996
C0200110,NA,NA,266,NA,125,PZ3,Triticum aestivum trials Piešťany,1995-1996
C0200111,NA,NA,252,NA,98.33,PZ3,Triticum aestivum trials Piešťany,1995-1996
C0200116,NA,NA,255,NA,88.33,PZ3,Triticum aestivum trials Piešťany,1995-1996
C0200122,NA,NA,252,NA,117.67,PZ3,Triticum aestivum trials Piešťany,1995-1996
C0200123,NA,NA,252,NA,114,PZ3,Triticum aestivum trials Piešťany,1995-1996
C0200129,NA,NA,249,NA,109.67,PZ3,Triticum aestivum trials Piešťany,1995-1996
C0200135,NA,NA,249,NA,98.67,PZ3,Triticum aestivum trials Piešťany,1995-1996
C0200136,NA,NA,247,NA,92.67,PZ3,Triticum aestivum trials Piešťany,1995-1996
C0200144,NA,NA,231,NA,51,PZ3,Triticum aestivum trials Piešťany,1995-1996
C0200151,NA,NA,253,NA,103.33,PZ3,Triticum aestivum trials Piešťany,1995-1996
C0200305,NA,NA,247,NA,69,PZ3,Triticum aestivum trials Piešťany,1995-1996
C0200072,NA,NA,238,NA,100.33,PZ4,Triticum aestivum trials Piešťany,1996-1997
C0200090,NA,NA,238,NA,119.67,PZ4,Triticum aestivum trials Piešťany,1996-1997
C0200098,NA,NA,238,NA,105.67,PZ4,Triticum aestivum trials Piešťany,1996-1997
C0200146,NA,NA,238,NA,121.33,PZ4,Triticum aestivum trials Piešťany,1996-1997
C0200149,NA,NA,233,NA,76.33,PZ4,Triticum aestivum trials Piešťany,1996-1997
C0200152,NA,NA,231,NA,80.33,PZ4,Triticum aestivum trials Piešťany,1996-1997
C0200170,NA,NA,NA,41,84,PZ4,Triticum aestivum trials Piešťany,1996-1997
C0200082,NA,NA,225,36.3,81.67,PZ5,Triticum aestivum trials Piešťany,1997-1998
C0200083,NA,NA,223,31.1,70.33,PZ5,Triticum aestivum trials Piešťany,1997-1998
C0200115,NA,NA,236,44,95.4,PZ5,Triticum aestivum trials Piešťany,1997-1998
C0200181,NA,NA,236,35,95.67,PZ5,Triticum aestivum trials Piešťany,1997-1998
C0200185,NA,NA,231,43.9,94.33,PZ5,Triticum aestivum trials Piešťany,1997-1998
C0200192,NA,NA,228,37,75.33,PZ5,Triticum aestivum trials Piešťany,1997-1998
C0200193,NA,NA,229,34.8,77.67,PZ5,Triticum aestivum trials Piešťany,1997-1998
C0200194,NA,NA,231,41.7,76,PZ5,Triticum aestivum trials Piešťany,1997-1998
C0200197,NA,NA,231,42,79.33,PZ5,Triticum aestivum trials Piešťany,1997-1998
C0200199,NA,NA,226,33.1,68,PZ5,Triticum aestivum trials Piešťany,1997-1998
C0200202,NA,NA,234,35,77.33,PZ5,Triticum aestivum trials Piešťany,1997-1998
C0200203,NA,NA,235,35,74,PZ5,Triticum aestivum trials Piešťany,1997-1998
C0200205,NA,NA,232,46.5,89.33,PZ5,Triticum aestivum trials Piešťany,1997-1998
