genotype,plant_height_BLUE
C0200001,NA
C0200002,NA
C0200003,NA
C0200004,NA
C0200005,NA
C0200006,NA
C0200007,NA
C0200008,NA
C0200009,NA
C0200010,99.24
C0200011,NA
C0200013,NA
C0200014,NA
C0200015,NA
C0200016,NA
C0200017,NA
C0200018,NA
C0200019,NA
C0200020,NA
C0200021,NA
C0200022,NA
C0200023,NA
C0200025,NA
C0200026,NA
C0200027,NA
C0200028,NA
C0200029,NA
C0200030,NA
C0200031,NA
C0200032,NA
C0200033,NA
C0200034,NA
C0200035,NA
C0200036,NA
C0200037,NA
C0200039,NA
C0200042,NA
C0200043,NA
C0200044,NA
C0200045,NA
C0200046,NA
C0200048,NA
C0200049,NA
C0200050,NA
C0200051,NA
C0200052,NA
C0200053,133.51
C0200054,115.27
C0200055,NA
C0200056,108.39
C0200057,NA
C0200058,129.05
C0200059,115.49
C0200060,NA
C0200061,122.93
C0200062,145.72
C0200063,NA
C0200064,NA
C0200065,79.04
C0200066,121.5
C0200067,NA
C0200068,95.73
C0200069,NA
C0200070,111.14
C0200071,NA
C0200072,NA
C0200073,NA
C0200074,NA
C0200075,NA
C0200076,NA
C0200077,88.4
C0200078,NA
C0200079,NA
C0200081,NA
C0200082,NA
C0200083,NA
C0200084,NA
C0200085,NA
C0200086,NA
C0200087,NA
C0200089,NA
C0200090,NA
C0200091,NA
C0200092,NA
C0200093,NA
C0200094,NA
C0200096,NA
C0200097,NA
C0200098,NA
C0200099,NA
C0200100,81.5
C0200101,NA
C0200102,NA
C0200103,NA
C0200104,NA
C0200106,NA
C0200107,NA
C0200108,NA
C0200109,NA
C0200110,NA
C0200111,NA
C0200112,NA
C0200114,NA
C0200115,NA
C0200116,NA
C0200117,NA
C0200120,NA
C0200121,NA
C0200122,NA
C0200123,NA
C0200125,NA
C0200126,NA
C0200127,NA
C0200128,NA
C0200129,NA
C0200130,NA
C0200131,NA
C0200132,NA
C0200133,NA
C0200134,NA
C0200135,NA
C0200136,NA
C0200137,NA
C0200138,NA
C0200139,NA
C0200141,NA
C0200142,NA
C0200143,NA
C0200144,NA
C0200145,NA
C0200146,NA
C0200147,NA
C0200148,NA
C0200149,NA
C0200150,NA
C0200151,NA
C0200152,NA
C0200153,NA
C0200154,NA
C0200155,NA
C0200156,NA
C0200158,NA
C0200161,NA
C0200162,NA
C0200163,NA
C0200164,88.51
C0200167,NA
C0200169,NA
C0200170,NA
C0200171,NA
C0200172,NA
C0200173,NA
C0200174,NA
C0200175,NA
C0200176,NA
C0200179,NA
C0200180,NA
C0200181,NA
C0200182,NA
C0200183,NA
C0200184,NA
C0200185,NA
C0200186,NA
C0200187,NA
C0200188,NA
C0200189,NA
C0200190,NA
C0200191,NA
C0200192,NA
C0200193,NA
C0200194,NA
C0200195,NA
C0200196,NA
C0200197,NA
C0200198,NA
C0200199,NA
C0200201,NA
C0200202,NA
C0200203,NA
C0200204,NA
C0200205,NA
C0200206,NA
C0200207,NA
C0200210,NA
C0200211,NA
C0200212,NA
C0200213,NA
C0200214,NA
C0200215,NA
C0200216,NA
C0200218,NA
C0200219,NA
C0200220,NA
C0200221,NA
C0200222,NA
C0200223,NA
C0200224,NA
C0200225,NA
C0200226,NA
C0200227,NA
C0200228,NA
C0200229,NA
C0200230,NA
C0200231,NA
C0200232,NA
C0200233,NA
C0200234,NA
C0200235,NA
C0200236,NA
C0200237,NA
C0200238,NA
C0200239,NA
C0200240,NA
C0200242,NA
C0200243,NA
C0200244,NA
C0200245,NA
C0200246,NA
C0200247,NA
C0200248,NA
C0200249,NA
C0200250,NA
C0200251,NA
C0200252,NA
C0200253,NA
C0200254,NA
C0200255,NA
C0200256,NA
C0200257,NA
C0200258,NA
C0200259,NA
C0200260,NA
C0200261,NA
C0200262,NA
C0200263,NA
C0200264,NA
C0200265,NA
C0200266,NA
C0200267,NA
C0200268,NA
C0200269,99.57
C0200271,NA
C0200272,NA
C0200273,NA
C0200274,NA
C0200275,NA
C0200276,NA
C0200277,NA
C0200278,NA
C0200279,NA
C0200280,NA
C0200281,NA
C0200282,NA
C0200283,NA
C0200285,NA
C0200286,NA
C0200287,NA
C0200288,NA
C0200289,NA
C0200290,NA
C0200291,NA
C0200292,NA
C0200293,NA
C0200294,NA
C0200295,NA
C0200296,NA
C0200297,NA
C0200298,NA
C0200300,NA
C0200302,NA
C0200303,NA
C0200304,NA
C0200305,NA
C0200306,NA
C0200307,NA
C0200308,NA
C0200309,NA
C0200310,NA
C0200311,NA
C0200312,NA
C0200313,NA
C0200314,NA
C0200315,NA
C0200316,NA
C0200317,NA
C0200318,NA
C0200319,NA
C0200320,NA
C0200321,NA
C0200322,NA
C0200323,NA
C0200324,NA
C0200325,NA
C0200326,NA
C0200327,NA
C0200328,NA
C0200329,NA
C0200330,NA
C0200331,NA
C0200332,NA
C0200333,NA
C0200334,NA
C0200335,NA
C0200337,NA
C0200338,NA
C0200339,NA
C0200340,NA
C0200341,NA
C0200342,NA
C0200343,NA
C0200344,NA
C0200345,NA
C0200346,NA
C0200347,NA
C0200348,NA
C0200349,NA
C0200350,NA
C0200351,NA
C0200352,NA
C0200353,NA
C0200354,NA
C0200355,NA
C0200356,NA
C0200357,NA
C0200358,NA
C0200359,NA
C0200360,NA
C0200361,NA
C0200362,NA
C0200363,NA
C0200364,NA
C0200365,NA
C0200366,NA
C0200367,NA
C0200368,NA
C0200369,NA
C0200370,NA
C0200371,NA
C0200372,NA
C0200373,NA
C0200375,NA
C0200377,NA
C0200378,NA
C0200379,NA
C0200380,NA
C0200381,NA
C0200382,NA
C0200383,NA
