accenumb,campaign,days_to_heading,thousand_kernel_weight,plant_height
C0101593,1971-1972,NA,41.3,128
C0103397,1971-1972,NA,43.3,107
C0103928,1971-1972,NA,32.2,110
C0104824,1971-1972,NA,41.7,94
C0104825,1971-1972,NA,44.9,99
C0100245,1972-1973,232,36,NA
C0100249,1972-1973,240,34.2,NA
C0100257,1972-1973,243,37.1,NA
C0100259,1972-1973,231,36.5,NA
C0100272,1972-1973,230,40.8,NA
C0100411,1972-1973,226,35.6,NA
C0100411,1972-1973,230,40.6,NA
C0100687,1972-1973,233,42.9,NA
C0100691,1972-1973,235,38.3,NA
C0100692,1972-1973,235,40.2,NA
C0100693,1972-1973,231,43,NA
C0101162,1972-1973,231,40,NA
C0101355,1972-1973,222,39.9,NA
C0101355,1972-1973,228,41.6,NA
C0101473,1972-1973,225,37.6,NA
C0101473,1972-1973,230,33,NA
C0101593,1972-1973,NA,43.9,104
C0101593,1972-1973,241,38.9,NA
C0101593,1972-1973,232,52.7,NA
C0101593,1972-1973,235,40.1,NA
C0101675,1972-1973,228,41.1,NA
C0101696,1972-1973,238,33,NA
C0101705,1972-1973,232,36.7,NA
C0101715,1972-1973,235,35.1,NA
C0101732,1972-1973,243,30.1,NA
C0101741,1972-1973,239,37.3,NA
C0101753,1972-1973,235,44.6,NA
C0101937,1972-1973,222,45.9,NA
C0102055,1972-1973,226,34.3,NA
C0102132,1972-1973,230,36.2,NA
C0102132,1972-1973,235,35.5,NA
C0102228,1972-1973,236,21.05,NA
C0102334,1972-1973,238,35.9,NA
C0102474,1972-1973,233,35.5,NA
C0103397,1972-1973,NA,41.2,78
C0103397,1972-1973,226,50.6,NA
C0103397,1972-1973,233,46.5,NA
C0103552,1972-1973,240,40.6,NA
C0103850,1972-1973,239,42.3,NA
C0103920,1972-1973,228,40.6,NA
C0103924,1972-1973,231,35,NA
C0103928,1972-1973,NA,40.3,80
C0103928,1972-1973,220,42.4,NA
C0103928,1972-1973,228,45.6,NA
C0103931,1972-1973,236,37.8,NA
C0103935,1972-1973,236,37.4,NA
C0103941,1972-1973,228,32.9,NA
C0103941,1972-1973,233,49.9,NA
C0104191,1972-1973,230,39.9,NA
C0104792,1972-1973,235,48.6,NA
C0104824,1972-1973,NA,46.5,74
C0104824,1972-1973,231,40.2,NA
C0104825,1972-1973,NA,44.8,75
C0104825,1972-1973,230,39,NA
C0100245,1973-1974,NA,47.5,93
C0100245,1973-1974,234,43.9,NA
C0100249,1973-1974,NA,38,109
C0100249,1973-1974,230,41.3,NA
C0100249,1973-1974,223,40.05,NA
C0100259,1973-1974,226,55.7,NA
C0100259,1973-1974,235,34.9,NA
C0100262,1973-1974,225,55,NA
C0100272,1973-1974,228,46.2,NA
C0100274,1973-1974,NA,50.3,105
C0100277,1973-1974,NA,40.9,122
C0100411,1973-1974,NA,43.2,97
C0100411,1973-1974,235,32.6,NA
C0100411,1973-1974,224,47.5,NA
C0100411,1973-1974,226,43.2,NA
C0100687,1973-1974,NA,45.5,107
C0100687,1973-1974,NA,45.7,105
C0100687,1973-1974,226,54,NA
C0100687,1973-1974,242,29.6,NA
C0100691,1973-1974,238,26.1,NA
