accenumb,agent_id,doi,days_to_flowering,days_to_heading,thousand_kernel_weight,plant_height,date_of_flowering,date_of_heading,stem_length,spike_length,name,description,campaign
TS0073,NA,NA,170,NA,NA,NA,19380620,NA,150,NA,RZ1938,field observation from achives,1937-1938
TS0074,NA,NA,170,NA,NA,NA,19380620,NA,155,NA,RZ1938,field observation from achives,1937-1938
TS0076,NA,NA,170,NA,NA,NA,19380620,NA,155,NA,RZ1938,field observation from achives,1937-1938
TS0078,NA,NA,171,NA,NA,NA,19380621,NA,155,NA,RZ1938,field observation from achives,1937-1938
TS0079,NA,NA,170,NA,NA,NA,19380620,NA,155,NA,RZ1938,field observation from achives,1937-1938
TS0081,NA,NA,170,NA,NA,NA,19380620,NA,150,NA,RZ1938,field observation from achives,1937-1938
TS0081,NA,NA,170,NA,NA,NA,19380620,NA,145,NA,RZ1938,field observation from achives,1937-1938
TS0081,NA,NA,172,NA,NA,NA,19380622,NA,150,NA,RZ1938,field observation from achives,1937-1938
TS0081,NA,NA,173,NA,NA,NA,19380623,NA,155,NA,RZ1938,field observation from achives,1937-1938
TS0081,NA,NA,NA,171,NA,NA,NA,19380621,140,NA,RZ1938,field observation from achives,1937-1938
TS0084,NA,NA,170,NA,NA,NA,19380620,NA,160,NA,RZ1938,field observation from achives,1937-1938
TS0084,NA,NA,170,NA,NA,NA,19380620,NA,155,NA,RZ1938,field observation from achives,1937-1938
TS0084,NA,NA,170,NA,NA,NA,19380620,NA,145,NA,RZ1938,field observation from achives,1937-1938
TS0084,NA,NA,170,NA,NA,NA,19380620,NA,140,NA,RZ1938,field observation from achives,1937-1938
TS0084,NA,NA,172,NA,NA,NA,19380622,NA,150,NA,RZ1938,field observation from achives,1937-1938
TS0084,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,RZ1938,field observation from achives,1937-1938
TS0088,NA,NA,170,NA,NA,NA,19380620,NA,140,NA,RZ1938,field observation from achives,1937-1938
