genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
TS0001,182.37,112.62,59.86
TS0002,182.02,125.06,77.86
TS0004,178.91,125.98,73.66
TS0006,179.43,113.92,76.66
TS0007,179.4,120.29,65.06
TS0013,179.14,124.04,87.86
TS0014,179.51,119.41,75.46
TS0016,180.18,115.96,79.26
TS0019,181.55,119.73,76.86
TS0020,179.52,117.26,77.26
TS0025,181.18,121.07,71.66
TS0026,178.93,117.18,87.86
TS0028,176.26,116.7,NA
TS0030,179.1,115.56,86.86
TS0032,180.09,118.65,80.86
TS0034,180.2,118.44,87.86
TS0035,182.12,114.02,77.26
TS0036,183.47,116.68,79.26
TS0044,NA,NA,NA
TS0047,NA,NA,NA
TS0048,NA,NA,NA
TS0049,NA,NA,NA
TS0050,NA,NA,NA
TS0051,NA,NA,NA
TS0059,NA,NA,NA
TS0060,NA,NA,NA
TS0061,NA,NA,NA
TS0062,NA,NA,NA
TS0063,NA,NA,NA
TS0064,NA,NA,NA
TS0068,NA,NA,NA
TS0069,NA,NA,NA
TS0070,NA,NA,NA
TS0071,NA,NA,NA
TS0072,NA,NA,NA
TS0073,161.62,NA,NA
TS0074,165.06,NA,NA
TS0076,163.26,NA,NA
TS0078,160.89,NA,NA
TS0079,161.1,142.17,36.89
TS0080,NA,NA,49.24
TS0081,163.09,148.69,43.93
TS0084,162.99,NA,42.12
TS0085,NA,146.21,45.44
TS0086,NA,147.67,47.84
TS0087,NA,144.84,46.24
TS0088,163.63,NA,42.45
TS0089,NA,142.39,49.84
TS0091,161.89,NA,44.02
TS0092,163.16,145.13,44.08
TS0094,164.6,NA,45.39
TS0095,163.47,NA,46.14
TS0096,NA,140.32,39.84
TS0098,163.51,148.92,46.2
TS0099,163.7,NA,43.59
TS0100,163.75,NA,44.2
TS0102,163.8,NA,45.25
TS0107,NA,145.8,39.9
TS0110,NA,150.42,47.4
TS0111,163.79,151.88,46.7
TS0112,163.58,NA,47.2
TS0113,164,NA,45.37
TS0116,162.44,NA,41.16
TS0117,162.39,NA,35.52
TS0119,NA,150.35,42.27
TS0121,162.13,NA,40.78
TS0123,163.42,NA,42.2
TS0125,161.9,145.61,36.17
TS0131,163.73,NA,38.88
TS0134,NA,147.61,47.56
TS0136,163.55,NA,42.26
TS0137,163.15,NA,40.37
TS0139,NA,139.76,41.43
TS0140,164.5,NA,36.62
TS0141,163.71,NA,39.5
TS0142,163.83,NA,39.13
TS0144,163.93,NA,37.89
TS0146,164.1,NA,37.39
TS0148,164.1,NA,36.76
TS0149,163.28,NA,41.53
TS0150,NA,143.27,39.63
TS0152,162.54,NA,37.66
TS0153,NA,NA,NA
TS0155,163.08,NA,NA
TS0156,161.37,NA,NA
TS0157,164.93,NA,NA
TS0159,161.2,NA,NA
TS0160,164.49,NA,NA
TS0163,NA,NA,NA
TS0164,164.08,NA,NA
TS0166,162.09,NA,NA
TS0169,NA,NA,NA
TS0170,NA,NA,NA
TS0172,163.65,NA,NA
TS0174,161.9,149.51,NA
TS0176,NA,NA,NA
TS0177,163.62,NA,NA
TS0178,160.22,NA,NA
TS0179,162.64,NA,NA
TS0180,162.34,NA,NA
TS0181,163.78,NA,NA
TS0183,162.77,147.85,NA
TS0191,NA,150.35,NA
TS0192,NA,150.35,NA
TS0208,NA,134.1,NA
TS0218,NA,147.13,NA
TS0225,162.86,146.42,NA
TS0232,NA,145.35,NA
TS0241,161.61,144.51,NA
TS0242,161.77,152.85,NA
TS0247,NA,147.85,NA
TS0258,161.76,147.85,NA
TS0265,162.91,143.68,NA
TS0280,NA,141.18,NA
TS0281,NA,147.85,NA
TS0286,161.44,144.1,NA
TS0287,NA,147.85,NA
TS0288,162.46,145.35,NA
TS0289,162.72,148.85,NA
TS0294,162.41,139.51,NA
TS0310,162.16,145.35,NA
TS0325,162.08,145.57,NA
TS0333,NA,144.51,NA
TS0336,NA,145.35,NA
TS0337,162.95,141.85,NA
TS0342,NA,142.85,NA
TS0345,NA,140.35,NA
TS0347,162.65,150.35,NA
TS0350,162.43,145.35,NA
TS0363,NA,137.85,NA
TS0371,162.77,139.51,NA
TS0379,NA,138.4,NA
TS0380,161.77,140.35,NA
TS0384,NA,139.1,NA
TS0431,162.17,144.51,NA
TS0435,NA,145.35,NA
TS0436,162.93,145.35,NA
TS0437,162.32,146.85,NA
TS0439,162.47,150.35,NA
TS0451,NA,143.68,NA
TS0455,NA,136.42,NA
TS0461,162.8,141.6,NA
TS0479,NA,144.51,NA
TS0480,NA,150.35,NA
TS0483,162.83,142.85,NA
TS0498,162.58,145.35,NA
TS0499,162.84,145.35,NA
TS0509,163.9,142.85,NA
TS0517,NA,147.85,NA
TS0535,161.22,147,NA
TS0536,NA,142.97,NA
TS0553,162.96,152.37,NA
TS0554,NA,142.82,NA
TS0555,163.92,143.69,NA
TS0560,NA,138.34,NA
TS0561,NA,139.5,NA
TS0566,NA,141.7,NA
TS0572,NA,134.61,NA
TS0573,NA,142.17,NA
TS0574,162.81,139.22,NA
TS0577,162.76,137.05,NA
TS0578,162.5,139.36,NA
TS0579,162.55,135.08,NA
TS0580,163.02,141.76,NA
TS0587,162.57,145.19,NA
TS0588,NA,141.54,NA
TS0589,NA,145.45,NA
TS0607,NA,143.42,NA
TS0608,NA,142.24,NA
TS0622,162.58,144.99,NA
TS0623,162.79,145.61,NA
TS0624,NA,150.35,NA
TS0634,162.91,146.27,NA
TS0635,162.59,145.65,NA
TS0638,163.02,147.85,NA
TS0639,NA,141.18,NA
TS0645,163.28,133.93,NA
TS0646,163.54,133.31,NA
TS0655,165.52,133.16,NA
TS0656,NA,132.32,NA
TS0657,NA,142.88,NA
TS0664,NA,137.16,NA
TS0670,NA,137.85,NA
TS0673,NA,141.32,NA
TS0691,NA,140.95,NA
TS0698,NA,143.68,NA
TS0706,NA,145.77,NA
TS0710,NA,142.13,NA
TS0728,NA,143.04,NA
TS0741,NA,142.63,NA
TS0753,NA,142.45,NA
TS0760,NA,138.04,NA
TS0762,NA,146.9,NA
TS0769,NA,143.55,NA
TS0772,NA,144.94,NA
TS0785,NA,143.89,NA
TS0792,NA,137.14,NA
TS0810,NA,138.73,NA
TS0837,NA,134.96,NA
TS0838,NA,143.68,NA
TS0854,NA,135.75,NA
TS0858,NA,134.72,NA
TS0888,NA,134.65,NA
TS0891,NA,137.13,NA
TS0909,NA,141.21,NA
TS0915,NA,137.78,NA
TS0928,NA,140.23,NA
TS0935,NA,138.3,NA
TS0942,163.5,137.67,NA
