accenumb,campaign,trait,value
TS0081,1937-1938,days_to_heading,171
TS0088,1937-1938,days_to_heading,172
TS0091,1937-1938,days_to_heading,170
TS0092,1937-1938,days_to_heading,171
TS0094,1937-1938,days_to_heading,174
TS0094,1937-1938,days_to_heading,172
TS0094,1937-1938,days_to_heading,170
TS0095,1937-1938,days_to_heading,175
TS0095,1937-1938,days_to_heading,174
TS0095,1937-1938,days_to_heading,170
TS0098,1937-1938,days_to_heading,175
TS0098,1937-1938,days_to_heading,174
TS0098,1937-1938,days_to_heading,171
TS0098,1937-1938,days_to_heading,170
TS0099,1937-1938,days_to_heading,174
TS0099,1937-1938,days_to_heading,172
TS0099,1937-1938,days_to_heading,171
TS0099,1937-1938,days_to_heading,170
TS0100,1937-1938,days_to_heading,177
TS0100,1937-1938,days_to_heading,174
TS0100,1937-1938,days_to_heading,170
TS0102,1937-1938,days_to_heading,175
TS0102,1937-1938,days_to_heading,174
TS0102,1937-1938,days_to_heading,172
TS0102,1937-1938,days_to_heading,170
TS0111,1937-1938,days_to_heading,172
TS0111,1937-1938,days_to_heading,170
TS0112,1937-1938,days_to_heading,175
TS0112,1937-1938,days_to_heading,174
TS0112,1937-1938,days_to_heading,170
TS0113,1937-1938,days_to_heading,174
TS0113,1937-1938,days_to_heading,172
TS0113,1937-1938,days_to_heading,171
TS0116,1937-1938,days_to_heading,175
TS0116,1937-1938,days_to_heading,174
TS0116,1937-1938,days_to_heading,170
TS0117,1937-1938,days_to_heading,172
TS0117,1937-1938,days_to_heading,170
TS0123,1937-1938,days_to_heading,175
TS0123,1937-1938,days_to_heading,174
TS0123,1937-1938,days_to_heading,170
TS0125,1937-1938,days_to_heading,168
TS0131,1937-1938,days_to_heading,175
TS0131,1937-1938,days_to_heading,174
TS0131,1937-1938,days_to_heading,172
TS0131,1937-1938,days_to_heading,171
TS0131,1937-1938,days_to_heading,170
TS0131,1937-1938,days_to_heading,168
TS0136,1937-1938,days_to_heading,177
TS0136,1937-1938,days_to_heading,174
TS0136,1937-1938,days_to_heading,172
TS0136,1937-1938,days_to_heading,171
TS0136,1937-1938,days_to_heading,170
TS0137,1937-1938,days_to_heading,177
TS0137,1937-1938,days_to_heading,174
TS0137,1937-1938,days_to_heading,171
TS0137,1937-1938,days_to_heading,170
TS0140,1937-1938,days_to_heading,174
TS0140,1937-1938,days_to_heading,171
TS0141,1937-1938,days_to_heading,177
TS0141,1937-1938,days_to_heading,174
TS0141,1937-1938,days_to_heading,172
TS0141,1937-1938,days_to_heading,171
TS0141,1937-1938,days_to_heading,170
TS0142,1937-1938,days_to_heading,177
TS0142,1937-1938,days_to_heading,174
TS0142,1937-1938,days_to_heading,172
TS0142,1937-1938,days_to_heading,171
TS0142,1937-1938,days_to_heading,170
TS0144,1937-1938,days_to_heading,177
TS0144,1937-1938,days_to_heading,174
TS0144,1937-1938,days_to_heading,172
TS0144,1937-1938,days_to_heading,171
TS0144,1937-1938,days_to_heading,170
TS0146,1937-1938,days_to_heading,177
TS0146,1937-1938,days_to_heading,174
TS0146,1937-1938,days_to_heading,172
TS0146,1937-1938,days_to_heading,171
TS0146,1937-1938,days_to_heading,170
TS0148,1937-1938,days_to_heading,177
TS0148,1937-1938,days_to_heading,174
TS0148,1937-1938,days_to_heading,172
TS0148,1937-1938,days_to_heading,171
TS0148,1937-1938,days_to_heading,170
TS0149,1937-1938,days_to_heading,174
TS0149,1937-1938,days_to_heading,172
TS0149,1937-1938,days_to_heading,171
TS0149,1937-1938,days_to_heading,170
TS0152,1937-1938,days_to_heading,174
TS0152,1937-1938,days_to_heading,172
TS0152,1937-1938,days_to_heading,171
TS0152,1937-1938,days_to_heading,170
TS0001,1946-1947,days_to_heading,176
TS0002,1946-1947,days_to_heading,176
TS0004,1946-1947,days_to_heading,174
TS0006,1946-1947,days_to_heading,173
TS0007,1946-1947,days_to_heading,173
TS0013,1946-1947,days_to_heading,171
TS0014,1946-1947,days_to_heading,175
TS0016,1946-1947,days_to_heading,174
TS0019,1946-1947,days_to_heading,177
TS0020,1946-1947,days_to_heading,174
TS0025,1946-1947,days_to_heading,176
TS0026,1946-1947,days_to_heading,174
TS0028,1946-1947,days_to_heading,169
TS0030,1946-1947,days_to_heading,179
TS0001,1947-1948,days_to_heading,169
TS0002,1947-1948,days_to_heading,170
TS0004,1947-1948,days_to_heading,166
TS0006,1947-1948,days_to_heading,166
TS0007,1947-1948,days_to_heading,166
TS0013,1947-1948,days_to_heading,166
TS0014,1947-1948,days_to_heading,166
TS0016,1947-1948,days_to_heading,169
TS0019,1947-1948,days_to_heading,168
TS0020,1947-1948,days_to_heading,169
TS0025,1947-1948,days_to_heading,169
TS0026,1947-1948,days_to_heading,166
TS0028,1947-1948,days_to_heading,165
TS0030,1947-1948,days_to_heading,165
TS0002,1949-1950,days_to_heading,174
TS0004,1949-1950,days_to_heading,171
TS0006,1949-1950,days_to_heading,174
TS0007,1949-1950,days_to_heading,173
TS0013,1949-1950,days_to_heading,170
TS0014,1949-1950,days_to_heading,173
TS0016,1949-1950,days_to_heading,171
TS0019,1949-1950,days_to_heading,174
TS0020,1949-1950,days_to_heading,171
TS0025,1949-1950,days_to_heading,173
TS0026,1949-1950,days_to_heading,170
TS0028,1949-1950,days_to_heading,168
TS0030,1949-1950,days_to_heading,169
TS0032,1949-1950,days_to_heading,174
TS0034,1949-1950,days_to_heading,171
TS0035,1949-1950,days_to_heading,171
TS0036,1949-1950,days_to_heading,171
TS0001,1950-1951,days_to_heading,182
TS0002,1950-1951,days_to_heading,184
TS0004,1950-1951,days_to_heading,178
TS0006,1950-1951,days_to_heading,180
TS0007,1950-1951,days_to_heading,181
TS0013,1950-1951,days_to_heading,183
TS0014,1950-1951,days_to_heading,179
TS0016,1950-1951,days_to_heading,182
TS0019,1950-1951,days_to_heading,181
TS0020,1950-1951,days_to_heading,180
TS0025,1950-1951,days_to_heading,181
TS0026,1950-1951,days_to_heading,180
TS0028,1950-1951,days_to_heading,179
TS0030,1950-1951,days_to_heading,181
TS0032,1950-1951,days_to_heading,180
TS0034,1950-1951,days_to_heading,180
TS0035,1950-1951,days_to_heading,181
TS0036,1950-1951,days_to_heading,182
TS0001,1951-1952,days_to_heading,177
TS0001,1951-1952,plant_height,110
TS0001,1951-1952,thousand_kernel_weight,53.2
TS0002,1951-1952,days_to_heading,178
TS0002,1951-1952,plant_height,120
TS0002,1951-1952,thousand_kernel_weight,71.2
TS0004,1951-1952,days_to_heading,175
TS0004,1951-1952,plant_height,110
TS0004,1951-1952,thousand_kernel_weight,67
TS0006,1951-1952,days_to_heading,175
TS0006,1951-1952,plant_height,110
TS0006,1951-1952,thousand_kernel_weight,70
TS0007,1951-1952,days_to_heading,178
TS0007,1951-1952,plant_height,110
TS0007,1951-1952,thousand_kernel_weight,58.4
TS0013,1951-1952,days_to_heading,174
TS0013,1951-1952,plant_height,110
TS0013,1951-1952,thousand_kernel_weight,81.2
TS0014,1951-1952,days_to_heading,177
TS0014,1951-1952,plant_height,110
TS0014,1951-1952,thousand_kernel_weight,68.8
TS0016,1951-1952,days_to_heading,177
TS0016,1951-1952,plant_height,110
TS0016,1951-1952,thousand_kernel_weight,72.6
TS0019,1951-1952,days_to_heading,178
TS0019,1951-1952,plant_height,105
TS0019,1951-1952,thousand_kernel_weight,70.2
TS0020,1951-1952,days_to_heading,175
TS0020,1951-1952,plant_height,105
TS0020,1951-1952,thousand_kernel_weight,70.6
TS0025,1951-1952,days_to_heading,179
TS0025,1951-1952,plant_height,105
TS0025,1951-1952,thousand_kernel_weight,65
TS0026,1951-1952,days_to_heading,179
TS0026,1951-1952,plant_height,105
TS0026,1951-1952,thousand_kernel_weight,81.2
TS0028,1951-1952,days_to_heading,174
TS0028,1951-1952,plant_height,110
TS0030,1951-1952,days_to_heading,177
TS0030,1951-1952,plant_height,110
TS0030,1951-1952,thousand_kernel_weight,80.2
TS0032,1951-1952,days_to_heading,176
TS0032,1951-1952,plant_height,110
TS0032,1951-1952,thousand_kernel_weight,74.2
TS0034,1951-1952,days_to_heading,178
TS0034,1951-1952,plant_height,105
TS0034,1951-1952,thousand_kernel_weight,81.2
TS0035,1951-1952,days_to_heading,178
TS0035,1951-1952,plant_height,100
TS0035,1951-1952,thousand_kernel_weight,70.6
TS0036,1951-1952,days_to_heading,179
TS0036,1951-1952,plant_height,105
TS0036,1951-1952,thousand_kernel_weight,72.6
TS1143,1951-1952,days_to_heading,158
TS1201,1951-1952,days_to_heading,161
TS1201,1951-1952,days_to_heading,164
TS1201,1951-1952,days_to_heading,162
TS1201,1951-1952,days_to_heading,160
TS1201,1951-1952,days_to_heading,157
TS1202,1951-1952,days_to_heading,161
TS1202,1951-1952,days_to_heading,164
TS1202,1951-1952,days_to_heading,163
TS1202,1951-1952,days_to_heading,162
TS1202,1951-1952,days_to_heading,160
TS1202,1951-1952,days_to_heading,157
TS1256,1951-1952,days_to_heading,162
TS1256,1951-1952,days_to_heading,160
TS1286,1951-1952,days_to_heading,161
TS1286,1951-1952,days_to_heading,164
TS1286,1951-1952,days_to_heading,163
TS1286,1951-1952,days_to_heading,160
TS1286,1951-1952,days_to_heading,159
TS1286,1951-1952,days_to_heading,158
TS1288,1951-1952,days_to_heading,161
TS1288,1951-1952,days_to_heading,164
TS1288,1951-1952,days_to_heading,163
