experiment_id,instcode,genus,accenumb,agent_id,doi,days_to_heading,date_of_heading,thousand_kernel_weight,plant_height,ear_density,oidium,yellow_rust,black_rust,septoria_nodorum,fusarium_ear,zeleny,name,description,campaign,site_name,longitude,latitude,remarks
420,CHE001,Triticum,4120,NA,NA,152,19590602,54,145,NA,NA,NA,NA,NA,NA,NA,RZ1959,multipication collection,1958-1959,Reckenholz,8.516632,47.42836,NA
420,CHE001,Triticum,4126,NA,NA,157,19590607,34,140,NA,NA,NA,NA,NA,NA,NA,RZ1959,multipication collection,1958-1959,Reckenholz,8.516632,47.42836,NA
406,CHE001,Triticum,1004,NA,NA,153,19600602,49.1,130,NA,NA,NA,NA,NA,NA,NA,MC1960,multipication collection,1959-1960,Mont-calme,6.641812,46.524544,NA
406,CHE001,Triticum,1008,NA,NA,164,19600613,48.6,105,NA,NA,NA,NA,NA,NA,NA,MC1960,multipication collection,1959-1960,Mont-calme,6.641812,46.524544,NA
406,CHE001,Triticum,1033,NA,NA,147,19600527,52.1,115,NA,NA,NA,NA,NA,NA,NA,MC1960,multipication collection,1959-1960,Mont-calme,6.641812,46.524544,NA
406,CHE001,Triticum,1042,NA,NA,145,19600525,48.2,120,NA,NA,NA,NA,NA,NA,NA,MC1960,multipication collection,1959-1960,Mont-calme,6.641812,46.524544,NA
406,CHE001,Triticum,1043,NA,NA,146,19600526,50,110,NA,NA,NA,NA,NA,NA,NA,MC1960,multipication collection,1959-1960,Mont-calme,6.641812,46.524544,NA
406,CHE001,Triticum,1045,NA,NA,145,19600525,58.5,115,NA,NA,NA,NA,NA,NA,NA,MC1960,multipication collection,1959-1960,Mont-calme,6.641812,46.524544,NA
406,CHE001,Triticum,133,NA,NA,153,19600602,45.3,115,NA,NA,NA,NA,NA,NA,NA,MC1960,multipication collection,1959-1960,Mont-calme,6.641812,46.524544,NA
406,CHE001,Triticum,134,NA,NA,153,19600602,43,115,NA,NA,NA,NA,NA,NA,NA,MC1960,multipication collection,1959-1960,Mont-calme,6.641812,46.524544,NA
406,CHE001,Triticum,196,NA,NA,145,19600525,45.2,115,NA,NA,NA,NA,NA,NA,NA,MC1960,multipication collection,1959-1960,Mont-calme,6.641812,46.524544,NA
421,CHE001,Triticum,4120,NA,NA,158,19600607,31,140,NA,NA,NA,NA,NA,NA,NA,RZ1960,multipication collection,1959-1960,Reckenholz,8.516632,47.42836,NA
421,CHE001,Triticum,4126,NA,NA,159,19600608,37,140,NA,NA,NA,NA,NA,NA,NA,RZ1960,multipication collection,1959-1960,Reckenholz,8.516632,47.42836,NA
406,CHE001,Triticum,994,NA,NA,141,19600521,43.5,95,NA,NA,NA,NA,NA,NA,NA,MC1960,multipication collection,1959-1960,Mont-calme,6.641812,46.524544,NA
406,CHE001,Triticum,999,NA,NA,149,19600529,42.7,100,NA,NA,NA,NA,NA,NA,NA,MC1960,multipication collection,1959-1960,Mont-calme,6.641812,46.524544,NA
407,CHE001,Triticum,1004,NA,NA,159,19610609,41.7,180,NA,NA,NA,NA,NA,NA,NA,MC1961,multipication collection,1960-1961,Mont-calme,6.641812,46.524544,NA
422,CHE001,Triticum,4120,NA,NA,158,19610608,NA,160,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4124,NA,NA,160,19610610,NA,170,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4125,NA,NA,157,19610607,NA,155,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4126,NA,NA,163,19610613,NA,160,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4127,NA,NA,155,19610605,NA,150,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4130,NA,NA,155,19610605,NA,140,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4132,NA,NA,156,19610606,NA,160,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4133,NA,NA,158,19610608,NA,140,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4136,NA,NA,156,19610606,NA,150,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4138,NA,NA,164,19610614,NA,150,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
