genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
1001,150.97,140.36,NA
1002,158.04,161.25,NA
1003,161.19,154.92,NA
1004,152.2,159.24,47.64
1008,151.56,148.61,45.84
1011,155.9,143.79,NA
1012,154.7,145.52,NA
1014,145.77,144.75,41.46
1015,NA,157.42,NA
1017,153.96,147.78,NA
1020,151.29,146.71,50.06
1026,159.49,154.44,NA
1027,156.31,143.46,NA
1028,160.69,126.18,NA
1029,160.69,148.64,NA
1030,157.62,137,NA
1031,148.24,147.73,39.6
1033,148.28,145.02,50.25
1037,159.11,152.78,NA
1039,160.48,151.06,NA
1040,150.86,135.99,NA
1042,149.17,141.73,45.04
1043,149.39,133.31,44.57
1045,144.83,156.52,53.92
1046,152.2,145.63,42.19
1047,151.54,127.26,NA
1050,152.47,167.03,44.85
1051,155.62,148.99,NA
1052,NA,NA,NA
1054,156.73,157.54,NA
1082,153.56,138.91,NA
1199,NA,154.92,NA
1200,150.69,154.92,NA
1202,NA,NA,NA
1204,161.19,142.42,NA
1205,141.69,114.92,NA
1206,153.69,137.42,NA
1209,NA,NA,NA
1212,145.19,147.42,NA
1213,155.69,154.92,NA
1214,151.62,161.44,NA
122,152.2,146.95,39.22
123,151.97,146.23,42.41
124,156.37,155.92,NA
126,152.6,127.83,NA
127,154.37,151.18,NA
128,157.66,150.57,NA
131,155.54,139.95,NA
133,152.69,142.58,43.52
134,152.89,150.15,41.33
1359,NA,NA,NA
1370,NA,NA,NA
138,NA,NA,NA
1400,NA,NA,NA
1419,NA,NA,NA
1421,NA,NA,NA
1459,NA,NA,NA
148,NA,NA,NA
1521,NA,NA,NA
1550,NA,NA,NA
1560,NA,NA,NA
1570,NA,NA,NA
1571,NA,NA,NA
1596,NA,NA,NA
1598,NA,NA,NA
1611,NA,NA,NA
1621,157.89,115.69,NA
1650,NA,NA,NA
1690,NA,NA,NA
1700,NA,NA,NA
1701,NA,NA,NA
1720,NA,NA,NA
1729,NA,NA,NA
1730,NA,NA,NA
1731,NA,NA,NA
1741,NA,NA,NA
1749,NA,NA,NA
1750,NA,NA,NA
1751,NA,NA,NA
1800,NA,NA,NA
1801,NA,NA,NA
1809,NA,NA,NA
1810,NA,NA,NA
1821,NA,NA,NA
1829,NA,NA,NA
1831,NA,NA,NA
1841,NA,NA,NA
1919,NA,NA,NA
1920,NA,NA,NA
1921,NA,NA,NA
1951,NA,NA,NA
196,149.2,140.16,43.02
1961,NA,NA,NA
1979,NA,NA,NA
198,157.45,167.84,NA
1981,NA,NA,NA
1986,156.62,122.06,NA
199,150.32,154.66,48.19
1991,NA,NA,NA
200,154.28,151.36,NA
2011,NA,NA,NA
2012,NA,NA,NA
2021,NA,NA,NA
2030,NA,NA,NA
2031,NA,NA,NA
2071,NA,NA,NA
2081,NA,NA,NA
2101,NA,NA,NA
2125,148.19,117.42,NA
2161,NA,NA,NA
2181,NA,NA,NA
2186,NA,NA,NA
2191,NA,NA,NA
2192,150.7,112.58,NA
2201,NA,NA,NA
2210,NA,NA,NA
2211,NA,NA,NA
2220,NA,NA,NA
2221,NA,NA,NA
2231,156.19,157.42,NA
2232,NA,NA,NA
2235,NA,NA,NA
2243,NA,NA,NA
2251,NA,NA,NA
2261,NA,NA,NA
2297,NA,NA,NA
230,NA,NA,NA
2301,NA,137.42,NA
2302,NA,NA,NA
2309,NA,NA,NA
2311,NA,NA,NA
2329,NA,NA,NA
2330,151.95,103.47,NA
2331,NA,NA,NA
2341,NA,NA,NA
2361,NA,NA,NA
2381,NA,NA,NA
2401,NA,NA,NA
2409,NA,NA,NA
2410,NA,NA,NA
2411,NA,NA,NA
2418,151.41,122.1,NA
2421,NA,NA,NA
2431,NA,NA,NA
2440,NA,NA,NA
2450,NA,NA,NA
2451,NA,NA,NA
2459,NA,NA,NA
247,NA,137.42,NA
2471,NA,NA,NA
2481,NA,NA,NA
2483,140.84,105.91,NA
2493,148.69,112.42,NA
2521,NA,NA,NA
2529,NA,NA,NA
2541,NA,NA,NA
2549,NA,NA,NA
2550,NA,NA,NA
2551,NA,NA,NA
2559,NA,NA,NA
