accenumb,campaign,trait,value
4120,1958-1959,days_to_heading,152
4120,1958-1959,plant_height,145
4126,1958-1959,days_to_heading,157
4126,1958-1959,plant_height,140
1004,1959-1960,days_to_heading,153
1004,1959-1960,plant_height,130
1004,1959-1960,thousand_kernel_weight,49.1
1008,1959-1960,days_to_heading,164
1008,1959-1960,plant_height,105
1008,1959-1960,thousand_kernel_weight,48.6
1033,1959-1960,days_to_heading,147
1033,1959-1960,plant_height,115
1033,1959-1960,thousand_kernel_weight,52.1
1042,1959-1960,days_to_heading,145
1042,1959-1960,plant_height,120
1042,1959-1960,thousand_kernel_weight,48.2
1043,1959-1960,days_to_heading,146
1043,1959-1960,plant_height,110
1043,1959-1960,thousand_kernel_weight,50
1045,1959-1960,days_to_heading,145
1045,1959-1960,plant_height,115
1045,1959-1960,thousand_kernel_weight,58.5
133,1959-1960,days_to_heading,153
133,1959-1960,plant_height,115
133,1959-1960,thousand_kernel_weight,45.3
134,1959-1960,days_to_heading,153
134,1959-1960,plant_height,115
134,1959-1960,thousand_kernel_weight,43
196,1959-1960,days_to_heading,145
196,1959-1960,plant_height,115
196,1959-1960,thousand_kernel_weight,45.2
4120,1959-1960,days_to_heading,158
4120,1959-1960,plant_height,140
4120,1959-1960,thousand_kernel_weight,31
4126,1959-1960,days_to_heading,159
4126,1959-1960,plant_height,140
4126,1959-1960,thousand_kernel_weight,37
994,1959-1960,days_to_heading,141
994,1959-1960,plant_height,95
994,1959-1960,thousand_kernel_weight,43.5
999,1959-1960,days_to_heading,149
999,1959-1960,plant_height,100
999,1959-1960,thousand_kernel_weight,42.7
1004,1960-1961,days_to_heading,159
1004,1960-1961,plant_height,180
4120,1960-1961,days_to_heading,158
4120,1960-1961,plant_height,160
4124,1960-1961,days_to_heading,160
4124,1960-1961,plant_height,170
4125,1960-1961,days_to_heading,157
4125,1960-1961,plant_height,155
4126,1960-1961,days_to_heading,163
4126,1960-1961,plant_height,160
4127,1960-1961,days_to_heading,155
4127,1960-1961,plant_height,150
4130,1960-1961,days_to_heading,155
4130,1960-1961,plant_height,140
4132,1960-1961,days_to_heading,156
4132,1960-1961,plant_height,160
4133,1960-1961,days_to_heading,158
4133,1960-1961,plant_height,140
4136,1960-1961,days_to_heading,156
